13. PUENTE DE VALLECAS. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;
 ;CIUDAD;;PUENTE DE VALLECAS;;Entrevías;;San Diego;;Palomeras Bajas;;Palomeras Sureste;;Portazgo;;Numancia;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;1.496,86;;597,19;;106,99;;172,39;;310,86;;124,53;;184,91;
Esperanza de vida al nacer MUJERES (mortalidad del periodo 2009-2012);;85,9;;85,1;;84,1;;85,4;;85,8;;85,2;;84,5;;85,4
Esperanza de vida al nacer HOMBRES (mortalidad del periodo 2009-2012);;79,9;;78,4;;75,9;;78,4;;79,3;;79,1;;77,6;;79,7
Esperanza de vida al nacer MUJERES (2017);;87,1;;86,6;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (2017);;82,0;;79,6;;;;;;;;;;;;
Esperanza de vida > 65 años MUJERES (2017);;24,3;;24,2;;;;;;;;;;;;
Esperanza de vida > 65 años HOMBRES (2017);;20,3;;19,1;;;;;;;;;;;;
1.2.4. Mujeres y hombres;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2017);;0,816;;;;;;;;;;;;;;
Índice de desigualdad de género (2007);;0,738;;;;;;;;;;;;;;
1.3. INDICADORES ECONÓMICOS ;;;;;;;;;;;;;;;;
Renta neta media anual de los hogares (Urban Audit). 2015;;38.534,6 €;64%;24.688,1 €;89%;22.055,1 €;86%;21.224,8 €;116%;28.754,3 €;108%;26.632,1 €;97%;23.824,7 €;101%;24.872,5 €
Renta disponible Bruta Per Cápita 2014(a);;21.145,9 €;;15.930,9 €;;;;;;;;;;;;
Crecimiento/decrecimiento Renta Bruta Per Cápita 2014(a)-2008;-0,2%;-40,4 €;-4,0%;-667,4 €;;;;;;;;;;;;
Pensión media mensual del Distrito HOMBRES (2015);;1.376,2 €;;1.124,2 €;;;;;;;;;;;;
Pensión media mensual del Distrito MUJERES (2015);;858,8 €;;671,0 €;;;;;;;;;;;;
1.4. INDICADORES DE DESEMPLEO;;;;;;;;;;;;;;;;
Tasa de actividad global ciudad de Madrid (EPA. 3º trimestre 2018);61,2%;;;;;;;;;;;;;;;
Hombres ;66,4%;;;;;;;;;;;;;;;
Mujeres;56,8%;;;;;;;;;;;;;;;
Número de parados ciudad de Madrid (EPA. 3º trimestre 2018) (miles);;200,1;;;;;;;;;;;;;;
Hombres (miles);;97,3;;;;;;;;;;;;;;
Mujeres (miles);;102,8;;;;;;;;;;;;;;
