21. BARAJAS. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;BARAJAS;;Alameda de Osuna;;Aeropuerto;;Casco Histórico de Barajas;;Timón;;Corralejos;;;;;;;;;;;;;;;;;;;;;;;
Nº total de hogares;100%;1.306.612;1,4%;18.756;39,2%;7.359;3,8%;704;16,8%;3.160;26,3%;4.933;13,9%;2.600;;;;;;;;;;;;;;;;;;;;;;
Tamaño medio del hogar;;2,54  ;;2,67;;2,67;;2,72;;2,37;;2,70;;2,95;;;;;;;;;;;;;;;;;;;;;;
Hogares con una mujer sola >65 años;9,9%;129.292;6,6%;1.234;8,8%;650;8,2%;58;7,7%;242;4,0%;198;3,3%;86;;;;;;;;;;;;;;;;;;;;;;
Hogares con un hombre solo >65 años;2,9%;38.397;2,5%;478;3,4%;250;3,4%;24;2,9%;92;1,5%;74;1,5%;38;;;;;;;;;;;;;;;;;;;;;;
Hogares monoparentales: una mujer adulta con uno o más menores;2,0%;26.000;2,8%;534;2,3%;171;2,1%;15;1,6%;49;3,9%;194;4,0%;105;;;;;;;;;;;;;;;;;;;;;;
Hogares monoparentales: un hombre adulto con uno o más menores;0,4%;5.236;0,8%;141;0,6%;46;1,0%;7;0,3%;10;0,8%;41;1,4%;37;;;;;;;;;;;;;;;;;;;;;;
1.2.3. Dinámica demográfica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa bruta de natalidad 2020 (‰);;7,8;;8,7;;6,6;;14,1;;7,5;;13,3;;6,2;;;;;;;;;;;;;;;;;;;;;;
Tasa de crecimiento demográfico 2020 (%);;-0,7;;0,1;;-0,8;;0,9;;-2,4;;3,7;;-1,2;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer MUJERES (mortalidad del periodo 2013-2016);;87,5;;87,0;;86,7;;87,7;;88,6;;87,6;;85,4;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (mortalidad del periodo 2013-2016);;81,9;;82,5;;82,4;;83,1;;81,6;;83,2;;85,4;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer MUJERES (2020);;85,2;;85,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (2020);;79,3;;81,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años MUJERES (2020);;22,4;;22,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años HOMBRES (2020);;17,7;;18,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.4. Mujeres y hombres;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2019);;0,842;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2009);;0,795;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.3. INDICADORES ECONÓMICOS ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Renta neta media anual de los hogares (Urban Audit). 2018;;42.283,0 €;117%;49.615,0 €;112%;55.681,4 €;55%;27.316,0 €;64%;31.625,6 €;86%;42.831,0 €;143%;70.874,2 €;;;;;;;;;;;;;;;;;;;;;;
Renta disponible Bruta Per Cápita 2019 ;;21.638,0 €;;24.393,0 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito HOMBRES (2020);;1.521,8 €;117%;1.781,2 €;111%;1.973,3 €;68%;1.204,4 €;86%;1.538,9 €;87%;1.552,5 €;98%;1.745,7 €;;;;;;;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito MUJERES (2020);;1.146,5 €;113%;1.292,9 €;112%;1.453,4 €;69%;898,1 €;83%;1.067,6 €;89%;1.154,1 €;93%;1.204,3 €;;;;;;;;;;;;;;;;;;;;;;
1.4. INDICADORES DE DESEMPLEO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa de actividad global ciudad de Madrid (EPA. 4º trimestre 2021);62,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres ;67,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres;58,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Número de personas paradas en la ciudad de Madrid (EPA. 4º trimestre 2021) (miles);;175,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres (miles);;79,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres (miles);;95,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paro registrado (nº de personas registradas en SEPE en febrero 2022);;160.316;1,1%;1.771;31,8%;563;4,7%;84;20,0%;355;29,4%;521;11,5%;204;;;;;;;;;;;;;;;;;;;;;;
Tasa absoluta de paro registrado (febrero 2022);7,33;;5,47;;5,05;;6,55;;7,15;;5,88;;4,00;;;;;;;;;;;;;;;;;;;;;;;
Tasa absoluta de paro registrado HOMBRES ;6,52;;4,50;;4,01;;4,80;;6,18;;4,69;;3,81;;;;;;;;;;;;;;;;;;;;;;;
De 16 a 24 años;3,33;;2,26;;1,72;;3,03;;6,39;;2,40;;0,77;;;;;;;;;;;;;;;;;;;;;;;
De 25 a 44 años;5,45;;3,57;;3,13;;4,25;;4,80;;3,66;;2,72;;;;;;;;;;;;;;;;;;;;;;;
De 45 a 64 años;8,63;;6,02;;5,44;;5,89;;7,66;;6,46;;5,49;;;;;;;;;;;;;;;;;;;;;;;
Tasa absoluta de paro registrado MUJERES ;8,08;;6,36;;6,03;;8,57;;8,10;;6,97;;4,17;;;;;;;;;;;;;;;;;;;;;;;
De 16 a 24 años;3,34;;1,44;;0,63;;4,71;;2,31;;2,84;;0,23;;;;;;;;;;;;;;;;;;;;;;;
De 25 a 44 años;7,30;;6,00;;5,50;;7,28;;7,63;;6,68;;3,46;;;;;;;;;;;;;;;;;;;;;;;
De 45 a 64 años;10,17;;8,03;;7,95;;10,68;;10,03;;8,37;;5,80;;;;;;;;;;;;;;;;;;;;;;;
Personas paradas de larga duración (febrero 2022);51,9%;83.245;49,2%;871;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;38,9%;32.359;36,7%;320;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;61,1%;50.886;63,3%;551;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas paradas que SI perciben prestaciones (febrero 2022);42,4%;68.028;50,6%;897;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;47,3%;32.178;43,4%;389;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;52,7%;35.850;56,6%;508;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas paradas que NO perciben prestaciones (febrero 2022);57,6%;92.288;49,4%;874;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;39,5%;36.473;37,0%;323;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;60,5%;55.815;63,0%;551;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5. EDUCACIÓN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5.1. Población en etapas educativas (01/01/2021);100,0%;455.915;100,0%;8.845;100,0%;3.203;100,0%;297;100,0%;857;100,0%;2.753;100,0%;1.735;;;;;;;;;;;;;;;;;;;;;;
0 a 2 años;17,2%;78.328;14,8%;1.310;12,5%;400;19,5%;58;20,7%;177;17,6%;484;11,0%;191;;;;;;;;;;;;;;;;;;;;;;
Infantil (3 a 5 años);18,5%;84.424;18,8%;1.666;17,7%;566;19,9%;59;18,0%;154;21,9%;602;16,4%;285;;;;;;;;;;;;;;;;;;;;;;
Primaria (6 a 11 años);38,4%;175.023;39,8%;3.518;41,2%;1.321;41,4%;123;36,8%;315;38,3%;1.054;40,6%;705;;;;;;;;;;;;;;;;;;;;;;
Secundaria (12 a 15 años);25,9%;118.140;26,6%;2.351;28,6%;916;19,2%;57;24,6%;211;22,3%;613;31,9%;554;;;;;;;;;;;;;;;;;;;;;;
Etapas educativas. Total niños;51,1%;233.089;51,7%;4.577;53,8%;1.722;50,2%;149;49,6%;425;49,8%;1.372;52,4%;909;;;;;;;;;;;;;;;;;;;;;;
0 a 2 años;17,1%;39.956;14,9%;682;12,5%;215;20,8%;31;19,1%;81;17,4%;239;12,8%;116;;;;;;;;;;;;;;;;;;;;;;
Infantil (3 a 5 años);18,6%;43.338;18,1%;830;16,3%;280;17,4%;26;17,9%;76;21,6%;296;16,7%;152;;;;;;;;;;;;;;;;;;;;;;
Primaria (6 a 11 años);38,4%;89.462;40,3%;1.846;42,4%;730;39,6%;59;36,0%;153;38,3%;526;41,6%;378;;;;;;;;;;;;;;;;;;;;;;
Secundaria (12 a 15 años);25,9%;60.333;26,6%;1.219;28,9%;497;22,1%;33;27,1%;115;22,7%;311;28,9%;263;;;;;;;;;;;;;;;;;;;;;;
Etapas educativas. Total niñas;48,9%;222.826;48,3%;4.268;46,2%;1.481;49,8%;148;50,4%;432;50,2%;1.381;47,6%;826;;;;;;;;;;;;;;;;;;;;;;
0 a 2 años;17,2%;38.372;14,7%;628;12,5%;185;18,2%;27;22,2%;96;17,7%;245;9,1%;75;;;;;;;;;;;;;;;;;;;;;;
Infantil (3 a 5 años);18,4%;41.086;19,6%;836;19,3%;286;22,3%;33;18,1%;78;22,2%;306;16,1%;133;;;;;;;;;;;;;;;;;;;;;;
Primaria (6 a 11 años);38,4%;85.561;39,2%;1.672;39,9%;591;43,2%;64;37,5%;162;38,2%;528;39,6%;327;;;;;;;;;;;;;;;;;;;;;;
Secundaria (12 a 15 años);25,9%;57.807;26,5%;1.132;28,3%;419;16,2%;24;22,2%;96;21,9%;302;35,2%;291;;;;;;;;;;;;;;;;;;;;;;
1.5.2. Escolarización del alumnado por tipo de centro (año escolar 2019/20);100,0%;531.839;100%;9.587;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;42,4%;225.516;28,0%;2.686;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;18,4%;97.728;22,5%;2.155;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;39,2%;208.595;49,5%;4.746;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total alumnos extranjeros;11,7%;62.112;7,4%;706;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;34,0%;21.142;17,0%;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;9,9%;6.167;9,6%;68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;56,0%;34.803;73,4%;518;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total alumnos con necesidades de apoyo educativo;4,7%;25.160;3,0%;286;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;44,4%;11.161;51,7%;148;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;4,3%;1.082;2,1%;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;51,3%;12.917;46,2%;132;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5.3. Nivel de estudios de la población ≥ 25 años (01/01/2021);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No sabe leer ni escribir o sin estudios;4,2%;108.764;2,9%;1.085;1,2%;180;8,4%;122;6,4%;389;3,2%;297;1,9%;97;;;;;;;;;;;;;;;;;;;;;;
Primaria incompleta;10,5%;270.260;6,7%;2.464;4,7%;694;15,1%;220;12,1%;739;6,6%;619;3,8%;192;;;;;;;;;;;;;;;;;;;;;;
Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado;26,4%;676.508;20,9%;7.673;15,9%;2.351;38,4%;558;34,1%;2.078;23,1%;2.175;10,2%;511;;;;;;;;;;;;;;;;;;;;;;
Formación profesional 2º grado, Bachiller Superior o BUP;19,4%;497.456;22,7%;8.340;23,9%;3.530;22,2%;323;24,2%;1.476;22,7%;2.135;17,4%;876;;;;;;;;;;;;;;;;;;;;;;
Titulaciones medias, diplomatura, arquitectura o ingeniería técnica;9,2%;236.829;13,1%;4.809;15,1%;2.230;5,0%;73;7,9%;485;12,8%;1.205;16,2%;816;;;;;;;;;;;;;;;;;;;;;;
Estudios superiores, licenciatura, arquitectura superior, estudios superiores no universitarios, docturado, estudios de posgrado;30,2%;774.430;33,7%;12.397;39,2%;5.799;10,8%;157;15,3%;931;31,6%;2.975;50,4%;2.535;;;;;;;;;;;;;;;;;;;;;;
Nivel de estudios desconocido y no consta;0,1%;2.829;0,1%;22;0,1%;15;0,1%;2;0,0%;3;0,0%;2;0,0%;0;;;;;;;;;;;;;;;;;;;;;;
1.5.4. Programa de prevención y control del absentismo escolar;;2.567.076;1;36.790;1;14.799;1;1.455;1;6.101;1;9.408;1;5.027;;;;;;;;;;;;;;;;;;;;;;
Casos trabajados por el programa de absentismo municipal (curso escolar 2020-2021);100,0%;5.307;0,6%;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Casos trabajados HOMBRES;52,2%;2.772;56,7%;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Casos trabajados MUJERES;47,8%;2.535;43,3%;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.6. SALUD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.6.1. Hábitos y estilos de vida (2018. Estudio Madrid Salud);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sedentarismo;30,0%;;25,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sedentarismo HOMBRES ;25,2%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sedentarismo MUJERES ;34,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario;18,9%;;16,4%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario HOMBRES;20,2%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario MUJERES ;17,9%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Consumo de medicamentos ;66,3%;;59,5%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Consumo de medicamentos HOMBRES  ;62,4%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Consumo de medicamentos MUJERES ;69,7%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.6.2. Indicadores de nivel de salud (2018. Estudio Madrid Salud);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud  (% respuesta muy buena + buena);72,3%;;77,9%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud HOMBRES ;77,4%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud MUJERES ;68,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) ;20,2%;;19,5%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) HOMBRES;19,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) MUJERES;21,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica ;39,8%;;34,9%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica HOMBRES ;36,6%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica MUJERES;42,4%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hipertensión arterial;18,8%;;17,6%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hipertensión arterial HOMBRES;19,7%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hipertensión arterial MUJERES;18,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diabetes Mellitus;6,0%;;4,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diabetes Mellitus HOMBRES;6,9%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diabetes Mellitus MUJERES;5,3%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con obesidad ;12,2%;;8,6%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con obesidad HOMBRES ;13,3%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con obesidad MUJERES;11,2%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con sobrepeso;33,5%;;31,9%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con sobrepeso HOMBRES;41,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con sobrepeso MUJERES;27,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas mayores de 65 años con alguna dependencia funcional;32,4%;;52,5%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alguna dependencia funcional HOMBRES ;39,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alguna dependencia funcional MUJERES;48,6%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Prevalencia de obesidad en la población infantil (2017. Estudio Madrid Salud. UCM);15,8%;;10,5%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12);21,1%;;21,4%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12) HOMBRES;16,6%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad (GHQ-12) MUJERES;24,9%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.6.3. Riesgo de mala salud mental en personas de 18 años o más (GHQ-12) Ciudad de Madrid (ENS, 2017, Abril y Octubre de 2020);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12) Abril 2020;57,6%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12) HOMBRES Abril 2020;55,5%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
