19. VICÁLVARO. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;
 ;CIUDAD;;VICÁLVARO;;Casco Histórico de Vicálvaro;;Valdebernardo;;Valderrivas;;El Cañaveral;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;
Renta neta media anual de los hogares (Urban Audit). 2015;;38.534,6 €;82%;31.465,9 €;110%;34.498,3 €;;;;;;;;;;
Renta disponible Bruta Per Cápita 2014(a);;21.145,9 €;;18.043,4 €;;;;;;;;;;;;
Crecimiento/decrecimiento Renta Bruta Per Cápita 2014(a)-2008;-0,2%;-40,4 €;-5,7%;-1.082,4 €;;;;;;;;;;;;
Pensión media mensual del Distrito HOMBRES (2015);;1.376,2 €;;1.256,1 €;;;;;;;;;;;;
Pensión media mensual del Distrito MUJERES (2015);;858,8 €;;757,9 €;;;;;;;;;;;;
1.4. INDICADORES DE DESEMPLEO;;;;;;;;;;;;;;;;
Tasa de actividad global ciudad de Madrid (EPA. 3º trimestre 2018);61,2%;;;;;;;;;;;;;;;
Hombres ;66,4%;;;;;;;;;;;;;;;
Mujeres;56,8%;;;;;;;;;;;;;;;
Número de parados ciudad de Madrid (EPA. 3º trimestre 2018) (miles);;200,1;;;;;;;;;;;;;;
Hombres (miles);;97,3;;;;;;;;;;;;;;
Mujeres (miles);;102,8;;;;;;;;;;;;;;
Paro registrado (nº de personas registradas en SEPE en agosto 2018);;167.871;2,7%;4.508;56,9%;2.563;25,6%;1.152;14,7%;663;1,0%;47;;;;
Tasa absoluta de paro registrado (agosto 2018);7,9%;;9,5%;;11,9%;;8,9%;;5,7%;;6,0%;;;;;
Tasa absoluta de paro registrado MUJERES;8,6%;;10,8%;;12,9%;;10,4%;;7,8%;;7,3%;;;;;
De 16 a 24 años;4,6%;;6,7%;;7,7%;;6,9%;;3,8%;;6,3%;;;;;
De 25 a 44 años;8,3%;;11,1%;;13,5%;;11,5%;;7,4%;;5,1%;;;;;
De 45 a 64 años;10,1%;;11,9%;;14,0%;;11,2%;;9,0%;;13,5%;;;;;
Tasa absoluta de paro registrado HOMBRES ;7,1%;;8,1%;;10,9%;;7,3%;;3,6%;;4,8%;;;;;
De 16 a 24 años;4,5%;;6,7%;;8,2%;;6,5%;;3,4%;;0,0%;;;;;
De 25 a 44 años;6,1%;;7,4%;;9,3%;;8,4%;;2,9%;;4,6%;;;;;
De 45 a 64 años;9,1%;;9,1%;;13,6%;;7,2%;;4,3%;;6,0%;;;;;
Parados de larga duración (agosto 2018);41,0%;68.898;44,7%;2.016;;;;;;;;;;;;
Hombres;40,4%;27.816;38,2%;771;;;;;;;;;;;;
Mujeres ;59,6%;41.082;61,8%;1.245;;;;;;;;;;;;
Parados que SÍ perciben prestaciones (agosto 2018);37,3%;62.541;33,7%;1.521;;;;;;;;;;;;
Hombres;47,0%;29.412;49,0%;745;;;;;;;;;;;;
Mujeres ;53,0%;33.129;51,0%;776;;;;;;;;;;;;
Parados que NO perciben prestaciones (agosto 2018);62,7%;105.330;66,3%;2.987;;;;;;;;;;;;
Hombres;40,7%;42.906;38,0%;1.136;;;;;;;;;;;;
Mujeres ;59,3%;62.424;62,0%;1.851;;;;;;;;;;;;
1.5. EDUCACIÓN;;;;;;;;;;;;;;;;
1.5.1. Población en etapas educativas (01/01/2018);100,0%;463.011;100,0%;13.590;100,0%;5.137;100,0%;2.753;100,0%;5.504;100,0%;196;;;;
0 a 2 años;18,8%;87.088;13,8%;1.874;17,4%;896;11,3%;310;22,3%;613;2,0%;55;;;;
Infantil (3 a 5 años);18,7%;86.699;16,5%;2.245;17,9%;917;12,5%;344;34,2%;941;1,6%;43;;;;
Primaria (6 a 11 años);38,2%;176.730;43,5%;5.913;40,4%;2.075;35,6%;980;101,3%;2.790;2,5%;68;;;;
Secundaria (12 a 15 años);24,3%;112.494;26,2%;3.558;24,3%;1.249;40,6%;1119;42,1%;1160;1,1%;30;;;;
Etapas educativas. Total niños;51,2%;237.098;51,0%;6.936;51,5%;2.646;51,0%;1.405;50,4%;2.772;57,7%;113;;;;
0 a 2 años;18,8%;44.551;14,5%;1.008;17,8%;470;12,1%;170;23,7%;333;2,5%;35;;;;
Infantil (3 a 5 años);18,8%;44.489;16,5%;1.142;17,8%;472;12,0%;168;34,2%;480;1,6%;22;;;;
Primaria (6 a 11 años);38,2%;90.647;43,5%;3.017;41,3%;1.093;36,2%;508;98,1%;1379;2,6%;37;;;;
Secundaria (12 a 15 años);24,2%;57.411;25,5%;1.769;23,1%;611;39,8%;559;41,3%;580;1,4%;19;;;;
Etapas educativas. Total niñas;48,8%;225.913;49,0%;6.654;48,5%;2.491;49,0%;1.348;49,6%;2.732;42,3%;83;;;;
0 a 2 años;18,8%;42.537;13,0%;866;17,1%;426;10,4%;140;20,8%;280;1,5%;20;;;;
Infantil (3 a 5 años);18,7%;42.210;16,6%;1.103;17,9%;445;13,1%;176;34,2%;461;1,6%;21;;;;
Primaria (6 a 11 años);38,1%;86.083;43,5%;2.896;39,4%;982;35,0%;472;104,7%;1411;2,3%;31;;;;
Secundaria (12 a 15 años);24,4%;55.083;26,9%;1.789;25,6%;638;41,5%;560;43,0%;580;0,8%;11;;;;
1.5.2. Escolarización de alumnos por tipo de centro (año escolar 2016/17);100%;510.340;100%;12.086;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;43,3%;220.761;28,3%;3.423;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;17,5%;89.197;4,9%;598;;;;;;;;;;;;
En centros PÚBLICOS;39,3%;200.382;66,7%;8.065;;;;;;;;;;;;
Total alumnos extranjeros;10,3%;52.588;9,9%;1.194;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;34,7%;18.249;26,7%;319;;;;;;;;;;;;
