12. USERA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;USERA;;Orcasitas;;Orcasur;;San Fermín;;Almendrales;;Moscardó;;Zofío;;Pradolongo;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;777,77;;135,64;;138,73;;147,54;;78,01;;90,88;;77,4;;109,57;;;;;
Hogares con una mujer sola >65 años;9,8%;126.044;9,5%;4.722;10,1%;852;6,8%;322;6,9%;569;10,2%;780;11,5%;1.118;9,8%;488;10,0%;593;0,083137623;354;;
Hogares con un hombre solo >65 años;2,8%;36.720;2,7%;1.325;2,7%;224;2,2%;105;2,3%;194;2,7%;206;3,2%;311;2,4%;120;2,8%;165;0,026068577;111;;
Hogares monoparentales: una mujer adulta con uno o más menores;21,1%;27.460;2,3%;1.164;2,5%;211;2,6%;123;3,3%;269;2,1%;163;1,7%;169;2,2%;108;2,0%;121;0,020901832;89;;
Hogares monoparentales: un hombre adulto con uno o más menores;0,4%;5.491;0,3%;159;0,5%;39;0,4%;21;0,4%;37;0,3%;20;0,2%;17;0,2%;9;0,3%;16;0,005401597;23;;
1.2.3. Dinámica demográfica;;;;;;;;;;;;;;;;;;;;;;
Tasa bruta de natalidad 2018 (‰);;8,57;;8,8;;6,8;;8,8;;9,3;;9,2;;10,0;;8,2;;8,8;;5,912460289;;
Tasa de crecimiento demográfico 2018 (%);;1,37;;1,8;;1,2;;1,7;;2,0;;2,1;;2,4;;2,0;;1,1;;-0,794211084;;
Esperanza de vida al nacer MUJERES *(mortalidad del periodo 2013-2016);;87,5;;87,1;;88,8;;85,3;;85,2;;86,9;;87,8;;87,5;;86,6;;86,64;;
Esperanza de vida al nacer HOMBRES *(mortalidad del periodo 2013-2016);;81,9;;80,7;;81,1;;78,6;;80,4;;80,0;;81,1;;82,6;;81,1;;81,62;;
Esperanza de vida al nacer MUJERES (2018);;87,6;;87,4;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (2018);;82,2;;80,8;;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años MUJERES (2018);;24,6;;24,3;;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años HOMBRES (2018);;20,6;;19,7;;;;;;;;;;;;;;;;;;
1.2.4. Mujeres y hombres;;;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género IDG (2018);;0,8308;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género IDG (2008);;0,7462;;;;;;;;;;;;;;;;;;;;
1.3. INDICADORES ECONÓMICOS ;;;;;;;;;;;;;;;;;;;;;;
Renta neta media anual de los hogares (Urban Audit). 2016;;39.613,0 €;66%;25.954 €;97%;25.064 €;100%;25.998 €;100%;25.887 €;102%;26.567 €;99%;25.753 €;90%;23.479 €;121%;31.306,0 €;;;;
Renta disponible Bruta Per Cápita 2016(a);;21.755;;16.381,0 €;;;;;;;;;;;;;;;;;;
Crecimiento/decrecimiento Renta Bruta Per Cápita 2016(a)-2008;3,1%;658;0,6%;100,6 €;;;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito HOMBRES (2018);; 1.456,2 € ;; 1.203,7 € ;;;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito MUJERES (2018);; 954,0 € ;; 764,0 € ;;;;;;;;;;;;;;;;;;
1.4. INDICADORES DE DESEMPLEO;;;;-5,4%;;;;;;;;;;;;;;;;;;
Tasa de actividad global ciudad de Madrid (EPA. 1º trimestre 2020);61,2%;;;;;;;;;;;;;;;;;;;;;
Hombres ;66,4%;;;;;;;;;;;;;;;;;;;;;
Mujeres;57,0%;;;;;;;;;;;;;;;;;;;;;
Número de parados ciudad de Madrid (EPA. 1º trimestre 2020) (miles);;176,6;;;;;;;;;;;;;;;;;;;;
Hombres (miles);;83,9;;;;;;;;;;;;;;;;;;;;
Mujeres (miles);;92,7;;;;;;;;;;;;;;;;;;;;
Paro registrado (nº de personas registradas en SEPE en febrero 2020);;167.188;5,7%;9.529;15,7%;1.492;12,5%;1.188;17,0%;1.617;14,8%;1.415;16,4%;1.563;9,6%;913;11,8%;1.121;;;;
Tasa absoluta de paro registrado (febrero 2020);7,6%;;9,8%;;10,3%;;12,3%;;10,1%;;9,4%;;8,6%;;9,4%;;9,2%;;0,0623;;;
Tasa absoluta de paro registrado MUJERES;8,1%;;10,6%;;11,3%;;13,5%;;11,0%;;10,0%;;9,3%;;9,7%;;10,1%;;0,073;;;
De 16 a 24 años;4,2%;;6,9%;;7,8%;;8,6%;;6,8%;;7,9%;;5,8%;;4,8%;;6,8%;;0,0131;;;
De 25 a 44 años;7,5%;;10,2%;;11,0%;;13,9%;;11,3%;;9,2%;;8,6%;;10,0%;;9,1%;;0,0817;;;
De 45 a 64 años;9,8%;;12,2%;;12,5%;;15,0%;;12,3%;;11,5%;;11,0%;;11,2%;;12,4%;;0,0855;;;
Tasa absoluta de paro registrado HOMBRES ;7,0%;;8,9%;;9,2%;;11,1%;;9,2%;;8,9%;;7,8%;;9,0%;;8,3%;;0,0508;;;
De 16 a 24 años;4,4%;;6,6%;;8,9%;;9,6%;;7,5%;;6,8%;;4,3%;;3,7%;;5,6%;;0,0196;;;
De 25 a 44 años;6,0%;;8,1%;;8,7%;;11,0%;;8,5%;;7,6%;;6,3%;;8,8%;;7,9%;;0,0439;;;
De 45 a 64 años;8,9%;;10,6%;;9,6%;;11,8%;;10,4%;;11,1%;;10,7%;;11,3%;;9,8%;;0,0671;;;
Parados de larga duración (febrero 2020);38,2%;63.943;38,2%;3.642;;;;;;;;;;;;;;;;;;
Hombres;39,7%;25.381;38,0%;1.383;;;;;;;;;;;;;;;;;;
Mujeres ;60,3%;38.562;62,0%;2.259;;;;;;;;;;;;;;;;;;
Parados que SÍ perciben prestaciones (febrero 2020);43,4%;72.603;39,4%;3.751;;;;;;;;;;;;;;;;;;
Hombres;48,2%;34.979;50,1%;1881;;;;;;;;;;;;;;;;;;
Mujeres ;51,8%;37.624;49,9%;1.870;;;;;;;;;;;;;;;;;;
Parados que NO perciben prestaciones (febrero 2020);56,6%;94.585;60,6%;5.778;;;;;;;;;;;;;;;;;;
Hombres;41,3%;39.063;40,2%;2.324;;;;;;;;;;;;;;;;;;
Mujeres ;58,7%;55.522;59,8%;3.454;;;;;;;;;;;;;;;;;;
1.5. EDUCACIÓN;;;;;;;;;;;;;;;;;;;;;;
1.5.1. Población en etapas educativas (01/01/2018);100,0%;464338;100%;21.801;100%;3.980;100%;2.299;100%;4.355;100%;3.277;100%;3.450;100%;1.922;100%;2.518;;;;
0 a 2 años;18,2%;84.692;16,8%;3.669;13,8%;548;17,7%;406;13,4%;582;17,9%;586;20,8%;718;17,9%;344;19,3%;485;;;;
Infantil (3 a 5 años);18,7%;86.684;17,6%;3.839;16,8%;668;18,4%;423;16,3%;710;18,6%;611;18,2%;628;17,6%;339;18,3%;460;;;;
Primaria (6 a 11 años);38,4%;178.445;39,1%;8.514;42,5%;1.690;37,3%;858;41,1%;1.792;39,3%;1.288;36,0%;1.241;36,7%;705;37,3%;940;;;;
Secundaria (12 a 15 años);24,7%;114.517;26,5%;5.779;27,0%;1.074;26,6%;612;29,2%;1.271;24,2%;792;25,0%;863;27,8%;534;25,1%;633;;;;
Etapas educativas. Total niños;51,2%;237557;51,3%;11.177;51,2%;2.039;52,9%;1.216;50,4%;2.195;51,4%;1.683;51,6%;1.779;50,3%;967;51,5%;1.298;;;;
0 a 2 años;18,2%;43.261;17,1%;1.916;13,1%;268;18,0%;219;14,2%;311;18,2%;306;20,6%;366;18,4%;178;10,6%;268;;;;
Infantil (3 a 5 años);18,7%;44.354;17,5%;1.953;17,5%;357;18,1%;220;15,8%;347;19,5%;328;17,6%;313;17,2%;166;8,8%;222;;;;
Primaria (6 a 11 años);38,5%;91.575;38,7%;4.326;42,4%;865;37,7%;458;39,9%;875;38,0%;639;36,3%;645;37,5%;363;19,1%;481;;;;
Secundaria (12 a 15 años);24,6%;58.367;26,7%;2.982;26,9%;549;26,2%;319;30,2%;662;24,4%;410;25,6%;455;26,9%;260;13,0%;327;;;;
Etapas educativas. Total niñas;48,8%;226.781;48,7%;10.624;48,8%;1.941;47,1%;1.083;49,6%;2.160;48,6%;1.594;48,4%;1.671;49,7%;955;48,5%;1.220;;;;
0 a 2 años;18,3%;41.431;16,5%;1.753;14,4%;280;17,3%;187;12,5%;271;17,6%;280;21,1%;352;17,4%;166;17,8%;217;;;;
Infantil (3 a 5 años);18,7%;42.330;17,8%;1.886;16,0%;311;18,7%;203;16,8%;363;17,8%;283;18,9%;315;18,1%;173;19,5%;238;;;;
Primaria (6 a 11 años);38,3%;86.870;39,4%;4.188;42,5%;825;36,9%;400;42,5%;917;40,7%;649;35,7%;596;35,8%;342;37,6%;459;;;;
Secundaria (12 a 15 años);24,8%;56.150;26,3%;2.797;27,0%;525;27,1%;293;28,2%;609;24,0%;382;24,4%;408;28,7%;274;25,1%;306;;;;
1.5.2. Escolarización de alumnos por tipo de centro (año escolar 2017/18);100,0%;519.294;100%;22.284;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;43,1%;223.703;48,3%;10.774;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;17,9%;92.853;3,4%;757;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;39,0%;202.738;48,3%;10.753;;;;;;;;;;;;;;;;;;
Total alumnos extranjeros;10,6%;54.812;17,2%;3.828;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;34,9%;19.103;37,7%;1.443;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;9,1%;4.965;2,2%;84;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;56,1%;30.744;60,1%;2.301;;;;;;;;;;;;;;;;;;
Total alumnos con necesidades de apoyo educativo;4,0%;20.898;7,3%;1.634;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;49,2%;10.285;52,4%;857;;;;;;;;;;;;;;;;;;
