04. SALAMANCA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;SALAMANCA;;Recoletos;;Goya;;Fuente del Berro;;Guindalera;;Lista;;Castellana;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;
Tasa bruta de natalidad 2018 (‰);;8,57;;8,4;;10,0;;8,8;;7,9;;7,1;;9,0;;8,9;;;
Tasa de crecimiento demográfico 2018 (%);;1,37;;0,6;;-0,1;;0,2;;1,6;;0,8;;0,0;;1,0;;;
Esperanza de vida al nacer MUJERES *(mortalidad del periodo 2013-2016);;87,5;;87,7;;87,6;;87,9;;87,7;;87,3;;87,8;;88,5;;;
Esperanza de vida al nacer HOMBRES *(mortalidad del periodo 2013-2016);;81,9;;82,8;;83,5;;82,3;;82,9;;82,0;;83,3;;84,3;;;
Esperanza de vida al nacer MUJERES (2018);;87,6;;87,4;;;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (2018);;82,2;;83,6;;;;;;;;;;;;;;;
Esperanza de vida > 65 años MUJERES (2018);;24,6;;24,3;;;;;;;;;;;;;;;
Esperanza de vida > 65 años HOMBRES (2018);;20,6;;21,1;;;;;;;;;;;;;;;
1.2.4. Mujeres y hombres;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género IDG (2018);;0,8308;;;;;;;;;;;;;;;;;
Índice de desigualdad de género IDG (2008);;0,7462;;;;;;;;;;;;;;;;;
1.3. INDICADORES ECONÓMICOS ;;;;;;;;;;;;;;;;;;;
Renta neta media anual de los hogares (Urban Audit). 2016;;39.613,0 €;144%;57.147,0 €;140%;79.737 €;89%;50.739 €;73%;41.676 €;82%;46.916 €;87%;49.641 €;127%;72.529 €;;;
Renta disponible Bruta Per Cápita 2016(a);;21.755;;28.127,7 €;;;;;;;;;;;;;;;
Crecimiento/decrecimiento Renta Bruta Per Cápita 2016(a)-2008;3,1%;658;-0,4%;-123,3 €;;;;;;;;;;;;;;;
Pensión media mensual del Distrito HOMBRES (2018);; 1.456,2 € ;;1.722,8 €;;;;;;;;;;;;;;;
Pensión media mensual del Distrito MUJERES (2018);; 954,0 € ;;1.152,9 €;;;;;;;;;;;;;;;
1.4. INDICADORES DE DESEMPLEO;;;;;;;;;;;;;;;;;;;
Tasa de actividad global ciudad de Madrid (EPA. 1º trimestre 2020);61,2%;;;;;;;;;;;;;;;;;;
Hombres ;66,4%;;;;;;;;;;;;;;;;;;
Mujeres;57,0%;;;;;;;;;;;;;;;;;;
Número de parados ciudad de Madrid (EPA. 1º trimestre 2020) (miles);;176,6;;;;;;;;;;;;;;;;;
Hombres (miles);;83,9;;;;;;;;;;;;;;;;;
Mujeres (miles);;92,7;;;;;;;;;;;;;;;;;
Paro registrado (nº de personas registradas en SEPE en febrero 2020);;167.188;2,8%;4.717;6,8%;323;18,8%;886;16,7%;787;30,6%;1.443;13,5%;635;8,1%;384;;;
Tasa absoluta de paro registrado (febrero 2020);7,6%;;4,9%;;3,3%;;4,8%;;6,0%;;5,6%;;4,8%;;3,6%;;;;
Tasa absoluta de paro registrado MUJERES;8,1%;;5,3%;;3,8%;;5,3%;;6,4%;;5,9%;;5,2%;;3,8%;;;;
De 16 a 24 años;4,2%;;1,6%;;1,2%;;1,9%;;2,3%;;2,0%;;1,3%;;0,9%;;;;
De 25 a 44 años;7,5%;;4,4%;;2,9%;;4,3%;;5,4%;;5,0%;;4,3%;;3,2%;;;;
De 45 a 64 años;9,8%;;7,3%;;5,5%;;7,3%;;8,6%;;7,9%;;7,5%;;5,5%;;;;
