14. MORATALAZ. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;MORATALAZ;;Pavones;;Horcajo;;Marroquina;;Media Legua;;Fontarrón;;Vinateros;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 30 a 44;21,7%;713.650;17,2%;15.930;17,2%;1.496;12,6%;799;15,1%;3.959;17,7%;3.072;20,2%;3.441;19,1%;3.163;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 45 a 64;29,1%;956.577;30,3%;28.021;29,9%;2.606;39,9%;2.533;31,4%;8.255;28,0%;4.874;28,9%;4.929;29,1%;4.824;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 65 a 79;13,2%;433.244;15,7%;14.477;17,0%;1.481;8,0%;507;17,6%;4.637;18,5%;3.207;12,8%;2.182;14,8%;2.463;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 80 y + ;7,1%;233.355;10,7%;9.893;9,9%;861;2,7%;169;10,9%;2.865;10,2%;1.766;11,4%;1.941;13,8%;2.291;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 65 y +;20,3%;666.599;26,4%;24.370;26,9%;2.342;10,6%;676;28,5%;7.502;28,6%;4.973;24,2%;4.123;28,6%;4.754;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Población en etapa educativa (De 3 a 16 años, 16 no incluidos; 2021)";13,9%;455.915;11,6%;10.702;12,1%;1.057;15,4%;981;9,8%;2.575;11,6%;2.013;12,7%;2.161;11,5%;1.915;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Proporción de juventud (Población de 0-15 años/Población total; 2021) ";13,8%;;11,41%;;11,78%;;15,40%;;9,66%;;11,40%;;12,50%;;11,36%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Proporción de envejecimiento (Población > 65 años/Población total; 2021)";20,0%;;26,05%;;25,64%;;9,84%;;28,09%;;28,02%;;24,51%;;28,71%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Proporción de sobreenvejecimiento (Población>80 años/Población>65 años; 2021)";35,4%;;40,31%;;36,13%;;25,68%;;37,92%;;34,98%;;47,24%;;47,26%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice de envejecimiento activo (2018);;37,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;;38,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres;;35,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Proporción de dependencia (Población de 0-15 + población 65 y + / Pob. 16-64) (01/01/2021);51,0%;;59,9%;;59,8%;;33,8%;;60,6%;;65,1%;;58,8%;;66,9%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con nacionalidad española (01/01/2021);83,3%;2.788.297;87,5%;83.780;87,0%;7.998;93,2%;6.015;90,8%;24.783;87,9%;15.801;82,3%;14.488;85,4%;14.695;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
