09. MONCLOA-ARAVACA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;MONCLOA-ARAVACA;;Casa de Campo;;Argüelles;;Ciudad Universitaria;;Valdezarza;;Valdemarín;;El Plantío;;Aravaca;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;4.653,11;;1.746,06;;75,75;;1.425,09;;139,75;;330,25;;352,82;;583,4;
Hogares monoparentales: un hombre adulto con uno o más menores;0,4%;5.488;0,6%;252;0,2%;12;0,3%;35;0,5%;31;0,5%;60;1,6%;30;1,2%;10;0,9%;74
1.2.3. Dinámica demográfica;;;;;;;;;;;;;;;;;;
Tasa bruta de natalidad 2017 (‰);;9,00;;8,02;;7,15;;7,64;;6,35;;7,98;;11,25;;8,82;;8,99
Tasa de crecimiento demográfico 2017 (‰);;1,24;;0,79;;0,46;;0,25;;0,27;;0,59;;2,27;;0,00;;1,73
Esperanza de vida al nacer MUJERES (mortalidad del periodo 2009-2012);;85,9;;85,7;;86,3;;85,7;;84,8;;87,4;;82,5;;77,8;;83,4
Esperanza de vida al nacer HOMBRES (mortalidad del periodo 2009-2012);;79,9;;80,2;;78,4;;79,2;;81,0;;79,6;;80,5;;80,9;;80,4
Esperanza de vida al nacer MUJERES (2017);;87,1;;86,3;;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (2017);;82,0;;82,6;;;;;;;;;;;;;;
Esperanza de vida > 65 años MUJERES (2017);;24,3;;24,2;;;;;;;;;;;;;;
Esperanza de vida > 65 años HOMBRES (2017);;20,3;;20,7;;;;;;;;;;;;;;
1.2.4. Mujeres y hombres;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2017);;0,816;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2007);;0,738;;;;;;;;;;;;;;;;
1.3. INDICADORES ECONÓMICOS ;;;;;;;;;;;;;;;;;;
Renta neta media anual de los hogares (Urban Audit). 2015;;38.534,6 €;146%;56.443,8 €;73%;41.436,1 €;95%;53.460,6 €;119%;67.390,5 €;62%;34.996,9 €;199%;112.320,7 €;180%;101.419,2 €;137%;77.060,8 €
Renta disponible Bruta Per Cápita 2014(a);;21.145,9 €;;25.917,6 €;;;;;;;;;;;;;;
Crecimiento/decrecimiento Renta Bruta Per Cápita 2014(a)-2008;-0,2%;-40,4 €;1,7%;442,5 €;;;;;;;;;;;;;;
Pensión media mensual del Distrito HOMBRES (2015);;1.376,2 €;;1.534,1 €;;;;;;;;;;;;;;
Pensión media mensual del Distrito MUJERES (2015);;858,8 €;;995,0 €;;;;;;;;;;;;;;
1.4. INDICADORES DE DESEMPLEO;;;;;;;;;;;;;;;;;;
Tasa de actividad global ciudad de Madrid (EPA. 3º trimestre 2018);61,2%;;;;;;;;;;;;;;;;;
Hombres ;66,4%;;;;;;;;;;;;;;;;;
Mujeres;56,8%;;;;;;;;;;;;;;;;;
Número de parados ciudad de Madrid (EPA. 3º trimestre 2018) (miles);;200,1;;;;;;;;;;;;;;;;
Hombres (miles);;97,3;;;;;;;;;;;;;;;;
Mujeres (miles);;102,8;;;;;;;;;;;;;;;;
Paro registrado (nº de personas registradas en SEPE en agosto 2018);;167.871;2,5%;4.246;14,1%;599;20,1%;853;10,8%;457;30,5%;1.294;3,1%;131;1,1%;47;15,2%;645
Tasa absoluta de paro registrado (agosto 2018);7,9%;;5,6%;;7,6%;;5,8%;;4,9%;;7,4%;;3,4%;;2,9%;;3,9%;
Tasa absoluta de paro registrado MUJERES;8,6%;;6,0%;;7,4%;;6,3%;;5,0%;;8,5%;;3,6%;;3,6%;;3,9%;
De 16 a 24 años;4,6%;;2,1%;;2,5%;;2,5%;;1,5%;;3,5%;;1,0%;;0,8%;;1,2%;
De 25 a 44 años;8,3%;;6,1%;;7,6%;;6,2%;;4,6%;;8,3%;;3,6%;;3,2%;;4,2%;
De 45 a 64 años;10,1%;;7,2%;;8,6%;;7,4%;;6,6%;;10,1%;;4,4%;;4,7%;;4,8%;
Tasa absoluta de paro registrado HOMBRES ;7,1%;;5,2%;;7,7%;;5,3%;;4,7%;;6,2%;;3,2%;;2,2%;;4,0%;
De 16 a 24 años;4,5%;;2,0%;;3,9%;;2,1%;;1,1%;;3,8%;;0,4%;;0,0%;;0,8%;
De 25 a 44 años;6,1%;;4,5%;;5,5%;;4,2%;;4,0%;;5,8%;;2,9%;;2,7%;;3,5%;
De 45 a 64 años;9,1%;;7,1%;;10,6%;;7,6%;;6,7%;;7,4%;;4,4%;;2,5%;;5,7%;
Parados de larga duración (agosto 2018);41,0%;68.898;40,7%;1.729;;;;;;;;;;;;;;
Hombres;40,4%;27.816;42,8%;740;;;;;;;;;;;;;;
Mujeres ;59,6%;41.082;57,2%;989;;;;;;;;;;;;;;
Parados que SÍ perciben prestaciones (agosto 2018);37,3%;62.541;42,8%;1.819;;;;;;;;;;;;;;
Hombres;47,0%;29.412;47,2%;858;;;;;;;;;;;;;;
Mujeres ;53,0%;33.129;52,8%;961;;;;;;;;;;;;;;
Parados que NO perciben prestaciones (agosto 2018);62,7%;105.330;57,2%;2.427;;;;;;;;;;;;;;
Hombres;40,7%;42.906;41,3%;1.002;;;;;;;;;;;;;;
Mujeres ;59,3%;62.424;58,7%;1.425;;;;;;;;;;;;;;
1.5. EDUCACIÓN;;;;;;;;;;;;;;;;;;
1.5.1. Población en etapas educativas (01/01/2018);100,0%;463.011;100,0%;17.353;100,0%;1.327;100,0%;2.412;100,0%;2.053;100,0%;3.711;100,0%;1.867;100,0%;542;100,0%;5.441
0 a 2 años;18,8%;87.088;17,5%;3.029;21,5%;285;22,1%;534;17,0%;350;19,6%;728;12,6%;235;15,5%;84;14,9%;813
Infantil (3 a 5 años);18,7%;86.699;17,8%;3.094;16,8%;223;20,1%;484;16,9%;346;18,8%;698;18,1%;337;16,1%;87;16,9%;919
Primaria (6 a 11 años);38,2%;176.730;37,7%;6.546;33,8%;448;35,1%;846;38,6%;793;36,9%;1.370;41,9%;783;40,8%;221;38,3%;2.085
Secundaria (12 a 15 años);24,3%;112.494;27,0%;4.684;28,0%;371;22,7%;548;27,5%;564;24,7%;915;27,4%;512;27,7%;150;29,8%;1.624
Etapas educativas. Total niños;51,2%;237.098;51,5%;8.945;50,6%;671;51,4%;1.240;50,2%;1.030;52,0%;1.930;51,4%;960;52,4%;284;52,0%;2.830
0 a 2 años;18,8%;44.551;17,0%;1.522;20,1%;135;22,5%;279;15,0%;155;20,4%;393;11,6%;111;14,4%;41;14,4%;408
Infantil (3 a 5 años);18,8%;44.489;18,1%;1.618;16,5%;111;21,2%;263;16,5%;170;18,2%;352;20,1%;193;16,2%;46;17,1%;483
Primaria (6 a 11 años);38,2%;90.647;37,7%;3.371;33,8%;227;35,2%;437;38,1%;392;37,2%;717;42,3%;406;41,5%;118;38,0%;1.074
Secundaria (12 a 15 años);24,2%;57.411;27,2%;2.434;29,5%;198;21,0%;261;30,4%;313;24,2%;468;26,0%;250;27,8%;79;30,6%;865
Etapas educativas. Total niñas;48,8%;225.913;48,5%;8.408;49,4%;656;48,6%;1.172;49,8%;1.023;48,0%;1.781;48,6%;907;47,6%;258;48,0%;2.611
0 a 2 años;18,8%;42.537;17,9%;1.507;22,9%;150;21,8%;255;19,1%;195;18,8%;335;13,7%;124;16,7%;43;15,5%;405
Infantil (3 a 5 años);18,7%;42.210;17,6%;1.476;17,1%;112;18,9%;221;17,2%;176;19,4%;346;15,9%;144;15,9%;41;16,7%;436
Primaria (6 a 11 años);38,1%;86.083;37,8%;3.175;33,7%;221;34,9%;409;39,2%;401;36,7%;653;41,6%;377;39,9%;103;38,7%;1.011
Secundaria (12 a 15 años);24,4%;55.083;26,8%;2.250;26,4%;173;24,5%;287;24,5%;251;25,1%;447;28,9%;262;27,5%;71;29,1%;759
1.5.2. Escolarización de alumnos por tipo de centro (año escolar 2016/17);100%;510.340;100%;28.313;;;;;;;;;;;;;;
