20. SAN BLAS-CANILLEJAS. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;SAN BLAS-CANILLEJAS;;Simancas;;Hellín;;Amposta;;Arcos;;Rosas;;Rejas;;Canillejas;;El Salvador;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres;;35,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Proporción de dependencia (Población de 0-15 + población 65 y + / Pob. 16-64) (01/01/2021);51,0%;;46,7%;;43,1%;;50,8%;;48,6%;;46,2%;;41,9%;;44,4%;;55,4%;;48,2%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con nacionalidad española (01/01/2021);83,3%;2.788.297;84,8%;137.348;79,7%;22.946;83,6%;7.836;79,7%;7.121;87,4%;21.721;92,7%;29.566;80,2%;13.896;82,0%;23.915;89,8%;10.347;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con nacionalidad española HOMBRES;46,7%;1.301.434;47,4%;65.047;46,8%;10.748;46,1%;3.610;46,1%;3.280;47,2%;10.243;48,2%;14.258;48,7%;6.770;47,0%;11.232;47,4%;4.906;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con nacionalidad española MUJERES;53,3%;1.486.863;52,6%;72.301;53,2%;12.198;53,9%;4.226;53,9%;3.841;52,8%;11.478;51,8%;15.308;51,3%;7.126;53,0%;12.683;52,6%;5.441;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con nacionalidad extranjera (01/01/2021);14,1%;523.994;14,1%;22.907;19,1%;5.504;16,2%;1.523;19,7%;1.764;11,8%;2.921;6,2%;1.967;18,5%;3.202;17,2%;5.010;8,8%;1.016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con nacionalidad extranjera HOMBRES;46,5%;243.712;46,9%;10.739;49,3%;2.711;45,3%;690;46,0%;811;46,8%;1.367;43,8%;862;47,3%;1.514;46,4%;2.324;45,3%;460;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con nacionalidad extranjera MUJERES;53,5%;280.282;53,1%;12.168;50,7%;2.793;54,7%;833;54,0%;953;53,2%;1.554;56,2%;1105;52,7%;1.688;53,6%;2.686;54,7%;556;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Proporción de personas migrantes (Personas extranjeras menos UE y resto países de OCDE / Población total) (01/01/2021);11,2%;;9,9%;;14,0%;;12,9%;;16,4%;;8,9%;;3,6%;;11,6%;;11,8%;;4,8%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1ª nacionalidad extranjera en el Distrito: RUMANÍA (% respecto total de población extranjera del distrito);8,2%;42.708;12,2%;2798;9,7%;535;9,8%;149;9,3%;164;12,8%;373;17,5%;344;9,0%;288;17,4%;874;7,0%;71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
