11. CARABANCHEL. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;CARABANCHEL;;Comillas;;Opañel;;San Isidro;;Vista Alegre;;Puerta Bonita;;Buenavista;;Abrantes;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;
Tamaño medio del hogar;;2,53  ;;2,64;;2,35;;2,52;;2,58;;2,66;;2,79;;2,74;;2,79;;;;
Hogares con una mujer sola >65 años;9,8%;126.044;10,3%;9.834;13,1%;1.246;12,1%;1.584;10,5%;1.586;12,0%;2.067;9,8%;1.230;5,7%;984;10,3%;1.137;;;;
Hogares con un hombre solo >65 años;2,8%;36.720;2,8%;2.690;3,6%;343;3,3%;437;3,0%;447;2,9%;503;3,0%;371;1,9%;325;2,4%;264;;;;
Hogares monoparentales: una mujer adulta con uno o más menores;21,1%;27.460;2,3%;2.195;2,0%;187;1,6%;212;2,1%;321;2,0%;337;2,4%;300;3,4%;576;2,4%;262;;;;
Hogares monoparentales: un hombre adulto con uno o más menores;0,4%;5.491;0,4%;347;0,3%;30;0,3%;36;0,2%;34;0,3%;52;0,2%;31;0,7%;115;0,4%;49;;;;
1.2.3. Dinámica demográfica;;;;;;;;;;;;;;;;;;;;;;
Tasa bruta de natalidad 2018 (‰);;8,57;;8,2;;8,2;;7,8;;8,2;;7,5;;8,5;;8,9;;8,4;;;;
Tasa de crecimiento demográfico 2018 (%);;1,37;;1,9;;0,7;;1,7;;1,0;;2,1;;2,7;;1,8;;3,2;;;;
Esperanza de vida al nacer MUJERES *(mortalidad del periodo 2013-2016);;87,5;;87,5;;88,1;;87,5;;87,4;;87,4;;86,9;;87,4;;87,8;;;;
Esperanza de vida al nacer HOMBRES *(mortalidad del periodo 2013-2016);;81,9;;81,3;;82,1;;80,7;;80,7;;81,1;;80,7;;82,8;;80,9;;;;
Esperanza de vida al nacer MUJERES (2018);;87,6;;87,9;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (2018);;82,2;;81,2;;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años MUJERES (2018);;24,6;;24,6;;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años HOMBRES (2018);;20,6;;19,7;;;;;;;;;;;;;;;;;;
1.2.4. Mujeres y hombres;;;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género IDG (2018);;0,8308;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género IDG (2008);;0,7462;;;;;;;;;;;;;;;;;;;;
1.3. INDICADORES ECONÓMICOS ;;;;;;;;;;;;;;;;;;;;;;
Renta neta media anual de los hogares (Urban Audit). 2016;;39.613,0 €;71%;28.301;114%;32.241;100%;28.305;94%;26.487;99%;28.128;92%;26.012;112%;31.741;101%;28.513;;;;
Renta disponible Bruta Per Cápita 2016(a);;21.755;;17.904,2 €;;;;;;;;;;;;;;;;;;
Crecimiento/decrecimiento Renta Bruta Per Cápita 2016(a)-2008;3,1%;658;1,7%;296,9 €;;;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito HOMBRES (2018);; 1.456,2 € ;;1312,81;;;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito MUJERES (2018);; 954,0 € ;;829,59;;;;;;;;;;;;;;;;;;
1.4. INDICADORES DE DESEMPLEO;;;;;;;;;;;;;;;;;;;;;;
Tasa de actividad global ciudad de Madrid (EPA. 1º trimestre 2020);61,2%;;;;;;;;;;;;;;;;;;;;;
Hombres ;66,4%;;;;;;;;;;;;;;;;;;;;;
Mujeres;57,0%;;;;;;;;;;;;;;;;;;;;;
Número de parados ciudad de Madrid (EPA. 1º trimestre 2020) (miles);;176,6;;;;;;;;;;;;;;;;;;;;
Hombres (miles);;83,9;;;;;;;;;;;;;;;;;;;;
Mujeres (miles);;92,7;;;;;;;;;;;;;;;;;;;;
Paro registrado (nº de personas registradas en SEPE en febrero 2020);;167.188;9,6%;16.114;8,3%;1.338;11,5%;1.854;18,6%;2.990;16,7%;2.691;14,6%;2.359;14,9%;2.408;12,3%;1.985;;;;
Tasa absoluta de paro registrado (febrero 2020);7,6%;;9,2%;;9,1%;;8,4%;;11,3%;;8,9%;;10,0%;;7,7%;;9,6%;;;;;
Tasa absoluta de paro registrado MUJERES;8,1%;;9,9%;;9,7%;;8,9%;;11,7%;;9,2%;;10,7%;;8,8%;;10,2%;;;;;
De 16 a 24 años;4,2%;;5,8%;;5,1%;;4,3%;;8,0%;;5,2%;;7,1%;;5,5%;;5,3%;;;;;
De 25 a 44 años;7,5%;;9,5%;;9,0%;;8,7%;;10,7%;;8,8%;;10,3%;;8,8%;;10,1%;;;;;
De 45 a 64 años;9,8%;;11,5%;;11,6%;;10,6%;;13,8%;;11,0%;;12,3%;;9,8%;;11,9%;;;;;
Tasa absoluta de paro registrado HOMBRES ;7,0%;;8,6%;;8,5%;;7,7%;;10,9%;;8,5%;;9,2%;;6,6%;;8,8%;;;;;
De 16 a 24 años;4,4%;;5,9%;;6,7%;;4,7%;;7,5%;;5,5%;;6,4%;;5,1%;;6,0%;;;;;
De 25 a 44 años;6,0%;;7,7%;;6,8%;;6,4%;;9,8%;;7,6%;;8,3%;;6,3%;;8,3%;;;;;
De 45 a 64 años;8,9%;;10,4%;;11,1%;;10,2%;;13,2%;;10,7%;;11,3%;;7,4%;;10,3%;;;;;
Parados de larga duración (febrero 2020);38,2%;63.943;37,1%;5.985;;;;;;;;;;;;;;;;;;
Hombres;39,7%;25.381;39,2%;2.348;;;;;;;;;;;;;;;;;;
Mujeres ;60,3%;38.562;60,8%;3.637;;;;;;;;;;;;;;;;;;
Parados que SÍ perciben prestaciones (febrero 2020);43,4%;72.603;41,5%;6.687;;;;;;;;;;;;;;;;;;
Hombres;48,2%;34.979;48,8%;3266;;;;;;;;;;;;;;;;;;
Mujeres ;51,8%;37.624;51,2%;3.421;;;;;;;;;;;;;;;;;;
Parados que NO perciben prestaciones (febrero 2020);56,6%;94.585;58,5%;9.427;;;;;;;;;;;;;;;;;;
Hombres;41,3%;39.063;41,4%;3.900;;;;;;;;;;;;;;;;;;
Mujeres ;58,7%;55.522;58,6%;5.527;;;;;;;;;;;;;;;;;;
1.5. EDUCACIÓN;;;;;;;;;;;;;;;;;;;;;;
1.5.1. Población en etapas educativas (01/01/2018);100,0%;464338;100%;37.359;100%;2.492;100%;4.030;100%;5.183;100%;5.803;100%;5.185;100%;9.637;100%;5.029;;;;
0 a 2 años;18,2%;84.692;16,9%;6.309;20,3%;507;19,3%;778;18,0%;933;17,9%;1.037;16,7%;865;14,5%;1.402;15,6%;787;;;;
Infantil (3 a 5 años);18,7%;86.684;18,1%;6.746;18,2%;454;19,0%;766;19,1%;991;18,4%;1.070;17,4%;900;17,7%;1.703;17,1%;862;;;;
Primaria (6 a 11 años);38,4%;178.445;39,8%;14.885;38,3%;954;36,8%;1.483;37,6%;1.950;37,8%;2.193;39,4%;2.043;43,7%;4.209;40,8%;2.053;;;;
Secundaria (12 a 15 años);24,7%;114.517;25,2%;9.419;23,2%;577;24,9%;1.003;25,3%;1.309;25,9%;1.503;26,6%;1.377;24,1%;2.323;26,4%;1.327;;;;
Etapas educativas. Total niños;51,2%;237557;51,2%;19.114;52,0%;1.297;51,0%;2.055;51,5%;2.670;52,1%;3.024;50,4%;2.614;51,2%;4.931;50,2%;2.523;;;;
0 a 2 años;18,2%;43.261;16,6%;3.180;20,0%;260;19,3%;396;17,6%;469;17,7%;535;15,9%;415;14,5%;714;7,8%;391;;;;
Infantil (3 a 5 años);18,7%;44.354;18,4%;3.515;17,7%;230;20,3%;417;20,0%;535;18,5%;560;17,4%;456;17,9%;884;8,6%;433;;;;
Primaria (6 a 11 años);38,5%;91.575;40,0%;7.649;38,6%;500;36,4%;748;37,3%;997;39,0%;1179;40,0%;1045;43,4%;2.142;20,6%;1038;;;;
Secundaria (12 a 15 años);24,6%;58.367;25,0%;4.770;23,7%;307;24,0%;494;25,1%;669;24,8%;750;26,7%;698;24,2%;1.191;13,1%;661;;;;
Etapas educativas. Total niñas;48,8%;226.781;48,8%;18.245;48,0%;1.195;49,0%;1.975;48,5%;2.513;47,9%;2.779;49,6%;2.571;48,8%;4.706;49,8%;2.506;;;;
0 a 2 años;18,3%;41.431;17,1%;3.129;20,7%;247;19,3%;382;18,5%;464;18,1%;502;17,5%;450;14,6%;688;15,8%;396;;;;
Infantil (3 a 5 años);18,7%;42.330;17,7%;3.231;18,7%;224;17,7%;349;18,1%;456;18,4%;510;17,3%;444;17,4%;819;17,1%;429;;;;
Primaria (6 a 11 años);38,3%;86.870;39,7%;7.236;38,0%;454;37,2%;735;37,9%;953;36,5%;1014;38,8%;998;43,9%;2.067;40,5%;1015;;;;
Secundaria (12 a 15 años);24,8%;56.150;25,5%;4.649;22,6%;270;25,8%;509;25,5%;640;27,1%;753;26,4%;679;24,1%;1.132;26,6%;666;;;;
1.5.2. Escolarización de alumnos por tipo de centro (año escolar 2017/18);100,0%;519.294;100%;35.260;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;43,1%;223.703;51,0%;17.998;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;17,9%;92.853;5,5%;1.932;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;39,0%;202.738;43,5%;15.330;;;;;;;;;;;;;;;;;;
Total alumnos extranjeros;10,6%;54.812;15,6%;5.507;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;34,9%;19.103;35,7%;1.967;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;9,1%;4.965;1,9%;106;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;56,1%;30.744;62,4%;3.434;;;;;;;;;;;;;;;;;;
