05. CHAMARTÍN. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;CHAMARTÍN;;El Viso;;Prosperidad;;Ciudad Jardín;;Hispanoamérica;;Nueva España;;Castilla;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;
Tasa bruta de natalidad 2018 (‰);;8,57;;9,7;;9,8;;8,6;;10,6;;10,3;;10,7;;7,9;;;
Tasa de crecimiento demográfico 2018 (%);;1,37;;0,7;;0,9;;0,4;;0,8;;1,1;;0,7;;0,1;;;
Esperanza de vida al nacer MUJERES *(mortalidad del periodo 2013-2016);;87,5;;88,1;;87,9;;87,4;;88,2;;88,6;;88,5;;88,4;;;
Esperanza de vida al nacer HOMBRES *(mortalidad del periodo 2013-2016);;81,9;;82,8;;84,4;;81,8;;81,9;;83,0;;82,8;;84,0;;;
Esperanza de vida al nacer MUJERES (2018);;87,6;;88,1;;;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (2018);;82,2;;83,5;;;;;;;;;;;;;;;
Esperanza de vida > 65 años MUJERES (2018);;24,6;;24,9;;;;;;;;;;;;;;;
Esperanza de vida > 65 años HOMBRES (2018);;20,6;;20,8;;;;;;;;;;;;;;;
1.2.4. Mujeres y hombres;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género IDG (2018);;0,8308;;;;;;;;;;;;;;;;;
Índice de desigualdad de género IDG (2008);;0,7462;;;;;;;;;;;;;;;;;
1.3. INDICADORES ECONÓMICOS ;;;;;;;;;;;;;;;;;;;
Renta neta media anual de los hogares (Urban Audit). 2016;;39.613,0 €;165%;65.260 €;135%;88.194 €;68%;44.699 €;68%;44.437 €;97%;63.487 €;113%;73.423 €;87%;56.554 €;;;
Renta disponible Bruta Per Cápita 2016(a);;21.755;;28.044,2 €;;;;;;;;;;;;;;;
Crecimiento/decrecimiento Renta Bruta Per Cápita 2016(a)-2008;3,1%;658;1,5%;426,4 €;;;;;;;;;;;;;;;
Pensión media mensual del Distrito HOMBRES (2018);; 1.456,2 € ;; 1.715,7 € ;;;;;;;;;;;;;;;
Pensión media mensual del Distrito MUJERES (2018);; 954,0 € ;; 1.127,1 € ;;;;;;;;;;;;;;;
1.4. INDICADORES DE DESEMPLEO;;;;;;;;;;;;;;;;;;;
Tasa de actividad global ciudad de Madrid (EPA. 1º trimestre 2020);61,2%;;;;;;;;;;;;;;;;;;
Hombres ;66,4%;;;;;;;;;;;;;;;;;;
Mujeres;57,0%;;;;;;;;;;;;;;;;;;
Número de parados ciudad de Madrid (EPA. 1º trimestre 2020) (miles);;176,6;;;;;;;;;;;;;;;;;
Hombres (miles);;83,9;;;;;;;;;;;;;;;;;
Mujeres (miles);;92,7;;;;;;;;;;;;;;;;;
Paro registrado (nº de personas registradas en SEPE en febrero 2020);;167.188;2,7%;4.577;7,3%;332;30,4%;1.391;15,4%;706;18,5%;848;12,4%;569;12,4%;567;;;
Tasa absoluta de paro registrado (febrero 2020);7,6%;;4,9%;;3,1%;;6,1%;;6,0%;;4,5%;;3,8%;;5,3%;;;;
Tasa absoluta de paro registrado MUJERES;8,1%;;5,3%;;3,1%;;6,7%;;6,1%;;4,9%;;4,2%;;5,9%;;;;
De 16 a 24 años;4,2%;;1,5%;;1,0%;;2,1%;;2,6%;;1,4%;;0,7%;;1,2%;;;;
De 25 a 44 años;7,5%;;4,3%;;2,7%;;5,0%;;5,2%;;4,0%;;3,6%;;4,8%;;;;
De 45 a 64 años;9,8%;;7,3%;;4,3%;;9,5%;;7,9%;;6,5%;;5,8%;;8,3%;;;;
Tasa absoluta de paro registrado HOMBRES ;7,0%;;4,5%;;3,0%;;5,5%;;5,9%;;4,1%;;3,3%;;4,8%;;;;
De 16 a 24 años;4,4%;;1,3%;;0,7%;;1,9%;;2,7%;;0,7%;;0,9%;;1,4%;;;;
De 25 a 44 años;6,0%;;3,4%;;2,5%;;4,1%;;4,0%;;3,3%;;2,8%;;3,1%;;;;
De 45 a 64 años;8,9%;;6,7%;;4,3%;;8,3%;;8,9%;;6,0%;;4,6%;;7,7%;;;;
Parados de larga duración (febrero 2020);38,2%;63.943;37,6%;1.721;;;;;;;;;;;;;;;
Hombres;39,7%;25.381;40,3%;694;;;;;;;;;;;;;;;
Mujeres ;60,3%;38.562;59,7%;1.027;;;;;;;;;;;;;;;
Parados que SÍ perciben prestaciones (febrero 2020);43,4%;72.603;49,1%;2.248;;;;;;;;;;;;;;;
Hombres;48,2%;34.979;44,5%;1001;;;;;;;;;;;;;;;
Mujeres ;51,8%;37.624;55,5%;1.247;;;;;;;;;;;;;;;
Parados que NO perciben prestaciones (febrero 2020);56,6%;94.585;50,9%;2.329;;;;;;;;;;;;;;;
Hombres;41,3%;39.063;40,7%;947;;;;;;;;;;;;;;;
Mujeres ;58,7%;55.522;59,3%;1.382;;;;;;;;;;;;;;;
1.5. EDUCACIÓN;;;;;;;;;;;;;;;;;;;
1.5.1. Población en etapas educativas (01/01/2018);100,0%;464338;100%;20.152;100%;2.455;100%;4.121;100%;2.292;100%;4.755;100%;4.247;100%;2.282;;;
0 a 2 años;18,2%;84.692;20,1%;4.045;20,2%;495;22,0%;905;21,8%;499;19,8%;940;17,9%;762;19,5%;444;;;
Infantil (3 a 5 años);18,7%;86.684;20,0%;4.021;20,9%;513;18,9%;778;20,2%;462;20,4%;970;19,9%;847;19,8%;451;;;
Primaria (6 a 11 años);38,4%;178.445;37,0%;7.454;35,3%;867;37,1%;1.530;35,6%;816;36,5%;1.737;38,6%;1.640;37,9%;864;;;
Secundaria (12 a 15 años);24,7%;114.517;23,0%;4.632;23,6%;580;22,0%;908;22,5%;515;23,3%;1.108;23,5%;998;22,9%;523;;;
Etapas educativas. Total niños;51,2%;237557;50,6%;10.196;50,3%;1234;50,3%;2.074;51,0%;1.169;50,1%;2.383;51,1%;2.169;51,1%;1167;;;
0 a 2 años;18,2%;43.261;20,4%;2.076;20,3%;251;21,5%;446;21,1%;247;21,6%;514;17,6%;382;20,2%;236;;;
Infantil (3 a 5 años);18,7%;44.354;19,9%;2.034;20,4%;252;19,6%;407;19,8%;231;20,1%;479;19,7%;427;20,4%;238;;;
Primaria (6 a 11 años);38,5%;91.575;36,7%;3.737;35,3%;435;37,1%;769;35,4%;414;35,4%;844;38,6%;837;37,5%;438;;;
Secundaria (12 a 15 años);24,6%;58.367;23,0%;2.349;24,0%;296;21,8%;452;23,7%;277;22,9%;546;24,1%;523;21,9%;255;;;
Etapas educativas. Total niñas;48,8%;226.781;49,4%;9.956;49,7%;1221;49,7%;2.047;49,0%;1.123;49,9%;2.372;48,9%;2.078;48,9%;1115;;;
0 a 2 años;18,3%;41.431;19,8%;1.969;20,0%;244;22,4%;459;22,4%;252;18,0%;426;18,3%;380;18,7%;208;;;
Infantil (3 a 5 años);18,7%;42.330;20,0%;1.987;21,4%;261;18,1%;371;20,6%;231;20,7%;491;20,2%;420;19,1%;213;;;
Primaria (6 a 11 años);38,3%;86.870;37,3%;3.717;35,4%;432;37,2%;761;35,8%;402;37,6%;893;38,6%;803;38,2%;426;;;
Secundaria (12 a 15 años);24,8%;56.150;22,9%;2.283;23,3%;284;22,3%;456;21,2%;238;23,7%;562;22,9%;475;24,0%;268;;;
1.5.2. Escolarización de alumnos por tipo de centro (año escolar 2017/18);100,0%;519.294;100%;15.894;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;43,1%;223.703;36,0%;5.717;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;17,9%;92.853;10,7%;1.695;;;;;;;;;;;;;;;
En centros PÚBLICOS;39,0%;202.738;53,4%;8.482;;;;;;;;;;;;;;;
Total alumnos extranjeros;10,6%;54.812;16,1%;2.561;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;34,9%;19.103;52,3%;1340;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;9,1%;4.965;5,8%;148;;;;;;;;;;;;;;;
En centros PÚBLICOS;56,1%;30.744;41,9%;1073;;;;;;;;;;;;;;;
Total alumnos con necesidades de apoyo educativo;4,0%;20.898;4,2%;663;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;49,2%;10.285;63,7%;422;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;4,6%;963;2,1%;14;;;;;;;;;;;;;;;
En centros PÚBLICOS;46,2%;9.650;34,2%;227;;;;;;;;;;;;;;;
1.5.3. Nivel de estudios de la población ≥ 25 años (01/01/2019);;;;;;;;;;;;;;;;;;;
