16. HORTALEZA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;HORTALEZA;;Palomas;;Piovera;;Canillas;;Pinar del Rey;;Apóstol Santiago;;Valdefuentes;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Proporción de personas migrantes (Personas extranjeras menos UE y resto países de OCDE / Población total) (01/01/2021);11,2%;;6,5%;;4,5%;;5,0%;;6,0%;;8,4%;;7,5%;;5,6%;;;;;;;;;;;;;;;;;;;;;;;;;;;
1ª nacionalidad extranjera en el Distrito: VENEZUELA (% respecto total de población extranjera del distrito);8,0%;41.761;10,9%;2.347;3,1%;24;3,3%;76;9,4%;380;11,8%;745;11,0%;180;14,4%;942;;;;;;;;;;;;;;;;;;;;;;;;;;
2ª nacionalidad extranjera en el Distrito: FRANCIA (% respecto total de población extranjera del distrito);2,2%;11.697;9,4%;2.038;26,9%;206;41,3%;956;10,9%;441;1,9%;120;2,4%;39;4,2%;276;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.2. Estructura de los hogares (01-01-2021);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nº total de hogares;100%;1.306.612;5,5%;72.104;3,1%;2.246;6,8%;4.882;22,4%;16.129;29,7%;21.422;8,1%;5.827;30,0%;21.598;;;;;;;;;;;;;;;;;;;;;;;;;;
Tamaño medio del hogar;;2,54  ;;2,68;;3,07;;3,04;;2,50;;2,45;;2,66;;2,93;;;;;;;;;;;;;;;;;;;;;;;;;;
Hogares con una mujer sola >65 años;9,9%;129.292;8,1%;5.856;5,2%;117;4,8%;235;11,0%;1.778;12,0%;2.568;10,7%;623;2,5%;535;;;;;;;;;;;;;;;;;;;;;;;;;;
Hogares con un hombre solo >65 años;2,9%;38.397;2,4%;1.710;2,1%;48;2,0%;97;3,0%;477;3,3%;702;2,8%;164;1,0%;222;;;;;;;;;;;;;;;;;;;;;;;;;;
Hogares monoparentales: una mujer adulta con uno o más menores;2,0%;26.000;2,7%;1.933;2,3%;51;2,5%;123;1,7%;281;2,1%;457;1,6%;93;4,3%;928;;;;;;;;;;;;;;;;;;;;;;;;;;
Hogares monoparentales: un hombre adulto con uno o más menores;0,4%;5.236;0,7%;511;0,9%;21;0,4%;19;0,3%;54;0,3%;67;0,4%;23;1,5%;327;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.3. Dinámica demográfica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa bruta de natalidad 2020 (‰);;7,8;;9,5;;8,5;;7,2;;6,4;;6,4;;7,4;;15,4;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa de crecimiento demográfico 2020 (%);;-0,7;;0,0;;0,8;;-0,7;;-1,4;;-1,3;;-0,5;;2,1;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer MUJERES (mortalidad del periodo 2013-2016);;87,5;;87,6;;85,9;;86,9;;87,8;;87,8;;86,0;;85,8;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (mortalidad del periodo 2013-2016);;81,9;;82,5;;82,3;;85,5;;83,2;;82,4;;80,1;;80,5;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer MUJERES (2020);;85,2;;86,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (2020);;79,3;;80,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años MUJERES (2020);;22,4;;22,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años HOMBRES (2020);;17,7;;18,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.4. Mujeres y hombres;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2019);;0,842;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2009);;0,795;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.3. INDICADORES ECONÓMICOS ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Renta neta media anual de los hogares (Urban Audit). 2018;;42.283,0 €;125%;52.944,0 €;162%;85.614,1 €;162%;85.549,1 €;81%;42.659,2 €;68%;35.784,2 €;73%;38.899,8 €;110%;58.384,0 €;;;;;;;;;;;;;;;;;;;;;;;;;;
Renta disponible Bruta Per Cápita 2019 ;;21.638,0 €;;26.201,0 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito HOMBRES (2020);;1.521,8 €;105%;1.604,2 €;125%;1.999,6 €;118%;1.897,0 €;100%;1.609,4 €;94%;1.515,8 €;97%;1.553,0 €;104%;1.663,5 €;;;;;;;;;;;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito MUJERES (2020);;1.146,5 €;100%;1.150,5 €;123%;1.416,9 €;118%;1.354,6 €;98%;1.127,2 €;94%;1.086,6 €;103%;1.179,6 €;109%;1.256,6 €;;;;;;;;;;;;;;;;;;;;;;;;;;
1.4. INDICADORES DE DESEMPLEO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa de actividad global ciudad de Madrid (EPA. 4º trimestre 2021);62,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres ;67,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres;58,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Número de personas paradas en la ciudad de Madrid (EPA. 4º trimestre 2021) (miles);;175,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres (miles);;79,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres (miles);;95,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paro registrado (nº de personas registradas en SEPE en febrero 2022);;160.316;4,8%;7.710;2,5%;196;4,7%;363;20,8%;1.603;33,5%;2.581;10,7%;824;25,6%;1.970;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa absoluta de paro registrado (febrero 2022);7,33;;6,22;;4,42;;3,69;;6,78;;8,22;;8,20;;4,71;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa absoluta de paro registrado HOMBRES ;6,52;;5,26;;3,51;;3,20;;5,69;;7,32;;7,46;;3,61;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 16 a 24 años;3,33;;2,31;;0,44;;0,78;;1,89;;3,65;;4,36;;1,80;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 25 a 44 años;5,45;;4,33;;3,53;;2,71;;5,14;;5,72;;6,47;;2,76;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 45 a 64 años;8,63;;7,03;;4,82;;4,47;;7,34;;9,91;;9,30;;5,01;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa absoluta de paro registrado MUJERES ;8,08;;7,12;;5,27;;4,13;;7,76;;9,05;;8,95;;5,76;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 16 a 24 años;3,34;;1,98;;0,70;;0,56;;2,70;;2,89;;2,63;;1,36;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 25 a 44 años;7,30;;6,02;;2,77;;3,01;;6,27;;8,44;;8,16;;4,63;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 45 a 64 años;10,17;;9,51;;8,38;;6,03;;10,12;;11,16;;11,55;;8,28;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas paradas de larga duración (febrero 2022);51,9%;83.245;53,4%;4.119;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;38,9%;32.359;36,7%;1.511;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;61,1%;50.886;63,3%;2.608;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas paradas que SI perciben prestaciones (febrero 2022);42,4%;68.028;46,6%;3.596;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;47,3%;32.178;44,1%;1.585;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;52,7%;35.850;55,9%;2.011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas paradas que NO perciben prestaciones (febrero 2022);57,6%;92.288;53,4%;4.114;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;39,5%;36.473;37,8%;1.555;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;60,5%;55.815;62,2%;2.559;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5. EDUCACIÓN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5.1. Población en etapas educativas (01/01/2021);100,0%;455.915;100%;33.962;100%;1.344;100%;2.618;100%;4.789;100%;6.388;100%;1.855;100%;16.968;;;;;;;;;;;;;;;;;;;;;;;;;;
0 a 2 años;17,2%;78.328;16,4%;5.565;11,5%;155;12,4%;324;16,2%;777;15,6%;997;16,2%;300;17,8%;3.012;;;;;;;;;;;;;;;;;;;;;;;;;;
Infantil (3 a 5 años);18,5%;84.424;19,1%;6.483;15,2%;204;16,8%;440;18,6%;891;17,9%;1.142;17,5%;325;20,5%;3.481;;;;;;;;;;;;;;;;;;;;;;;;;;
Primaria (6 a 11 años);38,4%;175.023;39,9%;13.564;41,7%;560;39,6%;1.038;39,3%;1.881;39,3%;2.513;38,0%;704;40,5%;6.868;;;;;;;;;;;;;;;;;;;;;;;;;;
Secundaria (12 a 15 años);25,9%;118.140;24,6%;8.350;31,6%;425;31,2%;816;25,9%;1.240;27,2%;1.736;28,4%;526;21,3%;3.607;;;;;;;;;;;;;;;;;;;;;;;;;;
Etapas educativas. Total niños;51,1%;233.089;51,4%;17.445;53,0%;712;52,1%;1.363;52,6%;2.519;51,5%;3.288;50,5%;936;50,8%;8.627;;;;;;;;;;;;;;;;;;;;;;;;;;
0 a 2 años;17,1%;39.956;16,5%;2.874;11,2%;80;12,0%;164;16,8%;423;15,3%;504;16,7%;156;17,9%;1.547;;;;;;;;;;;;;;;;;;;;;;;;;;
Infantil (3 a 5 años);18,6%;43.338;18,8%;3.274;14,7%;105;17,2%;234;18,2%;458;17,5%;577;19,1%;179;19,9%;1.721;;;;;;;;;;;;;;;;;;;;;;;;;;
Primaria (6 a 11 años);38,4%;89.462;39,9%;6.964;41,9%;298;39,7%;541;38,2%;961;39,4%;1.294;37,6%;352;40,8%;3.518;;;;;;;;;;;;;;;;;;;;;;;;;;
Secundaria (12 a 15 años);25,9%;60.333;24,8%;4.333;32,2%;229;31,1%;424;26,9%;677;27,8%;913;26,6%;249;21,3%;1.841;;;;;;;;;;;;;;;;;;;;;;;;;;
Etapas educativas. Total niñas;48,9%;222.826;48,6%;16.517;47,0%;632;47,9%;1.255;47,4%;2.270;48,5%;3.100;49,5%;919;49,2%;8.341;;;;;;;;;;;;;;;;;;;;;;;;;;
0 a 2 años;17,2%;38.372;16,3%;2.691;11,9%;75;12,7%;160;15,6%;354;15,9%;493;15,7%;144;17,6%;1.465;;;;;;;;;;;;;;;;;;;;;;;;;;
Infantil (3 a 5 años);18,4%;41.086;19,4%;3.209;15,7%;99;16,4%;206;19,1%;433;18,2%;565;15,9%;146;21,1%;1.760;;;;;;;;;;;;;;;;;;;;;;;;;;
Primaria (6 a 11 años);38,4%;85.561;40,0%;6.600;41,5%;262;39,6%;497;40,5%;920;39,3%;1.219;38,3%;352;40,2%;3.350;;;;;;;;;;;;;;;;;;;;;;;;;;
Secundaria (12 a 15 años);25,9%;57.807;24,3%;4.017;31,0%;196;31,2%;392;24,8%;563;26,5%;823;30,1%;277;21,2%;1.766;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5.2. Escolarización del alumnado por tipo de centro (año escolar 2019/20);100,0%;531.839;100%;39.118;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;42,4%;225.516;32,1%;12.547;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;18,4%;97.728;36,9%;14.441;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;39,2%;208.595;31,0%;12.130;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total alumnos extranjeros;11,7%;62.112;10,2%;4.000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
