12. USERA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;USERA;;Orcasitas;;Orcasur;;San Fermín;;Almendrales;;Moscardó;;Zofío;;Pradolongo;;;;;;;;;;;;;
2ª nacionalidad extranjera en el Distrito: BOLIVIA (% respecto total de población extranjera del distrito);2,5%;13.242;7,8%;2.718;5,5%;130;4,0%;102;2,7%;133;9,0%;592;10,3%;811;7,2%;280;9,9%;670;;;;;;;;;;;;
1.2.2. Estructura de los hogares (01-01-2021);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nº total de hogares;100%;1.306.612;3,8%;50.285;16,8%;8.437;9,5%;4.772;16,5%;8.296;15,7%;7.907;19,5%;9.808;10,0%;5.049;18,3%;6.016;;;;;;;;;;;;
Tamaño medio del hogar;;2,54  ;;2,83;;2,74;;2,96;;2,87;;2,85;;2,71;;2,84;;2,98;;;;;;;;;;;;
Hogares con una mujer sola >65 años;9,9%;129.292;9,4%;4.721;10,0%;844;6,6%;317;7,1%;592;9,9%;780;11,4%;1.120;9,8%;495;9,5%;573;;;;;;;;;;;;
Hogares con un hombre solo >65 años;2,9%;38.397;2,7%;1.336;2,7%;232;2,2%;104;2,3%;189;2,7%;212;3,1%;308;2,5%;126;2,7%;165;;;;;;;;;;;;
Hogares monoparentales: una mujer adulta con uno o más menores;2,0%;26.000;2,2%;1.109;2,3%;194;2,2%;103;2,8%;234;2,1%;165;1,8%;180;2,2%;111;2,0%;122;;;;;;;;;;;;
Hogares monoparentales: un hombre adulto con uno o más menores;0,4%;5.236;0,3%;148;0,4%;35;0,4%;19;0,5%;42;0,2%;17;0,2%;15;0,2%;8;0,2%;12;;;;;;;;;;;;
1.2.3. Dinámica demográfica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa bruta de natalidad 2020 (‰);;7,8;;7,9;;6,0;;8,6;;7,2;;9,4;;8,1;;6,7;;9,5;;;;;;;;;;;;
Tasa de crecimiento demográfico 2020 (%);;-0,7;;-0,3;;-0,3;;0,0;;-0,7;;1,5;;-1,9;;-0,5;;0,3;;;;;;;;;;;;
Esperanza de vida al nacer MUJERES (mortalidad del periodo 2013-2016);;87,5;;87,1;;88,8;;85,3;;85,2;;86,9;;87,8;;87,5;;86,6;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (mortalidad del periodo 2013-2016);;81,9;;80,7;;81,1;;78,6;;80,4;;80,0;;81,1;;82,6;;81,1;;;;;;;;;;;;
Esperanza de vida al nacer MUJERES (2020);;85,2;;84,6;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (2020);;79,3;;78,1;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años MUJERES (2020);;22,4;;21,9;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años HOMBRES (2020);;17,7;;16,6;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.4. Mujeres y hombres;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
