02. ARGANZUELA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;ARGANZUELA;;Imperial;;Las Acacias;;La Chopera;;Legazpi;;Las Delicias;;Palos de Moguer;;Atocha;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;646,22;;96,77;;107,34;;56,78;;141,45;;105,47;;64,84;;73,57;;
Hogares monoparentales: una mujer adulta con uno o más menores;2,1%;27.460;1,7%;1.112;1,6%;155;1,5%;236;1,4%;123;2,7%;201;1,9%;223;1,4%;161;3,1%;13;
Hogares monoparentales: un hombre adulto con uno o más menores;0,4%;5.488;0,4%;237;0,3%;30;0,2%;37;0,3%;26;0,7%;51;0,5%;63;0,2%;25;1,2%;5;
1.2.3. Dinámica demográfica;;;;;;;;;;;;;;;;;;;
Tasa bruta de natalidad 2017 (‰);;9,00;;9,11;;7,67;;7,63;;9,55;;13,41;;10,01;;7,60;;17,59;
Tasa de crecimiento demográfico 2017 (‰);;1,24;;0,62;;0,32;;0,23;;0,18;;1,64;;0,77;;0,65;;4,93;
Esperanza de vida al nacer MUJERES (mortalidad del periodo 2009-2012);;85,9;;86,4;;86,0;;87,1;;85,8;;85,5;;86,7;;85,9;;80,2;
Esperanza de vida al nacer HOMBRES (mortalidad del periodo 2009-2012);;79,9;;80,4;;80,8;;81,0;;80,0;;80,0;;79,5;;79,8;;76,8;
Esperanza de vida al nacer MUJERES (2017);;87,1;;86,5;;;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (2017);;82,0;;82,4;;;;;;;;;;;;;;;
Esperanza de vida > 65 años MUJERES (2017);;24,3;;23,7;;;;;;;;;;;;;;;
Esperanza de vida > 65 años HOMBRES (2017);;20,3;;20,5;;;;;;;;;;;;;;;
1.2.4. Mujeres y hombres;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2017);;0,816;;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2007);;0,738;;;;;;;;;;;;;;;;;
1.3. INDICADORES ECONÓMICOS ;;;;;;;;;;;;;;;;;;;
Renta neta media anual de los hogares (Urban Audit). 2015;;38.534,6 €;104%;40.200,7 €;104%;41.950,8 €;111%;44.669,2 €;79%;31.933,9 €;122%;48.935,0 €;99%;39.647,7 €;84%;33.938,4 €;94%;37.939,3 €;
Renta disponible Bruta Per Cápita 2014(a);;21.145,9 €;;22.878,0 €;;;;;;;;;;;;;;;
Crecimiento/decrecimiento Renta Bruta Per Cápita 2014(a)-2008;-0,2%;-40,4 €;3,6%;797,1 €;;;;;;;;;;;;;;;
