06. TETUÁN. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;
 ;CIUDAD;;TETUÁN;;Bellas Vistas;;Cuatro Caminos;;Castillejos;;Almenara;;Valdeacederas;;Berruguete;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;537,47;;71,52;;118,5;;70,47;;99,94;;116,34;;60,71;
Esperanza de vida al nacer MUJERES (mortalidad del periodo 2009-2012);;85,9;;86,1;;85,9;;85,7;;86,0;;85,7;;87,3;;86,0
Esperanza de vida al nacer HOMBRES (mortalidad del periodo 2009-2012);;79,9;;79,7;;79,4;;80,5;;82,3;;78,9;;78,4;;78,7
Esperanza de vida al nacer MUJERES (2017);;87,1;;86,5;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (2017);;82,0;;81,2;;;;;;;;;;;;
Esperanza de vida > 65 años MUJERES (2017);;24,3;;23,9;;;;;;;;;;;;
Esperanza de vida > 65 años HOMBRES (2017);;20,3;;19,6;;;;;;;;;;;;
1.2.4. Mujeres y hombres;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2017);;0,816;;;;;;;;;;;;;;
Índice de desigualdad de género (2007);;0,738;;;;;;;;;;;;;;
1.3. INDICADORES ECONÓMICOS ;;;;;;;;;;;;;;;;
Renta neta media anual de los hogares (Urban Audit). 2015;;38.534,6 €;90%;34.700,4 €;90%;31.125,2 €;125%;43.306,0 €;130%;45.025,3 €;83%;28.746,7 €;81%;28.242,1 €;83%;28.945,5 €
Renta disponible Bruta Per Cápita 2014(a);;21.145,9 €;;20.626,7 €;;;;;;;;;;;;
Crecimiento/decrecimiento Renta Bruta Per Cápita 2014(a)-2008;-0,2%;-40,4 €;-3,3%;-699,0 €;;;;;;;;;;;;
Pensión media mensual del Distrito HOMBRES (2015);;1.376,2 €;;1.292,1 €;;;;;;;;;;;;
Pensión media mensual del Distrito MUJERES (2015);;858,8 €;;889,5 €;;;;;;;;;;;;
1.4. INDICADORES DE DESEMPLEO;;;;;;;;;;;;;;;;
Tasa de actividad global ciudad de Madrid (EPA. 3º trimestre 2018);61,2%;;;;;;;;;;;;;;;
Hombres ;66,4%;;;;;;;;;;;;;;;
Mujeres;56,8%;;;;;;;;;;;;;;;
Número de parados ciudad de Madrid (EPA. 3º trimestre 2018) (miles);;200,1;;;;;;;;;;;;;;
Hombres (miles);;97,3;;;;;;;;;;;;;;
Mujeres (miles);;102,8;;;;;;;;;;;;;;
Paro registrado (nº de personas registradas en SEPE en agosto 2018);;167.871;4,8%;8.067;17,6%;1.420;16,8%;1.359;9,8%;791;19,7%;1.591;17,7%;1.429;15,5%;1.250
Tasa absoluta de paro registrado (agosto 2018);7,9%;;7,5%;;7,3%;;6,1%;;6,0%;;10,7%;;7,9%;;7,4%;
Tasa absoluta de paro registrado MUJERES;8,6%;;7,9%;;7,5%;;6,6%;;6,3%;;11,1%;;8,6%;;7,8%;
De 16 a 24 años;4,6%;;4,4%;;3,5%;;3,3%;;3,5%;;7,9%;;5,1%;;3,5%;
De 25 a 44 años;8,3%;;7,2%;;7,2%;;6,0%;;5,2%;;10,2%;;7,9%;;6,9%;
De 45 a 64 años;10,1%;;9,7%;;9,0%;;8,3%;;8,3%;;13,1%;;10,4%;;9,9%;
Tasa absoluta de paro registrado HOMBRES ;7,1%;;7,0%;;7,0%;;5,6%;;5,7%;;10,2%;;7,2%;;6,9%;
