19. VICÁLVARO. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;VICÁLVARO;;Casco Histórico de Vicálvaro;;Valdebernardo;;Valderrivas;;El Cañaveral;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;
Tasa de crecimiento demográfico 2018 (%);;1,37;;1,6;;1,8;;0,0;;-0,2;;47,3;;;;;;;;
Esperanza de vida al nacer MUJERES *(mortalidad del periodo 2013-2016);;87,5;;87,3;;87,8;;86,8;;87,3;;87,3;;;;;;;;
Esperanza de vida al nacer HOMBRES *(mortalidad del periodo 2013-2016);;81,9;;82,5;;83,5;;80,8;;82,1;;82,1;;;;;;;;
Esperanza de vida al nacer MUJERES (2018);;87,6;;87,2;;;;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (2018);;82,2;;82,4;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años MUJERES (2018);;24,6;;23,5;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años HOMBRES (2018);;20,6;;20,6;;;;;;;;;;;;;;;;
1.2.4. Mujeres y hombres;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género IDG (2018);;0,8308;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género IDG (2008);;0,7462;;;;;;;;;;;;;;;;;;
1.3. INDICADORES ECONÓMICOS ;;;;;;;;;;;;;;;;;;;;
Renta neta media anual de los hogares (Urban Audit). 2016;;39.613,0 €;81%;32.152 €;76%;24.578 €;123%;39.389 €;125%;40.053 €;61%;19.674 €;;;;;;;;
Renta disponible Bruta Per Cápita 2016(a);;21.755;;18.659,7 €;;;;;;;;;;;;;;;;
Crecimiento/decrecimiento Renta Bruta Per Cápita 2016(a)-2008;3,1%;658;-0,5%;-91,1 €;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito HOMBRES (2018);;1.456,2 €;; 1.356,8 € ;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito MUJERES (2018);;954,0 €;; 839,7 € ;;;;;;;;;;;;;;;;
1.4. INDICADORES DE DESEMPLEO;;;;;;;;;;;;;;;;;;;;
Tasa de actividad global ciudad de Madrid (EPA. 1º trimestre 2020);61,2%;;;;;;;;;;;;;;;;;;;
Hombres ;66,4%;;;;;;;;;;;;;;;;;;;
Mujeres;57,0%;;;;;;;;;;;;;;;;;;;
Número de parados ciudad de Madrid (EPA. 1º trimestre 2020) (miles);;176,6;;;;;;;;;;;;;;;;;;
Hombres (miles);;83,9;;;;;;;;;;;;;;;;;;
Mujeres (miles);;92,7;;;;;;;;;;;;;;;;;;
Paro registrado (nº de personas registradas en SEPE en febrero 2020);;167.188;2,7%;4.550;54,0%;2.457;27,4%;1.247;14,7%;667;2,1%;94;;;;;;;;
Tasa absoluta de paro registrado (febrero 2020);7,6%;;9,0%;;10,8%;;9,5%;;5,6%;;5,3%;;0,0651;;0,0655;;0,0884;;0,0623;
Tasa absoluta de paro registrado MUJERES;8,1%;;10,3%;;11,6%;;11,0%;;7,2%;;7,7%;;0,0668;;0,0656;;0,0997;;0,073;
De 16 a 24 años;4,2%;;6,3%;;7,9%;;6,4%;;2,3%;;11,0%;;0,0261;;0,0229;;0,0436;;0,0131;
De 25 a 44 años;7,5%;;10,9%;;12,4%;;12,9%;;7,3%;;5,1%;;0,0555;;0,0543;;0,0944;;0,0817;
De 45 a 64 años;9,8%;;11,0%;;12,0%;;11,8%;;8,1%;;12,5%;;0,0957;;0,0937;;0,1202;;0,0855;
Tasa absoluta de paro registrado HOMBRES ;7,0%;;7,8%;;10,0%;;7,8%;;4,0%;;3,1%;;0,0634;;0,0654;;0,0762;;0,0508;
De 16 a 24 años;4,4%;;6,1%;;7,1%;;5,9%;;4,4%;;4,8%;;0,0293;;0,0129;;0,039;;0,0196;
De 25 a 44 años;6,0%;;7,8%;;8,8%;;10,1%;;4,2%;;3,2%;;0,0479;;0,0523;;0,0606;;0,0439;
De 45 a 64 años;8,9%;;8,3%;;12,3%;;7,4%;;3,9%;;2,8%;;0,0966;;0,0966;;0,1032;;0,0671;
Parados de larga duración (febrero 2020);38,2%;63.943;42,1%;1.917;;;;;;;;;;;;;;;;
Hombres;39,7%;25.381;37,6%;721;;;;;;;;;;;;;;;;
Mujeres ;60,3%;38.562;62,4%;1.196;;;;;;;;;;;;;;;;
