19. VICÁLVARO. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;VICÁLVARO;;Casco Histórico de Vicálvaro;;Valdebernardo;;Valderrivas;;El Cañaveral;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;
Personas con Servicio de Ayuda a Domicilio (modalidad auxiliar de hogar);;80.375 ;2,0%;1.644;;;;;;;;;;;;;;;;
Hombres;;19.939 ;2,3%;456;;;;;;;;;;;;;;;;
Mujeres;;60.436 ;2,0%;1.188;;;;;;;;;;;;;;;;
Personas socias de los Centros Municipales de Mayores;;343.009 ;2,4%;8.149;;;;;;;;;;;;;;;;
Hombres;;128.807 ;2,6%;3.389;;;;;;;;;;;;;;;;
Mujeres ;;214.202 ;2,2%;4.760;;;;;;;;;;;;;;;;
1.9.3. Menores y Familia (2019);;;;;;;;;;;;;;;;;;;;
Familias atendidas por el Equipo de Trabajo con Menores y Familia (ETMF);;6.467;3,5%;226;;;;;;;;;;;;;;;;
Demandas de intervención en los Centros de Atención a la Infancia (CAI);;2.285;2,4%;55;;;;;;;;;;;;;;;;
Menores atendidos por el Servicio de Ayuda a domicilio a Menores y Familias (SAD) ;;1.356;3,8%;51;;;;;;;;;;;;;;;;
1.10. VIVIENDA;;;;;;;;;;;;;;;;;;;;
1.10.1. Estado de las viviendas;;;;;;;;;;;;;;;;;;;;
Nº Total de viviendas (Censo Edificios y Viviendas 2011);100,0%;1.530.955 ;100%;30.305;;;;;;;;;;;;;;;;
Viviendas anteriores a 1980;69,4%;1.061.825;43,0%;13.025;;;;;;;;;;;;;;;;
Estado ruinoso;0,2%;3.445;0,0%;0;;;;;;;;;;;;;;;;
Estado malo;0,8%;12.705;0,2%;75;;;;;;;;;;;;;;;;
Estado deficiente;4,4%;66.775;2,2%;675;;;;;;;;;;;;;;;;
Estado bueno;92,8%;1.420.265;90,9%;27.550;;;;;;;;;;;;;;;;
No consta;1,8%;27.770;6,6%;2.005;;;;;;;;;;;;;;;;
Valor catastral medio de los bienes inmuebles: personas físicas (2019) en miles de €;;90,9 €;67,2%;61,1;88,5%;54,1;101,1%;61,8;126,1%;77,0;151,6%;92,6;;;;;;;;
Valor catastral medio de los bienes inmuebles: personas jurídicas (2019) en miles de €;;368,6 €;54,1%;199,6;193,9%;387,0;96,6%;192,9;65,7%;131,2;204,5%;408,1;;;;;;;;
Superficie media de la vivienda (m2) en transacción (2019);;83,4;108,9%;90,83;71,4%;64,89;94,3%;85,67;105,1%;95,43;113,5%;103,12;;;;;;;;
Duración media del crédito (meses) en transacción de vivienda (2019);;257;103,9%;267;119,5%;319;40,8%;109;110,5%;295;107,9%;288;;;;;;;;
1.10.2. Tipología de las viviendas ;;;;;;;;;;;;;;;;;;;;
Nº Total de viviendas familiares (Censo Edificios y Viviendas 2011);100%;1.378.931;100,0%;23.838;100,0%;15.912;100,0%;7.926;;;;;1;22321;1;5575;1;12090;;
Principal;78,3%;1.080.306;78,4%;18.679;74,4%;11.846;86,2%;6.833;;;;;0,596389051;13312;0,549775785;3065;0,85235732;10305;;
Secundaria;7,7%;106.192;3,1%;737;3,1%;497;3,0%;240;;;;;0,118363873;2642;0,149237668;832;0,026220017;317;;
Desocupada;12,9%;178.377;17,9%;4.260;21,4%;3.412;10,7%;848;;;;;0,259934591;5802;0,269237668;1501;0,11993383;1450;;
Otro tipo;1,0%;13.998;0,5%;127;0,8%;122;0,1%;5;;;;;0,025312486;565;0,031748879;177;0,001488834;18;;
1.10.3. Lanzamientos judiciales (Consejo General del Poder Judicial);;;;;;;;;;;;;;;;;;;;
Lanzamientos judiciales practicados (2013);100%;5.020 ;;;;;;;;;;;;;;;;;;
Como consecuencia de ejecuciones hipotecarias;30%;1.501;;;;;;;;;;;;;;;;;;
Como consecuencia de la Ley de Arrendamientos Urbanos;62%;3.137;;;;;;;;;;;;;;;;;;
Lanzamientos judiciales practicados (2019);100,0%;2.832 ;;;;;;;;;;;;;;;;;;
Como consecuencia de ejecuciones hipotecarias;12,7%;360;;;;;;;;;;;;;;;;;;
Como consecuencia de la Ley de Arrendamientos Urbanos;84,2%;2.384;;;;;;;;;;;;;;;;;;
1.11. MEDIO AMBIENTE Y RESIDUOS;;;;;;;;;;;;;;;;;;;;
1.11.1. Contaminantes del aire (2018);;;;;;;;;;;;;;;;;;;;
Partículas suspensión PM2.5 (µgr/m3) -Valor límite: 25 µgr/m3-;;10,3;;;;;;;;;;;;;;;;;;
Partículas suspensión PM10 (µgr/m3) -Valor límite: 40 µgr/m3-;;18,5;;;;;;;;;;;;;;;;;;
Dióxido de azufre - SO2 (µgr/m3) -Valor límite: 125 µgr/m3-;;6,0;;;;;;;;;;;;;;;;;;
Monóxido de carbono - CO (mg/m3) -Valor límite: 10 µgr/m3-;;0,3;;;;;;;;;;;;;;;;;;
Ozono - O3 (µgr/m3) -Valor límite: 120 µgr/m3-;;51,0;;;;;;;;;;;;;;;;;;
Dióxido de nitrógeno - NO2 (µgr/m3) -Valor límite: 40 µgr/m3-;;37,0;;;;;;;;;;;;;;;;;;
Temperatura media anual (ºC);;15,2;;;;;;;;;;;;;;;;;;
Protocolo de contaminación: nº de episodios (2019);;3;;;;;;;;;;;;;;;;;;
"Protocolo de contaminación: nº de días ""Escenario 1"" (2019)";;12;;;;;;;;;;;;;;;;;;
1.11.2. Recogida domiciliaria de resíduos sólidos: envases y resto (2018);;;;;;;;;;;;;;;;;;;;
kg/habitante/año;;372;;426;;;;;;;;;;;;;;;;
kg/habitante/día;;1,019;;1,167;;;;;;;;;;;;;;;;
1.12. SEGURIDAD;;;;;;;;;;;;;;;;;;;;
Intervenciones de la Policía Municipal en materia de seguridad (2019);;;;;;;;;;;;;;;;;;;;
Relacionadas con las personas;;5.455;1,2%;66;;;;;;;;;;;;;;;;
Relacionadas con la tenencia de armas;;1.362;0,7%;10;;;;;;;;;;;;;;;;
Relacionadas con el patrimonio;;6.984;0,7%;51;;;;;;;;;;;;;;;;
Relacionadas con la tenencia y consumo de drogas;;7.668;0,8%;61;;;;;;;;;;;;;;;;
Expedientes instruidos por Agentes Tutores;;557;4,3%;24;;;;;;;;;;;;;;;;
Atestados/partes de accidentes de tráfico confeccionados;;21.791;1,4%;307;;;;;;;;;;;;;;;;
Detenidos e investigados de la Policía Municipal en materia de seguridad (2019);;;;;;;;;;;;;;;;;;;;
Total detenidos e investigados;100%;9.265;0,8%;78;;;;;;;;;;;;;;;;
Lesiones;4,7%;433;;;;;;;;;;;;;;;;;;
Violencia doméstica y de género;8,3%;773;;;;;;;;;;;;;;;;;;
Malos tratos a menores;1,1%;103;;;;;;;;;;;;;;;;;;
Abusos y agresiones sexuales;0,5%;49;;;;;;;;;;;;;;;;;;
Hurtos;12,9%;1.193;;;;;;;;;;;;;;;;;;
Robo con violencia e intimidación en personas;2,1%;198;;;;;;;;;;;;;;;;;;
Contra la salud pública;3,8%;356;;;;;;;;;;;;;;;;;;
Contra la seguridad vial;35,3%;3.275;;;;;;;;;;;;;;;;;;
1.13. RESULTADOS ELECCIONES LOCALES (2019);;;;;;;;;;;;;;;;;;;;
Censo electoral;100,0%;2.397.881;100%;50.813;100%;23.813;100%;13.799;100,0%;12.062;100%;1.139;;;;;;;;
Abstención;31,8%;761.923;32,0%;16.283;41,4%;9.866;25,6%;3.531;21,7%;2.621;23,3%;265;;;;;;;;
Votos en blanco;0,3%;6.945;0,3%;167;0,2%;56;0,4%;52;0,4%;53;0,5%;6;;;;;;;;
Votos a candidaturas;68,2%;1.635.958;68,0%;34.530;58,6%;13.947;74,4%;10.268;78,3%;9.441;76,7%;874;;;;;;;;
Más Madrid;21,1%;505.159;24,8%;12.585;17,5%;4.158;32,8%;4.522;29,8%;3.596;27,1%;309;;;;;;;;
PP;16,5%;395.344;9,3%;4.722;9,6%;2.282;8,6%;1.191;9,6%;1.162;7,6%;87;;;;;;;;
Ciudadanos;13,0%;312.536;13,0%;6.611;9,0%;2.132;13,0%;1.789;20,5%;2.476;18,8%;214;;;;;;;;
PSOE;9,3%;224.074;12,5%;6.374;14,8%;3.531;11,3%;1.554;9,8%;1.184;9,2%;105;;;;;;;;
VOX;5,2%;124.969;4,3%;2.200;4,2%;992;4,0%;556;4,7%;567;7,5%;85;;;;;;;;
1.14. SERVICIOS Y EQUIPAMIENTOS MUNICIPALES;;;;;;;;;;;;;;;;;;;;
1.14.1. Servicios Sociales Municipales (2020);;;;;;;;;;;;;;;;;;;;
Centros de Servicios Sociales;;39;5,1%;2;;1;;1;;0;;0;;;;;;;;
Centros Municipales de Mayores ;;90;2,2%;2;;2;;0;;0;;0;;;;;;;;
Centros de Día de Alzheimer y Físicos;;97;1,0%;1;;1;;0;;0;;0;;;;;;;;
Apartamentos Municipales para Mayores;;2;0,0%;0;;0;;0;;0;;0;;;;;;;;
Residencias para personas Mayores ;;3;0,0%;0;;0;;0;;0;;0;;;;;;;;
Centros de Apoyo a las Familias (CAF);;7;0,0%;0;;0;;0;;0;;0;;;;;;;;
Centros de Atención a la Infancia (CAI);;13;7,7%;1;;1;;0;;0;;0;;;;;;;;
Centro de Día de Atención a Niños y Niñas (de 3 a 12 años);;29;3,4%;1;;1;;0;;0;;0;;;;;;;;
Espacios de Ocio para Adolescentes (El Enredadero);;6;0,0%;0;;0;;0;;0;;0;;;;;;;;
Centros de Adolescentes y Jóvenes (ASPA) ;;8;12,5%;1;;1;;0;;0;;0;;;;;;;;
Centros para personas sin hogar;;12;8,3%;1;;0;;1;;0;;0;;;;;;;;
1.14.2. Género (2020);;;;;;;;;;;;;;;;;;;;
Espacios de Igualdad;;17;5,9%;1;;1;;0;;0;;0;;;;;;;;
1.14.3. Salud (2020);;;;;;;;;;;;;;;;;;;;
Centros Municipales de Salud Comunitaria (CMSC);;16;6,3%;1;;0;;1;;0;;0;;;;;;;;
Centros de Atención a las Adicciones (CAD y CCAD);;10;0,0%;0;;0;;0;;0;;0;;;;;;;;
1.14.4. Cultura (2020);;;;;;;;;;;;;;;;;;;;
Nº de Bibliotecas Municipales;;34;5,9%;2;;1;;1;;0;;0;;;;;;;;
Nº de Bibliotecas Comunidad Madrid;;16;0,0%;0;;0;;0;;0;;0;;;;;;;;
Nº de Centros Culturales;;106;3,8%;4;;4;;0;;0;;0;;;;;;;;
1.14.5. Deportes (2018);;;;;;;;;;;;;;;;;;;;
Centros deportivos Municipales;;72;2,8%;2;50,0%;1;50,0%;1;0,0%;0;0,0%;0;;;;;;;;
Superficie deportiva m2 ;;2.074.404;6,2%;129.400;;;;;;;;;;;;;;;;
Instalaciones deportivas básicas;;481;1,5%;7;;;;;;;;;;;;;;;;
Acceso controlado ;;98;2,0%;2;;;;;;;;;;;;;;;;
Campos de fútbol 11;;22;9,1%;2;;1;;1;;0;;0;;;;;;;;
Pista de atletismo ;;7;14,3%;1;;0;;1;;0;;0;;;;;;;;
Piscinas cubiertas;;49;4,1%;2;;1;;1;;0;;0;;;;;;;;
Piscinas de verano;;23;4,3%;1;;0;;1;;0;;0;;;;;;;;
1.14.6. Zonas verdes (2019);;;;;;;;;;;;;;;;;;;;
Superficie de zonas verdes y Parques de distrito (Ha);;3.322,9;5,0%;167,0;;;;;;;;;;;;;;;;
Superficie de zonas verdes y Parques de distrito (Ha) / nº de Habitantes *10.000;;10,2;227,6%;23,2;;;;;;;;;;;;;;;;
Superficie Parques Históricos, Singulares y Forestales por distrito  ;;2.501,0;0,0%;0,0;;;;;;;;;;;;;;;;
Superficie Parques Históricos, Singulares y Forestales distrito / nº Habitantes *10.000;;7,7;0,0%;0,0;;;;;;;;;;;;;;;;
1.14.7. Educación (Curso académico 2019-2020);;;;;;;;;;;;;;;;;;;;
Escuelas Infantiles Municipales (2019);;56;7,1%;4;;3;;1;;0;;0;;;;;;;;
Escuelas Infantiles Públicas CAM;;150;4,0%;6;;;;;;;;;;;;;;;;
Escuelas Infantiles Privadas;;419;1,9%;8;;;;;;;;;5,025278592;;;;;;;
Colegios Públicos Infantil y Primaria (+ 3 centros con Secundaria);;247;3,2%;8;;;;;;;;;;;;;;;;
Institutos Públicos de Educación Secundaria;;112;2,7%;3;;;;;;;;;;;;;;;;
Colegios Privados Inf. o Pri. o Inf. y Pri.;;88;1,1%;1;;;;;;;;;;;;;;;;
Colegios Privados Inf., Pri. y Sec. o Pri. y Sec. ;;274;1,5%;4;;;;;;;;;;;;;;;;
1.14.8. Empresa y Comercio (2020);;;;;;;;;;;;;;;;;;;;
Mercados Municipales;;45;2,2%;1;;1;;0;;0;;0;;;;;;;;
1.15. PARTICIPACIÓN CIUDADANA ;;;;;;;;;;;;;;;;;;;;
1.15.1. Entidades de participación ciudadana (2019) ;;;;;;;;;;;;;;;;;;;;
Asociaciones (Sección 1ª);;2.412;2,0%;48;60,4%;29;25,0%;12;14,6%;7;0,0%;0;;;;;;;;
Nº de asociaciones culturales y casas regionales;;489;1,6%;8;37,5%;3;50,0%;4;12,5%;1;0,0%;0;;;;;;;;
Nº de asociaciones de mujeres;;75;0,0%;0;0,0%;0;0,0%;0;0,0%;0;0,0%;0;;;;;;;;
Nº de asociaciones de vecinos;;221;1,8%;4;75,0%;3;25,0%;1;0,0%;0;0,0%;0;;;;;;;;
Fundaciones (Sección 2ª);;24;0,0%;0;0,0%;0;0,0%;0;0,0%;0;0,0%;0;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
1.16. PRESUPUESTO 2020; En base al Acuerdo de 23 de diciembre de 2019 del Pleno del Ayuntamiento de Madrid. Publicación: BOAM Nùm. 8.551, 30 de diciembre de 2019. ;;;;;;;;;;;;;;;;;;;
PROGRAMA;;CAPÍTULOS;;;;;;;;;;;;;;;;;;
;;1;;2;;3;;4;;5;;6;;7;;TOTAL;;;;
OTRAS ACTUACIONES EN VÍAS PÚBLICAS;153.22;;;;;;;;;;;160.000 €;;;;160.000 €;;;;
FAMILIA E INFANCIA;231.02;;;504.412 €;;;;38.000 €;;;;;;;;542.412 €;;;;
PERSONAS MAYORES Y SERVICIOS SOCIALES;231.03;;;4.172.071 €;;;;6.000 €;;;;200 €;;7.000 €;;4.185.271 €;;;;
INTEGRACIÓN COMUNITARIA Y EMERGENCIA SOCIAL;231.06;1.685.243 €;;294.273 €;;;;130.000 €;;;;100 €;;3.000 €;;2.112.616 €;;;;
SALUBRIDAD PÚBLICA;311.01;499.509 €;;40.127 €;;;;;;;;;;;;539.636 €;;;;
CENTROS DOCENTES ENSEÑANZA INFANTIL Y PRIMARIA;323.01;;;3.477.454 €;;;;;;;;90.000 €;;;;3.567.454 €;;;;
SERVICIOS COMPLEMENTARIOS EDUCACIÓN;326.01;;;152.829 €;;;;12.000 €;;;;;;;;164.829 €;;;;
ACTIVIDADES CULTURALES;334.01;405.486 €;;1.211.726 €;;;;;;;;;;;;1.617.212 €;;;;
ACTUACIONES DEPORTIVAS EN DISTRITOS;341.01;;;115.000 €;;;;;;;;;;;;115.000 €;;;;
INSTALACIONES DEPORTIVAS;342.01;4.792.754 €;;874.741 €;;;;;;;;10.100 €;;;;5.677.595 €;;;;
CONSUMO;493.00;184.428 €;;200 €;;;;;;;;;;;;184.628 €;;;;
CONCEJALÍA-PRESIDENCIA DEL DISTRITO;912.2;360.632 €;;3.000 €;;;;;;;;;;;;363.632 €;;;;
DIREC. Y GESTIÓN ADMTVA. DEL DISTRITO;920.01;3.688.424 €;;382.550 €;;;;;;;;100 €;;;;4.071.074 €;;;;
PARTICIPACIÓN CIUDADANA Y VOLUNTARIADO;924.01;;;84.837 €;;;;90.000 €;;;;;;30.000 €;;204.837 €;;;;
EDIFICIOS;933.02;;;2.456.666 €;;;;;;;;80.000 €;;;;2.536.666 €;;;;
CENTRO 001;;11.616.476 €;;13.769.886 €;;0 €;;276.000 €;;0 €;;340.500 €;;40.000 €;;26.042.862 €;;;;
SECCIÓN 219;;11.616.476 €;;13.769.886 €;;0 €;;276.000 €;;0 €;;340.500 €;;40.000 €;;26.042.862 €;;;;
