09. MONCLOA-ARAVACA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;MONCLOA-ARAVACA;;Casa de Campo;;Argüelles;;Ciudad Universitaria;;Valdezarza;;Valdemarín;;El Plantío;;Aravaca;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;
Hogares monoparentales: una mujer adulta con uno o más menores;21,1%;27.460;2,1%;970;1,7%;95;1,3%;140;1,6%;98;2,1%;256;5,1%;97;2,0%;17;3,1%;267;;
Hogares monoparentales: un hombre adulto con uno o más menores;0,4%;5.491;0,5%;246;0,3%;15;0,3%;35;0,4%;25;0,5%;66;1,4%;27;1,4%;12;0,8%;66;;
1.2.3. Dinámica demográfica;;;;;;;;;;;;;;;;;;;;
Tasa bruta de natalidad 2018 (‰);;8,57;;7,8;;7,4;;6,4;;7,7;;8,2;;10,8;;9,4;;7,9;;
Tasa de crecimiento demográfico 2018 (%);;1,37;;1,3;;0,7;;0,4;;1,0;;1,0;;2,5;;3,2;;2,6;;
Esperanza de vida al nacer MUJERES *(mortalidad del periodo 2013-2016);;87,5;;87,0;;84,0;;88,2;;89,0;;87,4;;83,0;;83,1;;86,3;;
Esperanza de vida al nacer HOMBRES *(mortalidad del periodo 2013-2016);;81,9;;82,5;;77,9;;84,6;;83,3;;82,0;;84,0;;81,4;;83,3;;
Esperanza de vida al nacer MUJERES (2018);;87,6;;88,4;;;;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (2018);;82,2;;83,2;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años MUJERES (2018);;24,6;;25,2;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años HOMBRES (2018);;20,6;;21,0;;;;;;;;;;;;;;;;
1.2.4. Mujeres y hombres;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género IDG (2018);;0,8308;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género IDG (2008);;0,7462;;;;;;;;;;;;;;;;;;
1.3. INDICADORES ECONÓMICOS ;;;;;;;;;;;;;;;;;;;;
