17. VILLAVERDE. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;VILLAVERDE;;Villaverde Alto, C.H. Villaverde;;San Cristóbal;;Butarque;;Los Rosales;;Los Ángeles;;;;;;;;;;;;;;;;;
Hogares con una mujer sola >65 años;9,9%;129.292;8,7%;4.768;8,9%;1.475;8,9%;460;3,3%;242;7,7%;1.024;12,5%;1.567;;;;;;;;;;;;;;;;
Hogares con un hombre solo >65 años;2,9%;38.397;2,4%;1.313;2,4%;396;2,4%;125;1,2%;89;2,4%;323;3,0%;380;;;;;;;;;;;;;;;;
Hogares monoparentales: una mujer adulta con uno o más menores;2,0%;26.000;2,4%;1.297;2,2%;366;2,2%;112;4,5%;323;1,8%;241;2,0%;255;;;;;;;;;;;;;;;;
Hogares monoparentales: un hombre adulto con uno o más menores;0,4%;5.236;0,4%;198;0,3%;51;0,3%;13;0,7%;48;0,4%;53;0,3%;33;;;;;;;;;;;;;;;;
1.2.3. Dinámica demográfica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa bruta de natalidad 2020 (‰);;7,8;;8,6;;8,5;;12,0;;11,0;;7,3;;7,1;;;;;;;;;;;;;;;;
Tasa de crecimiento demográfico 2020 (%);;-0,7;;0,3;;-0,2;;0,5;;3,4;;-0,8;;0,4;;;;;;;;;;;;;;;;
Esperanza de vida al nacer MUJERES (mortalidad del periodo 2013-2016);;87,5;;86,6;;86,6;;84,7;;84,9;;86,5;;87,5;;;;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (mortalidad del periodo 2013-2016);;81,9;;81,0;;80,1;;79,0;;79,9;;82,1;;81,8;;;;;;;;;;;;;;;;
Esperanza de vida al nacer MUJERES (2020);;85,2;;84,6;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (2020);;79,3;;78,7;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años MUJERES (2020);;22,4;;22,1;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años HOMBRES (2020);;17,7;;16,9;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.4. Mujeres y hombres;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2019);;0,842;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2009);;0,795;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.3. INDICADORES ECONÓMICOS ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Renta neta media anual de los hogares (Urban Audit). 2018;;42.283,0 €;67%;28.407,0 €;94%;26.701,1 €;74%;21.070,7 €;111%;31.436,9 €;107%;30.320,2 €;105%;29.951,6 €;;;;;;;;;;;;;;;;
Renta disponible Bruta Per Cápita 2019 ;;21.638,0 €;;12.280,0 €;;;;;;;;;;;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito HOMBRES (2020);;1.521,8 €;89%;1.361,5 €;93%;1.267,7 €;87%;1.188,2 €;97%;1.321,6 €;102%;1.384,2 €;109%;1.488,1 €;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito MUJERES (2020);;1.146,5 €;83%;951,6 €;96%;910,7 €;90%;858,0 €;95%;905,6 €;102%;967,9 €;107%;1.016,5 €;;;;;;;;;;;;;;;;
1.4. INDICADORES DE DESEMPLEO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa de actividad global ciudad de Madrid (EPA. 4º trimestre 2021);62,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres ;67,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres;58,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Número de personas paradas en la ciudad de Madrid (EPA. 4º trimestre 2021) (miles);;175,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres (miles);;79,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres (miles);;95,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paro registrado (nº de personas registradas en SEPE en febrero 2022);;160.316;6,7%;10.724;33,4%;3.579;13,7%;1.471;10,9%;1.169;22,5%;2.408;18,0%;1.933;;;;;;;;;;;;;;;;
Tasa absoluta de paro registrado (febrero 2022);7,33;;10,24;;11,46;;12,74;;8,25;;9,43;;9,37;;;;;;;;;;;;;;;;;
Tasa absoluta de paro registrado HOMBRES ;6,52;;8,58;;9,69;;11,08;;5,77;;8,18;;7,85;;;;;;;;;;;;;;;;;
De 16 a 24 años;3,33;;5,46;;7,01;;5,54;;4,20;;4,47;;5,19;;;;;;;;;;;;;;;;;
De 25 a 44 años;5,45;;8,02;;9,41;;9,27;;5,45;;8,39;;6,51;;;;;;;;;;;;;;;;;
De 45 a 64 años;8,63;;10,20;;10,88;;15,60;;6,58;;9,36;;10,02;;;;;;;;;;;;;;;;;
Tasa absoluta de paro registrado MUJERES ;8,08;;11,83;;13,15;;14,46;;10,56;;10,63;;10,81;;;;;;;;;;;;;;;;;
De 16 a 24 años;3,34;;6,07;;7,68;;7,19;;4,98;;5,06;;4,92;;;;;;;;;;;;;;;;;
De 25 a 44 años;7,30;;11,96;;13,32;;16,00;;10,82;;10,80;;9,78;;;;;;;;;;;;;;;;;
De 45 a 64 años;10,17;;13,56;;14,74;;15,79;;12,02;;12,27;;13,47;;;;;;;;;;;;;;;;;
Personas paradas de larga duración (febrero 2022);51,9%;83.245;51,9%;5.567;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;38,9%;32.359;36,1%;2.012;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;61,1%;50.886;63,9%;3.555;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas paradas que SI perciben prestaciones (febrero 2022);42,4%;68.028;37,6%;4.032;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;47,3%;32.178;48,1%;1.938;;;;;;;;;;;;;;;;;;;;;;;;;;
