03. RETIRO. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;
 ;CIUDAD;;RETIRO;;Pacífico;;Adelfas;;La Estrella;;Ibiza;;Los Jerónimos;;Niño Jesús;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;546,62;;75,83;;64,08;;102,55;;49,2;;190,64;;64,33;
Esperanza de vida al nacer MUJERES (mortalidad del periodo 2009-2012);;85,9;;86,5;;86,9;;85,3;;86,9;;86,0;;86,9;;86,2
Esperanza de vida al nacer HOMBRES (mortalidad del periodo 2009-2012);;79,9;;80,8;;80,5;;79,3;;83,5;;78,6;;82,8;;81,0
Esperanza de vida al nacer MUJERES (2017);;87,1;;87,2;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (2017);;82,0;;83,9;;;;;;;;;;;;
Esperanza de vida > 65 años MUJERES (2017);;24,3;;24,2;;;;;;;;;;;;
Esperanza de vida > 65 años HOMBRES (2017);;20,3;;20,9;;;;;;;;;;;;
1.2.4. Mujeres y hombres;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2017);;0,816;;;;;;;;;;;;;;
Índice de desigualdad de género (2007);;0,738;;;;;;;;;;;;;;
1.3. INDICADORES ECONÓMICOS ;;;;;;;;;;;;;;;;
Renta neta media anual de los hogares (Urban Audit). 2015;;38.534,6 €;134%;51.790,0 €;81%;41.948,9 €;89%;45.842,9 €;112%;58.249,1 €;88%;45.561,1 €;164%;84.955,3 €;133%;69.100,2 €
Renta disponible Bruta Per Cápita 2014(a);;21.145,9 €;;26.806,1 €;;;;;;;;;;;;
Crecimiento/decrecimiento Renta Bruta Per Cápita 2014(a)-2008;-0,2%;-40,4 €;2,5%;663,2 €;;;;;;;;;;;;
Pensión media mensual del Distrito HOMBRES (2015);;1.376,2 €;;1.632,6 €;;;;;;;;;;;;
Pensión media mensual del Distrito MUJERES (2015);;858,8 €;;1.052,9 €;;;;;;;;;;;;
1.4. INDICADORES DE DESEMPLEO;;;;;;;;;;;;;;;;
Tasa de actividad global ciudad de Madrid (EPA. 3º trimestre 2018);61,2%;;;;;;;;;;;;;;;
Hombres ;66,4%;;;;;;;;;;;;;;;
Mujeres;56,8%;;;;;;;;;;;;;;;
Número de parados ciudad de Madrid (EPA. 3º trimestre 2018) (miles);;200,1;;;;;;;;;;;;;;
Hombres (miles);;97,3;;;;;;;;;;;;;;
Mujeres (miles);;102,8;;;;;;;;;;;;;;
Paro registrado (nº de personas registradas en SEPE en agosto 2018);;167.871;2,5%;4.200;29,9%;1.257;18,3%;770;15,4%;647;17,5%;735;4,0%;170;9,8%;412
Tasa absoluta de paro registrado (agosto 2018);7,9%;;5,7%;;6,1%;;6,7%;;5,2%;;5,7%;;4,2%;;4,8%;
Tasa absoluta de paro registrado MUJERES;8,6%;;6,2%;;6,6%;;7,6%;;5,8%;;6,0%;;4,1%;;5,2%;
De 16 a 24 años;4,6%;;1,7%;;1,8%;;3,2%;;1,2%;;1,9%;;0,5%;;1,0%;
De 25 a 44 años;8,3%;;5,8%;;6,2%;;6,5%;;5,5%;;5,3%;;4,0%;;5,7%;
De 45 a 64 años;10,1%;;7,6%;;8,0%;;9,4%;;7,2%;;7,7%;;4,9%;;6,1%;
Tasa absoluta de paro registrado HOMBRES ;7,1%;;5,2%;;5,6%;;5,8%;;4,6%;;5,4%;;4,3%;;4,4%;
De 16 a 24 años;4,5%;;2,1%;;2,3%;;3,6%;;1,1%;;2,0%;;2,1%;;1,5%;
De 25 a 44 años;6,1%;;4,6%;;5,1%;;4,3%;;4,2%;;4,6%;;3,8%;;4,4%;
