15. CIUDAD LINEAL. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;CIUDAD LINEAL;;Ventas;;Pueblo Nuevo;;Quintana;;La Concepción;;San Pascual;;San Juan Bautista;;Colina;;Atalaya;;Costillares;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;1.142,57;;319,8;;231,92;;72,31;;88,59;;105,27;;101,08;;55,97;;24,89;;142,72;
1.2.2. Estructura de los hogares (01-01-2018);;;;;;;;;;;;;;;;;;;;;;
Nº total de hogares;100%;1.278.258;6,7%;86.156;22,9%;19.750;27,6%;23.750;11,9%;10.271;10,5%;9.035;8,7%;7.508;5,6%;4.821;2,9%;2.529;0,6%;560;9,2%;7.932
Tamaño medio del hogar;;2,52;;2,49;;2,42;;2,58;;2,37;;2,30;;2,41;;2,58;;2,49;;2,81;;2,78
Hogares con una mujer sola >65 años;9,8%;124.815;11,9%;10.237;13,1%;2.590;10,9%;2.600;13,6%;1.399;14,3%;1.290;12,3%;927;9,7%;467;9,1%;230;8,9%;50;8,6%;684
Hogares con un hombre solo >65 años;2,8%;35.963;3,2%;2.725;3,3%;659;3,2%;754;3,1%;321;3,6%;324;3,2%;243;2,6%;126;3,0%;77;3,0%;17;2,6%;204
Hogares monoparentales: una mujer adulta con uno o más menores;2,1%;27.460;2,0%;1.755;1,8%;349;1,7%;414;1,9%;197;2,1%;187;2,2%;162;3,0%;146;2,9%;74;4,5%;25;2,5%;201
Hogares monoparentales: un hombre adulto con uno o más menores;0,4%;5.488;0,4%;340;0,3%;61;0,3%;68;0,3%;28;0,4%;38;0,3%;26;0,6%;27;1,2%;30;0,7%;4;0,7%;58
1.2.3. Dinámica demográfica;;;;;;;;;;;;;;;;;;;;;;
Tasa bruta de natalidad 2017 (‰);;9,00;;7,95;;8,16;;7,93;;7,70;;7,50;;6,91;;10,08;;9,19;;12,75;;7,23
Tasa de crecimiento demográfico 2017 (‰);;1,24;;0,91;;0,92;;1,23;;0,79;;1,31;;-0,19;;0,53;;2,68;;0,83;;0,35
Esperanza de vida al nacer MUJERES (mortalidad del periodo 2009-2012);;85,9;;86,4;;86,2;;86,0;;86,5;;86,4;;87,5;;87,1;;86,4;;88,9;;85,9
Esperanza de vida al nacer HOMBRES (mortalidad del periodo 2009-2012);;79,9;;80,2;;80,8;;79,3;;79,7;;80,2;;80,2;;80,4;;80,8;;78,3;;81,6
Esperanza de vida al nacer MUJERES (2017);;87,1;;87,5;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (2017);;82,0;;82,1;;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años MUJERES (2017);;24,3;;24,7;;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años HOMBRES (2017);;20,3;;20,4;;;;;;;;;;;;;;;;;;
1.2.4. Mujeres y hombres;;;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2017);;0,816;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2007);;0,738;;;;;;;;;;;;;;;;;;;;
1.3. INDICADORES ECONÓMICOS ;;;;;;;;;;;;;;;;;;;;;;
Renta neta media anual de los hogares (Urban Audit). 2015;;38.534,6 €;96%;36.832,9 €;77%;28.196,6 €;82%;30.039,0 €;83%;30.421,6 €;93%;34.263,2 €;115%;42.449,9 €;153%;56.198,2 €;147%;54.247,2 €;184%;67.826,1 €;178%;65.589,5 €
Renta disponible Bruta Per Cápita 2014(a);;21.145,9 €;;20.673,7 €;;;;;;;;;;;;;;;;;;
Crecimiento/decrecimiento Renta Bruta Per Cápita 2014(a)-2008;-0,2%;-40,4 €;-0,6%;-116,4 €;;;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito HOMBRES (2015);;1.376,2 €;;1.398,7 €;;;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito MUJERES (2015);;858,8 €;;851,5 €;;;;;;;;;;;;;;;;;;
