08. FUENCARRAL-EL PARDO. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;FUENCARRAL-EL PARDO;;El Pardo;;Fuentelarreina;;Peñagrande;;Del Pilar;;La Paz;;Valverde;;Mirasierra;;El Goloso;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;23.783,84;;18.758,3;;138,26;;288,73;;136,32;;215,48;;898,12;;699,28;;2.649,31;
Hogares con una mujer sola >65 años;9,8%;124.815;8,3%;7.456;13,0%;171;10,0%;111;9,3%;1.563;12,6%;2.437;9,3%;1.162;6,3%;1.410;5,0%;516;1,6%;86
Hogares con un hombre solo >65 años;2,8%;35.963;2,4%;2.168;3,7%;49;3,8%;42;2,8%;477;3,3%;638;2,8%;356;1,7%;376;1,8%;185;0,8%;45
Hogares monoparentales: una mujer adulta con uno o más menores;2,1%;27.460;2,8%;2.490;1,7%;22;1,9%;21;2,1%;357;1,6%;303;1,2%;145;4,2%;954;3,1%;324;6,6%;364
Hogares monoparentales: un hombre adulto con uno o más menores;0,4%;5.488;0,7%;648;0,5%;7;0,6%;7;0,5%;84;0,2%;33;0,2%;28;1,2%;267;0,9%;96;2,3%;126
1.2.3. Dinámica demográfica;;;;;;;;;;;;;;;;;;;;
Tasa bruta de natalidad 2017 (‰);;9,00;;10,75;;7,59;;7,47;;7,85;;7,60;;7,99;;14,38;;11,86;;18,21
Tasa de crecimiento demográfico 2017 (‰);;1,24;;1,73;;1,81;;1,18;;0,34;;0,62;;-0,06;;3,17;;3,78;;3,03
Esperanza de vida al nacer MUJERES (mortalidad del periodo 2009-2012);;85,9;;85,9;;82,0;;87,4;;84,8;;86,0;;86,6;;84,6;;84,8;;91,7
Esperanza de vida al nacer HOMBRES (mortalidad del periodo 2009-2012);;79,9;;81,0;;77,6;;81,5;;81,1;;80,7;;81,9;;79,3;;80,6;;84,9
Esperanza de vida al nacer MUJERES (2017);;87,1;;87,0;;;;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (2017);;82,0;;82,8;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años MUJERES (2017);;24,3;;24,5;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años HOMBRES (2017);;20,3;;20,8;;;;;;;;;;;;;;;;
1.2.4. Mujeres y hombres;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2017);;0,816;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2007);;0,738;;;;;;;;;;;;;;;;;;
1.3. INDICADORES ECONÓMICOS ;;;;;;;;;;;;;;;;;;;;
Renta neta media anual de los hogares (Urban Audit). 2015;;38.534,6 €;127%;48.846,6 €;80%;39.062 €;201%;98.156 €;93%;45.508 €;69%;33.746 €;120%;58.457 €;87%;42.537 €;160%;78.328 €;118%;57.441 €
Renta disponible Bruta Per Cápita 2014(a);;21.145,9 €;;22.469,2 €;;;;;;;;;;;;;;;;
Crecimiento/decrecimiento Renta Bruta Per Cápita 2014(a)-2008;-0,2%;-40,4 €;-1,1%;-248,7 €;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito HOMBRES (2015);;1.376,2 €;;1.522,8 €;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito MUJERES (2015);;858,8 €;;946,8 €;;;;;;;;;;;;;;;;
1.4. INDICADORES DE DESEMPLEO;;;;;;;;;;;;;;;;;;;;
Tasa de actividad global ciudad de Madrid (EPA. 3º trimestre 2018);61,2%;;;;;;;;;;;;;;;;;;;
Hombres ;66,4%;;;;;;;;;;;;;;;;;;;
Mujeres;56,8%;;;;;;;;;;;;;;;;;;;
Número de parados ciudad de Madrid (EPA. 3º trimestre 2018) (miles);;200,1;;;;;;;;;;;;;;;;;;
Hombres (miles);;97,3;;;;;;;;;;;;;;;;;;
Mujeres (miles);;102,8;;;;;;;;;;;;;;;;;;
Paro registrado (nº de personas registradas en SEPE en agosto 2018);;167.871;5,4%;8.994;1,5%;132;0,7%;60;20,3%;1.825;21,3%;1.918;11,3%;1.012;28,9%;2.597;9,4%;848;4,4%;392
Tasa absoluta de paro registrado (agosto 2018);7,9%;;6,0%;;6,2%;;3,3%;;6,8%;;7,1%;;5,3%;;6,6%;;4,1%;;3,7%;
Tasa absoluta de paro registrado MUJERES;8,6%;;6,7%;;7,7%;;3,7%;;7,4%;;7,6%;;6,2%;;7,4%;;4,8%;;4,7%;
De 16 a 24 años;4,6%;;2,6%;;3,0%;;1,3%;;2,2%;;3,7%;;1,2%;;4,4%;;0,9%;;1,7%;
De 25 a 44 años;8,3%;;6,3%;;7,6%;;2,8%;;7,5%;;6,9%;;5,9%;;6,7%;;4,6%;;4,2%;
De 45 a 64 años;10,1%;;8,3%;;8,7%;;5,2%;;8,8%;;9,4%;;7,6%;;9,1%;;6,4%;;6,6%;
Tasa absoluta de paro registrado HOMBRES ;7,1%;;5,2%;;5,0%;;2,8%;;6,2%;;6,5%;;4,4%;;5,8%;;3,4%;;2,7%;
De 16 a 24 años;4,5%;;2,4%;;2,7%;;0,0%;;2,3%;;3,4%;;2,2%;;4,1%;;0,8%;;0,4%;
De 25 a 44 años;6,1%;;4,5%;;3,6%;;2,7%;;5,7%;;5,5%;;4,1%;;4,8%;;3,2%;;2,2%;
De 45 a 64 años;9,1%;;6,8%;;7,4%;;4,2%;;7,8%;;8,6%;;5,4%;;7,6%;;4,8%;;4,2%;
Parados de larga duración (agosto 2018);41,0%;68.898;41,1%;3.698;;;;;;;;;;;;;;;;
Hombres;40,4%;27.816;38,3%;1.418;;;;;;;;;;;;;;;;
Mujeres ;59,6%;41.082;61,7%;2.280;;;;;;;;;;;;;;;;
Parados que SÍ perciben prestaciones (agosto 2018);37,3%;62.541;39,5%;3.553;;;;;;;;;;;;;;;;
Hombres;47,0%;29.412;46,6%;1.654;;;;;;;;;;;;;;;;
Mujeres ;53,0%;33.129;53,4%;1.899;;;;;;;;;;;;;;;;
Parados que NO perciben prestaciones (agosto 2018);62,7%;105.330;60,5%;5.441;;;;;;;;;;;;;;;;
Hombres;40,7%;42.906;38,2%;2.080;;;;;;;;;;;;;;;;
Mujeres ;59,3%;62.424;61,8%;3.361;;;;;;;;;;;;;;;;
1.5. EDUCACIÓN;;;;;;;;;;;;;;;;;;;;
1.5.1. Población en etapas educativas (01/01/2018);100%;463.011;100%;43.454;100%;407;100%;544;100%;5.839;100%;5.004;100%;3.679;100%;15.099;100%;6.909;100%;5.973
0 a 2 años;18,8%;87.088;19,5%;8.455;21,4%;87;13,6%;74;18,2%;1.062;21,3%;1.068;20,9%;770;19,7%;2.982;18,3%;1.264;19,2%;1.148
Infantil (3 a 5 años);18,7%;86.699;20,8%;9.060;19,2%;78;18,2%;99;19,6%;1.147;18,7%;934;21,0%;772;21,9%;3.309;18,7%;1.289;24,0%;1.432
Primaria (6 a 11 años);38,2%;176.730;39,1%;17.005;37,3%;152;40,1%;218;37,6%;2.196;37,1%;1.854;36,6%;1.347;40,7%;6.148;38,3%;2.649;40,9%;2.441
Secundaria (12 a 15 años);24,3%;112.494;20,6%;8.934;22,1%;90;28,1%;153;24,6%;1.434;22,9%;1.148;21,5%;790;17,6%;2.660;24,7%;1.707;15,9%;952
