21. BARAJAS. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;
 ;CIUDAD;;BARAJAS;;Alameda de Osuna;;Aeropuerto;;Casco Histórico de Barajas;;Timón;;Corralejos;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;
Tasa bruta de natalidad 2017 (‰);;9,00;;10,05;;8,09;;8,94;;8,06;;15,98;;8,33;;
Tasa de crecimiento demográfico 2017 (‰);;1,24;;2,03;;0,31;;0,56;;0,31;;6,38;;1,88;;
Esperanza de vida al nacer MUJERES (mortalidad del periodo 2009-2012);;85,9;;86,2;;86,7;;83,0;;86,7;;85,3;;86,0;;
Esperanza de vida al nacer HOMBRES (mortalidad del periodo 2009-2012);;79,9;;80,7;;80,9;;79,1;;79,3;;80,4;;83,2;;
Esperanza de vida al nacer MUJERES (2017);;87,1;;88,3;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (2017);;82,0;;84,6;;;;;;;;;;;;
Esperanza de vida > 65 años MUJERES (2017);;24,3;;25,1;;;;;;;;;;;;
Esperanza de vida > 65 años HOMBRES (2017);;20,3;;21,4;;;;;;;;;;;;
1.2.4. Mujeres y hombres;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2017);;0,816;;;;;;;;;;;;;;
Índice de desigualdad de género (2007);;0,738;;;;;;;;;;;;;;
1.3. INDICADORES ECONÓMICOS ;;;;;;;;;;;;;;;;
Renta neta media anual de los hogares (Urban Audit). 2015;;38.534,6 €;120%;46.347,0 €;113%;52.281,2 €;52%;24.254,3 €;64%;29.450,0 €;87%;40.271,0 €;142%;65.879,2 €;;
Renta disponible Bruta Per Cápita 2014(a);;21.145,9 €;;24.706,8 €;;;;;;;;;;;;
Crecimiento/decrecimiento Renta Bruta Per Cápita 2014(a)-2008;-0,2%;-40,4 €;5,0%;1.178,8 €;;;;;;;;;;;;
Pensión media mensual del Distrito HOMBRES (2015);;1.376,2 €;;1.573,9 €;;;;;;;;;;;;
Pensión media mensual del Distrito MUJERES (2015);;858,8 €;;891,3 €;;;;;;;;;;;;
1.4. INDICADORES DE DESEMPLEO;;;;;;;;;;;;;;;;
Tasa de actividad global ciudad de Madrid (EPA. 3º trimestre 2018);61,2%;;;;;;;;;;;;;;;
Hombres ;66,4%;;;;;;;;;;;;;;;
Mujeres;56,8%;;;;;;;;;;;;;;;
