12. USERA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;USERA;;Orcasitas;;Orcasur;;San Fermín;;Almendrales;;Moscardó;;Zofío;;Pradolongo;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;777,77;;135,64;;138,73;;147,54;;78,01;;90,88;;77,4;;109,57;
Hogares monoparentales: un hombre adulto con uno o más menores;0,4%;5.488;0,4%;176;0,5%;44;0,5%;23;0,5%;42;0,2%;18;0,2%;23;0,2%;10;0,3%;16
1.2.3. Dinámica demográfica;;;;;;;;;;;;;;;;;;
Tasa bruta de natalidad 2017 (‰);;9,00;;9,19;;8,19;;10,41;;7,24;;10,02;;9,71;;8,55;;10,93
Tasa de crecimiento demográfico 2017 (‰);;1,24;;1,61;;0,70;;1,79;;1,23;;2,22;;1,48;;1,85;;2,44
Esperanza de vida al nacer MUJERES (mortalidad del periodo 2009-2012);;85,9;;85,5;;84,9;;85,2;;86,8;;87,0;;86,5;;86,3;;85,8
Esperanza de vida al nacer HOMBRES (mortalidad del periodo 2009-2012);;79,9;;78,1;;77,5;;75,8;;77,5;;79,3;;77,5;;82,0;;79,3
Esperanza de vida al nacer MUJERES (2017);;87,1;;87,1;;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (2017);;82,0;;80,7;;;;;;;;;;;;;;
Esperanza de vida > 65 años MUJERES (2017);;24,3;;23,8;;;;;;;;;;;;;;
Esperanza de vida > 65 años HOMBRES (2017);;20,3;;19,9;;;;;;;;;;;;;;
1.2.4. Mujeres y hombres;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2017);;0,816;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2007);;0,738;;;;;;;;;;;;;;;;
1.3. INDICADORES ECONÓMICOS ;;;;;;;;;;;;;;;;;;
Renta neta media anual de los hogares (Urban Audit). 2015;;38.534,6 €;66%;25.569,0 €;105%;26.857,9 €;98%;24.995,9 €;99%;25.440,2 €;100%;25.506,2 €;103%;26.358,2 €;100%;25.498,4 €;91%;23.173,9 €
Renta disponible Bruta Per Cápita 2014(a);;21.145,9 €;;15.698,2 €;;;;;;;;;;;;;;
Crecimiento/decrecimiento Renta Bruta Per Cápita 2014(a)-2008;-0,2%;-40,4 €;-5,4%;-902,6 €;;;;;;;;;;;;;;
Pensión media mensual del Distrito HOMBRES (2015);;1.376,2 €;;1.161,5 €;;;;;;;;;;;;;;
Pensión media mensual del Distrito MUJERES (2015);;858,8 €;;700,5 €;;;;;;;;;;;;;;
1.4. INDICADORES DE DESEMPLEO;;;;;;;;;;;;;;;;;;
Tasa de actividad global ciudad de Madrid (EPA. 3º trimestre 2018);61,2%;;;;;;;;;;;;;;;;;
Hombres ;66,4%;;;;;;;;;;;;;;;;;
Mujeres;56,8%;;;;;;;;;;;;;;;;;
Número de parados ciudad de Madrid (EPA. 3º trimestre 2018) (miles);;200,1;;;;;;;;;;;;;;;;
Hombres (miles);;97,3;;;;;;;;;;;;;;;;
Mujeres (miles);;102,8;;;;;;;;;;;;;;;;
Paro registrado (nº de personas registradas en SEPE en agosto 2018);;167.871;5,6%;9.417;15,9%;1.495;12,9%;1.212;17,9%;1.684;14,5%;1.369;16,3%;1.536;9,1%;857;11,7%;1.101
Tasa absoluta de paro registrado (agosto 2018);7,9%;;10,1%;;10,6%;;13,1%;;10,9%;;9,6%;;8,8%;;9,2%;;9,5%;
Tasa absoluta de paro registrado MUJERES;8,6%;;11,1%;;12,1%;;14,7%;;12,4%;;10,5%;;9,6%;;9,5%;;10,0%;
De 16 a 24 años;4,6%;;7,8%;;7,6%;;10,3%;;8,4%;;9,2%;;6,8%;;5,8%;;6,3%;
De 25 a 44 años;8,3%;;11,0%;;13,4%;;16,0%;;12,6%;;10,0%;;8,7%;;9,3%;;9,1%;
De 45 a 64 años;10,1%;;12,4%;;12,2%;;15,0%;;13,6%;;11,5%;;11,5%;;11,0%;;12,3%;
Tasa absoluta de paro registrado HOMBRES ;7,1%;;9,1%;;9,1%;;11,6%;;9,2%;;8,7%;;8,0%;;8,9%;;8,9%;
De 16 a 24 años;4,5%;;6,6%;;6,8%;;7,2%;;8,1%;;7,4%;;4,2%;;5,7%;;7,0%;
De 25 a 44 años;6,1%;;7,9%;;7,2%;;11,9%;;8,2%;;7,4%;;6,9%;;7,8%;;7,7%;
De 45 a 64 años;9,1%;;11,2%;;11,4%;;13,0%;;10,7%;;10,7%;;10,5%;;11,4%;;11,2%;
Parados de larga duración (agosto 2018);41,0%;68.898;40,5%;3.813;;;;;;;;;;;;;;
Hombres;40,4%;27.816;41,1%;1.567;;;;;;;;;;;;;;
Mujeres ;59,6%;41.082;58,9%;2.246;;;;;;;;;;;;;;
Parados que SÍ perciben prestaciones (agosto 2018);37,3%;62.541;34,6%;3.255;;;;;;;;;;;;;;
Hombres;47,0%;29.412;47,8%;1.556;;;;;;;;;;;;;;
Mujeres ;53,0%;33.129;52,2%;1.699;;;;;;;;;;;;;;
Parados que NO perciben prestaciones (agosto 2018);62,7%;105.330;65,4%;6.162;;;;;;;;;;;;;;
Hombres;40,7%;42.906;40,8%;2.513;;;;;;;;;;;;;;
Mujeres ;59,3%;62.424;59,2%;3.649;;;;;;;;;;;;;;
1.5. EDUCACIÓN;;;;;;;;;;;;;;;;;;
1.5.1. Población en etapas educativas (01/01/2018);100,0%;463.011;100,0%;21.724;100,0%;4.044;100,0%;2.326;100,0%;4.405;100,0%;3.158;100,0%;3.354;100,0%;1.916;100,0%;2.521
0 a 2 años;18,8%;87.088;17,4%;3.774;15,1%;612;18,9%;439;14,0%;616;18,9%;597;19,7%;661;17,4%;333;20,5%;516
Infantil (3 a 5 años);18,7%;86.699;17,8%;3.863;16,7%;674;18,2%;424;16,7%;737;18,7%;592;18,2%;610;18,2%;349;18,9%;477
