12. USERA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;USERA;;Orcasitas;;Orcasur;;San Fermín;;Almendrales;;Moscardó;;Zofío;;Pradolongo;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;777,77;;135,64;;138,73;;147,54;;78,01;;90,88;;77,4;;109,57;
Dificultad para hacer frente a los gastos derivados del suministro energético;;9,5%;;;;;;;;;;;;;;;;
Entrevistados que han acudido a Servicios Sociales Municipales para solicitar atención social;;10,0%;;;;;;;;;;;;;;;;
1.9. SERVICIOS SOCIALES;;;;;;;;;;;;;;;;;;
1.9.1. Población en general (2017);;;;;;;;;;;;;;;;;;
Personas atendidas en la Unidad de Primera Atención en Centros de Servicios Sociales;;129.281;4,0%;5.117;;;;;;;;;;;;;;
Solicitudes tramitadas de Renta Mínima de Inserción;;6.969;6,6%;462;;;;;;;;;;;;;;
Perceptores de prestación de la Renta Mínima de Inserción;;16.219;9,1%;1.482;;;;;;;;;;;;;;
Beneficiarios de prestaciones sociales de carácter económico;;13.632;7,9%;1.079;;;;;;;;;;;;;;
Total prestaciones sociales de carácter económico (€);;7.440.030;6,2%;458.037;;;;;;;;;;;;;;
1.9.2. Personas Mayores (2017);;;;;;;;;;;;;;;;;;
Personas con Servicio de Ayuda a Domicilio (modalidad auxiliar de hogar);;71.238;6,7%;4.789;;;;;;;;;;;;;;
Hombres;;16.914;6,8%;1.145;;;;;;;;;;;;;;
Mujeres;;54.324;6,7%;3.644;;;;;;;;;;;;;;
Personas socias de los Centros Municipales de Mayores;;325.924;4,2%;13.678;;;;;;;;;;;;;;
Hombres;;124.008;4,1%;5.107;;;;;;;;;;;;;;
Mujeres ;;201.916;4,2%;8.571;;;;;;;;;;;;;;
1.9.3. Menores y Familia (2017);;;;;;;;;;;;;;;;;;
Familias atendidas por el Equipo de Trabajo con Menores y Familia (ETMF);;7.519;3,6%;273;;;;;;;;;;;;;;
Demandas de intervención en los Centros de Atención a la Infancia (CAI);;2.130;6,3%;134;;;;;;;;;;;;;;
Menores atendidos por el Servicio de Ayuda a domicilio a Menores y Familias (SAD) ;;1.361;2,3%;31;;;;;;;;;;;;;;
1.10. VIVIENDA;;;;;;;;;;;;;;;;;;
1.10.1. PLAN MAD-RE: PLAN ESTRATÉGICO MADRID RECUPERA (Programa de actuaciones 2018-2030);;;;;;;;;;;;;;;;;;
Planes Integrales Territoriales de Barrios Apirus;;48;6,3%;3;;;;;;;;;;;;;;
Planes Integrales Territoriales de Ordenación y Gestión;;71;2,8%;2;;;;;;;;;;;;;;
Proyecto Estratégico Ambiental;;13;7,7%;1;;;;;;;;;;;;;;
Proyecto Estratégico de Espacio Público;;140;5,7%;8;;;;;;;;;;;;;;
Proyecto Estratégico de Movilidad;;103;4,9%;5;;;;;;;;;;;;;;
1.10.2. Estado de las viviendas;;;;;;;;;;;;;;;;;;
Nº Total de viviendas (Censo Edificios y Viviendas 2011);100%;1.530.955;100%;59.285;;;;;;;;;;;;;;
Viviendas anteriores a 1980;69,4%;1.061.825;59,9%;35.500;;;;;;;;;;;;;;
Estado ruinoso;0,2%;3.445;0,6%;380;;;;;;;;;;;;;;
Estado malo;0,8%;12.705;0,6%;370;;;;;;;;;;;;;;
Estado deficiente;4,4%;66.775;4,6%;2.715;;;;;;;;;;;;;;
Estado bueno;92,8%;1.420.265;92,0%;54.565;;;;;;;;;;;;;;
No consta;1,8%;27.770;2,1%;1.255;;;;;;;;;;;;;;
Valor catastral medio de los bienes inmuebles: personas físicas (2018);;91.159,1 €;55,4%;50.546,6 €;106%;53.708 €;106%;53.440 €;100%;50.304 €;108%;54.513 €;103%;51.944 €;84%;42.214 €;87%;44.169
Valor catastral medio de los bienes inmuebles: personas jurídicas (2018);;370.572,5 €;45,3%;168.025,2 €;77%;129.444 €;151%;253.718 €;137%;230.645 €;57%;95.882 €;116%;195.245 €;69%;115.811 €;59%;98.817
Superficie media de la vivienda (m2) en transacción (2017);;84;91,3%;76;131,5%;101;120%;91;101,2%;77;93,0%;71;86,3%;66;80,5%;62;96,6%;74
Duración media del crédito (meses) en transacción de vivienda (2017);;296;102,7%;304;106,6%;324;103%;312;95,7%;291;98,0%;298;100,7%;306;105,3%;320;98,0%;298
1.10.3. Tipología de las viviendas ;;;;;;;;;;;;;;;;;;
Nº Total de viviendas familiares (Censo Edificios y Viviendas 2001);100,0%;1.378.931;100%;49.276;100%;7.693;100%;3.819;100%;6.949;100%;7.568;100%;11.321;100%;5.460;100%;6.466
Principal;78,3%;1.080.306;84,8%;41.799;90,3%;6.949;92,9%;3.549;80,9%;5.624;82,4%;6.239;82,9%;9.380;87,3%;4.766;81,8%;5.292
Secundaria;7,7%;106.192;3,9%;1.930;1,3%;99;0,8%;32;8,2%;569;2,4%;180;3,5%;398;2,2%;122;8,2%;530
Desocupada;12,9%;178.377;10,5%;5.169;8,3%;640;6,2%;238;10,0%;692;14,3%;1.085;11,9%;1.345;10,1%;552;9,5%;617
Otro tipo;1,0%;13.998;0,8%;378;0,1%;5;0,0%;0;0,9%;64;0,8%;64;1,7%;198;0,4%;20;0,4%;27
1.10.4. Lanzamientos judiciales (Consejo General del Poder Judicial);;;;;;;;;;;;;;;;;;
Lanzamientos judiciales practicados (2013);100%;5.020;;;;;;;;;;;;;;;;
Como consecuencia de ejecuciones hipotecarias;29,9%;1.501;;;;;;;;;;;;;;;;
Como consecuencia de la Ley de Arrendamientos Urbanos;62,5%;3.137;;;;;;;;;;;;;;;;
Lanzamientos judiciales practicados (2017);100%;3.416;;;;;;;;;;;;;;;;
Como consecuencia de ejecuciones hipotecarias;19,1%;654;;;;;;;;;;;;;;;;
Como consecuencia de la Ley de Arrendamientos Urbanos;79,4%;2.713;;;;;;;;;;;;;;;;
1.11. MEDIO AMBIENTE Y RESIDUOS;;;;;;;;;;;;;;;;;;
1.11.1. Contaminantes del aire (2017);;;;;;;;;;;;;;;;;;
Partículas suspensión PM2.5 (µgr/m3) -Valor límite: 25 µgr/m3-;;10,2;;;;;;;;;;;;;;;;
Partículas suspensión PM10 (µgr/m3) -Valor límite: 40 µgr/m3-;;20,1;;;;;;;;;;;;;;;;
Dióxido de azufre - SO2 (µgr/m3) -Valor límite: 125 µgr/m3-;;7,0;;;;;;;;;;;;;;;;
Monóxido de carbono - CO2 (mg/m3) -Valor límite: 10 µgr/m3-;;0,4;;;;;;;;;;;;;;;;
Ozono - O3 (µgr/m3) -Valor límite: 120 µgr/m3-;;48,0;;;;;;;;;;;;;;;;
Dióxido de nitrógeno - NO2 (µgr/m3) -Valor límite: 40 µgr/m3-;;42,0;;;;;;;;;;;;;;;;
Temperatura media anual (ºC);;16,6º;;;;;;;;;;;;;;;;
Protocolo de contaminación: nº de episodios (2018);;4;;;;;;;;;;;;;;;;
"Protocolo de contaminación: nº de días ""Escenario 1"" (2018)";;7;;;;;;;;;;;;;;;;
1.11.2. Recogida domiciliaria de resíduos sólidos: envases y resto (2017);;;;;;;;;;;;;;;;;;
kg/habitante/año;;357;;294;;;;;;;;;;;;;;
kg/habitante/día;;0,978;;0,805;;;;;;;;;;;;;;
1.12. SEGURIDAD;;;;;;;;;;;;;;;;;;
Intervenciones de la Policía Municipal en materia de seguridad (2018);;;;;;;;;;;;;;;;;;
Relacionadas con las personas;;5.402;1,4%;74;;;;;;;;;;;;;;
Relacionadas con la tenencia de armas;;805;3,0%;24;;;;;;;;;;;;;;
Relacionadas con el patrimonio;;6.525;1,6%;106;;;;;;;;;;;;;;
Relacionadas con la tenencia y consumo de drogas;;8.750;1,6%;140;;;;;;;;;;;;;;
Expedientes instruidos por Agentes Tutores;;635;0,0%;0;;;;;;;;;;;;;;
Atestados/partes de accidentes de tráfico confeccionados;;16.229;3,4%;559;;;;;;;;;;;;;;
Detenidos e investigados de la Policía Municipal en materia de seguridad (2018);;;;;;;;;;;;;;;;;;
Total detenidos e investigados;100%;9.010;4,7%;420;;;;;;;;;;;;;;
Lesiones;4,4%;396;;;;;;;;;;;;;;;;
Violencia doméstica y de género;8,8%;790;;;;;;;;;;;;;;;;
Malos tratos a menores;0,9%;80;;;;;;;;;;;;;;;;
Abusos y agresiones sexuales;0,9%;81;;;;;;;;;;;;;;;;
Hurtos;10,5%;945;;;;;;;;;;;;;;;;
Robo con violencia e intimidación en personas;1,6%;144;;;;;;;;;;;;;;;;
Contra la salud pública;2,9%;257;;;;;;;;;;;;;;;;
Contra la seguridad vial;41,7%;3.758;;;;;;;;;;;;;;;;
1.13. RESULTADOS ELECCIONES LOCALES (2015);;;;;;;;;;;;;;;;;;
Censo electoral;100,0%;2.388.047;100%;91.766;100%;17.040;100%;9.599;100%;15.266;100%;13.173;100%;16.966;100,0%;9.249;100,0%;10.473
Abstención;31,2%;743.954;38,4%;35.274;31,4%;5.350;42,7%;4.099;38,3%;5.841;41,6%;5.475;37,8%;6.410;36,9%;3.414;44,7%;4.685
Votos blancos;0,7%;15.825;0,5%;467;0,6%;95;0,5%;49;0,5%;82;0,5%;62;0,5%;84;0,6%;59;0,3%;36
Votos a candidaturas;67,7%;1.616.217;60,5%;55.542;67,4%;11.489;56,3%;5.400;60,7%;9.266;57,5%;7.571;61,2%;10.376;62,0%;5.732;54,5%;5.708
PP;23,6%;564.154;14,6%;13.405;11,6%;1.977;10,0%;958;14,4%;2.193;16,5%;2.167;19,0%;3.231;14,1%;1.305;15,0%;1.574
PSOE;10,4%;249.286;14,2%;13.068;17,1%;2.919;15,6%;1.500;14,4%;2.205;13,0%;1.707;11,8%;2.002;14,1%;1.308;13,6%;1.427
Ahora Madrid;21,8%;519.721;22,2%;20.391;27,4%;4.663;21,4%;2.057;22,3%;3.404;18,9%;2.485;21,4%;3.623;24,7%;2.289;17,9%;1.870
Ciudadanos;7,8%;186.487;5,3%;4.829;6,5%;1.101;4,6%;438;5,3%;812;5,3%;692;5,3%;894;4,9%;453;4,2%;439
1.14. SERVICIOS Y EQUIPAMIENTOS MUNICIPALES;;;;;;;;;;;;;;;;;;
1.14.1. Servicios Sociales Municipales (2019);;;;;;;;;;;;;;;;;;
Centros de Servicios Sociales;;39;5,1%;2;;0;;0;;1;;0;;1;;0;;0
Centros Municipales de Mayores ;;90;7,8%;7;;2;;1;;1;;1;;1;;1;;0
Centros de Día de Alzheimer y Físicos;;89;6,7%;6;;1;;1;;1;;2;;0;;0;;1
Apartamentos Municipales para Mayores;;2;0,0%;0;;0;;0;;0;;0;;0;;0;;0
Residencias para personas Mayores ;;3;0,0%;0;;0;;0;;0;;0;;0;;0;;0
Centros de Apoyo a las Familias (CAF);;7;14,3%;1;;0;;0;;0;;0;;0;;0;;1
Centros de Atención a la Infancia (CAI);;13;7,7%;1;;0;;0;;0;;0;;0;;1;;0
Centro de Día de Atención a Niños y Niñas (de 3 a 12 años);;28;7,1%;2;;0;;1;;0;;0;;1;;0;;0
Espacios de Ocio para Adolescentes (El Enredadero);;5;0,0%;0;;0;;0;;0;;0;;0;;0;;0
Centros de Adolescentes y Jóvenes (ASPA) ;;9;0,0%;0;;0;;0;;0;;0;;0;;0;;0
Centros para personas sin hogar;;12;0,0%;0;;0;;0;;0;;0;;0;;0;;0
1.14.2. Género (2019);;;;;;;;;;;;;;;;;;
Espacios de Igualdad;;13;7,7%;1;;1;;0;;0;;0;;0;;0;;0
1.14.3. Salud (2019);;;;;;;;;;;;;;;;;;
Centros Municipales de Salud Comunitaria (CMSC);;16;6,3%;1;;0;;0;;0;;0;;0;;1;;0
Centros de Atención a las Adicciones (CAD y CCAD);;10;0,0%;0;;0;;0;;0;;0;;0;;0;;0
1.14.4. Cultura (2019);;;;;;;;;;;;;;;;;;
Nº de Bibliotecas Municipales;;34;2,9%;1;;0;;1;;0;;0;;0;;0;;0
Nº de Bibliotecas Comunidad Madrid;;16;6,3%;1;;0;;0;;0;;0;;0;;0;;1
Nº de Centros Culturales;;108;6,5%;7;;1;;1;;1;;1;;1;;0;;2
1.14.5. Deportes (2019);;;;;;;;;;;;;;;;;;
Centros deportivos Municipales;;72;5,6%;4;0,0%;0;25,0%;1;25,0%;1;0,0%;0;25,0%;1;25,0%;1;0,0%;0
Superficie deportiva m2 (2017);;2.074.404;7,1%;146.500;;;;;;;;;;;;;;
Instalaciones deportivas básicas;;477;7,1%;34;26,5%;9;17,6%;6;11,8%;4;8,8%;3;14,7%;5;11,8%;4;8,8%;3
Acceso controlado (2017);;97;9,3%;9;;;;;;;;;;;;;;
Campos de fútbol 11;;21;4,8%;1;;0;;0;;0;;0;;0;;1;;0
Pista de atletismo ;;7;14,3%;1;;0;;0;;0;;0;;0;;1;;0
Piscinas cubiertas;;49;6,1%;3;;0;;1;;0;;0;;1;;1;;0
Piscinas de verano;;23;13,0%;3;;1;;0;;1;;0;;1;;0;;0
1.14.6. Zonas verdes (2016);;;;;;;;;;;;;;;;;;
Zonas verdes (Ha);;6.219,15;3,1%;194,88;;;;;;;;;;;;;;
"Relación de zona verde (m2)/habitante (deseables 15m2/hab; mínimo 10m2/hab)";;19,30;;14,23;;;;;;;;;;;;;;
1.14.7. Educación (Curso académico 2018-2019);;;;;;;;;;;;;;;;;;
Escuelas Infantiles Municipales (2019);;56;3,6%;2;;1;;0;;0;;1;;0;;0;;0
Escuelas Infantiles Públicas CAM;;150;8,0%;12;;;;;;;;;;;;;;
Escuelas Infantiles Privadas;;419;2,4%;10;;;;;;;;;;;;;;
Colegios Públicos Infantil y Primaria (+ 3 centros con Secundaria);;247;4,5%;11;;;;;;;;;;;;;;
Institutos Públicos de Educación Secundaria;;112;5,4%;6;;;;;;;;;;;;;;
Colegios Privados Inf. o Pri. o Inf. y Pri.;;88;4,5%;4;;;;;;;;;;;;;;
Colegios Privados Inf., Pri. y Sec. o Pri. y Sec. ;;274;4,4%;12;;;;;;;;;;;;;;
1.14.8. Empresa y Comercio (2019);;;;;;;;;;;;;;;;;;
Mercados Municipales;;45;6,7%;3;;1;;0;;0;;1;;1;;0;;0
1.15. PARTICIPACIÓN CIUDADANA ;;;;;;;;;;;;;;;;;;
1.15.1. Entidades de participación ciudadana (2019) ;;;;;;;;;;;;;;;;;;
Asociaciones (Sección 1ª);;2.412;4,7%;113;16,8%;19;13,3%;15;11,5%;13;15,9%;18;16,8%;19;15,9%;18;9,7%;11
Nº de asociaciones culturales y casas regionales;;489;2,7%;13;15,4%;2;7,7%;1;23,1%;3;15,4%;2;7,7%;1;15,4%;2;15,4%;2
Nº de asociaciones de mujeres;;75;4,0%;3;66,7%;2;33,3%;1;0,0%;0;0,0%;0;0,0%;0;0,0%;0;0,0%;0
Nº de asociaciones de vecinos;;221;5,4%;12;16,7%;2;16,7%;2;8,3%;1;33,3%;4;8,3%;1;8,3%;1;8,3%;1
Fundaciones (Sección 2ª);;24;8,3%;2;50,0%;1;50,0%;1;0,0%;0;0,0%;0;0,0%;0;0,0%;0;0,0%;0
1.15.2 Decide Madrid;;;;;;;;;;;;;;;;;;
Presupuestos participativos 2018: nº propuestas;;3.323;3,8%;126;;;;;;;;;;;;;;
Presupuestos participativos 2018: nº participantes;;115.594;4,9%;5641;;;;;;;;;;;;;;
Votación ciudadana 2017: nº votaciones;;217.323;3,2%;6.977;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
1.16. PRESUPUESTO 2019;;;;;;;;;;;;;;;;;;
PROGRAMA;;CAPÍTULOS;;;;;;;;;;;;;;;;
;;1;;2;;3;;4;;5;;6;;7;;TOTAL;;
OTRAS ACTUACIONES EN VÍAS PÚBLICAS;153.22;;;80.500 €;;;;;;;;;;;;80.500 €;;
ZONAS VERDES;171.02;;;50.000 €;;;;;;;;;;;;50.000 €;;
FAMILIA E INFANCIA;231.02;;;484.687 €;;;;414.712 €;;;;;;21.400 €;;920.799 €;;
PERSONAS MAYORES Y SERVICIOS SOCIALES;231.03;;;13.686.073 €;;;;50.000 €;;;;;;25.000 €;;13.761.073 €;;
INTEGRACIÓN COMUNITARIA Y EMERGENCIA SOCIAL;231.06;2.200.384 €;;424.514 €;;;;250.000 €;;;;1.200 €;;16.500 €;;2.892.598 €;;
SALUBRIDAD PÚBLICA;311.01;392.827 €;;1.000 €;;;;;;;;;;;;393.827 €;;
CENTROS DOCENTES ENSEÑANZA INFANTIL Y PRIMARIA;323.01;;;3.657.672 €;;;;;;;;100.000 €;;;;3.757.672 €;;
ABSENTISMO;325.01;;;839.194 €;;;;;;;;;;;;839.194 €;;
SERVICIOS COMPLEMENTARIOS EDUCACIÓN;326.01;;;769.739 €;;;;200.000 €;;;;20.000 €;;;;989.739 €;;
ACTIVIDADES CULTURALES;334.01;547.202 €;;1.454.816 €;;;;34.000 €;;;;;;;;2.036.018 €;;
ACTUACIONES DEPORTIVAS EN DISTRITOS;341.01;;;289.722 €;;;;50.000 €;;;;;;;;339.722 €;;
INSTALACIONES DEPORTIVAS;342.01;5.257.991 €;;1.476.557 €;;;;;;;;200.000 €;;;;6.934.548 €;;
CONSUMO;493.00;159.843 €;;;;;;;;;;;;;;159.843 €;;
CONCEJALÍA-PRESIDENCIA DEL DISTRITO;912.2;229.899 €;;19.017 €;;;;;;;;;;;;248.916 €;;
DIREC. Y GESTIÓN ADMTVA. DEL DISTRITO;920.01;3.002.923 €;;255.083 €;;;;;;;;;;;;3.258.006 €;;
PARTICIPACIÓN CIUDADANA Y VOLUNTARIADO;924.01;;;170.000 €;;;;330.000 €;;;;;;25.000 €;;525.000 €;;
EDIFICIOS;933.02;;;2.242.948 €;;;;;;;;62.200 €;;;;2.305.148 €;;
CENTRO 001;;11.791.069 €;;25.901.522 €;;0 €;;1.328.712 €;;0 €;;383.400 €;;87.900 €;;39.492.603 €;;
SECCIÓN 212;;11.791.069 €;;25.901.522 €;;0 €;;1.328.712 €;;0 €;;383.400 €;;87.900 €;;39.492.603 €;;
