06. TETUÁN. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;TETUÁN;;Bellas Vistas;;Cuatro Caminos;;Castillejos;;Almenara;;Valdeacederas;;Berruguete;;;;;;;;;;;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1ª nacionalidad extranjera en el Distrito: Filipinas (% respecto total extranjeros del distrito);2,8%;12.901;4,6%;1.396;12,1%;805;8,5%;440;7,9%;244;22,8%;743;15,9%;941;3,9%;233;;;;;;;;;;;;;;;;;;;;;;;;
2ª nacionalidad extranjera en el Distrito: Paraguay (% respecto total extranjeros del distrito);0,7%;3.332;11,1%;3332;8,1%;540;7,2%;369;8,0%;247;11,8%;384;16,7%;985;13,4%;807;;;;;;;;;;;;;;;;;;;;;;;;
1.2.2. Estructura de los hogares (01-01-2019);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nº total de hogares;100%;1.290.164;5,1%;66.428;17,9%;11.860;22,6%;15.031;14,1%;9.351;14,0%;9.324;16,0%;10.607;15,4%;10.255;;;;;;;;;;;;;;;;;;;;;;;;
Tamaño medio del hogar;;2,53  ;;2,38;;2,46;;2,30;;2,19;;2,43;;2,45;;2,44;;;;;;;;;;;;;;;;;;;;;;;;
Hogares con una mujer sola >65 años;9,8%;126.044;10,0%;6.648;10,3%;1.225;11,6%;1.740;11,4%;1.066;9,2%;859;7,6%;803;9,3%;955;;;;;;;;;;;;;;;;;;;;;;;;
Hogares con un hombre solo >65 años;2,8%;36.720;3,0%;2.002;3,1%;362;3,1%;473;3,7%;349;3,1%;287;2,3%;248;2,8%;283;;;;;;;;;;;;;;;;;;;;;;;;
Hogares monoparentales: una mujer adulta con uno o más menores;21,1%;27.460;1,5%;1.018;1,3%;158;1,4%;206;1,1%;105;1,8%;169;1,8%;191;1,8%;189;;;;;;;;;;;;;;;;;;;;;;;;
Hogares monoparentales: un hombre adulto con uno o más menores;0,4%;5.491;0,3%;230;0,3%;39;0,4%;58;0,3%;31;0,3%;26;0,4%;42;0,3%;34;;;;;;;;;;;;;;;;;;;;;;;;
1.2.3. Dinámica demográfica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa bruta de natalidad 2018 (‰);;8,57;;8,9;;9,1;;8,4;;8,5;;8,2;;10,8;;8,6;;;;;;;;;;;;;;;;;;;;;;;;
Tasa de crecimiento demográfico 2018 (%);;1,37;;1,3;;1,4;;1,0;;0,7;;1,0;;1,7;;1,6;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer MUJERES *(mortalidad del periodo 2013-2016);;87,5;;87,7;;88,6;;88,5;;87,7;;86,8;;85,8;;87,9;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES *(mortalidad del periodo 2013-2016);;81,9;;81,6;;82,0;;81,7;;82,9;;80,2;;81,4;;80,9;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer MUJERES (2018);;87,6;;87,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (2018);;82,2;;81,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años MUJERES (2018);;24,6;;24,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años HOMBRES (2018);;20,6;;20,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.4. Mujeres y hombres;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género IDG (2018);;0,8308;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género IDG (2008);;0,7462;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.3. INDICADORES ECONÓMICOS ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Renta neta media anual de los hogares (Urban Audit). 2016;;39.613,0 €;90%;35.609 €;81%;28.861 €;125%;44.416 €;131%;46.596 €;83%;29.675 €;81%;28.694 €;82%;29.321 €;;;;;;;;;;;;;;;;;;;;;;;;
