02. ARGANZUELA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;ARGANZUELA;;Imperial;;Las Acacias;;La Chopera;;Legazpi;;Las Delicias;;Palos de la Frontera;;Atocha;;;;;;;;;;;;;
1.2.2. Estructura de los hogares (01-01-2021);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nº total de hogares;100%;1.306.612;5,0%;65.479;14,7%;9.628;23,6%;15.474;13,2%;8.626;11,6%;7.603;18,1%;11.826;18,0%;11.802;18,3%;520;;;;;;;;;;;;
Tamaño medio del hogar;;2,54  ;;2,36;;2,35;;2,35;;2,33;;2,57;;2,40;;2,18;;2,78;;;;;;;;;;;;
Hogares con una mujer sola >65 años;9,9%;129.292;9,4%;6.146;10,0%;961;10,1%;1.557;11,7%;1.012;3,5%;268;8,8%;1038;10,9%;1.291;3,7%;19;;;;;;;;;;;;
Hogares con un hombre solo >65 años;2,9%;38.397;2,8%;1.841;3,0%;288;3,1%;474;3,2%;278;1,5%;116;2,8%;326;3,0%;355;0,8%;4;;;;;;;;;;;;
Hogares monoparentales: una mujer adulta con uno o más menores;2,0%;26.000;1,6%;1.079;1,4%;139;1,5%;239;1,3%;112;2,5%;191;1,8%;210;1,5%;179;1,7%;9;;;;;;;;;;;;
Hogares monoparentales: un hombre adulto con uno o más menores;0,4%;5.236;0,3%;215;0,2%;21;0,4%;56;0,2%;15;0,6%;45;0,4%;46;0,2%;29;0,6%;3;;;;;;;;;;;;
1.2.3. Dinámica demográfica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa bruta de natalidad 2020 (‰);;7,8;;7,4;;6,6;;5,5;;7,0;;10,6;;8,5;;7,0;;12,1;;;;;;;;;;;;
Tasa de crecimiento demográfico 2020 (%);;-0,7;;-0,9;;-1,4;;-1,4;;-1,0;;-1,2;;0,5;;-1,9;;17,6;;;;;;;;;;;;
Esperanza de vida al nacer MUJERES (mortalidad del periodo 2013-2016);;87,5;;88,0;;88,3;;88,2;;89,7;;87,4;;87,2;;87,6;;75,6;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (mortalidad del periodo 2013-2016);;81,9;;82,9;;82,7;;83,5;;83,1;;83,6;;82,4;;82,3;;71,7;;;;;;;;;;;;
Esperanza de vida al nacer MUJERES (2020);;85,2;;85,5;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (2020);;79,3;;79,0;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años MUJERES (2020);;22,4;;22,1;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años HOMBRES (2020);;17,7;;17,5;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.4. Mujeres y hombres;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2019);;0,842;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2009);;0,795;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.3. INDICADORES ECONÓMICOS ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Renta neta media anual de los hogares (Urban Audit). 2018;;42.283,0 €;104%;43.789,0 €;107%;46.879,4 €;109%;47.683,2 €;80%;35.015,5 €;120%;52.569,1 €;98%;43.018,1 €;85%;37.389,1 €;97%;42.657,0 €;;;;;;;;;;;;
Renta disponible Bruta Per Cápita 2019 ;;21.638,0 €;;24.137,0 €;;;;;;;;;;;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito HOMBRES (2020);;1.521,8 €;108%;1.645,8 €;100%;1.650,7 €;106%;1.736,6 €;94%;1.540,3 €;103%;1.695,4 €;99%;1.631,0 €;95%;1.561,3 €;98%;1.614,9 €;;;;;;;;;;;;
Pensión media mensual del Distrito MUJERES (2020);;1.146,5 €;112%;1.282,9 €;99%;1.268,8 €;107%;1.369,7 €;93%;1.191,6 €;104%;1.336,8 €;100%;1.279,0 €;96%;1.234,2 €;90%;1.152,0 €;;;;;;;;;;;;
1.4. INDICADORES DE DESEMPLEO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa de actividad global ciudad de Madrid (EPA. 4º trimestre 2021);62,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres ;67,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres;58,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Número de personas paradas en la ciudad de Madrid (EPA. 4º trimestre 2021) (miles);;175,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres (miles);;79,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres (miles);;95,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paro registrado (nº de personas registradas en SEPE en febrero 2022);;160.316;3,9%;6.188;14,7%;909;22,5%;1.390;14,5%;900;10,0%;618;16,3%;1.010;17,9%;1.106;1,1%;65;;;;;;;;;;;;
Tasa absoluta de paro registrado (febrero 2022);7,33;;5,95;;6,30;;6,10;;7,04;;4,52;;5,30;;6,54;;5,66;;;;;;;;;;;;;
Tasa absoluta de paro registrado HOMBRES ;6,52;;5,31;;5,52;;5,45;;6,58;;3,84;;4,74;;5,88;;4,52;;;;;;;;;;;;;
De 16 a 24 años;3,33;;2,11;;2,39;;1,94;;3,17;;2,01;;1,31;;2,31;;3,38;;;;;;;;;;;;;
De 25 a 44 años;5,45;;4,44;;4,98;;4,88;;4,89;;3,53;;3,81;;4,49;;3,05;;;;;;;;;;;;;
De 45 a 64 años;8,63;;7,12;;6,88;;7,09;;9,56;;4,66;;6,65;;8,50;;6,32;;;;;;;;;;;;;
Tasa absoluta de paro registrado MUJERES ;8,08;;6,55;;7,03;;6,68;;7,47;;5,17;;5,83;;7,19;;6,81;;;;;;;;;;;;;
De 16 a 24 años;3,34;;2,21;;2,30;;2,18;;3,52;;1,58;;2,42;;1,61;;1,64;;;;;;;;;;;;;
De 25 a 44 años;7,30;;5,69;;6,15;;6,35;;6,13;;4,51;;4,44;;6,40;;5,36;;;;;;;;;;;;;
De 45 a 64 años;10,17;;8,41;;8,85;;8,07;;9,86;;6,62;;8,08;;9,34;;9,21;;;;;;;;;;;;;
Personas paradas de larga duración (febrero 2022);51,9%;83.245;48,9%;3.028;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;38,9%;32.359;40,9%;1.238;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;61,1%;50.886;59,1%;1.790;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas paradas que SI perciben prestaciones (febrero 2022);42,4%;68.028;46,4%;2.869;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;47,3%;32.178;45,7%;1.312;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;52,7%;35.850;54,3%;1.557;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas paradas que NO perciben prestaciones (febrero 2022);57,6%;92.288;53,6%;3.319;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;39,5%;36.473;41,0%;1.362;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;60,5%;55.815;59,0%;1.957;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5. EDUCACIÓN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5.1. Población en etapas educativas (01/01/2021);100,0%;455.915;100%;18.571;100%;2.560;100%;3.687;100%;2.121;100%;3.550;100%;3.903;100%;2.459;100%;291;;;;;;;;;;;;
0 a 2 años;17,2%;78.328;18,9%;3.507;18,0%;461;17,8%;657;22,2%;470;17,3%;614;18,8%;733;21,0%;517;18,9%;55;;;;;;;;;;;;
Infantil (3 a 5 años);18,5%;84.424;19,1%;3.549;18,8%;482;19,5%;718;22,2%;471;18,4%;654;18,8%;735;17,9%;439;17,2%;50;;;;;;;;;;;;
Primaria (6 a 11 años);38,4%;175.023;37,6%;6.980;35,8%;917;37,5%;1.383;35,5%;754;40,5%;1.437;37,8%;1.477;36,8%;906;36,4%;106;;;;;;;;;;;;
Secundaria (12 a 15 años);25,9%;118.140;24,4%;4.535;27,3%;700;25,2%;929;20,1%;426;23,8%;845;24,5%;958;24,3%;597;27,5%;80;;;;;;;;;;;;
Etapas educativas. Total niños;51,1%;233.089;50,8%;9.431;49,4%;1.265;51,3%;1.893;50,3%;1.067;51,6%;1.832;50,9%;1.988;50,4%;1.239;50,5%;147;;;;;;;;;;;;
0 a 2 años;17,1%;39.956;19,6%;1.846;19,1%;241;18,7%;354;22,4%;239;17,8%;326;19,2%;382;22,4%;278;8,9%;26;;;;;;;;;;;;
Infantil (3 a 5 años);18,6%;43.338;19,1%;1.804;18,7%;237;19,6%;371;22,2%;237;18,2%;333;18,9%;376;18,0%;223;9,3%;27;;;;;;;;;;;;
Primaria (6 a 11 años);38,4%;89.462;37,7%;3.553;36,4%;461;36,9%;698;35,8%;382;41,0%;751;38,3%;762;36,4%;451;16,5%;48;;;;;;;;;;;;
Secundaria (12 a 15 años);25,9%;60.333;23,6%;2.228;25,8%;326;24,8%;470;19,6%;209;23,0%;422;23,5%;468;23,2%;287;15,8%;46;;;;;;;;;;;;
Etapas educativas. Total niñas;48,9%;222.826;49,2%;9.140;50,6%;1.295;48,7%;1.794;49,7%;1.054;48,4%;1.718;49,1%;1.915;49,6%;1.220;49,5%;144;;;;;;;;;;;;
0 a 2 años;17,2%;38.372;18,2%;1.661;17,0%;220;16,9%;303;21,9%;231;16,8%;288;18,3%;351;19,6%;239;20,1%;29;;;;;;;;;;;;
Infantil (3 a 5 años);18,4%;41.086;19,1%;1.745;18,9%;245;19,3%;347;22,2%;234;18,7%;321;18,7%;359;17,7%;216;16,0%;23;;;;;;;;;;;;
Primaria (6 a 11 años);38,4%;85.561;37,5%;3.427;35,2%;456;38,2%;685;35,3%;372;39,9%;686;37,3%;715;37,3%;455;40,3%;58;;;;;;;;;;;;
Secundaria (12 a 15 años);25,9%;57.807;25,2%;2.307;28,9%;374;25,6%;459;20,6%;217;24,6%;423;25,6%;490;25,4%;310;23,6%;34;;;;;;;;;;;;
1.5.2. Escolarización del alumnado por tipo de centro (año escolar 2019/20);100,0%;531.839;100%;18.835;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;42,4%;225.516;30,0%;5.654;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;18,4%;97.728;18,1%;3.415;;;;;;;;;;;;;;;;;;;;;;;;;;
