05. CHAMARTÍN. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;CHAMARTÍN;;El Viso;;Prosperidad;;Ciudad Jardín;;Hispanoamérica;;Nueva España;;Castilla;;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nº total de hogares;100%;1.306.612;4,5%;58.413;10,5%;6.146;27,2%;15.906;13,8%;8.056;21,2%;12.406;15,8%;9.223;11,4%;6.676;;;;;;;;;;;;;;;
Tamaño medio del hogar;;2,54  ;;2,49;;2,82;;2,28;;2,31;;2,55;;2,68;;2,56;;;;;;;;;;;;;;;
Hogares con una mujer sola >65 años;9,9%;129.292;11,3%;6.583;8,7%;535;12,9%;2.057;11,8%;953;11,8%;1.469;9,7%;891;10,2%;678;;;;;;;;;;;;;;;
Hogares con un hombre solo >65 años;2,9%;38.397;3,2%;1.891;3,3%;204;3,1%;495;3,2%;258;3,2%;400;3,3%;304;3,4%;230;;;;;;;;;;;;;;;
Hogares monoparentales: una mujer adulta con uno o más menores;2,0%;26.000;1,5%;881;1,2%;74;1,5%;231;1,7%;134;1,6%;196;1,7%;160;1,3%;86;;;;;;;;;;;;;;;
Hogares monoparentales: un hombre adulto con uno o más menores;0,4%;5.236;0,4%;218;0,5%;28;0,4%;66;0,2%;18;0,3%;40;0,4%;37;0,4%;29;;;;;;;;;;;;;;;
1.2.3. Dinámica demográfica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa bruta de natalidad 2020 (‰);;7,8;;8,9;;9,1;;7,3;;10,2;;9,3;;9,8;;8,6;;;;;;;;;;;;;;;
Tasa de crecimiento demográfico 2020 (%);;-0,7;;-1,3;;-0,5;;-1,7;;-1,5;;-1,3;;-1,3;;-0,8;;;;;;;;;;;;;;;
Esperanza de vida al nacer MUJERES (mortalidad del periodo 2013-2016);;87,5;;88,1;;87,9;;87,4;;88,2;;88,6;;88,5;;88,4;;;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (mortalidad del periodo 2013-2016);;81,9;;82,8;;84,4;;81,8;;81,9;;83,0;;82,8;;84,0;;;;;;;;;;;;;;;
Esperanza de vida al nacer MUJERES (2020);;85,2;;85,1;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (2020);;79,3;;80,3;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años MUJERES (2020);;22,4;;22,4;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años HOMBRES (2020);;17,7;;18,5;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.4. Mujeres y hombres;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2019);;0,842;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2009);;0,795;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.3. INDICADORES ECONÓMICOS ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Renta neta media anual de los hogares (Urban Audit). 2018;;42.283,0 €;167%;70.735,0 €;114%;80.370,4 €;66%;46.804,5 €;69%;48.943,8 €;98%;69.389,2 €;110%;78.097,7 €;87%;61.310,2 €;;;;;;;;;;;;;;;
Renta disponible Bruta Per Cápita 2019 ;;21.638,0 €;;37.952,0 €;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito HOMBRES (2020);;1.521,8 €;120%;1.833,6 €;100%;1.830,0 €;98%;1.793,6 €;94%;1.730,3 €;103%;1.888,7 €;103%;1.880,4 €;103%;1.893,4 €;;;;;;;;;;;;;;;
Pensión media mensual del Distrito MUJERES (2020);;1.146,5 €;123%;1.408,3 €;96%;1.357,8 €;101%;1.424,8 €;98%;1.381,7 €;101%;1.420,9 €;102%;1.441,8 €;98%;1.374,8 €;;;;;;;;;;;;;;;
1.4. INDICADORES DE DESEMPLEO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa de actividad global ciudad de Madrid (EPA. 4º trimestre 2021);62,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres ;67,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres;58,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Número de personas paradas en la ciudad de Madrid (EPA. 4º trimestre 2021) (miles);;175,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres (miles);;79,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres (miles);;95,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
