07. CHAMBERÍ. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;
 ;CIUDAD;;CHAMBERÍ;;Gaztambide;;Arapiles;;Trafalgar;;Almagro;;Ríos Rosas;;Vallehermoso;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;467,92;;50,65;;57,82;;61,19;;93,79;;97,54;;106,92;
Esperanza de vida al nacer MUJERES (mortalidad del periodo 2009-2012);;85,9;;85,9;;86,3;;85,1;;85,5;;85,4;;86,4;;86,5
Esperanza de vida al nacer HOMBRES (mortalidad del periodo 2009-2012);;79,9;;80,8;;80,3;;79,9;;80,5;;81,6;;81,5;;81,0
Esperanza de vida al nacer MUJERES (2017);;87,1;;87,3;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (2017);;82,0;;82,2;;;;;;;;;;;;
Esperanza de vida > 65 años MUJERES (2017);;24,3;;24,3;;;;;;;;;;;;
Esperanza de vida > 65 años HOMBRES (2017);;20,3;;19,9;;;;;;;;;;;;
1.2.4. Mujeres y hombres;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2017);;0,816;;;;;;;;;;;;;;
Índice de desigualdad de género (2007);;0,738;;;;;;;;;;;;;;
1.3. INDICADORES ECONÓMICOS ;;;;;;;;;;;;;;;;
Renta neta media anual de los hogares (Urban Audit). 2015;;38.534,6 €;127%;48.989,3 €;87%;42.607,6 €;86%;42.210,2 €;84%;41.126,2 €;140%;68.786,7 €;98%;47.955,3 €;121%;59.458,6 €
Renta disponible Bruta Per Cápita 2014(a);;21.145,9 €;;27.119,0 €;;;;;;;;;;;;
Crecimiento/decrecimiento Renta Bruta Per Cápita 2014(a)-2008;-0,2%;-40,4 €;2,4%;632,1 €;;;;;;;;;;;;
Pensión media mensual del Distrito HOMBRES (2015);;1.376,2 €;;1.649,0 €;;;;;;;;;;;;
Pensión media mensual del Distrito MUJERES (2015);;858,8 €;;993,7 €;;;;;;;;;;;;
1.4. INDICADORES DE DESEMPLEO;;;;;;;;;;;;;;;;
Tasa de actividad global ciudad de Madrid (EPA. 3º trimestre 2018);61,2%;;;;;;;;;;;;;;;
Hombres ;66,4%;;;;;;;;;;;;;;;
Mujeres;56,8%;;;;;;;;;;;;;;;
Número de parados ciudad de Madrid (EPA. 3º trimestre 2018) (miles);;200,1;;;;;;;;;;;;;;
Hombres (miles);;97,3;;;;;;;;;;;;;;
Mujeres (miles);;102,8;;;;;;;;;;;;;;
Paro registrado (nº de personas registradas en SEPE en agosto 2018);;167.871;2,9%;4.895;17,1%;835;17,8%;871;18,5%;904;10,5%;514;17,7%;864;10,6%;521
Tasa absoluta de paro registrado (agosto 2018);7,9%;;5,5%;;6,2%;;6,0%;;5,9%;;4,4%;;5,3%;;4,6%;
Tasa absoluta de paro registrado MUJERES;8,6%;;5,8%;;6,6%;;6,4%;;6,2%;;4,4%;;5,8%;;4,9%;
De 16 a 24 años;4,6%;;1,8%;;2,4%;;2,3%;;2,6%;;0,6%;;1,9%;;1,1%;
De 25 a 44 años;8,3%;;5,3%;;5,9%;;5,5%;;5,9%;;4,4%;;4,9%;;4,7%;
De 45 a 64 años;10,1%;;7,4%;;8,6%;;8,6%;;7,4%;;5,3%;;7,7%;;6,1%;
Tasa absoluta de paro registrado HOMBRES ;7,1%;;5,1%;;5,7%;;5,4%;;5,6%;;4,4%;;4,8%;;4,3%;
De 16 a 24 años;4,5%;;1,8%;;1,9%;;2,9%;;2,0%;;1,1%;;2,1%;;0,8%;
De 25 a 44 años;6,1%;;4,4%;;5,4%;;4,6%;;4,6%;;3,7%;;4,0%;;4,1%;
De 45 a 64 años;9,1%;;6,9%;;7,3%;;7,5%;;7,9%;;6,3%;;6,5%;;5,7%;
Parados de larga duración (agosto 2018);41,0%;68.898;36,1%;1.765;;;;;;;;;;;;
Hombres;40,4%;27.816;38,7%;683;;;;;;;;;;;;
Mujeres ;59,6%;41.082;61,3%;1.082;;;;;;;;;;;;
Parados que SÍ perciben prestaciones (agosto 2018);37,3%;62.541;44,7%;2.186;;;;;;;;;;;;
Hombres;47,0%;29.412;46,1%;1.007;;;;;;;;;;;;
Mujeres ;53,0%;33.129;53,9%;1.179;;;;;;;;;;;;
Parados que NO perciben prestaciones (agosto 2018);62,7%;105.330;55,3%;2.709;;;;;;;;;;;;
Hombres;40,7%;42.906;40,3%;1.091;;;;;;;;;;;;
Mujeres ;59,3%;62.424;59,7%;1.618;;;;;;;;;;;;
1.5. EDUCACIÓN;;;;;;;;;;;;;;;;
1.5.1. Población en etapas educativas (01/01/2018);100%;463.011;100%;15.256;100%;2.222;100%;2.632;100%;2.608;100%;2.341;100%;3.140;100%;2.313
0 a 2 años;18,8%;87.088;21,5%;3.274;21,0%;466;21,4%;562;22,7%;592;21,4%;501;23,6%;742;17,8%;411
Infantil (3 a 5 años);18,7%;86.699;18,6%;2.844;19,7%;437;19,9%;524;18,6%;486;18,7%;438;17,5%;551;17,6%;408
Primaria (6 a 11 años);38,2%;176.730;36,1%;5.511;34,1%;757;35,1%;925;35,5%;925;36,6%;856;37,0%;1.161;38,3%;887
Secundaria (12 a 15 años);24,3%;112.494;23,8%;3.627;25,3%;562;23,6%;621;23,2%;605;23,3%;546;21,8%;686;26,2%;607
Etapas educativas. Total niños;51,2%;237.098;50,7%;7.735;51,0%;1.134;51,5%;1.356;51,5%;1.344;49,9%;1.168;49,7%;1.561;50,7%;1.172
0 a 2 años;18,8%;44.551;21,6%;1.674;20,9%;237;21,7%;294;23,6%;317;21,6%;252;23,3%;364;17,9%;210
Infantil (3 a 5 años);18,8%;44.489;18,9%;1.459;19,9%;226;19,2%;261;18,8%;252;19,3%;225;18,1%;282;18,2%;213
Primaria (6 a 11 años);38,2%;90.647;36,0%;2.784;34,4%;390;36,1%;490;35,0%;471;37,5%;438;36,2%;565;36,7%;430
Secundaria (12 a 15 años);24,2%;57.411;23,5%;1.818;24,8%;281;22,9%;311;22,6%;304;21,7%;253;22,4%;350;27,2%;319
Etapas educativas. Total niñas;48,8%;225.913;49,3%;7.521;49,0%;1.088;48,5%;1.276;48,5%;1.264;50,1%;1.173;50,3%;1.579;49,3%;1.141
0 a 2 años;18,8%;42.537;21,3%;1.600;21,0%;229;21,0%;268;21,8%;275;21,2%;249;23,9%;378;17,6%;201
Infantil (3 a 5 años);18,7%;42.210;18,4%;1.385;19,4%;211;20,6%;263;18,5%;234;18,2%;213;17,0%;269;17,1%;195
Primaria (6 a 11 años);38,1%;86.083;36,3%;2.727;33,7%;367;34,1%;435;35,9%;454;35,6%;418;37,7%;596;40,1%;457
Secundaria (12 a 15 años);24,4%;55.083;24,1%;1.809;25,8%;281;24,3%;310;23,8%;301;25,0%;293;21,3%;336;25,2%;288
1.5.2. Escolarización de alumnos por tipo de centro (año escolar 2016/17);100%;510.340;100%;20.606;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;43,3%;220.761;51,4%;10.598;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;17,5%;89.197;22,3%;4.602;;;;;;;;;;;;
En centros PÚBLICOS;39,3%;200.382;26,2%;5.406;;;;;;;;;;;;
Total alumnos extranjeros;10,3%;52.588;10,6%;2.176;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;34,7%;18.249;49,0%;1.067;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;8,6%;4.514;19,1%;415;;;;;;;;;;;;
En centros PÚBLICOS;56,7%;29.825;31,9%;694;;;;;;;;;;;;
Total alumnos con necesidades de apoyo educativo;3,9%;19.911;2,4%;493;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;50,1%;9.977;57,0%;281;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;3,8%;764;1,0%;5;;;;;;;;;;;;
En centros PÚBLICOS;46,1%;9.170;42,0%;207;;;;;;;;;;;;
1.5.3. Nivel de estudios de la población ≥ 25 años (01/01/2018);;;;;;;;;;;;;;;;
No sabe leer ni escribir o sin estudios;5,2%;129.614;1,8%;2.003;2,0%;371;2,2%;439;1,9%;385;1,4%;214;1,9%;411;1,1%;183
Primaria incompleta;12,1%;301.397;5,8%;6.596;6,2%;1.163;6,9%;1.380;6,4%;1.303;4,6%;733;5,9%;1.292;4,5%;725
Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado;26,5%;659.083;15,5%;17.550;15,9%;2.956;16,9%;3.369;15,7%;3.181;15,2%;2.408;16,0%;3.536;13,0%;2.100
Formación profesional 2º grado, Bachiller Superior o BUP;19,1%;475.507;17,1%;19.316;17,1%;3.192;17,5%;3.475;17,1%;3.457;16,5%;2.608;16,9%;3.729;17,6%;2.855
Titulados medios, diplomados, arquitecto o ingeniero técnico;9,7%;240.663;10,7%;12.061;10,7%;2.000;10,4%;2.072;10,7%;2.160;10,8%;1.711;10,4%;2.288;11,3%;1.830
Estudios superiores, licenciado, arquitecto o ingeniero superior, estudios superiores no universitarios, doctorado, estudios postgraduados;27,3%;681.198;48,9%;55.194;47,9%;8.931;45,9%;9.135;48,1%;9.755;51,3%;8.128;48,9%;10.794;52,2%;8.451
Nivel de estudios desconocido y no consta;0,1%;3.467;0,2%;189;0,2%;30;0,2%;31;0,2%;31;0,3%;40;0,1%;24;0,2%;33
1.5.4. Programa de prevención y control del absentismo escolar;;;;;;;;;;;;;;;;
Casos trabajados por el programa de absentismo municipal (curso escolar 2017-2018);100,0%;3.901;0,7%;29;;;;;;;;;;;;
Casos trabajados HOMBRES;50,1%;1.955;44,8%;13;;;;;;;;;;;;
Casos trabajados MUJERES;49,9%;1.946;55,2%;16;;;;;;;;;;;;
1.6. SALUD;;;;;;;;;;;;;;;;
1.6.1. Hábitos y estilos de vida (2017. Estudio Madrid Salud);;;;;;;;;;;;;;;;
Sedentarismo;30,0%;;28,4%;;;;;;;;;;;;;
Sedentarismo HOMBRES ;25,2%;;;;;;;;;;;;;;;
Sedentarismo MUJERES ;34,0%;;;;;;;;;;;;;;;
Consumo de tabaco diario;18,9%;;23,6%;;;;;;;;;;;;;
Consumo de tabaco diario HOMBRES;20,2%;;;;;;;;;;;;;;;
Consumo de tabaco diario MUJERES ;17,9%;;;;;;;;;;;;;;;
Consumo de medicamentos ;66,3%;;68,7%;;;;;;;;;;;;;
Consumo de medicamentos HOMBRES  ;62,4%;;;;;;;;;;;;;;;
Consumo de medicamentos MUJERES ;69,7%;;;;;;;;;;;;;;;
1.6.2. Indicadores de nivel de salud (2017. Estudio Madrid Salud);;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud  (% respuesta muy buena + buena);72,3%;;76,5%;;;;;;;;;;;;;
Autopercepción de buen estado de salud HOMBRES ;77,4%;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud MUJERES ;68,0%;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) ;20,2%;;19,9%;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) HOMBRES;19,0%;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) MUJERES;21,1%;;;;;;;;;;;;;;;
Presencia de enfermedad crónica ;39,8%;;38,7%;;;;;;;;;;;;;
Presencia de enfermedad crónica HOMBRES ;36,6%;;;;;;;;;;;;;;;
Presencia de enfermedad crónica MUJERES;42,4%;;;;;;;;;;;;;;;
Hipertensión arterial;18,8%;;18,4%;;;;;;;;;;;;;
Hipertensión arterial HOMBRES;19,7%;;;;;;;;;;;;;;;
Hipertensión arterial MUJERES;18,1%;;;;;;;;;;;;;;;
Diabetes Mellitus;6,0%;;4,6%;;;;;;;;;;;;;
Diabetes Mellitus HOMBRES;6,9%;;;;;;;;;;;;;;;
Diabetes Mellitus MUJERES;5,3%;;;;;;;;;;;;;;;
Personas con obesidad ;12,2%;;7,2%;;;;;;;;;;;;;
Personas con obesidad HOMBRES ;13,3%;;;;;;;;;;;;;;;
Personas con obesidad MUJERES;11,2%;;;;;;;;;;;;;;;
Personas con sobrepeso;33,5%;;30,5%;;;;;;;;;;;;;
Personas con sobrepeso HOMBRES;41,1%;;;;;;;;;;;;;;;
Personas con sobrepeso MUJERES;27,0%;;;;;;;;;;;;;;;
Personas mayores de 65 años con alguna dependencia funcional;32,4%;;40,9%;;;;;;;;;;;;;
Alguna dependencia funcional HOMBRES ;39,1%;;;;;;;;;;;;;;;
Alguna dependencia funcional MUJERES;48,6%;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12);21,1%;;20,6%;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12) HOMBRES;16,6%;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad (GHQ-12) MUJERES;24,9%;;;;;;;;;;;;;;;
Prevalencia de obesidad en la población infantil (2017. Estudio Madrid Salud. UCM);15,8%;;10,5%;;;;;;;;;;;;;
1.6.3. Discapacidad reconocida (31/12/2015);;;;;;;;;;;;;;;;
Nº de personas con grado de discapacidad reconocido;5,6%;180.040;4,6%;6.336;;;;;;;;;;;;
Hombres;48,1%;86.609;44,4%;2.815;;;;;;;;;;;;
Mujeres;51,9%;93.431;55,6%;3.521;;;;;;;;;;;;
Mujeres por cada 100 hombres (Feminización de la discapacidad reconocida);;107,9;;125,1;;;;;;;;;;;;
1.7. CALIDAD DE VIDA  (2017. Estudio >16 años);;;;;;;;;;;;;;;;
1.7.1. Calidad de vida y agenda pública (indicador sintético 0-100);;;;;;;;;;;;;;;;
Satisfacción de vivir en su barrio ;;69,8;;76,4;;;;;;;;;;;;
Calidad de vida actual en su barrio ;;69,5;;75,2;;;;;;;;;;;;
Convivencia vecinal;;67,8;;80,2;;;;;;;;;;;;
1.7.2. Satisfacción con los servicios públicos (escala 0-10);;;;;;;;;;;;;;;;
Espacios verdes;;6,6;;6,0;;;;;;;;;;;;
Parques infantiles ;;6,3;;5,7;;;;;;;;;;;;
Centros culturales;;6,9;;6,5;;;;;;;;;;;;
Organización de fiestas y eventos populares;;6,7;;6,6;;;;;;;;;;;;
Instalaciones deportivas;;6,7;;5,9;;;;;;;;;;;;
Servicios sociales municipales;;6,6;;6,0;;;;;;;;;;;;
Desigualdad en las dotaciones de los barrios (% respuesta muy alta + alta);82,9%;;88,2%;;;;;;;;;;;;;
1.7.3. Principales problemas de la ciudadanía (% personas encuestadas);;;;;;;;;;;;;;;;
1º. Limpieza;41,1%;;49,0%;;;;;;;;;;;;;
2º. Contaminación del aire;15,0%;;23,8%;;;;;;;;;;;;;
3º. Tráfico / atascos;10,8%;;18,2%;;;;;;;;;;;;;
1.7.4. Percepción de seguridad (indicador sintético 0-100);;;;;;;;;;;;;;;;
Percepción de seguridad en Madrid;;69,0;;73,1;;;;;;;;;;;;
Percepción de seguridad en el barrio por el día;;75,4;;77,3;;;;;;;;;;;;
Percepción de seguridad en el barrio por la noche;;61,6;;72,9;;;;;;;;;;;;
1.7.5. Problemas que afectan a la seguridad en los espacios públicos del distrito (escala 0-10);;;;;;;;;;;;;;;;
1º. Residuos por excrementos de animales domésticos;;6,7;;5,9;;;;;;;;;;;;
2º. Personas orinando en la calle ;;4,5;;5,2;;;;;;;;;;;;
3º. Grafitis;;4,0;;4,3;;;;;;;;;;;;
1.7.6. Administración de la ciudad (% de respuesta);;;;;;;;;;;;;;;;
Medio de información de la actividad del Ayuntamiento: REDES SOCIALES;19,3%;;21,0%;;;;;;;;;;;;;
Preferencia de contacto con el Ayuntamiento: EN PERSONA;48,6%;;10,5%;;;;;;;;;;;;;
Percepción sobre la administración del Ayto. en los últimos 5 años: HA MEJORADO;35,3%;;25,2%;;;;;;;;;;;;;
Percepción sobre la administración del Ayto. en los últimos 5 años: HA EMPEORADO;14,5%;;29,4%;;;;;;;;;;;;;
1.7.7. Amigabilidad de la ciudad (% respuesta mucho + bastante);;;;;;;;;;;;;;;;
Madrid ciudad amigable con las personas lesbianas, gays, transexuales y bisexuales;70,8%;;66,6%;;;;;;;;;;;;;
1.8. INDICADORES DE VULNERABILIDAD;;;;;;;;;;;;;;;;
1.8.1. Índice de vulnerabilidad territorial (2018);;;;;;;;;;;;;;;;
Índice de vulnerabilidad territorial;;;;0,0062;;0,0063;;0,0064;;0,0063;;0,0059;;0,0062;;0,0058
Posición en el ranking de distritos y/o barrios de vulnerabilidad territorial;;;;17;;94;;93;;95;;113;;101;;115
1.8.2. Tasa de riesgo de pobleza o exclusión social. Indicador AROPE (2017. Encuesta de Condiciones de Vida);;;;;;;;;;;;;;;;
Tasa de riesgo de pobleza o exclusión social;26,0%;;;;;;;;;;;;;;;
Tasa de riesgo de pobleza o exclusión social HOMBRES;23,9%;;;;;;;;;;;;;;;
Tasa de riesgo de pobleza o exclusión social MUJERES;27,9%;;;;;;;;;;;;;;;
Tasa de riesgo de pobleza o exclusión social N. ESPAÑOLA (>16 años);22,0%;;;;;;;;;;;;;;;
Tasa de riesgo de pobleza o exclusión social N. EXTRANJERA UNIÓN EUROPEA (>16 años);18,1%;;;;;;;;;;;;;;;
Tasa de riesgo de pobleza o exclusión social N. EXTRANJERA RESTO DEL MUNDO (>16 años);63,2%;;;;;;;;;;;;;;;
1.8.3. Tasa de riesgo de pobreza de los hogares (2016. Estudio de Necesidades Sociales. Hogares);;;;;;;;;;;;;;;;
Pareja o matrimonio con hijos;;35,7%;;;;;;;;;;;;;;
Hogar formado por madre con hijos a cargo;;41,1%;;;;;;;;;;;;;;
Nacido en España;;26,4%;;;;;;;;;;;;;;
Nacido en un país fuera de la Unión Europea;;39,2%;;;;;;;;;;;;;;
