13. PUENTE DE VALLECAS. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;PUENTE DE VALLECAS;;Entrevías;;San Diego;;Palomeras Bajas;;Palomeras Sureste;;Portazgo;;Numancia;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nº total de hogares;100%;1.306.612;6,8%;89.291;14,3%;12.749;18,1%;16.125;16,9%;15.130;18,0%;16.074;12,1%;10.842;20,6%;18.371;;;;;;;;;;;;;;
Tamaño medio del hogar;;2,54  ;;2,68;;2,76;;2,70;;2,67;;2,67;;2,65;;2,62;;;;;;;;;;;;;;
Hogares con una mujer sola >65 años;9,9%;129.292;9,4%;8.416;10,3%;1.317;8,3%;1.335;8,6%;1.306;8,8%;1.421;11,3%;1.225;9,9%;1.812;;;;;;;;;;;;;;
Hogares con un hombre solo >65 años;2,9%;38.397;2,8%;2.537;2,9%;364;3,0%;477;2,5%;381;2,7%;439;3,0%;328;3,0%;548;;;;;;;;;;;;;;
Hogares monoparentales: una mujer adulta con uno o más menores;2,0%;26.000;2,1%;1.881;2,0%;261;2,3%;376;2,1%;314;2,1%;332;2,1%;224;2,0%;374;;;;;;;;;;;;;;
Hogares monoparentales: un hombre adulto con uno o más menores;0,4%;5.236;0,3%;261;0,3%;44;0,2%;39;0,3%;49;0,3%;51;0,3%;28;0,3%;50;;;;;;;;;;;;;;
1.2.3. Dinámica demográfica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa bruta de natalidad 2020 (‰);;7,8;;8,2;;8,2;;10,1;;6,7;;7,3;;8,0;;8,5;;;;;;;;;;;;;;
Tasa de crecimiento demográfico 2020 (%);;-0,7;;-0,8;;-0,8;;-0,7;;-1,1;;-0,6;;-0,8;;-0,6;;;;;;;;;;;;;;
Esperanza de vida al nacer MUJERES (mortalidad del periodo 2013-2016);;87,5;;86,8;;87,4;;86,4;;87,0;;86,0;;87,5;;86,9;;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (mortalidad del periodo 2013-2016);;81,9;;79,9;;78,6;;80,2;;81,2;;79,9;;79,0;;80,2;;;;;;;;;;;;;;
Esperanza de vida al nacer MUJERES (2020);;85,2;;83,8;;;;;;;;;;;;;;;;;;;;;;;;;;
