01. CENTRO. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;
 ;CIUDAD;;CENTRO;;Palacio;;Embajadores;;Cortes;;Justicia;;Universidad;;Sol;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;522,82;;146,99;;103,37;;59,19;;73,94;;94,80;;44,53;
Esperanza de vida al nacer MUJERES (mortalidad del periodo 2009-2012);;85,9;;84,6;;82,5;;85,2;;83,6;;84,9;;86,3;;81,2
Esperanza de vida al nacer HOMBRES (mortalidad del periodo 2009-2012);;79,9;;77,7;;76,0;;78,3;;77,9;;77,2;;78,5;;76,5
Esperanza de vida al nacer MUJERES (2017);;87,1;;86,5;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (2017);;82,0;;80,4;;;;;;;;;;;;
Esperanza de vida > 65 años MUJERES (2017);;24,3;;23,8;;;;;;;;;;;;
Esperanza de vida > 65 años HOMBRES (2017);;20,3;;19,2;;;;;;;;;;;;
1.2.4. Mujeres y hombres;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2017);;0,816;;;;;;;;;;;;;;
Índice de desigualdad de género (2007);;0,738;;;;;;;;;;;;;;
1.3. INDICADORES ECONÓMICOS ;;;;;;;;;;;;;;;;
Renta neta media anual de los hogares (Urban Audit). 2015;;38.534,6 €;81%;31.377,8 €;111%;34.675,8 €;83%;25.999,8 €;111%;34.952,7 €;128%;40.314,9 €;98%;30.701,7 €;99%;30.935,8 €
Renta disponible Bruta Per Cápita 2014(a);;21.145,9 €;;23.767,5 €;;;;;;;;;;;;
Crecimiento/decrecimiento Renta Bruta Per Cápita 2014(a)-2008;-0,2%;-40,4 €;5,7%;1.276,9 €;;;;;;;;;;;;
Pensión media mensual del Distrito HOMBRES (2015);;1.376,2 €;;1.230,2 €;;;;;;;;;;;;
Pensión media mensual del Distrito MUJERES (2015);;858,8 €;;835,3 €;;;;;;;;;;;;
1.4. INDICADORES DE DESEMPLEO;;;;;;;;;;;;;;;;
Tasa de actividad global ciudad de Madrid (EPA. 3º trimestre 2018);61,2%;;;;;;;;;;;;;;;
Hombres ;66,4%;;;;;;;;;;;;;;;
Mujeres;56,8%;;;;;;;;;;;;;;;
Número de parados ciudad de Madrid (EPA. 3º trimestre 2018) (miles);;200,1;;;;;;;;;;;;;;
Hombres (miles);;97,3;;;;;;;;;;;;;;
Mujeres (miles);;102,8;;;;;;;;;;;;;;
Paro registrado (nº de personas registradas en SEPE en agosto 2018);;167.871;4,7%;7.807;16,3%;1.274;37,2%;2.907;6,6%;518;10,1%;785;19,9%;1.552;5,3%;410
Tasa absoluta de paro registrado (agosto 2018);7,9%;;7,9%;;8,2%;;8,9%;;6,9%;;6,6%;;7,1%;;7,9%;
Tasa absoluta de paro registrado MUJERES;8,6%;;8,3%;;8,3%;;9,8%;;7,3%;;6,8%;;7,4%;;7,8%;
De 16 a 24 años;4,6%;;3,3%;;2,3%;;5,6%;;2,5%;;1,4%;;2,7%;;1,7%;
De 25 a 44 años;8,3%;;7,4%;;7,5%;;8,9%;;6,3%;;6,0%;;6,5%;;7,0%;
De 45 a 64 años;10,1%;;10,6%;;10,4%;;12,1%;;9,5%;;9,1%;;9,9%;;10,6%;
Tasa absoluta de paro registrado HOMBRES ;7,1%;;7,5%;;8,2%;;8,2%;;6,5%;;6,5%;;6,7%;;8,0%;
De 16 a 24 años;4,5%;;3,6%;;3,3%;;4,4%;;0,8%;;1,8%;;5,0%;;1,7%;
De 25 a 44 años;6,1%;;5,8%;;6,4%;;6,6%;;5,7%;;4,7%;;4,9%;;5,8%;
De 45 a 64 años;9,1%;;10,8%;;11,1%;;11,9%;;8,6%;;9,7%;;9,9%;;12,2%;
Parados de larga duración (agosto 2018);41,0%;68.898;34,7%;2.707;;;;;;;;;;;;
Hombres;40,4%;27.816;51,7%;1.399;;;;;;;;;;;;
Mujeres ;59,6%;41.082;48,3%;1.308;;;;;;;;;;;;
Parados que SÍ perciben prestaciones (agosto 2018);37,3%;62.541;39,5%;3.085;;;;;;;;;;;;
Hombres;47,0%;29.412;49,4%;1.525;;;;;;;;;;;;
Mujeres ;53,0%;33.129;50,6%;1.560;;;;;;;;;;;;
Parados que NO perciben prestaciones (agosto 2018);62,7%;105.330;60,5%;4.722;;;;;;;;;;;;
Hombres;40,7%;42.906;50,6%;2.390;;;;;;;;;;;;
Mujeres ;59,3%;62.424;49,4%;2.332;;;;;;;;;;;;
1.5. EDUCACIÓN;;;;;;;;;;;;;;;;
1.5.1. Población en etapas educativas (01/01/2018);100,0%;463.011;100,0%;11.228;100,0%;1.942;100,0%;4.041;100,0%;765;100,0%;1.436;100,0%;2.538;100,0%;506
0 a 2 años;18,8%;87.088;22,8%;2.561;20,6%;401;22,6%;915;25,8%;197;24,0%;345;23,4%;593;21,7%;110
Infantil (3 a 5 años);18,7%;86.699;19,1%;2.142;19,0%;369;20,0%;809;18,4%;141;19,2%;276;17,4%;441;20,9%;106
Primaria (6 a 11 años);38,2%;176.730;36,1%;4.054;35,3%;685;36,8%;1.489;31,6%;242;34,8%;500;37,7%;957;35,8%;181
Secundaria (12 a 15 años);24,3%;112.494;22,0%;2.471;25,1%;487;20,5%;828;24,2%;185;21,9%;315;21,6%;547;21,5%;109
Etapas educativas. Total niños;51,2%;237.098;51,0%;5.724;49,3%;958;51,8%;2.094;52,4%;401;50,1%;719;51,1%;1.297;50,4%;255
