15. CIUDAD LINEAL. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;CIUDAD LINEAL;;Ventas;;Pueblo Nuevo;;Quintana;;La Concepción;;San Pascual;;San Juan Bautista;;Colina;;Atalaya;;Costillares;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;60.445,52;;1.142,57;;319,80;;231,92;;72,31;;88,59;;105,27;;101,08;;55,97;;24,89;;142,72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con nacionalidad española HOMBRES;46,7%;1.301.434;45,4%;83.033;44,8%;17.666;46,0%;23.352;44,2%;8.686;44,4%;7.851;45,1%;7.308;46,7%;5.202;44,7%;2.535;43,2%;601;47,2%;9.832;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con nacionalidad española MUJERES;53,3%;1.486.863;54,6%;99.729;55,2%;21.808;54,0%;27.389;55,8%;10.969;55,6%;9.822;54,9%;8.886;53,3%;5.945;55,3%;3.131;56,8%;791;52,8%;10.988;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con nacionalidad extranjera (01/01/2021);14,1%;523.994;15,4%;34.054;18,2%;8.937;18,8%;11.990;19,7%;4.965;14,4%;3.053;9,0%;1.629;10,5%;1.337;10,7%;701;12,0%;188;5,6%;1.254;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con nacionalidad extranjera HOMBRES;46,5%;243.712;45,5%;15.480;45,4%;4.055;46,5%;5.579;45,2%;2.244;44,3%;1.354;43,5%;709;46,8%;626;45,9%;322;45,7%;86;40,3%;505;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con nacionalidad extranjera MUJERES;53,5%;280.282;54,5%;18.574;54,6%;4.882;53,5%;6.411;54,8%;2.721;55,7%;1.699;56,5%;920;53,2%;711;54,1%;379;54,3%;102;59,7%;749;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Proporción de personas migrantes (Personas extranjeras menos UE y resto países de OCDE / Población total) (01/01/2021);11,2%;;11,5%;;14,2%;;15,0%;;15,2%;;10,1%;;5,6%;;5,3%;;6,0%;;5,6%;;3,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1ª nacionalidad extranjera en el Distrito: VENEZUELA (% respecto total de población extranjera del distrito);8,0%;41.761;9,4%;3.185;10,2%;911;9,1%;1088;9,3%;463;10,7%;327;7,1%;116;6,5%;87;13,7%;96;3,2%;6;7,3%;91;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2ª nacionalidad extranjera en el Distrito: RUMANÍA (% respecto total de población extranjera del distrito);8,2%;42.708;7,8%;2.663;8,6%;771;8,1%;974;6,4%;317;9,3%;285;11,0%;180;3,3%;44;6,1%;43;1,1%;2;3,7%;47;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.2. Estructura de los hogares (01-01-2021);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nº total de hogares;100%;1.306.612;6,7%;87.225;22,9%;19.993;27,7%;24.178;11,9%;10.367;10,4%;9.088;8,6%;7.509;5,6%;4.903;3,0%;2.602;0,7%;579;9,2%;8.006;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tamaño medio del hogar;;2,54  ;;2,49;;2,42;;2,59;;2,37;;2,28;;2,37;;2,55;;2,45;;2,73;;2,76;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hogares con una mujer sola >65 años;9,9%;129.292;12,1%;10.551;12,7%;2.547;11,2%;2.708;13,5%;1.402;14,2%;1.288;13,3%;995;10,4%;510;9,8%;255;9,3%;54;9,9%;792;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hogares con un hombre solo >65 años;2,9%;38.397;3,2%;2.817;3,5%;692;3,1%;753;3,2%;329;3,9%;353;3,3%;251;2,8%;139;2,9%;76;2,6%;15;2,6%;209;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hogares monoparentales: una mujer adulta con uno o más menores;2,0%;26.000;1,8%;1.610;1,7%;339;1,6%;397;1,6%;168;1,9%;169;2,0%;149;2,6%;126;2,9%;76;2,8%;16;2,1%;170;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hogares monoparentales: un hombre adulto con uno o más menores;0,4%;5.236;0,4%;324;0,3%;50;0,3%;70;0,2%;22;0,5%;41;0,5%;34;0,6%;28;0,8%;22;0,5%;3;0,7%;54;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.3. Dinámica demográfica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa bruta de natalidad 2020 (‰);;7,8;;6,8;;7,1;;7,3;;6,4;;6,0;;5,6;;5,6;;6,5;;12,1;;7,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa de crecimiento demográfico 2020 (%);;-0,7;;-1,4;;-1,0;;-1,3;;-2,1;;-2,0;;-1,6;;-1,9;;-2,4;;1,6;;-0,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer MUJERES (mortalidad del periodo 2013-2016);;87,5;;87,8;;88,2;;88,1;;86,5;;88,5;;85,5;;88,5;;89,1;;86,4;;88,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (mortalidad del periodo 2013-2016);;81,9;;82,3;;81,8;;82,8;;81,7;;81,3;;80,7;;82,8;;82,1;;85,7;;84,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer MUJERES (2020);;85,2;;85,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (2020);;79,3;;79,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años MUJERES (2020);;22,4;;22,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años HOMBRES (2020);;17,7;;18,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.4. Mujeres y hombres;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2019);;0,842;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2009);;0,795;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
