07. CHAMBERÍ. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;CHAMBERÍ;;Gaztambide;;Arapiles;;Trafalgar;;Almagro;;Ríos Rosas;;Vallehermoso;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con nacionalidad extranjera MUJERES;53,8%;247.698;57,2%;9.046;57,9%;1.495;54,9%;1.508;55,8%;1.831;58,1%;1.555;56,5%;1.716;62,9%;941;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Proporción de inmigrantes (Extranjeros menos UE y resto países de OCDE / Población total);9,8%;;6,2%;;6,6%;;6,2%;;6,9%;;7,3%;;6,2%;;4,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1ª nacionalidad extranjera en el Distrito: Italia (% respecto total extranjeros del distrito);4,8%;22.229;11,0%;1.743;8,8%;228;10,7%;295;11,1%;364;10,0%;268;14,9%;451;9,2%;137;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2ª nacionalidad extranjera en el Distrito: Venezuela (% respecto total extranjeros del distrito);6,1%;28.129;6,3%;990;6,0%;156;6,4%;175;7,9%;261;5,8%;156;6,2%;188;3,6%;54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.2. Estructura de los hogares (01-01-2019);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nº total de hogares;100%;1.290.164;4,8%;62.013;16,9%;10.498;18,1%;11.195;18,9%;11.718;13,0%;8.080;19,6%;12.139;13,5%;8.383;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tamaño medio del hogar;;2,53  ;;2,25;;2,18;;2,18;;2,11;;2,45;;2,26;;2,41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hogares con una mujer sola >65 años;9,8%;126.044;12,0%;7.457;13,1%;1.371;12,6%;1.416;11,0%;1.293;10,7%;865;11,7%;1.419;13,0%;1.093;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hogares con un hombre solo >65 años;2,8%;36.720;3,3%;2.071;3,6%;377;3,4%;376;3,4%;393;3,5%;283;3,1%;372;3,2%;270;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hogares monoparentales: una mujer adulta con uno o más menores;21,1%;27.460;1,4%;898;1,2%;122;1,5%;170;1,4%;163;1,6%;132;1,7%;204;1,3%;107;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hogares monoparentales: un hombre adulto con uno o más menores;0,4%;5.491;0,3%;186;0,3%;30;0,2%;22;0,3%;36;0,3%;28;0,4%;46;0,3%;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.3. Dinámica demográfica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa bruta de natalidad 2018 (‰);;8,57;;8,1;;6,7;;8,0;;7,7;;8,7;;9,5;;7,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa de crecimiento demográfico 2018 (%);;1,37;;0,7;;1,0;;0,5;;0,7;;0,0;;1,2;;0,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer MUJERES *(mortalidad del periodo 2013-2016);;87,5;;87,5;;88,8;;88,1;;86,9;;86,0;;87,4;;87,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES *(mortalidad del periodo 2013-2016);;81,9;;81,8;;83,4;;81,5;;81,3;;80,9;;81,2;;82,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
