18. VILLA DE VALLECAS. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;VILLA DE VALLECAS;;Casco Histórico de Vallecas;;Santa Eugenia;;Ensanche de Vallecas;;;;;;;;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.3. Dinámica demográfica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa bruta de natalidad 2020 (‰);;7,8;;10,3;;7,7;;5,4;;14,9;;;;;;;;;;;;;;;;;;;;;
Tasa de crecimiento demográfico 2020 (%);;-0,7;;0,2;;-1,8;;-1,6;;2,7;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer MUJERES (mortalidad del periodo 2013-2016);;87,5;;87,7;;87,8;;87,4;;87,6;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (mortalidad del periodo 2013-2016);;81,9;;81,8;;81,9;;81,2;;81,5;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer MUJERES (2020);;85,2;;83,5;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (2020);;79,3;;77,7;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años MUJERES (2020);;22,4;;20,7;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años HOMBRES (2020);;17,7;;15,8;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.4. Mujeres y hombres;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2019);;0,842;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2009);;0,795;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.3. INDICADORES ECONÓMICOS ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Renta neta media anual de los hogares (Urban Audit). 2018;;42.283,0 €;77%;32.765,0 €;80%;26.309,2 €;118%;38.641 €;107,02%;35.065 €;;;;;;;;;;;;;;;;;;;;;
Renta disponible Bruta Per Cápita 2019 ;;21.638,0 €;;15.615,0 €;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito HOMBRES (2020);;1.521,8 €;94%;1.427,0 €;91%;1.293,6 €;115%;1.637,1 €;93%;1.322,8 €;;;;;;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito MUJERES (2020);;1.146,5 €;88%;1.013,5 €;89%;906,2 €;116%;1.180,6 €;93%;938,9 €;;;;;;;;;;;;;;;;;;;;;
1.4. INDICADORES DE DESEMPLEO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa de actividad global ciudad de Madrid (EPA. 4º trimestre 2021);62,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres ;67,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres;58,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Número de personas paradas en la ciudad de Madrid (EPA. 4º trimestre 2021) (miles);;175,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres (miles);;79,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres (miles);;95,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paro registrado (nº de personas registradas en SEPE en febrero 2022);;160.316;4,3%;6.971;44,9%;3.132;19,0%;1.324;35,5%;2.474;;;;;;;;;;;;;;;;;;;;;
Tasa absoluta de paro registrado (febrero 2022);7,33;;8,83;;11,75;;8,52;;6,81;;;;;;;;;;;;;;;;;;;;;;
Tasa absoluta de paro registrado HOMBRES ;6,52;;7,19;;10,31;;6,99;;4,96;;;;;;;;;;;;;;;;;;;;;;
De 16 a 24 años;3,33;;5,56;;6,75;;3,63;;5,26;;;;;;;;;;;;;;;;;;;;;;
De 25 a 44 años;5,45;;6,37;;10,52;;5,89;;4,15;;;;;;;;;;;;;;;;;;;;;;
De 45 a 64 años;8,63;;8,63;;11,48;;9,06;;6,01;;;;;;;;;;;;;;;;;;;;;;
Tasa absoluta de paro registrado MUJERES ;8,08;;10,39;;13,14;;10,00;;8,57;;;;;;;;;;;;;;;;;;;;;;
De 16 a 24 años;3,34;;6,48;;9,14;;3,60;;5,03;;;;;;;;;;;;;;;;;;;;;;
De 25 a 44 años;7,30;;9,76;;13,52;;9,51;;7,80;;;;;;;;;;;;;;;;;;;;;;
De 45 a 64 años;10,17;;12,17;;14,11;;11,98;;10,58;;;;;;;;;;;;;;;;;;;;;;
Personas paradas de larga duración (febrero 2022);51,9%;83.245;54,1%;3.771;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;38,9%;32.359;35,2%;1.329;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;61,1%;50.886;64,8%;2.442;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas paradas que SI perciben prestaciones (febrero 2022);42,4%;68.028;38,3%;2.672;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;47,3%;32.178;44,6%;1.191;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;52,7%;35.850;55,4%;1.481;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas paradas que NO perciben prestaciones (febrero 2022);57,6%;92.288;61,7%;4.299;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;39,5%;36.473;36,8%;1.583;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;60,5%;55.815;63,2%;2.716;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5. EDUCACIÓN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5.1. Población en etapas educativas (01/01/2021);100,0%;455.915;100,0%;21.691;100,0%;6.509;100,0%;2.844;100,0%;12.338;;;;;;;;;;;;;;;;;;;;;
0 a 2 años;17,2%;78.328;17,5%;3.792;15,5%;1.009;16,1%;459;18,8%;2.324;;;;;;;;;;;;;;;;;;;;;
Infantil (3 a 5 años);18,5%;84.424;20,9%;4.524;17,9%;1.165;19,0%;541;22,8%;2.818;;;;;;;;;;;;;;;;;;;;;
Primaria (6 a 11 años);38,4%;175.023;40,5%;8.790;38,7%;2.522;37,5%;1.066;42,2%;5.202;;;;;;;;;;;;;;;;;;;;;
Secundaria (12 a 15 años);25,9%;118.140;21,1%;4.585;27,9%;1.813;27,4%;778;16,2%;1.994;;;;;;;;;;;;;;;;;;;;;
