15. CIUDAD LINEAL. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;CIUDAD LINEAL;;Ventas;;Pueblo Nuevo;;Quintana;;La Concepción;;San Pascual;;San Juan Bautista;;Colina;;Atalaya;;Costillares;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;1.142,57;;319,8;;231,92;;72,31;;88,59;;105,27;;101,08;;55,97;;24,89;;142,72;;;;;;;;;;;;;
Proporción de inmigrantes (Extranjeros menos UE y resto países de OCDE / Población total);9,8%;;10,3%;;12,4%;;13,4%;;14,1%;;9,2%;;5,1%;;5,2%;;5,3%;;5,4%;;2,8%;;;;;;;;;;;;;
1ª nacionalidad extranjera en el Distrito: Rumanía (% respecto total extranjeros del distrito);9,7%;44.738;9,3%;2845;11,2%;890;9,2%;982;6,9%;312;12,2%;352;12,0%;176;3,6%;43;5,9%;38;1,9%;3;4,3%;49;;;;;;;;;;;;
2ª nacionalidad extranjera en el Distrito: Ecuador (% respecto total extranjeros del distrito);5,2%;24.142;8,0%;2463;9,3%;737;10,5%;1.125;8,3%;377;5,0%;143;2,9%;43;1,2%;14;1,4%;9;3,1%;5;0,9%;10;;;;;;;;;;;;
1.2.2. Estructura de los hogares (01-01-2019);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nº total de hogares;100%;1.290.164;6,7%;86.658;22,9%;19.885;27,6%;23.919;11,9%;10.338;10,5%;9.059;8,7%;7.529;5,6%;4.867;3,0%;2.564;0,7%;565;9,2%;7.932;;;;;;;;;;;;
Tamaño medio del hogar;;2,53  ;;2,50;;2,42;;2,60;;2,38;;2,30;;2,41;;2,57;;2,49;;2,78;;2,77;;;;;;;;;;;;
Hogares con una mujer sola >65 años;9,8%;126.044;12,0%;10.365;13,0%;2.581;10,9%;2.615;13,7%;1.416;14,4%;1.304;12,8%;967;9,6%;469;9,4%;240;9,6%;54;9,1%;719;;;;;;;;;;;;
Hogares con un hombre solo >65 años;2,8%;36.720;3,2%;2.741;3,4%;672;3,1%;753;3,1%;323;3,8%;340;3,2%;244;2,6%;127;2,7%;69;2,8%;16;2,5%;197;;;;;;;;;;;;
Hogares monoparentales: una mujer adulta con uno o más menores;21,1%;27.460;2,0%;1.719;1,7%;343;1,7%;414;1,9%;195;2,0%;185;2,2%;166;2,9%;139;3,0%;76;3,4%;19;2,3%;182;;;;;;;;;;;;
Hogares monoparentales: un hombre adulto con uno o más menores;0,4%;5.491;0,4%;330;0,3%;58;0,3%;71;0,2%;17;0,4%;35;0,4%;30;0,7%;33;1,1%;27;0,5%;3;0,7%;56;;;;;;;;;;;;
1.2.3. Dinámica demográfica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa bruta de natalidad 2018 (‰);;8,57;;7,5;;7,4;;7,6;;6,7;;8,2;;7,9;;7,9;;9,6;;10,2;;6,7;;;;;;;;;;;;
Tasa de crecimiento demográfico 2018 (%);;1,37;;0,8;;0,7;;1,5;;1,0;;0,3;;0,3;;0,4;;1,6;;-0,5;;0,0;;;;;;;;;;;;
Esperanza de vida al nacer MUJERES *(mortalidad del periodo 2013-2016);;87,5;;87,8;;88,2;;88,1;;86,5;;88,5;;85,5;;88,5;;89,1;;86,4;;88,1;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES *(mortalidad del periodo 2013-2016);;81,9;;82,3;;81,8;;82,8;;81,7;;81,3;;80,7;;82,8;;82,1;;85,7;;84,3;;;;;;;;;;;;
Esperanza de vida al nacer MUJERES (2018);;87,6;;88,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (2018);;82,2;;82,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años MUJERES (2018);;24,6;;25,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años HOMBRES (2018);;20,6;;20,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.4. Mujeres y hombres;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género IDG (2018);;0,8308;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género IDG (2008);;0,7462;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.3. INDICADORES ECONÓMICOS ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Renta neta media anual de los hogares (Urban Audit). 2016;;39.613,0 €;94%;37.421 €;71%;26.744 €;81%;30.458 €;82%;30.692 €;92%;34.609 €;115%;43.133 €;153%;57.429 €;144%;53.789 €;192%;71.758 €;178%;66.648 €;;;;;;;;;;;;
Renta disponible Bruta Per Cápita 2016(a);;21.755;;21.375,9 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Crecimiento/decrecimiento Renta Bruta Per Cápita 2016(a)-2008;3,1%;658;3,2%;670,9 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito HOMBRES (2018);; 1.456,2 € ;; 1.481,9 € ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito MUJERES (2018);; 954,0 € ;; 952,8 € ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.4. INDICADORES DE DESEMPLEO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa de actividad global ciudad de Madrid (EPA. 1º trimestre 2020);61,2%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres ;66,4%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres;57,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Número de parados ciudad de Madrid (EPA. 1º trimestre 2020) (miles);;176,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres (miles);;83,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres (miles);;92,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paro registrado (nº de personas registradas en SEPE en febrero 2020);;167.188;6,3%;10.467;24,8%;2.601;30,7%;3.212;11,9%;1.248;9,3%;971;7,2%;758;3,7%;386;2,3%;245;0,3%;31;6,7%;702;;;;;;;;;;;;
Tasa absoluta de paro registrado (febrero 2020);7,6%;;7,3%;;8,3%;;7,8%;;7,6%;;7,4%;;7,1%;;5,0%;;6,2%;;3,4%;;5,2%;;;;;;;;;;;;;
Tasa absoluta de paro registrado MUJERES;8,1%;;7,7%;;8,5%;;8,1%;;7,8%;;8,1%;;7,3%;;5,3%;;7,6%;;3,8%;;6,1%;;;;;;;;;;;;;
De 16 a 24 años;4,2%;;3,0%;;4,3%;;3,6%;;3,5%;;2,1%;;2,2%;;1,1%;;1,7%;;3,2%;;1,1%;;;;;;;;;;;;;
De 25 a 44 años;7,5%;;6,9%;;7,6%;;7,5%;;7,0%;;7,5%;;6,1%;;4,8%;;6,1%;;4,9%;;4,8%;;;;;;;;;;;;;
De 45 a 64 años;9,8%;;9,7%;;10,6%;;10,0%;;9,8%;;10,1%;;9,4%;;6,9%;;10,6%;;3,3%;;8,6%;;;;;;;;;;;;;
Tasa absoluta de paro registrado HOMBRES ;7,0%;;6,9%;;8,1%;;7,5%;;7,3%;;6,5%;;6,8%;;4,6%;;4,6%;;2,7%;;4,2%;;;;;;;;;;;;;
De 16 a 24 años;4,4%;;3,4%;;4,3%;;4,5%;;3,4%;;3,0%;;3,0%;;0,9%;;1,7%;;0,0%;;1,7%;;;;;;;;;;;;;
De 25 a 44 años;6,0%;;5,7%;;6,5%;;6,7%;;5,8%;;5,2%;;5,3%;;3,2%;;3,4%;;1,4%;;3,3%;;;;;;;;;;;;;
De 45 a 64 años;8,9%;;9,3%;;11,2%;;9,5%;;10,4%;;9,0%;;9,3%;;7,2%;;6,6%;;4,6%;;5,9%;;;;;;;;;;;;;
Parados de larga duración (febrero 2020);38,2%;63.943;38,2%;3.996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;39,7%;25.381;39,5%;1.577;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;60,3%;38.562;60,5%;2.419;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Parados que SÍ perciben prestaciones (febrero 2020);43,4%;72.603;46,7%;4.892;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;48,2%;34.979;47,0%;2299;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;51,8%;37.624;53,0%;2.593;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Parados que NO perciben prestaciones (febrero 2020);56,6%;94.585;53,3%;5.575;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;41,3%;39.063;41,4%;2.308;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;58,7%;55.522;58,6%;3.267;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5. EDUCACIÓN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5.1. Población en etapas educativas (01/01/2018);100,0%;464338;100,0%;27.591;100,0%;5.526;100,0%;7.751;100,0%;2.822;100,0%;2.561;100,0%;2.283;100,0%;1.945;100,0%;994;100,0%;262;100,0%;3.447;;;;;;;;;;;;
0 a 2 años;18,2%;84.692;17,5%;4.829;18,7%;1.033;17,4%;1.349;18,6%;525;18,7%;480;17,1%;390;16,8%;326;17,5%;174;21,0%;55;14,4%;497;;;;;;;;;;;;
Infantil (3 a 5 años);18,7%;86.684;18,3%;5.059;17,7%;979;18,6%;1.441;20,4%;577;18,3%;469;18,6%;424;18,1%;352;18,0%;179;14,9%;39;17,4%;599;;;;;;;;;;;;
Primaria (6 a 11 años);38,4%;178.445;37,5%;10.339;37,0%;2.047;37,7%;2.919;35,7%;1.008;37,3%;955;39,2%;896;38,0%;739;38,4%;382;37,4%;98;37,6%;1.295;;;;;;;;;;;;
Secundaria (12 a 15 años);24,7%;114.517;26,7%;7.364;26,5%;1.467;26,3%;2.042;25,2%;712;25,7%;657;25,1%;573;27,1%;528;26,1%;259;26,7%;70;30,6%;1.056;;;;;;;;;;;;
Etapas educativas. Total niños;51,2%;237557;51,2%;14.118;50,2%;2.775;52,0%;4.028;51,0%;1.438;51,5%;1.318;52,2%;1.191;50,5%;983;48,5%;482;48,5%;127;51,5%;1.776;;;;;;;;;;;;
0 a 2 años;18,2%;43.261;17,9%;2.528;18,6%;516;17,7%;711;19,1%;275;20,0%;263;19,0%;226;17,7%;174;7,7%;77;9,2%;24;7,6%;262;;;;;;;;;;;;
Infantil (3 a 5 años);18,7%;44.354;18,6%;2.627;18,2%;506;18,9%;762;20,7%;298;18,4%;243;18,4%;219;18,0%;177;8,2%;82;6,9%;18;9,3%;322;;;;;;;;;;;;
Primaria (6 a 11 años);38,5%;91.575;37,2%;5.256;37,4%;1038;37,5%;1.510;35,4%;509;36,2%;477;39,0%;465;36,8%;362;19,2%;191;20,6%;54;18,9%;650;;;;;;;;;;;;
Secundaria (12 a 15 años);24,6%;58.367;26,3%;3.707;25,8%;715;25,9%;1.045;24,8%;356;25,4%;335;23,6%;281;27,5%;270;13,3%;132;11,8%;31;15,7%;542;;;;;;;;;;;;
Etapas educativas. Total niñas;48,8%;226.781;48,8%;13.473;49,8%;2.751;48,0%;3.723;49,0%;1.384;48,5%;1.243;47,8%;1.092;49,5%;962;51,5%;512;51,5%;135;48,5%;1.671;;;;;;;;;;;;
0 a 2 años;18,3%;41.431;17,1%;2.301;18,8%;517;17,1%;638;18,1%;250;17,5%;217;15,0%;164;15,8%;152;18,9%;97;23,0%;31;14,1%;235;;;;;;;;;;;;
Infantil (3 a 5 años);18,7%;42.330;18,1%;2.432;17,2%;473;18,2%;679;20,2%;279;18,2%;226;18,8%;205;18,2%;175;18,9%;97;15,6%;21;16,6%;277;;;;;;;;;;;;
Primaria (6 a 11 años);38,3%;86.870;37,7%;5.083;36,7%;1009;37,8%;1.409;36,1%;499;38,5%;478;39,5%;431;39,2%;377;37,3%;191;32,6%;44;38,6%;645;;;;;;;;;;;;
Secundaria (12 a 15 años);24,8%;56.150;27,1%;3.657;27,3%;752;26,8%;997;25,7%;356;25,9%;322;26,7%;292;26,8%;258;24,8%;127;28,9%;39;30,8%;514;;;;;;;;;;;;
1.5.2. Escolarización de alumnos por tipo de centro (año escolar 2017/18);100,0%;519.294;100%;32.646;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;43,1%;223.703;49,5%;16.164;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;17,9%;92.853;27,9%;9.092;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;39,0%;202.738;22,6%;7.390;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total alumnos extranjeros;10,6%;54.812;10,9%;3.574;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;34,9%;19.103;47,6%;1.703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;9,1%;4.965;13,1%;469;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;56,1%;30.744;39,2%;1.402;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total alumnos con necesidades de apoyo educativo;4,0%;20.898;4,2%;1.378;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;49,2%;10.285;68,3%;941;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;4,6%;963;4,6%;64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;46,2%;9.650;27,1%;373;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5.3. Nivel de estudios de la población ≥ 25 años (01/01/2019);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No sabe leer ni escribir o sin estudios;4,9%;123.025;4,3%;7.316;5,2%;2.012;5,7%;2.791;4,1%;820;2,9%;487;4,5%;649;1,7%;156;2,0%;100;0,7%;8;1,8%;293;;;;;;;;;;;;
Primaria incompleta;11,6%;291.746;11,8%;20.158;15,0%;5.803;15,0%;7.362;12,3%;2.443;9,9%;1.665;10,6%;1.531;5,3%;494;4,8%;233;2,9%;33;3,7%;594;;;;;;;;;;;;
Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado;26,4%;666.553;27,3%;46.454;32,8%;12.662;33,7%;16.529;30,2%;5.982;25,2%;4.211;21,8%;3.138;13,3%;1.237;14,1%;693;13,6%;155;11,5%;1.847;;;;;;;;;;;;
Formación profesional 2º grado, Bachiller Superior o BUP;19,1%;482.262;20,3%;34.522;20,7%;8.011;20,5%;10.039;21,1%;4.177;21,8%;3.652;20,3%;2.925;18,3%;1.702;17,6%;862;18,7%;213;18,2%;2.941;;;;;;;;;;;;
Titulados medios, diplomados, arquitecto o ingeniero técnico;9,5%;240.302;9,9%;16.888;8,5%;3.277;8,6%;4.213;10,0%;1.979;11,3%;1.885;11,1%;1.594;11,9%;1.106;13,8%;677;12,4%;141;12,5%;2.016;;;;;;;;;;;;
Estudios superiores, licenciado, arquitecto o ingeniero superior, estudios superiores no universitarios, doctorado, estudios postgraduados;28,4%;717.868;26,1%;44.476;17,5%;6.776;16,4%;8.038;22,1%;4.393;28,6%;4.792;31,6%;4.563;49,4%;4.604;47,5%;2.325;51,3%;584;52,1%;8.401;;;;;;;;;;;;
Nivel de estudios desconocido y no consta;0,1%;3.253;0,2%;305;0,2%;77;0,1%;45;0,2%;39;0,3%;51;0,2%;23;0,2%;18;0,2%;9;0,4%;5;0,2%;38;;;;;;;;;;;;
1.5.4. Programa de prevención y control del absentismo escolar;;2.525.009;1;170.119;1;38.618;1;49.017;1;19.833;1;16.743;1;14.423;1;9.317;1;4.899;1;1.139;1;16.130;;;;;;;;;;;;
Casos trabajados por el programa de absentismo municipal (curso escolar 2018-2019);100,0%;4.025;3,3%;132;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Casos trabajados HOMBRES;51,2%;2.060;53,8%;71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Casos trabajados MUJERES;48,8%;1.965;46,2%;61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.6. SALUD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.6.1. Hábitos y estilos de vida (2017-18. Estudio Madrid Salud);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sedentarismo;30,0%;;30,2%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sedentarismo HOMBRES ;25,2%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sedentarismo MUJERES ;34,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario;18,9%;;14,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario HOMBRES;20,2%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario MUJERES ;17,9%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Consumo de medicamentos ;66,3%;;66,8%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Consumo de medicamentos HOMBRES  ;62,4%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Consumo de medicamentos MUJERES ;69,7%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.6.2. Indicadores de nivel de salud (2017-18. Estudio Madrid Salud);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud  (% respuesta muy buena + buena);72,3%;;72,9%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud HOMBRES ;77,4%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud MUJERES ;68,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) ;20,2%;;20,2%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) HOMBRES;19,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) MUJERES;21,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica ;39,8%;;40,2%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica HOMBRES ;36,6%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica MUJERES;42,4%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hipertensión arterial;18,8%;;21,3%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hipertensión arterial HOMBRES;19,7%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hipertensión arterial MUJERES;18,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diabetes Mellitus;6,0%;;5,5%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diabetes Mellitus HOMBRES;6,9%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diabetes Mellitus MUJERES;5,3%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con obesidad ;12,2%;;12,7%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con obesidad HOMBRES ;13,3%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con obesidad MUJERES;11,2%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con sobrepeso;33,5%;;35,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con sobrepeso HOMBRES;41,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con sobrepeso MUJERES;27,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas mayores de 65 años con alguna dependencia funcional;32,4%;;36,2%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alguna dependencia funcional HOMBRES ;39,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alguna dependencia funcional MUJERES;48,6%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12);21,1%;;18,8%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12) HOMBRES;16,6%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad (GHQ-12) MUJERES;24,9%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Prevalencia de obesidad en la población infantil (2017. Estudio Madrid Salud. UCM);15,8%;;17,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.6.3. Discapacidad reconocida (31/12/2018);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
