15. CIUDAD LINEAL. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;CIUDAD LINEAL;;Ventas;;Pueblo Nuevo;;Quintana;;La Concepción;;San Pascual;;San Juan Bautista;;Colina;;Atalaya;;Costillares;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;1.142,57;;319,8;;231,92;;72,31;;88,59;;105,27;;101,08;;55,97;;24,89;;142,72;;;;;;;;;;;;;
OTRAS ACTUACIONES EN VÍAS PÚBLICAS;153.22;;;39.900 €;;;;;;;;15.521 €;;;;55.421 €;;;;;;;;;;;;;;;;;;
ZONAS VERDES;171,02;;;;;;;;;;;57.100 €;;;;57.100 €;;;;;;;;;;;;;;;;;;
FAMILIA E INFANCIA;231.02;;;526.164 €;;;;260.995 €;;;;;;10.000 €;;797.159 €;;;;;;;;;;;;;;;;;;
PERSONAS MAYORES Y SERVICIOS SOCIALES;231.03;;;13.910.363 €;;;;30.000 €;;;;26.500 €;;10.000 €;;13.976.863 €;;;;;;;;;;;;;;;;;;
INTEGRACIÓN COMUNITARIA Y EMERGENCIA SOCIAL;231.06;2.481.709 €;;564.402 €;;;;130.000 €;;;;5.000 €;;;;3.181.111 €;;;;;;;;;;;;;;;;;;
SALUBRIDAD PÚBLICA;311.01;341.706 €;;25.666 €;;;;;;;;;;;;367.372 €;;;;;;;;;;;;;;;;;;
CENTROS DOCENTES ENSEÑANZA INFANTIL Y PRIMARIA;323.01;;;3.497.897 €;;;;;;;;80.000 €;;;;3.577.897 €;;;;;;;;;;;;;;;;;;
ABSENTISMO;325.01;;;20.000 €;;;;;;;;;;;;20.000 €;;;;;;;;;;;;;;;;;;
SERVICIOS COMPLEMENTARIOS EDUCACIÓN;326.01;;;263.950 €;;;;;;;;160.000 €;;;;423.950 €;;;;;;;;;;;;;;;;;;
ACTIVIDADES CULTURALES;334.01;475.076 €;;1.500.802 €;;;;;;;;21.500 €;;;;1.997.378 €;;;;;;;;;;;;;;;;;;
ACTUACIONES DEPORTIVAS EN DISTRITOS;341.01;;;18.500 €;;;;;;;;;;;;18.500 €;;;;;;;;;;;;;;;;;;
INSTALACIONES DEPORTIVAS;342.01;6.389.006 €;;1.282.922 €;;;;;;;;100.000 €;;;;7.771.928 €;;;;;;;;;;;;;;;;;;
CONSUMO;493.00;271.146 €;;600 €;;;;;;;;;;;;271.746 €;;;;;;;;;;;;;;;;;;
CONCEJALÍA-PRESIDENCIA DEL DISTRITO;912.2;269.850 €;;2.000 €;;;;;;;;;;;;271.850 €;;;;;;;;;;;;;;;;;;
DIREC. Y GESTIÓN ADMTVA. DEL DISTRITO;920.01;4.504.705 €;;393.499 €;;;;;;;;8.000 €;;;;4.906.204 €;;;;;;;;;;;;;;;;;;
PARTICIPACIÓN CIUDADANA Y VOLUNTARIADO;924.01;;;;;;;48.000 €;;;;;;;;48.000 €;;;;;;;;;;;;;;;;;;
EDIFICIOS;933.02;;;2.152.997 €;;;;;;;;;;;;2.152.997 €;;;;;;;;;;;;;;;;;;
CENTRO 001;;14.733.198 €;;24.199.662 €;;0 €;;468.995 €;;0 €;;473.621 €;;20.000 €;;39.895.476 €;;;;;;;;;;;;;;;;;;
SECCIÓN 215;;14.733.198 €;;24.199.662 €;;0 €;;468.995 €;;0 €;;473.621 €;;20.000 €;;39.895.476 €;;;;;;;;;;;;;;;;;;
