17. VILLAVERDE. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;
 ;CIUDAD;;VILLAVERDE;;Villaverde Alto, C.H. Villaverde;;San Cristóbal;;Butarque;;Los Rosales;;Los Ángeles;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer MUJERES (2017);;87,1;;87,7;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (2017);;82,0;;81,6;;;;;;;;;;;;;
Esperanza de vida > 65 años MUJERES (2017);;24,3;;24,8;;;;;;;;;;;;;
Esperanza de vida > 65 años HOMBRES (2017);;20,3;;20,1;;;;;;;;;;;;;
1.2.4. Mujeres y hombres;;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2017);;0,816;;;;;;;;;;;;;;;
Índice de desigualdad de género (2007);;0,738;;;;;;;;;;;;;;;
1.3. INDICADORES ECONÓMICOS ;;;;;;;;;;;;;;;;;
Renta neta media anual de los hogares (Urban Audit). 2015;;38.534,6 €;69%;26.599,0 €;94%;24.884,4 €;74%;19.587,1 €;113%;30.153,3 €;107%;28.416,1 €;106%;28.062,4 €;;;
Renta disponible Bruta Per Cápita 2014(a);;21.145,9 €;;15.926,0 €;;;;;;;;;;;;;
Crecimiento/decrecimiento Renta Bruta Per Cápita 2014(a)-2008;-0,2%;-40,4 €;-4,4%;-731,2 €;;;;;;;;;;;;;
Pensión media mensual del Distrito HOMBRES (2015);;1.376,2 €;;1.248,6 €;;;;;;;;;;;;;
Pensión media mensual del Distrito MUJERES (2015);;858,8 €;;712,5 €;;;;;;;;;;;;;
1.4. INDICADORES DE DESEMPLEO;;;;;;;;;;;;;;;;;
Tasa de actividad global ciudad de Madrid (EPA. 3º trimestre 2018);61,2%;;;;;;;;;;;;;;;;
Hombres ;66,4%;;;;;;;;;;;;;;;;
Mujeres;56,8%;;;;;;;;;;;;;;;;
Número de parados ciudad de Madrid (EPA. 3º trimestre 2018) (miles);;200,1;;;;;;;;;;;;;;;
Hombres (miles);;97,3;;;;;;;;;;;;;;;
Mujeres (miles);;102,8;;;;;;;;;;;;;;;
Paro registrado (nº de personas registradas en SEPE en agosto 2018);;167.871;6,4%;10.733;34,1%;3.657;13,5%;1.454;9,9%;1.061;22,8%;2.451;18,3%;1.966;;;
Tasa absoluta de paro registrado (agosto 2018);7,9%;;11,0%;;12,4%;;13,8%;;8,7%;;9,8%;;10,6%;;;;
Tasa absoluta de paro registrado MUJERES;8,6%;;12,3%;;13,6%;;15,4%;;10,5%;;11,0%;;11,7%;;;;
De 16 a 24 años;4,6%;;7,9%;;10,3%;;8,6%;;5,0%;;7,2%;;6,1%;;;;
De 25 a 44 años;8,3%;;12,6%;;14,1%;;15,9%;;10,6%;;11,4%;;11,4%;;;;
De 45 a 64 años;10,1%;;13,5%;;14,1%;;17,7%;;12,0%;;11,8%;;13,6%;;;;
Tasa absoluta de paro registrado HOMBRES ;7,1%;;9,7%;;11,2%;;12,2%;;6,6%;;8,6%;;9,5%;;;;
De 16 a 24 años;4,5%;;7,2%;;9,1%;;6,6%;;6,7%;;5,4%;;7,3%;;;;
De 25 a 44 años;6,1%;;8,5%;;10,1%;;10,5%;;5,1%;;7,9%;;8,4%;;;;
De 45 a 64 años;9,1%;;11,8%;;12,9%;;16,7%;;8,7%;;10,3%;;11,2%;;;;
Parados de larga duración (agosto 2018);41,0%;68.898;41,8%;4.489;;;;;;;;;;;;;
Hombres;40,4%;27.816;39,7%;1.784;;;;;;;;;;;;;
Mujeres ;59,6%;41.082;60,3%;2.705;;;;;;;;;;;;;
Parados que SÍ perciben prestaciones (agosto 2018);37,3%;62.541;30,5%;3.273;;;;;;;;;;;;;
Hombres;47,0%;29.412;49,8%;1.629;;;;;;;;;;;;;
Mujeres ;53,0%;33.129;50,2%;1.644;;;;;;;;;;;;;
Parados que NO perciben prestaciones (agosto 2018);62,7%;105.330;69,5%;7.460;;;;;;;;;;;;;
Hombres;40,7%;42.906;39,8%;2.969;;;;;;;;;;;;;
Mujeres ;59,3%;62.424;60,2%;4.491;;;;;;;;;;;;;
1.5. EDUCACIÓN;;;;;;;;;;;;;;;;;
1.5.1. Población en etapas educativas (01/01/2018);100,0%;463.011;100,0%;24.455;100,0%;7.230;100,0%;2.984;100,0%;4.596;100,0%;5.875;100,0%;3.770;;;
0 a 2 años;18,8%;87.088;17,5%;4.285;18,4%;1.328;20,6%;615;15,3%;703;16,1%;945;18,4%;694;;;
Infantil (3 a 5 años);18,7%;86.699;17,8%;4.343;17,7%;1.279;20,3%;607;18,1%;832;16,4%;962;17,6%;663;;;
Primaria (6 a 11 años);38,2%;176.730;40,2%;9.836;39,3%;2.838;37,6%;1.121;45,5%;2.093;39,4%;2.316;38,9%;1.468;;;
Secundaria (12 a 15 años);24,3%;112.494;24,5%;5.991;24,7%;1.785;21,5%;641;21,1%;968;28,1%;1.652;25,1%;945;;;
Etapas educativas. Total niños;51,2%;237.098;51,7%;12.641;51,1%;3.698;53,4%;1.594;51,7%;2.375;52,3%;3.070;50,5%;1.904;;;
0 a 2 años;18,8%;44.551;17,4%;2.194;18,7%;690;21,1%;337;14,5%;344;15,9%;487;17,6%;336;;;
Infantil (3 a 5 años);18,8%;44.489;17,7%;2.239;17,5%;646;21,6%;345;18,2%;432;15,8%;484;17,4%;332;;;
Primaria (6 a 11 años);38,2%;90.647;40,5%;5.114;39,3%;1.455;36,8%;587;45,9%;1091;39,5%;1.214;40,3%;767;;;
Secundaria (12 a 15 años);24,2%;57.411;24,5%;3.094;24,5%;907;20,4%;325;21,4%;508;28,8%;885;24,6%;469;;;
Etapas educativas. Total niñas;48,8%;225.913;48,3%;11.814;48,9%;3.532;46,6%;1.390;48,3%;2.221;47,7%;2.805;49,5%;1.866;;;
0 a 2 años;18,8%;42.537;17,7%;2.091;18,1%;638;20,0%;278;16,2%;359;16,3%;458;19,2%;358;;;
Infantil (3 a 5 años);18,7%;42.210;17,8%;2.104;17,9%;633;18,8%;262;18,0%;400;17,0%;478;17,7%;331;;;
Primaria (6 a 11 años);38,1%;86.083;40,0%;4.722;39,2%;1.383;38,4%;534;45,1%;1002;39,3%;1.102;37,6%;701;;;
Secundaria (12 a 15 años);24,4%;55.083;24,5%;2.897;24,9%;878;22,7%;316;20,7%;460;27,3%;767;25,5%;476;;;
1.5.2. Escolarización de alumnos por tipo de centro (año escolar 2016/17);100%;510.340;100%;23.041;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;43,3%;220.761;30,7%;7.084;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;17,5%;89.197;5,4%;1.246;;;;;;;;;;;;;
