19. VICÁLVARO. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;VICÁLVARO;;Casco Histórico de Vicálvaro;;Valdebernardo;;Valderrivas;;El Cañaveral;;;;;;;;;;;;;;;;;;;;;;;
Hogares con un hombre solo >65 años;2,9%;38.397;2,2%;618;3,3%;439;1,8%;110;1,0%;60;0,5%;9;;;;;;;;;;;;;;;;;;;;;;
Hogares monoparentales: una mujer adulta con uno o más menores;2,0%;26.000;2,7%;736;2,2%;293;1,7%;106;4,6%;288;2,7%;49;;;;;;;;;;;;;;;;;;;;;;
Hogares monoparentales: un hombre adulto con uno o más menores;0,4%;5.236;0,5%;138;0,3%;37;0,4%;26;1,1%;67;0,4%;8;;;;;;;;;;;;;;;;;;;;;;
1.2.3. Dinámica demográfica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa bruta de natalidad 2020 (‰);;7,8;;7,0;;7,7;;4,3;;4,7;;25,2;;;;;;;;;;;;;;;;;;;;;;
Tasa de crecimiento demográfico 2020 (%);;-0,7;;1,9;;-0,3;;-1,6;;-1,1;;59,5;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer MUJERES (mortalidad del periodo 2013-2016);;87,5;;87,3;;87,8;;86,8;;87,3;;87,3;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (mortalidad del periodo 2013-2016);;81,9;;82,5;;83,5;;80,8;;82,1;;82,1;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer MUJERES (2020);;85,2;;84,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (2020);;79,3;;79,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años MUJERES (2020);;22,4;;21,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años HOMBRES (2020);;17,7;;17,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.4. Mujeres y hombres;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2019);;0,842;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2009);;0,795;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.3. INDICADORES ECONÓMICOS ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Renta neta media anual de los hogares (Urban Audit). 2018;;42.283,0 €;80%;33.870,0 €;77%;25.968,3 €;122%;41.478 €;126%;42.775 €;102%;34.452 €;;;;;;;;;;;;;;;;;;;;;;
Renta disponible Bruta Per Cápita 2019 ;;21.638,0 €;;15.582,0 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito HOMBRES (2020);;1.521,8 €;90%;1.376,7 €;94%;1.292,5 €;116%;1.591,3 €;106%;1.461,8 €;104%;1.437,8 €;;;;;;;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito MUJERES (2020);;1.146,5 €;84%;957,5 €;90%;862,4 €;122%;1.168,3 €;115%;1.105,9 €;79%;754,2 €;;;;;;;;;;;;;;;;;;;;;;
1.4. INDICADORES DE DESEMPLEO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa de actividad global ciudad de Madrid (EPA. 4º trimestre 2021);62,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres ;67,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres;58,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Número de personas paradas en la ciudad de Madrid (EPA. 4º trimestre 2021) (miles);;175,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres (miles);;79,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres (miles);;95,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paro registrado (nº de personas registradas en SEPE en febrero 2022);;160.316;2,8%;4.505;53,1%;2.390;25,5%;1.149;13,9%;627;6,3%;283;;;;;;;;;;;;;;;;;;;;;;
Tasa absoluta de paro registrado (febrero 2022);7,33;;8,12;;10,55;;8,79;;5,14;;4,13;;;;;;;;;;;;;;;;;;;;;;;
Tasa absoluta de paro registrado HOMBRES ;6,52;;6,84;;9,73;;7,18;;3,25;;2,87;;;;;;;;;;;;;;;;;;;;;;;
De 16 a 24 años;3,33;;4,20;;6,01;;3,96;;1,83;;1,99;;;;;;;;;;;;;;;;;;;;;;;
De 25 a 44 años;5,45;;6,75;;8,83;;9,31;;3,05;;2,75;;;;;;;;;;;;;;;;;;;;;;;
De 45 a 64 años;8,63;;7,79;;11,83;;7,44;;3,71;;3,34;;;;;;;;;;;;;;;;;;;;;;;
Tasa absoluta de paro registrado MUJERES ;8,08;;9,35;;11,36;;10,28;;6,89;;5,39;;;;;;;;;;;;;;;;;;;;;;;
De 16 a 24 años;3,34;;4,68;;6,90;;4,36;;1,94;;2,67;;;;;;;;;;;;;;;;;;;;;;;
