01. CENTRO. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;CENTRO;;Palacio;;Embajadores;;Cortes;;Justicia;;Universidad;;Sol;;;;;;;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2ª nacionalidad extranjera en el Distrito: BANGLADESH (% respecto total de población extranjera del distrito);1,3%;6.786;8,3%;3.012;0,2%;11;20,8%;2.911;1,4%;38;0,2%;10;0,3%;22;0,8%;20;;;;;;;;;;;;;;;;;;;;
1.2.2. Estructura de los hogares (01-01-2021);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nº total de hogares;100,0%;1.306.612;5,3%;69.504;16,7%;11.613;32,5%;22.614;7,9%;5.488;12,8%;8.927;24,4%;16.967;5,6%;3895;;;;;;;;;;;;;;;;;;;;
Tamaño medio del hogar;;2,54  ;;2,03;;2,03;;2,09;;1,97;;2,04;;1,97;;2,05;;;;;;;;;;;;;;;;;;;;
Hogares con una mujer sola >65 años;9,9%;129.292;7,4%;5.137;9,0%;1.045;6,9%;1.563;7,3%;401;7,2%;642;7,2%;1.226;6,7%;260;;;;;;;;;;;;;;;;;;;;
Hogares con un hombre solo >65 años;2,9%;38.397;3,3%;2.296;4,0%;470;2,9%;660;4,0%;217;2,9%;263;3,2%;536;3,9%;150;; ;;;;;;;;;;;;;;;;;;
Hogares monoparentales: una mujer adulta con uno o más menores;2,0%;26.000;1,2%;848;1,3%;147;1,3%;305;1,1%;60;1,2%;108;1,1%;185;1,1%;43;;;;;;;;;;;;;;;;;;;;
Hogares monoparentales: un hombre adulto con uno o más menores;0,4%;5.236;0,3%;174;0,3%;36;0,2%;54;0,2%;11;0,2%;21;0,3%;44;0,2%;8;;;;;;;;;;;;;;;;;;;;
1.2.3. Dinámica demográfica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa bruta de natalidad 2020 (‰);;7,8;;6,1;;6,4;;6,3;;5,9;;6,8;;5,6;;5,8;;;;;;;;;;;;;;;;;;;;
Tasa de crecimiento demográfico 2020 (%);;-0,7;;0,5;;0,0;;0,4;;0,2;;1,0;;0,0;;4,8;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer MUJERES (mortalidad del periodo 2013-2016);;87,5;;86,1;;85,2;;85,8;;84,8;;88,4;;86,4;;86,3;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (mortalidad del periodo 2013-2016);;81,9;;80,7;;80,3;;81,0;;79,9;;82,1;;81,0;;78,5;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer MUJERES (2020);;85,2;;85,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (2020);;79,3;;79,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años MUJERES (2020);;22,4;;22,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años HOMBRES (2020);;17,7;;17,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.4. Mujeres y hombres;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2019);;0,842;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2009);;0,795;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.3. INDICADORES ECONÓMICOS ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Renta neta media anual de los hogares (Urban Audit). 2018;;42.283,0 €;85%;36.072,0 €;108%;38.973,5 €;82%;29.471,7 €;114%;40.962,5 €;134%;48.202,8 €;98%;35.344,2 €;97%;35.056,9 €;;;;;;;;;;;;;;;;;;;;
Renta disponible Bruta Per Cápita 2019 ;;21.638,0 €;;24.135,0 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito HOMBRES (2020);;1.521,8 €;91%;1.392,1 €;106%;1.477,5 €;93%;1.299,0 €;101%;1.411,3 €;107%;1.491,2 €;101%;1.404,3 €;96%;1.332,7 €;;;;;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito MUJERES (2020);;1.146,5 €;101%;1.160,5 €;103%;1.197,8 €;94%;1.085,5 €;104%;1.206,3 €;104%;1.204,2 €;103%;1.193,7 €;99%;1.151,2 €;;;;;;;;;;;;;;;;;;;;
1.4. INDICADORES DE DESEMPLEO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa de actividad global ciudad de Madrid (EPA. 4º trimestre 2021);62,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres ;67,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres;58,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Número de personas paradas en la ciudad de Madrid (EPA. 4º trimestre 2021) (miles);;175,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres (miles);;79,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres (miles);;95,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paro registrado (nº de personas registradas en SEPE en febrero 2022);;160.316;4,6%;7.299;17,0%;1.244;36,8%;2.689;6,2%;451;10,2%;747;20,9%;1.528;5,2%;382;;;;;;;;;;;;;;;;;;;;
Tasa absoluta de paro registrado (febrero 2022);7,33;;6,75;;7,42;;7,61;;5,61;;5,51;;6,23;;6,23;;;;;;;;;;;;;;;;;;;;;
Tasa absoluta de paro registrado HOMBRES ;6,52;;6,60;;7,59;;7,05;;5,30;;5,73;;6,14;;6,64;;;;;;;;;;;;;;;;;;;;;
De 16 a 24 años;3,33;;2,78;;3,00;;3,71;;0,90;;1,28;;2,63;;3,27;;;;;;;;;;;;;;;;;;;;;
De 25 a 44 años;5,45;;4,75;;5,01;;5,31;;3,45;;3,76;;4,57;;5,09;;;;;;;;;;;;;;;;;;;;;
De 45 a 64 años;8,63;;10,06;;11,38;;10,54;;8,73;;9,13;;9,34;;10,07;;;;;;;;;;;;;;;;;;;;;
Tasa absoluta de paro registrado MUJERES ;8,08;;6,92;;7,24;;8,29;;5,93;;5,26;;6,32;;5,73;;;;;;;;;;;;;;;;;;;;;
De 16 a 24 años;3,34;;1,95;;1,48;;4,23;;0,79;;0,64;;1,20;;0,00;;;;;;;;;;;;;;;;;;;;;
De 25 a 44 años;7,30;;5,53;;6,28;;6,96;;4,91;;3,56;;4,59;;4,22;;;;;;;;;;;;;;;;;;;;;
De 45 a 64 años;10,17;;10,29;;9,96;;11,46;;8,78;;8,85;;10,36;;9,92;;;;;;;;;;;;;;;;;;;;;
Personas paradas de larga duración (febrero 2022);51,9%;83.245;47,9%;3.495;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;38,9%;32.359;49,7%;1.736;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;61,1%;50.886;50,3%;1.759;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas paradas que SI perciben prestaciones (febrero 2022);42,4%;68.028;42,4%;3.095;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;47,3%;32.178;53,3%;1.650;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;52,7%;35.850;46,7%;1.445;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas paradas que NO perciben prestaciones (febrero 2022);57,6%;92.288;57,6%;4.204;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;39,5%;36.473;50,8%;2.136;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;60,5%;55.815;49,2%;2.068;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5. EDUCACIÓN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5.1. Población en etapas educativas (01/01/2021);100,0%;455.915;100,0%;10.608;100,0%;1.767;100,0%;3.809;100,0%;736;100,0%;1.399;100,0%;2.395;100,0%;502;;;;;;;;;;;;;;;;;;;;
0 a 2 años;17,2%;78.328;21,5%;2.285;20,3%;358;21,5%;819;23,0%;169;23,1%;323;21,5%;516;19,9%;100;;;;;;;;;;;;;;;;;;;;
Infantil (3 a 5 años);18,5%;84.424;18,4%;1.955;18,4%;326;18,5%;705;21,1%;155;18,2%;254;17,8%;427;17,5%;88;;;;;;;;;;;;;;;;;;;;
Primaria (6 a 11 años);38,4%;175.023;36,6%;3.887;38,0%;671;37,7%;1.435;32,9%;242;34,2%;478;36,5%;874;37,3%;187;;;;;;;;;;;;;;;;;;;;
Secundaria (12 a 15 años);25,9%;118.140;23,4%;2.481;23,3%;412;22,3%;850;23,1%;170;24,6%;344;24,1%;578;25,3%;127;;;;;;;;;;;;;;;;;;;;
Etapas educativas. Total niños;51,1%;233.089;51,3%;5.446;50,1%;885;52,2%;1.987;51,1%;376;50,1%;701;51,8%;1.240;51,2%;257;;;;;;;;;;;;;;;;;;;;
0 a 2 años;17,1%;39.956;22,0%;1.196;20,1%;178;21,3%;424;20,2%;76;24,0%;168;23,6%;293;22,2%;57;;;;;;;;;;;;;;;;;;;;
Infantil (3 a 5 años);18,6%;43.338;18,8%;1.022;19,9%;176;18,6%;370;21,5%;81;18,5%;130;17,8%;221;17,1%;44;;;;;;;;;;;;;;;;;;;;
Primaria (6 a 11 años);38,4%;89.462;36,4%;1.982;36,6%;324;38,0%;755;34,0%;128;33,0%;231;36,7%;455;34,6%;89;;;;;;;;;;;;;;;;;;;;
Secundaria (12 a 15 años);25,9%;60.333;22,9%;1.246;23,4%;207;22,0%;438;24,2%;91;24,5%;172;21,9%;271;26,1%;67;;;;;;;;;;;;;;;;;;;;
Etapas educativas. Total niñas;48,9%;222.826;48,7%;5.162;49,9%;882;47,8%;1.822;48,9%;360;49,9%;698;48,2%;1.155;48,8%;245;;;;;;;;;;;;;;;;;;;;
0 a 2 años;17,2%;38.372;21,1%;1.089;20,4%;180;21,7%;395;25,8%;93;22,2%;155;19,3%;223;17,6%;43;;;;;;;;;;;;;;;;;;;;
Infantil (3 a 5 años);18,4%;41.086;18,1%;933;17,0%;150;18,4%;335;20,6%;74;17,8%;124;17,8%;206;18,0%;44;;;;;;;;;;;;;;;;;;;;
Primaria (6 a 11 años);38,4%;85.561;36,9%;1.905;39,3%;347;37,3%;680;31,7%;114;35,4%;247;36,3%;419;40,0%;98;;;;;;;;;;;;;;;;;;;;
Secundaria (12 a 15 años);25,9%;57.807;23,9%;1.235;23,2%;205;22,6%;412;21,9%;79;24,6%;172;26,6%;307;24,5%;60;;;;;;;;;;;;;;;;;;;;
1.5.2. Escolarización del alumnado por tipo de centro (año escolar 2019/20);100,0%;531.839;100,0%;15.934;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;42,4%;225.516;35,3%;5.620;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;18,4%;97.728;11,6%;1.854;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;39,2%;208.595;53,1%;8.460;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total alumnos extranjeros;11,7%;62.112;16,9%;2.689;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;34,0%;21.142;48,7%;1.310;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;9,9%;6.167;9,4%;254;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;56,0%;34.803;41,8%;1.125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total alumnos con necesidades de apoyo educativo;4,7%;25.160;4,4%;702;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;44,4%;11.161;55,0%;386;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;4,3%;1.082;1,7%;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;51,3%;12.917;43,3%;304;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5.3. Nivel de estudios de la población ≥ 25 años (01/01/2021);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No sabe leer ni escribir o sin estudios;4,2%;108.764;2,5%;3.041;2,5%;496;3,7%;1.505;1,7%;160;1,4%;224;1,8%;533;1,8%;123;;;;;;;;;;;;;;;;;;;;
Primaria incompleta;10,5%;270.260;6,7%;8.153;6,4%;1.294;8,8%;3.559;5,3%;489;4,6%;718;5,9%;1.713;5,6%;380;;;;;;;;;;;;;;;;;;;;
Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado;26,4%;676.508;18,2%;22.009;17,1%;3.464;21,6%;8.714;14,8%;1.376;15,0%;2.325;17,0%;4.901;18,2%;1.229;;;;;;;;;;;;;;;;;;;;
Formación profesional 2º grado, Bachiller Superior o BUP;19,4%;497.456;18,3%;22.154;18,5%;3.744;18,4%;7.391;18,5%;1.717;17,5%;2.714;18,0%;5.195;20,6%;1.393;;;;;;;;;;;;;;;;;;;;
Titulaciones medias, diplomatura, arquitectura o ingeniería técnica;9,2%;236.829;9,3%;11.213;9,8%;1.982;8,6%;3.466;9,8%;910;9,1%;1.409;9,7%;2.799;9,6%;647;;;;;;;;;;;;;;;;;;;;
Estudios superiores, licenciatura, arquitectura superior, estudios superiores no universitarios, docturado, estudios de posgrado;30,2%;774.430;44,9%;54.270;45,6%;9.213;38,8%;15.605;50,0%;4.647;52,4%;8.143;47,4%;13.670;44,2%;2.992;;;;;;;;;;;;;;;;;;;;
Nivel de estudios desconocido y no consta;0,1%;2.829;0,1%;74;0,1%;13;0,1%;27;0,0%;2;0,1%;10;0,1%;17;0,1%;5;;;;;;;;;;;;;;;;;;;;
1.5.4. Programa de prevención y control del absentismo escolar;;2.567.076;1;120.914;1;20.206;1;40.267;1;9.301;1;15.543;1;28.828;1;6.769;;;;;;;;;;;;;;;;;;;;
Casos trabajados por el programa de absentismo municipal (curso escolar 2020-2021);100,0%;5.307;2,7%;143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Casos trabajados HOMBRES;52,2%;2.772;50,3%;72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Casos trabajados MUJERES;47,8%;2.535;49,7%;71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.6. SALUD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.6.1. Hábitos y estilos de vida (2018. Estudio Madrid Salud);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sedentarismo;30,0%;;26,9%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sedentarismo HOMBRES ;25,2%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sedentarismo MUJERES ;34,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario;18,9%;;22,6%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario HOMBRES;20,2%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario MUJERES ;17,9%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Consumo de medicamentos ;66,3%;;62,6%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Consumo de medicamentos HOMBRES  ;62,4%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Consumo de medicamentos MUJERES ;69,7%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.6.2. Indicadores de nivel de salud (2018. Estudio Madrid Salud);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud  (% respuesta muy buena + buena);72,3%;;75,9%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud HOMBRES ;77,4%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud MUJERES ;68,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) ;20,2%;;19,9%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) HOMBRES;19,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) MUJERES;21,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica ;39,8%;;34,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica HOMBRES ;36,6%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica MUJERES;42,4%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hipertensión arterial;18,8%;;13,2%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hipertensión arterial HOMBRES;19,7%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hipertensión arterial MUJERES;18,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diabetes Mellitus;6,0%;;3,6%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diabetes Mellitus HOMBRES;6,9%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diabetes Mellitus MUJERES;5,3%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con obesidad ;12,2%;;9,3%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con obesidad HOMBRES ;13,3%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con obesidad MUJERES;11,2%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con sobrepeso;33,5%;;26,2%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con sobrepeso HOMBRES;41,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con sobrepeso MUJERES;27,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas mayores de 65 años con alguna dependencia funcional;32,4%;;27,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alguna dependencia funcional HOMBRES ;39,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alguna dependencia funcional MUJERES;48,6%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Prevalencia de obesidad en la población infantil (2017. Estudio Madrid Salud. UCM);15,8%;;17,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12);21,1%;;21,8%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12) HOMBRES;16,6%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad (GHQ-12) MUJERES;24,9%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.6.3. Riesgo de mala salud mental en personas de 18 años o más (GHQ-12) Ciudad de Madrid (ENS, 2017, Abril y Octubre de 2020);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12) Abril 2020;57,6%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12) HOMBRES Abril 2020;55,5%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12) MUJERES Abril 2020;59,5%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12) Octubre 2020;49,8%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12) HOMBRES Octubre 2020;39,6%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental(GHQ-12)  MUJERES Octubre 2020;58,6%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12)   entre 18-29 años (ENS, 2017);13,9%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12)   entre 30-44 años (ENS, 2017);15,3%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12)   entre 45-64 años (ENS, 2017);19,6%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12)   entre 65 y más años (ENS, 2017);22,7%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12)   entre 18-29 años (Abril, 2020);67,4%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
