08. FUENCARRAL-EL PARDO. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;FUENCARRAL-EL PARDO;;El Pardo;;Fuentelarreina;;Peñagrande;;Del Pilar;;La Paz;;Valverde;;Mirasierra;;El Goloso;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;60.445,52;;23.783,84;;18.758,34;;138,26;;288,73;;136,32;;215,48;;898,12;;699,28;;2.649,31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Densidad (hab./Ha.) ;54,37;;10,35;;0,18;;24,20;;152,00;;332,70;;150,11;;70,87;;50,39;;7,20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2. LA POBLACIÓN DEL DISTRITO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.1. Estructura de la población (01/01/2022);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con nacionalidad española HOMBRES;46,7%;1.301.434;47,4%;106.594;50,4%;1.649;46,3%;1.439;46,8%;19.026;45,8%;18.445;46,8%;14.557;48,0%;26.820;48,3%;15.828;49,6%;8.830;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con nacionalidad española MUJERES;53,3%;1.486.863;52,6%;118.271;49,6%;1.622;53,7%;1.666;53,2%;21.619;54,2%;21.850;53,2%;16.551;52,0%;29.069;51,7%;16.934;50,4%;8.960;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con nacionalidad extranjera (01/01/2021);14,1%;523.994;9,1%;22.827;4,9%;172;7,5%;251;8,3%;3.738;12,1%;5.675;5,6%;1.897;12,6%;8.153;5,3%;1.803;6,0%;1.138;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con nacionalidad extranjera HOMBRES;46,5%;243.712;43,5%;9.926;43,0%;74;28,7%;72;41,7%;1.558;44,4%;2.518;42,8%;811;45,2%;3.684;38,4%;692;45,4%;517;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con nacionalidad extranjera MUJERES;53,5%;280.282;56,5%;12.901;57,0%;98;71,3%;179;58,3%;2.180;55,6%;3.157;57,2%;1086;54,8%;4.469;61,6%;1.111;54,6%;621;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Proporción de personas migrantes (Personas extranjeras menos UE y resto países de OCDE / Población total) (01/01/2021);11,2%;;6,2%;;3,4%;;4,7%;;5,8%;;9,1%;;3,5%;;8,9%;;2,3%;;2,8%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1ª nacionalidad extranjera en el Distrito: VENEZUELA (% respecto total de población extranjera del distrito);8,0%;41.761;10,0%;2292;3,5%;6;1,6%;4;9,2%;343;11,5%;653;7,5%;142;11,5%;940;1,3%;110;1,2%;94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2ª nacionalidad extranjera en el Distrito: CHINA (% respecto total de población extranjera del distrito);7,7%;40.205;7,8%;1.775;4,1%;7;0,0%;0;8,1%;304;8,1%;457;7,2%;136;9,9%;811;0,3%;24;0,4%;36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.2. Estructura de los hogares (01-01-2021);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nº total de hogares;100%;1.306.612;7,0%;91.408;1,4%;1.315;1,2%;1.135;18,7%;17.118;21,3%;19.496;13,7%;12.522;25,1%;22.939;18,3%;11.038;7,2%;5.845;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tamaño medio del hogar;;2,54  ;;2,71;;2,62;;2,96;;2,59;;2,36;;2,64;;2,79;;3,13;;3,24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hogares con una mujer sola >65 años;9,9%;129.292;9,0%;8.208;13,2%;173;10,2%;116;10,4%;1.775;13,3%;2.594;10,7%;1.343;6,5%;1.500;5,5%;604;1,8%;103;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hogares con un hombre solo >65 años;2,9%;38.397;2,6%;2.356;4,0%;52;3,3%;38;3,3%;564;3,4%;671;3,3%;412;1,6%;369;1,8%;199;0,9%;51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
