09. MONCLOA-ARAVACA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;MONCLOA-ARAVACA;;Casa de Campo;;Argüelles;;Ciudad Universitaria;;Valdezarza;;Valdemarín;;El Plantío;;Aravaca;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2ª nacionalidad extranjera en el Distrito: CHINA (% respecto total de población extranjera del distrito);7,7%;40.205;6,9%;962;10,1%;132;6,6%;234;6,3%;101;11,0%;399;1,3%;9;1,6%;5;25,9%;82;;;;;;;;;;;;
1.2.2. Estructura de los hogares (01-01-2021);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nº total de hogares;100%;1.306.612;3,5%;46.361;12,1%;5.588;22,5%;10.411;13,4%;6.193;27,0%;12.508;4,3%;1.986;2,0%;905;18,3%;8.770;;;;;;;;;;;;
Tamaño medio del hogar;;2,54  ;;2,61;;2,34;;2,32;;2,61;;2,41;;3,45;;3,22;;3,14;;;;;;;;;;;;
Hogares con una mujer sola >65 años;9,9%;129.292;10,3%;4.753;13,0%;725;11,0%;1.150;10,8%;671;12,8%;1.603;3,3%;65;4,1%;37;5,7%;502;;;;;;;;;;;;
Hogares con un hombre solo >65 años;2,9%;38.397;3,2%;1.506;3,7%;208;3,7%;388;3,5%;218;3,3%;411;2,0%;40;3,4%;31;2,4%;210;;;;;;;;;;;;
Hogares monoparentales: una mujer adulta con uno o más menores;2,0%;26.000;2,1%;961;1,8%;98;1,4%;144;1,6%;102;2,2%;270;4,3%;86;1,8%;16;2,8%;245;;;;;;;;;;;;
Hogares monoparentales: un hombre adulto con uno o más menores;0,4%;5.236;0,5%;225;0,3%;16;0,3%;36;0,5%;33;0,4%;53;1,2%;23;1,0%;9;0,6%;55;;;;;;;;;;;;
1.2.3. Dinámica demográfica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa bruta de natalidad 2020 (‰);;7,8;;7,7;;5,0;;6,3;;6,9;;8,5;;10,9;;6,7;;9,2;;;;;;;;;;;;
Tasa de crecimiento demográfico 2020 (%);;-0,7;;-0,7;;-1,0;;-1,1;;-1,4;;-1,0;;-1,5;;4,1;;0,2;;;;;;;;;;;;
Esperanza de vida al nacer MUJERES (mortalidad del periodo 2013-2016);;87,5;;87,0;;84,0;;88,2;;89,0;;87,4;;83,0;;83,1;;86,3;;;;;;;;;;;;
