18. VILLA DE VALLECAS. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;
 ;CIUDAD;;VILLA DE VALLECAS;;Casco Histórico de Vallecas;;Santa Eugenia;;Ensanche de Vallecas;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;
Crecimiento/decrecimiento Renta Bruta Per Cápita 2014(a)-2008;-0,2%;-40,4 €;-0,9%;-180,6 €;;;;;;;;;;;;
Pensión media mensual del Distrito HOMBRES (2015);;1.376,2 €;;1.230,3 €;;;;;;;;;;;;
Pensión media mensual del Distrito MUJERES (2015);;858,8 €;;777,4 €;;;;;;;;;;;;
1.4. INDICADORES DE DESEMPLEO;;;;;;;;;;;;;;;;
Tasa de actividad global ciudad de Madrid (EPA. 3º trimestre 2018);61,2%;;;;;;;;;;;;;;;
Hombres ;66,4%;;;;;;;;;;;;;;;
Mujeres;56,8%;;;;;;;;;;;;;;;
Número de parados ciudad de Madrid (EPA. 3º trimestre 2018) (miles);;200,1;;;;;;;;;;;;;;
Hombres (miles);;97,3;;;;;;;;;;;;;;
Mujeres (miles);;102,8;;;;;;;;;;;;;;
Paro registrado (nº de personas registradas en SEPE en agosto 2018);;167.871;4,2%;7.130;44,2%;3.154;21,0%;1.498;33,8%;2.409;;;;;;
Tasa absoluta de paro registrado (agosto 2018);7,9%;;9,6%;;12,1%;;9,2%;;7,7%;;;;;;;
Tasa absoluta de paro registrado MUJERES;8,6%;;11,0%;;13,1%;;10,4%;;9,5%;;;;;;;
De 16 a 24 años;4,6%;;7,2%;;8,1%;;5,2%;;7,5%;;;;;;;
De 25 a 44 años;8,3%;;10,4%;;13,5%;;10,4%;;8,7%;;;;;;;
De 45 a 64 años;10,1%;;12,9%;;14,5%;;11,9%;;12,0%;;;;;;;
Tasa absoluta de paro registrado HOMBRES ;7,1%;;8,0%;;10,9%;;7,9%;;5,7%;;;;;;;
De 16 a 24 años;4,5%;;6,9%;;8,0%;;5,4%;;6,6%;;;;;;;
De 25 a 44 años;6,1%;;7,0%;;10,4%;;7,6%;;4,8%;;;;;;;
De 45 a 64 años;9,1%;;10,0%;;12,6%;;9,1%;;7,6%;;;;;;;
Parados de larga duración (agosto 2018);41,0%;68.898;44,1%;3.147;;;;;;;;;;;;
Hombres;40,4%;27.816;38,3%;1.204;;;;;;;;;;;;
Mujeres ;59,6%;41.082;61,7%;1.943;;;;;;;;;;;;
Parados que SÍ perciben prestaciones (agosto 2018);37,3%;62.541;33,7%;2.406;;;;;;;;;;;;
Hombres;47,0%;29.412;45,8%;1.103;;;;;;;;;;;;
Mujeres ;53,0%;33.129;54,2%;1.303;;;;;;;;;;;;
Parados que NO perciben prestaciones (agosto 2018);62,7%;105.330;66,3%;4.724;;;;;;;;;;;;
Hombres;40,7%;42.906;38,7%;1.826;;;;;;;;;;;;
Mujeres ;59,3%;62.424;61,3%;2.898;;;;;;;;;;;;
1.5. EDUCACIÓN;;;;;;;;;;;;;;;;
1.5.1. Población en etapas educativas (01/01/2018);100,0%;463.011;100,0%;20.933;100,0%;7.070;100,0%;2.871;100,0%;10.992;;;;;;
0 a 2 años;18,8%;87.088;22,3%;4.659;17,7%;1.254;17,5%;503;101,1%;2902;;;;;;
Infantil (3 a 5 años);18,7%;86.699;22,2%;4.638;17,7%;1.254;18,1%;519;99,8%;2865;;;;;;
Primaria (6 a 11 años);38,2%;176.730;36,6%;7.669;39,4%;2.787;36,6%;1.052;133,4%;3.830;;;;;;
Secundaria (12 a 15 años);24,3%;112.494;19,0%;3.967;25,1%;1.775;27,8%;797;48,6%;1395;;;;;;
Etapas educativas. Total niños;51,2%;237.098;52,2%;10.928;51,2%;3.617;52,6%;1.510;52,8%;5.801;;;;;;
0 a 2 años;18,8%;44.551;22,0%;2.399;17,5%;632;17,9%;271;99,1%;1496;;;;;;
Infantil (3 a 5 años);18,8%;44.489;22,2%;2.425;17,9%;648;17,1%;258;100,6%;1519;;;;;;
Primaria (6 a 11 años);38,2%;90.647;36,5%;3.985;38,7%;1.400;37,3%;563;133,9%;2022;;;;;;
Secundaria (12 a 15 años);24,2%;57.411;19,4%;2.119;25,9%;937;27,7%;418;50,6%;764;;;;;;
Etapas educativas. Total niñas;48,8%;225.913;47,8%;10.005;48,8%;3.453;47,4%;1.361;47,2%;5.191;;;;;;
0 a 2 años;18,8%;42.537;22,6%;2.260;18,0%;622;17,0%;232;103,3%;1406;;;;;;
Infantil (3 a 5 años);18,7%;42.210;22,1%;2.213;17,5%;606;19,2%;261;98,9%;1346;;;;;;
Primaria (6 a 11 años);38,1%;86.083;36,8%;3.684;40,2%;1.387;35,9%;489;132,8%;1808;;;;;;
Secundaria (12 a 15 años);24,4%;55.083;18,5%;1.848;24,3%;838;27,8%;379;46,4%;631;;;;;;
1.5.2. Escolarización de alumnos por tipo de centro (año escolar 2016/17);100%;510.340;100%;17.041;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;43,3%;220.761;44,1%;7.510;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;17,5%;89.197;9,1%;1.549;;;;;;;;;;;;
En centros PÚBLICOS;39,3%;200.382;46,8%;7.982;;;;;;;;;;;;
Total alumnos extranjeros;10,3%;52.588;9,6%;1.639;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;34,7%;18.249;28,6%;469;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;8,6%;4.514;1,3%;21;;;;;;;;;;;;
En centros PÚBLICOS;56,7%;29.825;70,1%;1.149;;;;;;;;;;;;
Total alumnos con necesidades de apoyo educativo;3,9%;19.911;4,5%;765;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;50,1%;9.977;34,6%;265;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;3,8%;764;0,0%;0;;;;;;;;;;;;
En centros PÚBLICOS;46,1%;9.170;65,4%;500;;;;;;;;;;;;
1.5.3. Nivel de estudios de la población ≥ 25 años (01/01/2018);;;;;;;;;;;;;;;;
No sabe leer ni escribir o sin estudios;5,2%;129.614;7,0%;5.436;12,4%;3.560;6,1%;1.165;2,3%;711;;;;;;
Primaria incompleta;12,1%;301.397;12,2%;9.509;19,1%;5.513;12,0%;2.281;5,7%;1.715;;;;;;
Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado;26,5%;659.083;32,8%;25.648;39,6%;11.425;32,5%;6.198;26,5%;8.025;;;;;;
Formación profesional 2º grado, Bachiller Superior o BUP;19,1%;475.507;21,1%;16.470;16,5%;4.767;24,1%;4.592;23,5%;7.111;;;;;;
Titulados medios, diplomados, arquitecto o ingeniero técnico;9,7%;240.663;10,2%;7.991;5,1%;1.483;9,6%;1.833;15,4%;4.675;;;;;;
Estudios superiores, licenciado, arquitecto o ingeniero superior, estudios superiores no universitarios, doctorado, estudios postgraduados;27,3%;681.198;16,8%;13.108;7,2%;2.062;15,7%;2.986;26,6%;8.060;;;;;;
Nivel de estudios desconocido y no consta;0,1%;3.467;0,0%;27;0,0%;14;0,1%;13;0,0%;0;;;;;;
1.5.4. Programa de prevención y control del absentismo escolar;;;;;;;;;;;;;;;;
Casos trabajados por el programa de absentismo municipal (curso escolar 2017-2018);100,0%;3.901;11,2%;437;;;;;;;;;;;;
Casos trabajados HOMBRES;50,1%;1.955;50,8%;222;;;;;;;;;;;;
Casos trabajados MUJERES;49,9%;1.946;49,2%;215;;;;;;;;;;;;
1.6. SALUD;;;;;;;;;;;;;;;;
