05. CHAMARTÍN. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;
 ;CIUDAD;;CHAMARTÍN;;El Viso;;Prosperidad;;Ciudad Jardín;;Hispanoamérica;;Nueva España;;Castilla;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;917,55;;170,92;;104,01;;76,23;;171,25;;179,01;;216,13;
De 65 a 79;13,0%;419.069;14,7%;21.341;13,6%;2.326;16,5%;6.039;14,6%;2.696;15,0%;4.707;13,5%;3.296;13,5%;2.277
De 80 y + ;7,4%;237.722;8,4%;12.216;7,9%;1.355;8,1%;2.968;8,4%;1.558;9,6%;3.013;7,5%;1.832;8,8%;1.490
De 65 y +;20,4%;656.791;23,2%;33.557;21,5%;3.681;24,7%;9.007;23,0%;4.254;24,6%;7.720;20,9%;5.128;22,3%;3.767
Población en etapa educativa (De 3 a 16 años -16 no incluidos-);11,7%;375.923;11,0%;15.926;11,3%;1.937;8,8%;3.202;9,8%;1.809;12,1%;3.782;13,9%;3.416;10,6%;1.780
Proporción de juventud (Población de 0-15 años/Población total);14,4%;;13,9%;;14,3%;;11,4%;;12,5%;;15,1%;;17,2%;;13,2%;
Proporción de envejecimiento (Población > 65 años/Población total);20,4%;;23,2%;;21,5%;;24,7%;;23,0%;;24,6%;;20,9%;;22,3%;
Proporción de sobreenvejecimiento (Población > 80 años/Población >65 años);36,2%;;36,4%;;36,8%;;33,0%;;36,6%;;39,0%;;35,7%;;39,6%;
Índice de envejecimiento activo (2017);;37,0;;;;;;;;;;;;;;
Hombres;;38,6;;;;;;;;;;;;;;
Mujeres;;35,8;;;;;;;;;;;;;;
Proporción de dependencia (Población de 0-15 + población 65 y + / Pob. 16-64) ;53,3%;;58,8%;;55,8%;;56,5%;;55,0%;;65,8%;;61,6%;;55,1%;
Personas con nacionalidad española;86,9%;2.799.105;90,9%;131.729;89,4%;15.331;90,3%;32.988;88,7%;16.399;93,3%;29.272;91,0%;22.286;91,6%;15.453
Personas con nacionalidad española HOMBRES;46,6%;1.304.453;45,5%;59.903;46,2%;7.085;44,9%;14.801;44,4%;7.288;45,1%;13.196;46,4%;10.337;46,6%;7.196
Personas con nacionalidad española MUJERES;53,4%;1.494.652;54,5%;71.826;53,8%;8.246;55,1%;18.187;55,6%;9.111;54,9%;16.076;53,6%;11.949;53,4%;8.257
Personas con nacionalidad extranjera;13,1%;422.700;9,1%;13.165;10,6%;1.814;9,7%;3.534;11,3%;2.088;6,7%;2.101;9,0%;2.210;8,4%;1.418
Personas con nacionalidad extranjera HOMBRES;46,3%;195.876;39,8%;5.241;37,4%;679;42,5%;1.501;41,1%;858;38,6%;810;35,6%;787;42,7%;606
Personas con nacionalidad extranjera MUJERES;53,7%;226.824;60,2%;7.924;62,6%;1.135;57,5%;2.033;58,9%;1.230;61,4%;1.291;64,4%;1.423;57,3%;812
Proporción de inmigrantes (Extranjeros menos UE y resto países de OCDE / Población total);9,0%;;5,3%;;5,8%;;6,1%;;7,2%;;3,5%;;4,9%;;4,8%;
1ª Nacionalidad Extranjera en el Distrito: ITALIA (proporción respecto total extranjeros);4,5%;18.840;7,8%;1.031;7,6%;137;8,0%;283;7,6%;159;7,8%;163;6,4%;142;10,4%;147
2ª Nacionalidad Extranjera en el Distrito: PARAGUAY (proporción respecto total extranjeros);4,6%;19.502;6,4%;845;2,4%;44;8,5%;300;5,7%;120;5,5%;116;5,2%;114;10,6%;151
1.2.2. Estructura de los hogares (01-01-2018);;;;;;;;;;;;;;;;
Nº total de hogares;100%;1.278.258;4,5%;57.829;10,5%;6.060;27,4%;15.842;13,7%;7.899;21,2%;12.281;15,8%;9.164;11,4%;6.583
