06. TETUÁN. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;TETUÁN;;Bellas Vistas;;Cuatro Caminos;;Castillejos;;Almenara;;Valdeacederas;;Berruguete;;;;;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SERVICIOS SOCIALES Y EMERGENCIA SOCIAL;231.06;2.713.894 €;;558.787 €;;;;671.008 €;;;;;;5.000 €;;3.948.689 €;;;;;;;;;;;;;;;;;;
SALUBRIDAD PÚBLICA;311.01;655.392 €;;19.376 €;;;;;;;;;;;;674.768 €;;;;;;;;;;;;;;;;;;
CENTROS DOCENTES ENSEÑANZA INFANTIL Y PRIMARIA;323.01;;;3.012.979 €;;;;;;;;678.000 €;;;;3.690.979 €;;;;;;;;;;;;;;;;;;
ABSENTISMO;325.01;;;208.143 €;;;;;;;;;;;;208.143 €;;;;;;;;;;;;;;;;;;
SERVICIOS COMPLEMENTARIOS EDUCACIÓN;326.01;;;645.951 €;;;;;;;;;;;;645.951 €;;;;;;;;;;;;;;;;;;
ACTIVIDADES CULTURALES;334.01;430.309 €;;1.145.668 €;;;;18.000 €;;;;;;;;1.593.977 €;;;;;;;;;;;;;;;;;;
ACTUACIONES DEPORTIVAS EN DISTRITOS;341.01;;;86.019 €;;;;;;;;;;;;86.019 €;;;;;;;;;;;;;;;;;;
INSTALACIONES DEPORTIVAS;342.01;4.182.044 €;;1.589.229 €;;;;;;;;876.000 €;;;;6.647.273 €;;;;;;;;;;;;;;;;;;
CONSUMO;493.00;234.985 €;;1.100 €;;;;;;;;;;;;236.085 €;;;;;;;;;;;;;;;;;;
CONCEJALÍA-PRESIDENCIA DEL DISTRITO;912.20;371.360 €;;500 €;;;;;;;;;;;;371.860 €;;;;;;;;;;;;;;;;;;
DIREC. Y GESTIÓN ADMTVA. DEL DISTRITO;920.01;5.309.018 €;;269.795 €;;;;;;;;;;;;5.578.813 €;;;;;;;;;;;;;;;;;;
PARTICIPACIÓN CIUDADANA ;924.01;;;;;;;100.000 €;;;;;;;;100.000 €;;;;;;;;;;;;;;;;;;
EDIFICIOS;933.02;;;2.548.907 €;;;;;;;;23.435 €;;;;2.572.342 €;;;;;;;;;;;;;;;;;;
CENTRO 001;;13.897.002 €;;19.655.729 €;;0 €;;1.083.008 €;;0 €;;1.596.435 €;;35.000 €;;36.267.174;;;;;;;;;;;;;;;;;;
SECCIÓN 206;;13.897.002 €;;19.655.729 €;;0 €;;1.083.008 €;;0 €;;1.596.435 €;;35.000 €;;36.267.174 €;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
