06. TETUÁN. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;TETUÁN;;Bellas Vistas;;Cuatro Caminos;;Castillejos;;Almenara;;Valdeacederas;;Berruguete;;;;;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2ª nacionalidad extranjera en el Distrito: PARAGUAY (% respecto total de población extranjera del distrito);3,9%;20.392;10,2%;3.321;7,4%;533;6,6%;365;6,1%;199;10,8%;404;15,5%;999;12,7%;821;;;;;;;;;;;;;;;;;;
1.2.2. Estructura de los hogares (01-01-2021);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nº total de hogares;100%;1.306.612;5,1%;67.073;17,8%;11.967;22,6%;15.146;14,0%;9.367;14,0%;9.375;16,1%;10.795;15,5%;10.423;;;;;;;;;;;;;;;;;;
Tamaño medio del hogar;;2,54  ;;2,38;;2,46;;2,30;;2,19;;2,43;;2,47;;2,46;;;;;;;;;;;;;;;;;;
Hogares con una mujer sola >65 años;9,9%;129.292;10,0%;6.674;10,0%;1.198;11,6%;1.755;11,5%;1.081;9,2%;864;7,5%;809;9,3%;967;;;;;;;;;;;;;;;;;;
Hogares con un hombre solo >65 años;2,9%;38.397;3,0%;2.029;3,2%;383;3,0%;459;3,8%;353;3,2%;296;2,4%;260;2,7%;278;;;;;;;;;;;;;;;;;;
Hogares monoparentales: una mujer adulta con uno o más menores;2,0%;26.000;1,5%;1.012;1,4%;172;1,3%;193;1,1%;100;1,9%;177;1,7%;183;1,8%;187;;;;;;;;;;;;;;;;;;
Hogares monoparentales: un hombre adulto con uno o más menores;0,4%;5.236;0,3%;210;0,3%;34;0,4%;54;0,3%;30;0,3%;30;0,3%;29;0,3%;33;;;;;;;;;;;;;;;;;;
1.2.3. Dinámica demográfica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa bruta de natalidad 2020 (‰);;7,8;;8,4;;8,3;;8,5;;9,1;;8,7;;8,0;;8,2;;;;;;;;;;;;;;;;;;
Tasa de crecimiento demográfico 2020 (%);;-0,7;;-0,9;;-1,5;;-1,1;;-1,4;;-1,2;;0,3;;-0,7;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer MUJERES (mortalidad del periodo 2013-2016);;87,5;;87,7;;88,6;;88,5;;87,7;;86,8;;85,8;;87,9;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (mortalidad del periodo 2013-2016);;81,9;;81,6;;82,0;;81,7;;82,9;;80,2;;81,4;;80,9;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer MUJERES (2020);;85,2;;84,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (2020);;79,3;;78,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años MUJERES (2020);;22,4;;22,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años HOMBRES (2020);;17,7;;16,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.4. Mujeres y hombres;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2019);;0,842;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2009);;0,795;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.3. INDICADORES ECONÓMICOS ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Renta neta media anual de los hogares (Urban Audit). 2018;;42.283,0 €;89%;37.557,0 €;89%;33.573,8 €;123%;46.339,3 €;129%;48.631,4 €;84%;31.609,3 €;80%;30.163,6 €;84%;31.387,4 €;;;;;;;;;;;;;;;;;;
Renta disponible Bruta Per Cápita 2019 ;;21.638,0 €;;20.468,0 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito HOMBRES (2020);;1.521,8 €;98%;1.496,8 €;100%;1.502,9 €;115%;1.718,0 €;115%;1.726,6 €;86%;1.293,2 €;84%;1.254,4 €;94%;1.402,7 €;;;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito MUJERES (2020);;1.146,5 €;103%;1.180,7 €;100%;1.184,8 €;115%;1.358,9 €;113%;1.337,5 €;85%;1.000,6 €;86%;1.011,4 €;92%;1.082,5 €;;;;;;;;;;;;;;;;;;
1.4. INDICADORES DE DESEMPLEO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa de actividad global ciudad de Madrid (EPA. 4º trimestre 2021);62,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres ;67,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres;58,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Número de personas paradas en la ciudad de Madrid (EPA. 4º trimestre 2021) (miles);;175,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres (miles);;79,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres (miles);;95,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paro registrado (nº de personas registradas en SEPE en febrero 2022);;160.316;4,8%;7.623;17,7%;1.348;15,5%;1.184;10,0%;764;19,7%;1.501;18,4%;1.404;16,0%;1.216;;;;;;;;;;;;;;;;;;
Tasa absoluta de paro registrado (febrero 2022);7,33;;6,94;;6,81;;5,26;;5,81;;9,80;;7,52;;6,97;;;;;;;;;;;;;;;;;;;
Tasa absoluta de paro registrado HOMBRES ;6,52;;6,38;;6,32;;4,88;;5,21;;8,59;;6,89;;6,69;;;;;;;;;;;;;;;;;;;
De 16 a 24 años;3,33;;2,98;;2,09;;2,03;;1,90;;5,47;;3,19;;3,05;;;;;;;;;;;;;;;;;;;
De 25 a 44 años;5,45;;4,54;;4,64;;3,37;;3,62;;6,59;;4,85;;4,62;;;;;;;;;;;;;;;;;;;
De 45 a 64 años;8,63;;9,84;;10,03;;7,74;;8,27;;12,15;;10,63;;10,52;;;;;;;;;;;;;;;;;;;
Tasa absoluta de paro registrado MUJERES ;8,08;;7,44;;7,25;;5,60;;6,33;;10,90;;8,10;;7,20;;;;;;;;;;;;;;;;;;;
De 16 a 24 años;3,34;;2,85;;2,37;;1,86;;1,79;;6,14;;2,97;;2,11;;;;;;;;;;;;;;;;;;;
De 25 a 44 años;7,30;;6,23;;6,07;;4,21;;5,08;;9,11;;7,33;;6,42;;;;;;;;;;;;;;;;;;;
De 45 a 64 años;10,17;;10,11;;10,09;;8,24;;8,86;;14,22;;10,36;;9,58;;;;;;;;;;;;;;;;;;;
Personas paradas de larga duración (febrero 2022);51,9%;83.245;51,9%;3.953;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;38,9%;32.359;40,2%;1.589;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;61,1%;50.886;59,8%;2.364;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas paradas que SI perciben prestaciones (febrero 2022);42,4%;68.028;44,5%;3.391;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;47,3%;32.178;46,4%;1.574;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;52,7%;35.850;53,6%;1.817;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas paradas que NO perciben prestaciones (febrero 2022);57,6%;92.288;55,5%;4.232;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;39,5%;36.473;40,6%;1.718;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;60,5%;55.815;59,4%;2.514;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5. EDUCACIÓN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5.1. Población en etapas educativas (01/01/2021);100,0%;455.915;100%;18.293;100%;3.469;100%;3.658;100%;1.957;100%;2.688;100%;3.391;100%;3.130;;;;;;;;;;;;;;;;;;
0 a 2 años;17,2%;78.328;20,6%;3.776;21,2%;735;21,2%;777;24,3%;476;19,3%;520;19,6%;665;19,3%;603;;;;;;;;;;;;;;;;;;
Infantil (3 a 5 años);18,5%;84.424;19,7%;3.602;19,6%;680;19,9%;729;18,6%;364;20,5%;550;19,6%;665;19,6%;614;;;;;;;;;;;;;;;;;;
Primaria (6 a 11 años);38,4%;175.023;36,4%;6.657;35,4%;1.227;36,7%;1.344;36,8%;720;33,9%;911;37,2%;1.261;38,1%;1.194;;;;;;;;;;;;;;;;;;
Secundaria (12 a 15 años);25,9%;118.140;23,3%;4.258;23,8%;827;22,1%;808;20,3%;397;26,3%;707;23,6%;800;23,0%;719;;;;;;;;;;;;;;;;;;
Etapas educativas. Total niños;51,1%;233.089;51,1%;9.347;51,5%;1.786;52,5%;1.921;50,9%;997;50,0%;1.343;50,7%;1.720;50,5%;1.580;;;;;;;;;;;;;;;;;;
0 a 2 años;17,1%;39.956;20,4%;1.907;21,3%;380;20,7%;397;23,2%;231;19,3%;259;19,1%;328;19,7%;312;;;;;;;;;;;;;;;;;;
Infantil (3 a 5 años);18,6%;43.338;19,6%;1.834;19,9%;355;20,8%;399;19,6%;195;20,0%;269;19,0%;327;18,3%;289;;;;;;;;;;;;;;;;;;
Primaria (6 a 11 años);38,4%;89.462;36,9%;3.449;35,3%;631;37,0%;711;37,4%;373;34,8%;467;38,2%;657;38,6%;610;;;;;;;;;;;;;;;;;;
Secundaria (12 a 15 años);25,9%;60.333;23,1%;2.157;23,5%;420;21,6%;414;19,9%;198;25,9%;348;23,7%;408;23,4%;369;;;;;;;;;;;;;;;;;;
