10. LATINA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;LATINA;;Los Cármenes;;Puerta del Ángel;;Lucero;;Aluche;;Campamento;;Cuatro Vientos;;Las Águilas;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;
Hogares monoparentales: una mujer adulta con uno o más menores;21,1%;27.460;1,9%;1.788;;149;;329;;250;;438;;127;;107;;388;;;;
Hogares monoparentales: un hombre adulto con uno o más menores;0,4%;5.491;0,3%;305;;23;;59;;49;;65;;29;;26;;54;;;;
1.2.3. Dinámica demográfica;;;;;;;;;;;;;;;;;;;;;;
Tasa bruta de natalidad 2018 (‰);;8,57;;7,2;;8,0;;7,1;;6,9;;6,7;;8,9;;12,3;;6,8;;;;
Tasa de crecimiento demográfico 2018 (%);;1,37;;1,0;;1,2;;0,8;;1,7;;0,6;;1,6;;1,5;;0,9;;;;
Esperanza de vida al nacer MUJERES *(mortalidad del periodo 2013-2016);;87,5;;87,7;;87,2;;87,3;;87,9;;87,9;;89,1;;90,0;;87,4;;;;
Esperanza de vida al nacer HOMBRES *(mortalidad del periodo 2013-2016);;81,9;;82,2;;80,9;;80,7;;82,7;;83,0;;82,7;;82,1;;82,5;;;;
Esperanza de vida al nacer MUJERES (2018);;87,6;;88,2;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (2018);;82,2;;82,4;;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años MUJERES (2018);;24,6;;25,1;;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años HOMBRES (2018);;20,6;;21,5;;;;;;;;;;;;;;;;;;
1.2.4. Mujeres y hombres;;;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género IDG (2018);;0,8308;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género IDG (2008);;0,7462;;;;;;;;;;;;;;;;;;;;
1.3. INDICADORES ECONÓMICOS ;;;;;;;;;;;;;;;;;;;;;;
Renta neta media anual de los hogares (Urban Audit). 2016;;39.613,0 €;77,0%;30.490 €;84%;25.530 €;93%;28.421 €;100%;30.371 €;102%;31.245 €;105%;31.967 €;116%;35.492 €;99%;30.303 €;;;;
Renta disponible Bruta Per Cápita 2016(a);;21.755;;18.973,7 €;;;;;;;;;;;;;;;;;;
Crecimiento/decrecimiento Renta Bruta Per Cápita 2016(a)-2008;3,1%;658;2,7%;501,8 €;;;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito HOMBRES (2018);; 1.456,2 € ;; 1.416,7 € ;;;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito MUJERES (2018);; 954,0 € ;; 877,5 € ;;;;;;;;;;;;;;;;;;
1.4. INDICADORES DE DESEMPLEO;;;;-1,7%;;;;;;;;;;;;;;;;;;
Tasa de actividad global ciudad de Madrid (EPA. 1º trimestre 2020);61,2%;;;;;;;;;;;;;;;;;;;;;
