14. MORATALAZ. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;MORATALAZ;;Pavones;;Horcajo;;Marroquina;;Media Legua;;Fontarrón;;Vinateros;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;610,32;;100,97;;74,59;;179,01;;99,9;;96,46;;59,4;;;;;;;;;
Hogares monoparentales: una mujer adulta con uno o más menores;21,1%;27.460;1,8%;686;1,8%;58;3,5%;75;1,6%;171;1,7%;124;1,8%;125;1,8%;133;;;;;;;;
Hogares monoparentales: un hombre adulto con uno o más menores;0,4%;5.491;0,3%;124;0,3%;11;0,6%;14;0,3%;36;0,3%;22;0,2%;16;0,3%;25;;;;;;;;
1.2.3. Dinámica demográfica;;;;;;;;;;;;;;;;;;;;;;;;
Tasa bruta de natalidad 2018 (‰);;8,57;;6,8;;7,4;;7,1;;4,8;;8,1;;7,7;;7,2;;;;;;;;
Tasa de crecimiento demográfico 2018 (%);;1,37;;0,4;;0,6;;0,1;;-0,4;;0,6;;1,4;;0,3;;;;;;;;
Esperanza de vida al nacer MUJERES *(mortalidad del periodo 2013-2016);;87,5;;87,4;;85,7;;86,1;;87,9;;89,4;;86,3;;87,1;;;;;;;;
Esperanza de vida al nacer HOMBRES *(mortalidad del periodo 2013-2016);;81,9;;81,4;;80,3;;81,3;;81,5;;82,6;;80,9;;80,7;;;;;;;;
Esperanza de vida al nacer MUJERES (2018);;87,6;;88,5;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (2018);;82,2;;81,6;;;;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años MUJERES (2018);;24,6;;25,1;;;;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años HOMBRES (2018);;20,6;;21,3;;;;;;;;;;;;;;;;;;;;
1.2.4. Mujeres y hombres;;;;;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género IDG (2018);;0,8308;;;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género IDG (2008);;0,7462;;;;;;;;;;;;;;;;;;;;;;
1.3. INDICADORES ECONÓMICOS ;;;;;;;;;;;;;;;;;;;;;;;;
Renta neta media anual de los hogares (Urban Audit). 2016;;39.613,0 €;89%;35.059 €;97%;34.086 €;129%;45.263 €;114%;40.061 €;102%;35.922 €;81%;28.449 €;84%;29.493 €;;;;;;;;
Renta disponible Bruta Per Cápita 2016(a);;21.755;;20.843,9 €;;;;;;;;;;;;;;;;;;;;
Crecimiento/decrecimiento Renta Bruta Per Cápita 2016(a)-2008;3,1%;658;2,3%;474,5 €;;;;;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito HOMBRES (2018);; 1.456,2 € ;; 1.484,9 € ;;;;;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito MUJERES (2018);; 954,0 € ;; 957,5 € ;;;;;;;;;;;;;;;;;;;;
1.4. INDICADORES DE DESEMPLEO;;;;-0,8%;;;;;;;;;;;;;;;;;;;;
Tasa de actividad global ciudad de Madrid (EPA. 1º trimestre 2020);61,2%;;;;;;;;;;;;;;;;;;;;;;;
Hombres ;66,4%;;;;;;;;;;;;;;;;;;;;;;;
Mujeres;57,0%;;;;;;;;;;;;;;;;;;;;;;;
Número de parados ciudad de Madrid (EPA. 1º trimestre 2020) (miles);;176,6;;;;;;;;;;;;;;;;;;;;;;
Hombres (miles);;83,9;;;;;;;;;;;;;;;;;;;;;;
Mujeres (miles);;92,7;;;;;;;;;;;;;;;;;;;;;;
Paro registrado (nº de personas registradas en SEPE en febrero 2020);;167.188;3,0%;5.018;11,0%;551;7,3%;366;25,0%;1.254;18,6%;934;20,2%;1.012;15,6%;784;;;;;;;;
Tasa absoluta de paro registrado (febrero 2020);7,6%;;8,4%;;9,8%;;7,8%;;7,5%;;8,8%;;9,4%;;7,9%;;;;;;;;;
Tasa absoluta de paro registrado MUJERES;8,1%;;9,0%;;10,6%;;8,5%;;8,4%;;9,1%;;10,0%;;8,3%;;;;;;;;;
De 16 a 24 años;4,2%;;5,0%;;4,1%;;4,8%;;3,8%;;6,0%;;5,4%;;6,9%;;;;;;;;;
De 25 a 44 años;7,5%;;8,9%;;12,6%;;9,6%;;7,9%;;9,5%;;9,1%;;7,3%;;;;;;;;;
De 45 a 64 años;9,8%;;10,3%;;11,2%;;9,3%;;10,0%;;9,7%;;12,2%;;9,6%;;;;;;;;;
Tasa absoluta de paro registrado HOMBRES ;7,0%;;7,7%;;8,9%;;7,1%;;6,6%;;8,4%;;8,8%;;7,3%;;;;;;;;;
De 16 a 24 años;4,4%;;4,8%;;5,0%;;4,4%;;4,6%;;5,6%;;5,5%;;3,7%;;;;;;;;;
De 25 a 44 años;6,0%;;7,4%;;8,2%;;10,0%;;6,7%;;8,0%;;7,0%;;7,1%;;;;;;;;;
De 45 a 64 años;8,9%;;8,9%;;10,8%;;6,8%;;7,3%;;9,6%;;11,6%;;8,6%;;;;;;;;;
