17. VILLAVERDE. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;VILLAVERDE;;Villaverde Alto, C.H. Villaverde;;San Cristóbal;;Butarque;;Los Rosales;;Los Ángeles;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;2.018,76;;925,36;;108,25;;637,55;;154,07;;193,53;;;;;;;;
1.2.3. Dinámica demográfica;;;;;;;;;;;;;;;;;;;;;
Tasa bruta de natalidad 2018 (‰);;8,57;;9,3;;9,6;;12,2;;10,8;;8,5;;7,4;;;;;;;
Tasa de crecimiento demográfico 2018 (%);;1,37;;2,3;;2,0;;3,5;;3,2;;1,6;;2,2;;;;;;;
Esperanza de vida al nacer MUJERES *(mortalidad del periodo 2013-2016);;87,5;;86,6;;86,6;;84,7;;84,9;;86,5;;87,5;;;;;;;
Esperanza de vida al nacer HOMBRES *(mortalidad del periodo 2013-2016);;81,9;;81,0;;80,1;;79,0;;79,9;;82,1;;81,8;;;;;;;
Esperanza de vida al nacer MUJERES (2018);;87,6;;87,4;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (2018);;82,2;;81,7;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años MUJERES (2018);;24,6;;25,0;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años HOMBRES (2018);;20,6;;19,8;;;;;;;;;;;;;;;;;
1.2.4. Mujeres y hombres;;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género IDG (2018);;0,8308;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género IDG (2008);;0,7462;;;;;;;;;;;;;;;;;;;
1.3. INDICADORES ECONÓMICOS ;;;;;;;;;;;;;;;;;;;;;
Renta neta media anual de los hogares (Urban Audit). 2016;;39.613,0 €;68%;26.915 €;84%;22.697 €;74%;19.859 €;113%;30.469 €;107%;28.679 €;106%;28.413 €;;;;;;;
Renta disponible Bruta Per Cápita 2016(a);;21.755;;16.521,5 €;;;;;;;;;;;;;;;;;
Crecimiento/decrecimiento Renta Bruta Per Cápita 2016(a)-2008;3,1%;658;1,0%;167,0 €;;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito HOMBRES (2018);; 1.456,2 € ;; 1.314,4 € ;;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito MUJERES (2018);; 954,0 € ;; 781,7 € ;;;;;;;;;;;;;;;;;
1.4. INDICADORES DE DESEMPLEO;;;;-4,4%;;;;;;;;;;;;;;;;;
Tasa de actividad global ciudad de Madrid (EPA. 1º trimestre 2020);61,2%;;;;;;;;;;;;;;;;;;;;
Hombres ;66,4%;;;;;;;;;;;;;;;;;;;;
Mujeres;57,0%;;;;;;;;;;;;;;;;;;;;
Número de parados ciudad de Madrid (EPA. 1º trimestre 2020) (miles);;176,6;;;;;;;;;;;;;;;;;;;
Hombres (miles);;83,9;;;;;;;;;;;;;;;;;;;
Mujeres (miles);;92,7;;;;;;;;;;;;;;;;;;;
