11. CARABANCHEL. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;CARABANCHEL;;Comillas;;Opañel;;San Isidro;;Vista Alegre;;Puerta Bonita;;Buenavista;;Abrantes;;;;;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1ª nacionalidad extranjera en el Distrito: RUMANÍA (% respecto total de población extranjera del distrito);8,2%;42.708;10,1%;5674;9,5%;437;7,6%;597;9,8%;854;8,6%;1011;10,3%;942;15,9%;1.132;9,8%;701;;;;;;;;;;;;;;;;;;
2ª nacionalidad extranjera en el Distrito: COLOMBIA (% respecto total de población extranjera del distrito);6,6%;34.816;9,3%;5.230;8,6%;397;7,7%;603;6,7%;586;8,5%;1.000;8,9%;815;14,3%;1021;11,3%;808;;;;;;;;;;;;;;;;;;
1.2.2. Estructura de los hogares (01-01-2021);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nº total de hogares;100%;1.306.612;7,4%;96.871;9,9%;9.617;13,6%;13.209;15,8%;15.311;18,0%;17.469;13,1%;12.708;18,0%;17.437;18,3%;11.120;;;;;;;;;;;;;;;;;;
Tamaño medio del hogar;;2,54  ;;2,67;;2,36;;2,55;;2,59;;2,70;;2,83;;2,75;;2,83;;;;;;;;;;;;;;;;;;
Hogares con una mujer sola >65 años;9,9%;129.292;10,2%;9.857;13,1%;1.260;11,8%;1.554;10,2%;1.557;11,9%;2.083;9,7%;1.239;5,9%;1.024;10,3%;1.140;;;;;;;;;;;;;;;;;;
Hogares con un hombre solo >65 años;2,9%;38.397;2,9%;2.805;3,9%;377;3,3%;433;3,1%;471;3,0%;519;2,9%;371;2,0%;355;2,5%;279;;;;;;;;;;;;;;;;;;
Hogares monoparentales: una mujer adulta con uno o más menores;2,0%;26.000;2,1%;2.066;1,8%;174;1,6%;217;1,9%;298;1,7%;295;2,2%;282;3,2%;557;2,2%;243;;;;;;;;;;;;;;;;;;
Hogares monoparentales: un hombre adulto con uno o más menores;0,4%;5.236;0,3%;307;0,3%;26;0,3%;36;0,2%;36;0,2%;43;0,2%;30;0,6%;98;0,3%;38;;;;;;;;;;;;;;;;;;
1.2.3. Dinámica demográfica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
