11. CARABANCHEL. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;CARABANCHEL;;Comillas;;Opañel;;San Isidro;;Vista Alegre;;Puerta Bonita;;Buenavista;;Abrantes;;;;;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Superficie Parques Históricos, Singulares y Forestales por distrito  ;;2.624,2;0,6%;14,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Superficie Parques Históricos, Singulares y Forestales distrito / nº Habitantes *10.000;;7,8;7,1%;0,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.14.7. Educación (Curso académico 2021/22);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Escuelas Infantiles Municipales ;;74;2,7%;2;;0;;0;;0;;0;;0;;2;;0;;;;;;;;;;;;;;;;;;
Escuelas Infantiles Públicas CAM y Municipales;;154;5,2%;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Escuelas Infantiles Privadas;;402;7,0%;28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Colegios Públicos Infantil y Primaria ;;249;7,2%;18;;2;;1;;2;;2;;3;;4;;4;;;;;;;;;;;;;;;;;;
Institutos Públicos de Educación Secundaria;;114;7,0%;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Colegios Privados Inf. o Pri. o Inf. y Pri.;;78;2,6%;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Colegios Privados Inf., Pri. y Sec. o Pri. y Sec. ;;278;6,8%;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.14.8. Empresa y Comercio (2021);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mercados Municipales;;45;4,4%;2;;0;;1;;0;;1;;0;;0;;0;;;;;;;;;;;;;;;;;;
1.15. PARTICIPACIÓN CIUDADANA ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.15.1. Entidades de participación ciudadana (2021) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asociaciones (Sección 1ª);;2.682;5,6%;150;8,0%;12;13,3%;20;21,3%;32;14,7%;22;12,7%;19;15,3%;23;14,7%;22;;;;;;;;;;;;;;;;;;
Nº de asociaciones culturales y casas regionales;;550;6,4%;35;11,4%;4;17,1%;6;20,0%;7;11,4%;4;5,7%;2;11,4%;4;22,9%;8;;;;;;;;;;;;;;;;;;
Nº de asociaciones de mujeres;;90;10,0%;9;11,1%;1;33,3%;3;33,3%;3;11,1%;1;0,0%;0;11,1%;1;0,0%;0;;;;;;;;;;;;;;;;;;
Nº de asociaciones vecinales;;236;5,5%;13;7,7%;1;0,0%;0;30,8%;4;23,1%;3;15,4%;2;15,4%;2;7,7%;1;;;;;;;;;;;;;;;;;;
Fundaciones (Sección 2ª);;87;6,9%;6;0,0%;0;0,0%;1;0,0%;2;0,0%;1;0,0%;1;0,0%;0;0,0%;1;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.16. PRESUPUESTO 2022;Acuerdo de 29 de diciembre de 2021 del Pleno del Ayuntamiento de Madrid. Publicación: BOAM Nùm. 9.046, 31 de diciembre de 2021. BOCM Núm. 312, 31 de diciembre de 2021.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROGRAMA;;CAPÍTULOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1;;2;;3;;4;;5;;6;;7;;TOTAL;;;;;;;;;;;;;;;;;;;;
OTRAS ACTUACIONES EN VÍAS PÚBLICAS;153.22;;;507.067 €;;;;;;;;177.067 €;;;;684.134 €;;;;;;;;;;;;;;;;;;;;
ZONAS VERDES;171.02;;;;;;;;;;;300.000 €;;;;300.000 €;;;;;;;;;;;;;;;;;;;;
FAMILIA E INFANCIA;231.02;;;761.642 €;;;;530.000 €;;;;;;45.000 €;;1.336.642 €;;;;;;;;;;;;;;;;;;;;
MAYORES;231.03;;;20.102.593 €;;;;30.000 €;;;;;;50.000 €;;20.182.593 €;;;;;;;;;;;;;;;;;;;;
SERVICIOS SOCIALES Y EMERGENCIA SOCIAL;231.06;4.263.228 €;;347.917 €;;;;671.535 €;;;;;;40.000 €;;5.322.680 €;;;;;;;;;;;;;;;;;;;;
SALUBRIDAD PÚBLICA;311.01;652.218 €;;4.000 €;;;;;;;;;;;;656.218 €;;;;;;;;;;;;;;;;;;;;
CENTROS DOCENTES ENSEÑANZA INFANTIL Y PRIMARIA;323.01;;;5.666.978 €;;;;;;;;400.000 €;;;;6.066.978 €;;;;;;;;;;;;;;;;;;;;
ABSENTISMO;325.01;;;80.500 €;;;;;;;;;;;;80.500 €;;;;;;;;;;;;;;;;;;;;
SERVICIOS COMPLEMENTARIOS EDUCACIÓN;326.01;;;656.753 €;;;;;;;;;;;;656.753 €;;;;;;;;;;;;;;;;;;;;
ACTIVIDADES CULTURALES;334.01;644.872 €;;1.537.553 €;;;;17.000 €;;;;;;;;2.199.425 €;;;;;;;;;;;;;;;;;;;;
ACTUACIONES DEPORTIVAS EN DISTRITOS;341.01;;;242.189 €;;;;;;;;;;;;242.189 €;;;;;;;;;;;;;;;;;;;;
INSTALACIONES DEPORTIVAS;342.01;2.977.347 €;;3.804.613 €;;;;;;;;79.000 €;;;;6.860.960 €;;;;;;;;;;;;;;;;;;;;
CONSUMO;493.00;278.480 €;;1.200 €;;;;;;;;;;;;279.680 €;;;;;;;;;;;;;;;;;;;;
CONCEJALÍA-PRESIDENCIA DEL DISTRITO;912.20;252.765 €;;1.000 €;;;;;;;;;;;;253.765 €;;;;;;;;;;;;;;;;;;;;
DIREC. Y GESTIÓN ADMTVA. DEL DISTRITO;920.01;6.296.019 €;;710.595 €;;;;;;;;;;;;7.006.614 €;;;;;;;;;;;;;;;;;;;;
PARTICIPACIÓN CIUDADANA;924.01;;;;;;;95.000 €;;;;;;5.000 €;;100.000 €;;;;;;;;;;;;;;;;;;;;
EDIFICIOS;933.02;;;3.777.858 €;;;;;;;;;;;;3.777.858 €;;;;;;;;;;;;;;;;;;;;
CENTRO 001;;15.364.929 €;;38.202.458 €;;0 €;;1.343.535 €;;0 €;;956.067 €;;140.000 €;;56.006.989 €;;;;;;;;;;;;;;;;;;;;
SECCIÓN 211;;15.364.929 €;;38.202.458 €;;0 €;;1.343.535 €;;0 €;;956.067 €;;140.000 €;;56.006.989 €;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
