04. SALAMANCA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;
 ;CIUDAD;;SALAMANCA;;Recoletos;;Goya;;Fuente del Berro;;Guindalera;;Lista;;Castellana;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;539,24;;87,31;;77,03;;85,26;;160,28;;52,02;;77,34;
Esperanza de vida al nacer MUJERES (mortalidad del periodo 2009-2012);;85,9;;86,5;;86,3;;86,6;;86,1;;86,8;;86,7;;86,4
Esperanza de vida al nacer HOMBRES (mortalidad del periodo 2009-2012);;79,9;;81,2;;81,3;;79,8;;80,9;;82,2;;81,6;;80,8
Esperanza de vida al nacer MUJERES (2017);;87,1;;87,2;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (2017);;82,0;;82,8;;;;;;;;;;;;
Esperanza de vida > 65 años MUJERES (2017);;24,3;;24,2;;;;;;;;;;;;
Esperanza de vida > 65 años HOMBRES (2017);;20,3;;20,4;;;;;;;;;;;;
1.2.4. Mujeres y hombres;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2017);;0,816;;;;;;;;;;;;;;
Índice de desigualdad de género (2007);;0,738;;;;;;;;;;;;;;
1.3. INDICADORES ECONÓMICOS ;;;;;;;;;;;;;;;;
Renta neta media anual de los hogares (Urban Audit). 2015;;38.534,6 €;140%;53.971,9 €;157%;84.705,7 €;90%;48.814,7 €;75%;40.503,6 €;86%;46.340,9 €;88%;47.375,4 €;153%;82.811,2 €
Renta disponible Bruta Per Cápita 2014(a);;21.146 €;;27.560 €;;;;;;;;;;;;
Crecimiento/decrecimiento Renta Bruta Per Cápita 2014(a)-2008;-0,2%;-40,4 €;-1,0%;-280,2 €;;;;;;;;;;;;
Pensión media mensual del Distrito HOMBRES (2015);;1.376,2 €;;1.667,0 €;;;;;;;;;;;;
Pensión media mensual del Distrito MUJERES (2015);;858,8 €;;1.046,4 €;;;;;;;;;;;;
1.4. INDICADORES DE DESEMPLEO;;;;;;;;;;;;;;;;
Tasa de actividad global ciudad de Madrid (EPA. 3º trimestre 2018);61,2%;;;;;;;;;;;;;;;
Hombres ;66,4%;;;;;;;;;;;;;;;
Mujeres;56,8%;;;;;;;;;;;;;;;
Número de parados ciudad de Madrid (EPA. 3º trimestre 2018) (miles);;200,1;;;;;;;;;;;;;;
Hombres (miles);;97,3;;;;;;;;;;;;;;
Mujeres (miles);;102,8;;;;;;;;;;;;;;
Paro registrado (nº de personas registradas en SEPE en agosto 2018);;167.871;2,9%;4.916;7,7%;379;19,5%;961;15,7%;773;30,0%;1.473;14,2%;699;7,9%;389
Tasa absoluta de paro registrado (agosto 2018);7,9%;;5,2%;;3,9%;;5,2%;;6,1%;;5,9%;;5,5%;;3,8%;
Tasa absoluta de paro registrado MUJERES;8,6%;;5,8%;;4,5%;;5,7%;;6,8%;;6,3%;;6,1%;;4,0%;
De 16 a 24 años;4,6%;;1,7%;;0,5%;;2,2%;;2,7%;;1,8%;;1,9%;;0,4%;
De 25 a 44 años;8,3%;;5,1%;;4,5%;;4,6%;;5,7%;;5,7%;;5,6%;;3,5%;
De 45 a 64 años;10,1%;;7,6%;;5,6%;;7,8%;;9,0%;;8,1%;;7,9%;;5,7%;
Tasa absoluta de paro registrado HOMBRES ;7,1%;;4,6%;;3,2%;;4,7%;;5,2%;;5,3%;;4,7%;;3,4%;
De 16 a 24 años;4,5%;;2,3%;;1,1%;;2,0%;;2,5%;;3,4%;;2,8%;;0,8%;
De 25 a 44 años;6,1%;;3,7%;;2,7%;;4,0%;;4,2%;;4,4%;;3,6%;;2,2%;
De 45 a 64 años;9,1%;;6,4%;;4,3%;;6,4%;;7,1%;;7,1%;;6,6%;;5,7%;
Parados de larga duración (agosto 2018);41,0%;68.898;38,5%;1.893;;;;;;;;;;;;
Hombres;40,4%;27.816;38,0%;719;;;;;;;;;;;;
Mujeres ;59,6%;41.082;62,0%;1.174;;;;;;;;;;;;
Parados que SÍ perciben prestaciones (agosto 2018);37,3%;62.541;44,5%;2.188;;;;;;;;;;;;
Hombres;47,0%;29.412;41,8%;914;;;;;;;;;;;;
Mujeres ;53,0%;33.129;58,2%;1.274;;;;;;;;;;;;
Parados que NO perciben prestaciones (agosto 2018);62,7%;105.330;55,5%;2.728;;;;;;;;;;;;
Hombres;40,7%;42.906;39,2%;1.069;;;;;;;;;;;;
Mujeres ;59,3%;62.424;60,8%;1.659;;;;;;;;;;;;
1.5. EDUCACIÓN;;;;;;;;;;;;;;;;
1.5.1. Población en etapas educativas (01/01/2018);100%;463.011;100%;16.588;100%;1.875;100%;3.245;100%;2.319;100%;4.764;100%;2.403;100%;1.982
0 a 2 años;18,8%;87.088;21,1%;3.493;22,7%;425;23,0%;747;20,0%;464;19,5%;927;21,4%;515;20,9%;415
Infantil (3 a 5 años);18,7%;86.699;19,5%;3.234;20,3%;381;19,8%;644;18,4%;426;19,4%;926;19,6%;471;19,5%;386
Primaria (6 a 11 años);38,2%;176.730;35,9%;5.947;35,5%;665;34,0%;1.103;37,6%;871;36,3%;1.727;35,7%;858;36,5%;723
Secundaria (12 a 15 años);24,3%;112.494;23,6%;3.914;21,5%;404;23,1%;751;24,1%;558;24,9%;1.184;23,3%;559;23,1%;458
Etapas educativas. Total niños;51,2%;237.098;50,2%;8.335;51,4%;963;50,8%;1.650;49,0%;1.136;51,7%;2.461;48,3%;1.160;48,7%;965
0 a 2 años;18,8%;44.551;21,1%;1.755;23,1%;222;22,6%;373;20,9%;237;19,1%;469;22,1%;256;20,5%;198
Infantil (3 a 5 años);18,8%;44.489;19,5%;1.623;20,9%;201;19,4%;320;17,4%;198;19,7%;484;19,2%;223;20,4%;197
Primaria (6 a 11 años);38,2%;90.647;36,3%;3.024;35,8%;345;34,7%;573;38,7%;440;36,3%;894;36,6%;425;36,0%;347
Secundaria (12 a 15 años);24,2%;57.411;23,2%;1.933;20,2%;195;23,3%;384;23,0%;261;24,9%;614;22,1%;256;23,1%;223
Etapas educativas. Total niñas;48,8%;225.913;49,8%;8.253;48,6%;912;49,2%;1.595;51,0%;1.183;48,3%;2.303;51,7%;1.243;51,3%;1.017
0 a 2 años;18,8%;42.537;21,1%;1.738;22,3%;203;23,4%;374;19,2%;227;19,9%;458;20,8%;259;21,3%;217
Infantil (3 a 5 años);18,7%;42.210;19,5%;1.611;19,7%;180;20,3%;324;19,3%;228;19,2%;442;20,0%;248;18,6%;189
Primaria (6 a 11 años);38,1%;86.083;35,4%;2.923;35,1%;320;33,2%;530;36,4%;431;36,2%;833;34,8%;433;37,0%;376
Secundaria (12 a 15 años);24,4%;55.083;24,0%;1.981;22,9%;209;23,0%;367;25,1%;297;24,8%;570;24,4%;303;23,1%;235
1.5.2. Escolarización de alumnos por tipo de centro (año escolar 2016/17);100%;510.340;100%;19.391;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;43,3%;220.761;66,8%;12.945;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;17,5%;89.197;16,9%;3.273;;;;;;;;;;;;
En centros PÚBLICOS;39,3%;200.382;16,4%;3.173;;;;;;;;;;;;
Total alumnos extranjeros;10,3%;52.588;5,9%;1.137;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;34,7%;18.249;47,2%;537;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;8,6%;4.514;10,2%;116;;;;;;;;;;;;
