08. FUENCARRAL-EL PARDO. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;FUENCARRAL-EL PARDO;;El Pardo;;Fuentelarreina;;Peñagrande;;Del Pilar;;La Paz;;Valverde;;Mirasierra;;El Goloso;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con nacionalidad española MUJERES;53,4%;1.497.238;52,6%;118.358;50,4%;1.671;53,3%;1.610;53,0%;21.791;54,1%;22.239;53,0%;16.975;52,1%;29.080;51,7%;16.180;50,3%;8.812;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con nacionalidad extranjera;14,1%;460.623;8,5%;20.882;4,1%;141;7,4%;243;7,7%;3.422;11,4%;5.307;5,2%;1.763;11,7%;7.392;4,9%;1.620;5,4%;994;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con nacionalidad extranjera HOMBRES;46,2%;212.925;43,2%;9.016;44,0%;62;28,4%;69;42,3%;1.448;44,0%;2.333;43,8%;773;44,7%;3.302;37,4%;606;42,6%;423;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con nacionalidad extranjera MUJERES;53,8%;247.698;56,8%;11.866;56,0%;79;71,6%;174;57,7%;1.974;56,0%;2.974;56,2%;990;55,3%;4.090;62,6%;1.014;57,4%;571;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Proporción de inmigrantes (Extranjeros menos UE y resto países de OCDE / Población total);9,8%;;5,6%;;2,3%;;4,6%;;5,2%;;8,3%;;3,2%;;8,0%;;2,3%;;2,4%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1ª nacionalidad extranjera en el Distrito: Rumanía (% respecto total extranjeros del distrito);9,7%;44.738;8,7%;1819;7,8%;11;6,6%;16;11,5%;394;11,4%;605;9,7%;171;6,9%;508;0,8%;60;0,7%;54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2ª nacionalidad extranjera en el Distrito: China (% respecto total extranjeros del distrito);8,4%;38.547;8,5%;1.773;5,0%;7;0,4%;1;9,7%;333;8,7%;463;7,9%;139;10,5%;775;0,4%;31;0,3%;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.2. Estructura de los hogares (01-01-2019);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nº total de hogares;100%;1.290.164;7,0%;90.495;1,5%;1.315;1,2%;1.114;18,8%;16.991;21,6%;19.542;13,9%;12.550;25,2%;22.777;18,3%;10.568;7,2%;5.638;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tamaño medio del hogar;;2,53  ;;2,72;;2,63;;2,93;;2,62;;2,38;;2,69;;2,77;;3,11;;3,28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hogares con una mujer sola >65 años;9,8%;126.044;8,4%;7.636;12,9%;169;10,2%;114;9,5%;1.621;12,6%;2.470;9,7%;1.215;6,2%;1.422;5,0%;528;1,7%;97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hogares con un hombre solo >65 años;2,8%;36.720;2,5%;2.239;3,8%;50;3,9%;43;3,0%;506;3,3%;650;3,0%;378;1,6%;369;1,8%;195;0,9%;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hogares monoparentales: una mujer adulta con uno o más menores;21,1%;27.460;2,8%;2.494;1,8%;24;1,5%;17;2,2%;367;1,6%;307;1,1%;143;4,1%;926;3,2%;336;6,6%;374;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hogares monoparentales: un hombre adulto con uno o más menores;0,4%;5.491;0,7%;675;0,5%;7;0,9%;10;0,6%;94;0,2%;38;0,2%;27;1,2%;280;0,8%;86;2,4%;133;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.3. Dinámica demográfica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa bruta de natalidad 2018 (‰);;8,57;;10,2;;7,2;;8,3;;7,1;;7,7;;7,6;;12,3;;12,7;;18,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa de crecimiento demográfico 2018 (%);;1,37;;1,3;;0,0;;1,0;;0,2;;0,7;;0,0;;2,0;;2,6;;3,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer MUJERES *(mortalidad del periodo 2013-2016);;87,5;;87,9;;85,9;;87,5;;87,4;;88,4;;87,3;;87,0;;86,2;;107,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES *(mortalidad del periodo 2013-2016);;81,9;;83,1;;80,0;;84,7;;83,2;;82,1;;84,0;;81,7;;82,5;;93,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer MUJERES (2018);;87,6;;87,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (2018);;82,2;;82,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años MUJERES (2018);;24,6;;24,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años HOMBRES (2018);;20,6;;21,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.4. Mujeres y hombres;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género IDG (2018);;0,8308;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género IDG (2008);;0,7462;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.3. INDICADORES ECONÓMICOS ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Renta neta media anual de los hogares (Urban Audit). 2016;;39.613,0 €;126%;50.087 €;81%;40.657 €;159%;79.413 €;93%;46.484 €;68%;34.260 €;118%;59.243 €;88%;43.898 €;138%;69.353 €;120%;60.056 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Renta disponible Bruta Per Cápita 2016(a);;21.755;;22.765,4 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Crecimiento/decrecimiento Renta Bruta Per Cápita 2016(a)-2008;3,1%;658;0,4%;84,5 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito HOMBRES (2018);; 1.456,2 € ;; 1.623,5 € ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito MUJERES (2018);; 954,0 € ;; 1.033,6 € ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.4. INDICADORES DE DESEMPLEO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa de actividad global ciudad de Madrid (EPA. 1º trimestre 2020);61,2%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres ;66,4%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres;57,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Número de parados ciudad de Madrid (EPA. 1º trimestre 2020) (miles);;176,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres (miles);;83,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres (miles);;92,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paro registrado (nº de personas registradas en SEPE en febrero 2020);;167.188;5,4%;8.951;1,6%;140;0,9%;77;19,0%;1.704;21,9%;1.958;10,5%;940;29,4%;2.631;9,5%;850;4,5%;402;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa absoluta de paro registrado (febrero 2020);7,6%;;5,8%;;6,6%;;4,2%;;6,4%;;7,1%;;5,2%;;6,4%;;4,0%;;3,6%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa absoluta de paro registrado MUJERES;8,1%;;6,4%;;8,9%;;4,9%;;6,8%;;7,5%;;5,8%;;7,1%;;4,5%;;4,2%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 16 a 24 años;4,2%;;2,7%;;4,1%;;0,6%;;2,2%;;3,2%;;2,3%;;4,5%;;1,4%;;1,3%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
