01. CENTRO. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;CENTRO;;Palacio;;Embajadores;;Cortes;;Justicia;;Universidad;;Sol;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;522,82;;146,99;;103,37;;59,19;;73,94;;94,80;;44,53;;;;;;;;;;
Hogares monoparentales: una mujer adulta con uno o más menores;21,1%;27.460;1,4%;922;1,4%;155;1,5%;336;1,3%;69;1,4%;117;1,3%;202;0,3%;43;;;;;;;;;
Hogares monoparentales: un hombre adulto con uno o más menores;0,4%;5.491;0,3%;194;0,3%;31;0,3%;59;0,4%;22;0,3%;30;0,3%;40;0,1%;12;;;;;;;;;
1.2.3. Dinámica demográfica;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa bruta de natalidad 2018 (‰);;8,6;;7,1;;6,7;;7,2;;7,6;;8,0;;6,8;;6,1;;;;;;;;;
Tasa de crecimiento demográfico 2018 (%);;1,4;;1,9;;1,8;;1,4;;-0,5;;3,4;;2,6;;1,9;;;;;;;;;
Esperanza de vida al nacer MUJERES *(mortalidad del periodo 2013-2016);;87,5;;86,1;;85,2;;85,8;;84,8;;88,4;;86,4;;86,3;;;;;;;;;
Esperanza de vida al nacer HOMBRES *(mortalidad del periodo 2013-2016);;81,9;;80,7;;80,3;;81,0;;79,9;;82,1;;81,0;;78,5;;;;;;;;;
Esperanza de vida al nacer MUJERES (2018);;87,6;;87,6;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (2018);;82,2;;80,9;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años MUJERES (2018);;24,6;;24,4;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años HOMBRES (2018);;20,6;;20,0;;;;;;;;;;;;;;;;;;;;;
1.2.4. Mujeres y hombres;;;;;;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género IDG (2018);;0,8308;;;;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género IDG (2008);;0,7462;;;;;;;;;;;;;;;;;;;;;;;
1.3. INDICADORES ECONÓMICOS ;;;;;;;;;;;;;;;;;;;;;;;;;
Renta neta media anual de los hogares (Urban Audit). 2016;;39.613,0 €;82%;32.458,0 €;109%;35.509,2 €;82%;26.762,0 €;115%;37.427,0 €;128%;41.584,0 €;98%;31.866,0 €;98%;31.684,0 €;;;;;;;;;
Renta disponible Bruta Per Cápita 2016(a);;21.755;;24.920,3 €;;;;;;;;;;;;;;;;;;;;;
Crecimiento/decrecimiento Renta Bruta Per Cápita 2016(a)-2008;3,1%;658;11,2%;2.508,8 €;;;;;;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito HOMBRES (2018);; 1.456,2 € ;; 1.367,6 € ;;;;;;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito MUJERES (2018);; 954,0 € ;; 933,6 € ;;;;;;;;;;;;;;;;;;;;;
1.4. INDICADORES DE DESEMPLEO;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa de actividad global ciudad de Madrid (EPA. 1º trimestre 2020);61,2%;;;;;;;;;;;;;;;;;;;;;;;;
Hombres ;66,4%;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres;57,0%;;;;;;;;;;;;;;;;;;;;;;;;
Número de parados ciudad de Madrid (EPA. 1º trimestre 2020) (miles);;176,6;;;;;;;;;;;;;;;;;;;;;;;
Hombres (miles);;83,9;;;;;;;;;;;;;;;;;;;;;;;
Mujeres (miles);;92,7;;;;;;;;;;;;;;;;;;;;;;;
Paro registrado (nº de personas registradas en SEPE en febrero 2020);;167.188;4,5%;7.595;16,3%;1.235;35,6%;2.704;7,0%;533;10,9%;825;21,1%;1.599;4,8%;368;;;;;;;;;
Tasa absoluta de paro registrado (febrero 2020);7,6%;;7,1%;;7,4%;;7,7%;;6,8%;;6,3%;;6,5%;;6,6%;;;;;;;;;;
Tasa absoluta de paro registrado MUJERES;8,1%;;7,2%;;6,9%;;8,2%;;7,0%;;6,0%;;6,7%;;6,6%;;;;;;;;;;
De 16 a 24 años;4,2%;;2,9%;;1,7%;;4,6%;;2,0%;;1,8%;;2,6%;;2,3%;;;;;;;;;;
De 25 a 44 años;7,5%;;6,0%;;5,9%;;7,0%;;6,0%;;4,5%;;5,6%;;5,4%;;;;;;;;;;
De 45 a 64 años;9,8%;;9,9%;;9,2%;;11,2%;;9,5%;;9,0%;;9,6%;;9,4%;;;;;;;;;;
Tasa absoluta de paro registrado HOMBRES ;7,0%;;7,0%;;7,9%;;7,3%;;6,7%;;6,5%;;6,3%;;6,5%;;;;;;;;;;
De 16 a 24 años;4,4%;;3,0%;;3,5%;;3,4%;;1,6%;;3,1%;;2,9%;;1,3%;;;;;;;;;;
De 25 a 44 años;6,0%;;5,3%;;6,3%;;5,5%;;5,6%;;4,9%;;4,8%;;5,2%;;;;;;;;;;
De 45 a 64 años;8,9%;;10,2%;;10,6%;;11,1%;;9,2%;;9,3%;;9,7%;;9,7%;;;;;;;;;;
Parados de larga duración (febrero 2020);38,2%;63.943;33,2%;2.523;;;;;;;;;;;;;;;;;;;;;
Hombres;39,7%;25.381;51,8%;1.308;;;;;;;;;;;;;;;;;;;;;
Mujeres ;60,3%;38.562;48,2%;1.215;;;;;;;;;;;;;;;;;;;;;
Parados que SÍ perciben prestaciones (febrero 2020);43,4%;72.603;44,5%;3.380;;;;;;;;;;;;;;;;;;;;;
Hombres;48,2%;34.979;53,0%;1.790;;;;;;;;;;;;;;;;;;;;;
Mujeres ;51,8%;37.624;47,0%;1.590;;;;;;;;;;;;;;;;;;;;;
Parados que NO perciben prestaciones (febrero 2020);56,6%;94.585;55,5%;4.215;;;;;;;;;;;;;;;;;;;;;
Hombres;41,3%;39.063;51,8%;2.184;;;;;;;;;;;;;;;;;;;;;
Mujeres ;58,7%;55.522;48,2%;2.031;;;;;;;;;;;;;;;;;;;;;
1.5. EDUCACIÓN;;;;;;;;;;;;;;;;;;;;;;;;;
1.5.1. Población en etapas educativas (01/01/2018);100,0%;464338;100,0%;11.171;100,0%;1.906;100,0%;3.989;100,0%;762;100,0%;1.453;100,0%;2.549;100,0%;512;;;;;;;;;
0 a 2 años;18,2%;84.692;22,5%;2.512;21,0%;401;22,4%;892;26,9%;205;21,9%;318;23,2%;591;20,5%;105;;;;;;;;;
Infantil (3 a 5 años);18,7%;86.684;18,8%;2.100;18,5%;353;19,1%;761;18,4%;140;19,5%;284;17,9%;456;20,7%;106;;;;;;;;;
Primaria (6 a 11 años);38,4%;178.445;36,6%;4.088;35,6%;679;37,9%;1.511;31,4%;239;36,3%;527;37,2%;947;36,1%;185;;;;;;;;;
Secundaria (12 a 15 años);24,7%;114.517;22,1%;2.471;24,8%;473;20,7%;825;23,4%;178;22,3%;324;21,8%;555;22,7%;116;;;;;;;;;
Etapas educativas. Total niños;51,2%;237557;50,7%;5.662;49,2%;938;51,3%;2.045;51,0%;389;50,0%;726;51,1%;1.303;51,0%;261;;;;;;;;;
0 a 2 años;18,2%;43.261;22,7%;1.286;22,2%;208;22,0%;449;26,2%;102;22,3%;162;23,8%;310;21,1%;55;;;;;;;;;
Infantil (3 a 5 años);18,7%;44.354;18,6%;1.055;19,8%;186;18,8%;385;16,2%;63;18,9%;137;18,2%;237;18,0%;47;;;;;;;;;
Primaria (6 a 11 años);38,5%;91.575;36,9%;2.087;35,1%;329;38,6%;790;33,7%;131;37,1%;269;36,5%;476;35,2%;92;;;;;;;;;
Secundaria (12 a 15 años);24,6%;58.367;21,8%;1.234;22,9%;215;20,6%;421;23,9%;93;21,8%;158;21,5%;280;25,7%;67;;;;;;;;;
Etapas educativas. Total niñas;48,8%;226.781;49,3%;5.509;50,8%;968;48,7%;1.944;49,0%;373;50,0%;727;48,9%;1.246;49,0%;251;;;;;;;;;
0 a 2 años;18,3%;41.431;22,3%;1.226;19,9%;193;22,8%;443;27,6%;103;21,5%;156;22,6%;281;19,9%;50;;;;;;;;;
Infantil (3 a 5 años);18,7%;42.330;19,0%;1.045;17,3%;167;19,3%;376;20,6%;77;20,2%;147;17,6%;219;23,5%;59;;;;;;;;;
Primaria (6 a 11 años);38,3%;86.870;36,3%;2.001;36,2%;350;37,1%;721;29,0%;108;35,5%;258;37,8%;471;37,1%;93;;;;;;;;;
Secundaria (12 a 15 años);24,8%;56.150;22,5%;1.237;26,7%;258;20,8%;404;22,8%;85;22,8%;166;22,1%;275;19,5%;49;;;;;;;;;
1.5.2. Escolarización de alumnos por tipo de centro (año escolar 2017/18);100,0%;519.294;100,0%;15.894;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;43,1%;223.703;36,0%;5.717;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;17,9%;92.853;10,7%;1.695;;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;39,0%;202.738;53,4%;8.482;;;;;;;;;;;;;;;;;;;;;
Total alumnos extranjeros;10,6%;54.812;16,1%;2.561;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;34,9%;19.103;52,3%;1.340;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;9,1%;4.965;5,8%;148;;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;56,1%;30.744;41,9%;1.073;;;;;;;;;;;;;;;;;;;;;
Total alumnos con necesidades de apoyo educativo;4,0%;20.898;4,2%;663;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;49,2%;10.285;63,7%;422;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;4,6%;963;2,1%;14;;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;46,2%;9.650;34,2%;227;;;;;;;;;;;;;;;;;;;;;
1.5.3. Nivel de estudios de la población ≥ 25 años (01/01/2019);;;;;;;;;;;;;;;;;;;;;;;;;
No sabe leer ni escribir o sin estudios;4,9%;123.025;3,0%;3.458;2,8%;550;4,5%;1.731;2,1%;191;1,7%;243;2,2%;611;2,1%;132;;;;;;;;;
Primaria incompleta;11,6%;291.746;7,8%;8.982;7,4%;1.444;10,0%;3.852;6,2%;560;5,6%;818;6,9%;1.889;6,6%;419;;;;;;;;;
Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado;26,4%;666.553;18,8%;21.654;18,0%;3.512;21,9%;8.401;15,4%;1.397;15,6%;2.270;17,8%;4.863;19,2%;1.211;;;;;;;;;
Formación profesional 2º grado, Bachiller Superior o BUP;19,1%;482.262;18,4%;21.229;18,5%;3.617;18,4%;7.054;19,0%;1.729;17,8%;2.590;18,2%;4.963;20,2%;1.276;;;;;;;;;
Titulados medios, diplomados, arquitecto o ingeniero técnico;9,5%;240.302;9,7%;11.215;10,3%;2.011;8,9%;3.436;9,8%;892;9,5%;1.383;10,5%;2.860;10,0%;633;;;;;;;;;
Estudios superiores, licenciado, arquitecto o ingeniero superior, estudios superiores no universitarios, doctorado, estudios postgraduados;28,4%;717.868;42,2%;48.567;43,0%;8.398;36,2%;13.922;47,5%;4.309;49,8%;7.249;44,2%;12.042;41,9%;2.647;;;;;;;;;
Nivel de estudios desconocido y no consta;0,1%;3.253;0,1%;93;0,1%;15;0,1%;34;0,0%;2;0,1%;12;0,1%;25;0,1%;5;;;;;;;;;
1.5.4. Programa de prevención y control del absentismo escolar;;2.525.009;1;115.198;1;19.547;1;38.430;1;9.080;1;14.565;1;27.253;1;6.323;;;;;;;;;
Casos trabajados por el programa de absentismo municipal (curso escolar 2018-2019);100,0%;4.025;2,3%;92;;;;;;;;;;;;;;;;;;;;;
Casos trabajados HOMBRES;51,2%;2.060;48,9%;45;;;;;;;;;;;;;;;;;;;;;
Casos trabajados MUJERES;48,8%;1.965;51,1%;47;;;;;;;;;;;;;;;;;;;;;
1.6. SALUD;;;;;;;;;;;;;;;;;;;;;;;;;
1.6.1. Hábitos y estilos de vida (2017-18. Estudio Madrid Salud);;;;;;;;;;;;;;;;;;;;;;;;;
Sedentarismo;30,0%;;26,9%;;;;;;;;;;;;;;;;;;;;;;
Sedentarismo HOMBRES ;25,2%;;;;;;;;;;;;;;;;;;;;;;;;
Sedentarismo MUJERES ;34,0%;;;;;;;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario;18,9%;;22,6%;;;;;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario HOMBRES;20,2%;;;;;;;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario MUJERES ;17,9%;;;;;;;;;;;;;;;;;;;;;;;;
Consumo de medicamentos ;66,3%;;62,6%;;;;;;;;;;;;;;;;;;;;;;
Consumo de medicamentos HOMBRES  ;62,4%;;;;;;;;;;;;;;;;;;;;;;;;
Consumo de medicamentos MUJERES ;69,7%;;;;;;;;;;;;;;;;;;;;;;;;
1.6.2. Indicadores de nivel de salud (2017-18. Estudio Madrid Salud);;;;;;;;;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud  (% respuesta muy buena + buena);72,3%;;75,9%;;;;;;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud HOMBRES ;77,4%;;;;;;;;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud MUJERES ;68,0%;;;;;;;;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) ;20,2%;;19,9%;;;;;;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) HOMBRES;19,0%;;;;;;;;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) MUJERES;21,1%;;;;;;;;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica ;39,8%;;34,0%;;;;;;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica HOMBRES ;36,6%;;;;;;;;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica MUJERES;42,4%;;;;;;;;;;;;;;;;;;;;;;;;
