16. HORTALEZA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;
 ;CIUDAD;;HORTALEZA;;Palomas;;Piovera;;Canillas;;Pinar del Rey;;Apóstol Santiago;;Valdefuentes;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;2.741,98;;112,98;;313,96;;252,25;;266,48;;120,51;;1.675,80;
Esperanza de vida al nacer MUJERES (mortalidad del periodo 2009-2012);;85,9;;86,3;;79,8;;85,0;;86,6;;86,6;;87,7;;84,1
Esperanza de vida al nacer HOMBRES (mortalidad del periodo 2009-2012);;79,9;;81,1;;77,9;;81,5;;81,9;;80,1;;80,1;;82,0
Esperanza de vida al nacer MUJERES (2017);;87,1;;87,2;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (2017);;82,0;;82,6;;;;;;;;;;;;
Esperanza de vida > 65 años MUJERES (2017);;24,3;;24,0;;;;;;;;;;;;
Esperanza de vida > 65 años HOMBRES (2017);;20,3;;20,5;;;;;;;;;;;;
1.2.4. Mujeres y hombres;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2017);;0,816;;;;;;;;;;;;;;
Índice de desigualdad de género (2007);;0,738;;;;;;;;;;;;;;
1.3. INDICADORES ECONÓMICOS ;;;;;;;;;;;;;;;;
Renta neta media anual de los hogares (Urban Audit). 2015;;38.534,6 €;122%;47.110,3 €;174%;81.736,5 €;206%;97.253,6 €;84%;39.790,2 €;72%;33.701,4 €;78%;36.691,5 €;119%;55.975,1 €
Renta disponible Bruta Per Cápita 2014(a);;21.145,9 €;;23.059,1 €;;;;;;;;;;;;
Crecimiento/decrecimiento Renta Bruta Per Cápita 2014(a)-2008;-0,2%;-40,4 €;5,4%;1.173,5 €;;;;;;;;;;;;
Pensión media mensual del Distrito HOMBRES (2015);;1.376,2 €;;1.447,4 €;;;;;;;;;;;;
Pensión media mensual del Distrito MUJERES (2015);;858,8 €;;854,5 €;;;;;;;;;;;;
1.4. INDICADORES DE DESEMPLEO;;;;;;;;;;;;;;;;
Tasa de actividad global ciudad de Madrid (EPA. 3º trimestre 2018);61,2%;;;;;;;;;;;;;;;
Hombres ;66,4%;;;;;;;;;;;;;;;
Mujeres;56,8%;;;;;;;;;;;;;;;
Número de parados ciudad de Madrid (EPA. 3º trimestre 2018) (miles);;200,1;;;;;;;;;;;;;;
Hombres (miles);;97,3;;;;;;;;;;;;;;
Mujeres (miles);;102,8;;;;;;;;;;;;;;
Paro registrado (nº de personas registradas en SEPE en agosto 2018);;167.871;4,7%;7.966;2,3%;181;4,7%;377;21,8%;1.739;34,4%;2.742;10,8%;864;23,1%;1.843
Tasa absoluta de paro registrado (agosto 2018);7,9%;;6,7%;;4,3%;;3,9%;;7,2%;;8,8%;;8,7%;;5,1%;
Tasa absoluta de paro registrado MUJERES;8,6%;;7,6%;;4,5%;;4,3%;;8,3%;;9,6%;;9,8%;;6,1%;
De 16 a 24 años;4,6%;;3,3%;;0,3%;;1,2%;;3,4%;;5,1%;;5,9%;;2,1%;
De 25 a 44 años;8,3%;;7,0%;;4,2%;;3,4%;;7,7%;;9,3%;;8,7%;;5,6%;
De 45 a 64 años;10,1%;;9,5%;;6,2%;;5,8%;;10,1%;;11,1%;;11,7%;;8,1%;
Tasa absoluta de paro registrado HOMBRES ;7,1%;;5,7%;;4,1%;;3,4%;;5,9%;;7,8%;;7,7%;;4,1%;
De 16 a 24 años;4,5%;;3,2%;;1,3%;;1,8%;;2,7%;;4,3%;;6,7%;;2,3%;
De 25 a 44 años;6,1%;;4,9%;;3,5%;;2,7%;;5,7%;;6,8%;;6,5%;;3,2%;
De 45 a 64 años;9,1%;;7,4%;;5,4%;;4,5%;;7,0%;;10,0%;;8,9%;;6,1%;
Parados de larga duración (agosto 2018);41,0%;68.898;41,0%;3.264;;;;;;;;;;;;
Hombres;40,4%;27.816;37,7%;1.231;;;;;;;;;;;;
Mujeres ;59,6%;41.082;62,3%;2.033;;;;;;;;;;;;
Parados que SÍ perciben prestaciones (agosto 2018);37,3%;62.541;42,2%;3.358;;;;;;;;;;;;
Hombres;47,0%;29.412;46,0%;1.544;;;;;;;;;;;;
Mujeres ;53,0%;33.129;54,0%;1.814;;;;;;;;;;;;
Parados que NO perciben prestaciones (agosto 2018);62,7%;105.330;57,8%;4.608;;;;;;;;;;;;
Hombres;40,7%;42.906;37,6%;1.733;;;;;;;;;;;;
Mujeres ;59,3%;62.424;62,4%;2.875;;;;;;;;;;;;
1.5. EDUCACIÓN;;;;;;;;;;;;;;;;
1.5.1. Población en etapas educativas (01/01/2018);100,0%;463.011;100,0%;32.572;100,0%;1.433;100,0%;2.729;100,0%;5.019;100,0%;6.554;100,0%;1.966;100,0%;14.871
0 a 2 años;18,8%;87.088;18,6%;6.050;13,0%;186;14,9%;407;17,9%;900;17,6%;1.155;16,8%;331;20,7%;3.071
Infantil (3 a 5 años);18,7%;86.699;19,6%;6.373;15,0%;215;16,9%;462;18,4%;926;19,0%;1.245;16,1%;317;21,6%;3.208
Primaria (6 a 11 años);38,2%;176.730;38,5%;12.540;41,3%;592;38,2%;1.043;37,5%;1.880;38,5%;2.521;35,0%;689;39,1%;5.815
Secundaria (12 a 15 años);24,3%;112.494;23,4%;7.609;30,7%;440;29,9%;817;26,2%;1.313;24,9%;1.633;32,0%;629;18,7%;2.777
Etapas educativas. Total niños;51,2%;237.098;51,4%;16.743;53,4%;765;50,2%;1.370;52,0%;2.608;51,6%;3.383;50,6%;994;51,3%;7.623
0 a 2 años;18,8%;44.551;18,1%;3.037;12,8%;98;14,8%;203;17,4%;454;16,9%;572;17,7%;176;20,1%;1.534
Infantil (3 a 5 años);18,8%;44.489;19,7%;3.306;15,4%;118;16,9%;232;18,8%;490;19,4%;656;17,3%;172;21,5%;1.638
Primaria (6 a 11 años);38,2%;90.647;39,0%;6.534;42,0%;321;39,5%;541;38,0%;992;39,2%;1.325;34,1%;339;39,6%;3.016
Secundaria (12 a 15 años);24,2%;57.411;23,1%;3.866;29,8%;228;28,8%;394;25,8%;672;24,5%;830;30,9%;307;18,8%;1.435
