02. ARGANZUELA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;ARGANZUELA;;Imperial;;Las Acacias;;La Chopera;;Legazpi;;Las Delicias;;Palos de Moguer;;Atocha;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;
Hogares monoparentales: una mujer adulta con uno o más menores;21,1%;27.460;1,7%;1.107;1,5%;142;1,6%;245;1,4%;124;2,6%;195;1,9%;221;1,4%;166;3,3%;14;;;
Hogares monoparentales: un hombre adulto con uno o más menores;0,4%;5.491;0,4%;232;0,2%;23;0,3%;45;0,3%;26;0,6%;49;0,5%;60;0,2%;27;0,5%;2;;;
1.2.3. Dinámica demográfica;;;;;;;;;;;;;;;;;;;;;
Tasa bruta de natalidad 2018 (‰);;8,57;;8,4;;7,7;;6,4;;9,4;;12,6;;8,8;;7,3;;12,0;;;
Tasa de crecimiento demográfico 2018 (%);;1,37;;0,6;;0,2;;0,1;;1,0;;2,1;;0,7;;0,2;;0,9;;;
Esperanza de vida al nacer MUJERES *(mortalidad del periodo 2013-2016);;87,5;;88,0;;88,3;;88,2;;89,7;;87,4;;87,2;;87,6;;75,6;;;
Esperanza de vida al nacer HOMBRES *(mortalidad del periodo 2013-2016);;81,9;;82,9;;82,7;;83,5;;83,1;;83,6;;82,4;;82,3;;71,7;;;
Esperanza de vida al nacer MUJERES (2018);;87,6;;87,3;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (2018);;82,2;;83,3;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años MUJERES (2018);;24,6;;24,1;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años HOMBRES (2018);;20,6;;20,6;;;;;;;;;;;;;;;;;
1.2.4. Mujeres y hombres;;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género IDG (2018);;0,8308;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género IDG (2008);;0,7462;;;;;;;;;;;;;;;;;;;
1.3. INDICADORES ECONÓMICOS ;;;;;;;;;;;;;;;;;;;;;
Renta neta media anual de los hogares (Urban Audit). 2016;;39.613,0 €;104%;41.122,0 €;86%;35.479,5 €;111%;45.515,8 €;79%;32.349,2 €;123%;50.472,0 €;98%;40.446,0 €;84%;34.649,6 €;94%;38.575,0 €;;;
Renta disponible Bruta Per Cápita 2016(a);;21.755;;24.511,1 €;;;;;;;;;;;;;;;;;
