10. LATINA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;LATINA;;Los Cármenes;;Puerta del Ángel;;Lucero;;Aluche;;Campamento;;Cuatro Vientos;;Las Águilas;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;2.542,72;;129,2;;137,53;;167,9;;284,98;;919,14;;543,01;;360,96;
Hogares monoparentales: un hombre adulto con uno o más menores;0,4%;5.488;0,3%;315;0,4%;26;0,3%;59;0,3%;48;0,3%;69;0,3%;25;1,1%;23;0,3%;65
1.2.3. Dinámica demográfica;;;;;;;;;;;;;;;;;;
Tasa bruta de natalidad 2017 (‰);;9,00;;7,58;;8,36;;8,37;;7,07;;7,01;;8,26;;14,56;;6,74
Tasa de crecimiento demográfico 2017 (‰);;1,24;;0,84;;0,91;;0,95;;0,62;;1,00;;1,12;;3,49;;0,30
Esperanza de vida al nacer MUJERES (mortalidad del periodo 2009-2012);;85,9;;86,3;;85,2;;85,7;;86,8;;87,0;;84,8;;87,2;;86,4
Esperanza de vida al nacer HOMBRES (mortalidad del periodo 2009-2012);;79,9;;80,2;;79,2;;79,9;;80,8;;80,7;;80,0;;74,7;;79,8
Esperanza de vida al nacer MUJERES (2017);;87,1;;87,3;;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (2017);;82,0;;81,4;;;;;;;;;;;;;;
Esperanza de vida > 65 años MUJERES (2017);;24,3;;24,7;;;;;;;;;;;;;;
Esperanza de vida > 65 años HOMBRES (2017);;20,3;;20,6;;;;;;;;;;;;;;
1.2.4. Mujeres y hombres;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2017);;0,816;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2007);;0,738;;;;;;;;;;;;;;;;
1.3. INDICADORES ECONÓMICOS ;;;;;;;;;;;;;;;;;;
Renta neta media anual de los hogares (Urban Audit). 2015;;38.534,6 €;78%;30.155,7 €;98%;29.541,0 €;93%;27.913,6 €;100%;30.075,7 €;103%;31.116,5 €;106%;31.913,2 €;117%;35.197,1 €;99%;29.910,5 €
Renta disponible Bruta Per Cápita 2014(a);;21.145,9 €;;18.366,4 €;;;;;;;;;;;;;;
Crecimiento/decrecimiento Renta Bruta Per Cápita 2014(a)-2008;-0,2%;-40,4 €;-1,7%;-320,0 €;;;;;;;;;;;;;;
Pensión media mensual del Distrito HOMBRES (2015);;1.376,2 €;;1.345,9 €;;;;;;;;;;;;;;
Pensión media mensual del Distrito MUJERES (2015);;858,8 €;;791,0 €;;;;;;;;;;;;;;
1.4. INDICADORES DE DESEMPLEO;;;;;;;;;;;;;;;;;;
Tasa de actividad global ciudad de Madrid (EPA. 3º trimestre 2018);61,2%;;;;;;;;;;;;;;;;;
Hombres ;66,4%;;;;;;;;;;;;;;;;;
Mujeres;56,8%;;;;;;;;;;;;;;;;;
Número de parados ciudad de Madrid (EPA. 3º trimestre 2018) (miles);;200,1;;;;;;;;;;;;;;;;
Hombres (miles);;97,3;;;;;;;;;;;;;;;;
Mujeres (miles);;102,8;;;;;;;;;;;;;;;;
Paro registrado (nº de personas registradas en SEPE en agosto 2018);;167.871;7,9%;13.246;9,7%;1.282;19,8%;2.620;16,3%;2.160;23,8%;3.159;6,5%;862;2,2%;297;19,1%;2.526
Tasa absoluta de paro registrado (agosto 2018);7,9%;;8,9%;;11,1%;;9,6%;;9,6%;;8,4%;;7,3%;;7,7%;;8,4%;
Tasa absoluta de paro registrado MUJERES;8,6%;;9,7%;;12,1%;;10,1%;;10,1%;;9,1%;;8,4%;;9,8%;;9,6%;
De 16 a 24 años;4,6%;;5,0%;;7,2%;;5,8%;;4,8%;;4,8%;;2,9%;;3,6%;;4,8%;
De 25 a 44 años;8,3%;;9,9%;;13,2%;;9,7%;;10,4%;;9,3%;;8,4%;;8,5%;;10,0%;
De 45 a 64 años;10,1%;;10,9%;;12,8%;;11,7%;;11,4%;;10,0%;;9,8%;;13,0%;;10,5%;
Tasa absoluta de paro registrado HOMBRES ;7,1%;;8,1%;;10,0%;;9,1%;;9,2%;;7,6%;;6,2%;;5,6%;;7,2%;
De 16 a 24 años;4,5%;;5,2%;;7,8%;;5,2%;;5,6%;;4,9%;;4,6%;;5,6%;;4,1%;
De 25 a 44 años;6,1%;;7,1%;;9,3%;;7,7%;;8,5%;;6,9%;;5,5%;;4,6%;;6,1%;
De 45 a 64 años;9,1%;;9,9%;;11,3%;;11,8%;;11,1%;;9,3%;;7,4%;;6,8%;;9,0%;
Parados de larga duración (agosto 2018);41,0%;68.898;41,0%;5.430;;;;;;;;;;;;;;
Hombres;40,4%;27.816;40,0%;2.171;;;;;;;;;;;;;;
Mujeres ;59,6%;41.082;60,0%;3.259;;;;;;;;;;;;;;
Parados que SÍ perciben prestaciones (agosto 2018);37,3%;62.541;38,3%;5.079;;;;;;;;;;;;;;
Hombres;47,0%;29.412;46,3%;2.351;;;;;;;;;;;;;;
Mujeres ;53,0%;33.129;53,7%;2.728;;;;;;;;;;;;;;
Parados que NO perciben prestaciones (agosto 2018);62,7%;105.330;61,7%;8.167;;;;;;;;;;;;;;
Hombres;40,7%;42.906;41,5%;3.390;;;;;;;;;;;;;;
Mujeres ;59,3%;62.424;58,5%;4.777;;;;;;;;;;;;;;
1.5. EDUCACIÓN;;;;;;;;;;;;;;;;;;
1.5.1. Población en etapas educativas (01/01/2018);100%;463.011;100%;29.572;100%;2.516;100%;4.952;100%;4.556;100%;7.562;100%;2.460;100%;1.327;100%;6.199
0 a 2 años;18,8%;87.088;18,2%;5.381;15,8%;398;19,7%;978;17,8%;809;18,3%;1.381;19,6%;481;20,4%;271;17,1%;1.063
Infantil (3 a 5 años);18,7%;86.699;18,1%;5.360;16,1%;405;18,1%;896;17,2%;783;18,5%;1.397;18,4%;452;23,5%;312;18,0%;1.115
Primaria (6 a 11 años);38,2%;176.730;38,1%;11.277;39,3%;989;37,4%;1.850;37,9%;1.729;38,1%;2.880;38,1%;938;39,2%;520;38,2%;2.371
Secundaria (12 a 15 años);24,3%;112.494;25,5%;7.554;28,8%;724;24,8%;1.228;27,1%;1.235;25,2%;1.904;23,9%;589;16,9%;224;26,6%;1.650
Etapas educativas. Total niños;51,2%;237.098;51,1%;15.116;50,4%;1.267;51,6%;2.557;51,9%;2.366;49,9%;3.775;50,7%;1.246;52,8%;700;51,7%;3.205
0 a 2 años;18,8%;44.551;18,5%;2.798;15,1%;191;19,5%;499;18,0%;425;18,9%;713;21,0%;262;20,7%;145;17,6%;563
Infantil (3 a 5 años);18,8%;44.489;18,1%;2.731;15,9%;202;18,1%;463;16,6%;392;18,9%;715;18,5%;230;24,3%;170;17,4%;559
Primaria (6 a 11 años);38,2%;90.647;38,1%;5.761;39,9%;506;38,2%;977;38,2%;904;37,7%;1.425;37,2%;463;38,6%;270;37,9%;1.216
Secundaria (12 a 15 años);24,2%;57.411;25,3%;3.826;29,0%;368;24,2%;618;27,3%;645;24,4%;922;23,4%;291;16,4%;115;27,1%;867
Etapas educativas. Total niñas;48,8%;225.913;48,9%;14.456;49,6%;1.249;48,4%;2.395;48,1%;2.190;50,1%;3.787;49,3%;1.214;47,2%;627;48,3%;2.994
0 a 2 años;18,8%;42.537;17,9%;2.583;16,6%;207;20,0%;479;17,5%;384;17,6%;668;18,0%;219;20,1%;126;16,7%;500
Infantil (3 a 5 años);18,7%;42.210;18,2%;2.629;16,3%;203;18,1%;433;17,9%;391;18,0%;682;18,3%;222;22,6%;142;18,6%;556
Primaria (6 a 11 años);38,1%;86.083;38,2%;5.516;38,7%;483;36,5%;873;37,7%;825;38,4%;1.455;39,1%;475;39,9%;250;38,6%;1.155
Secundaria (12 a 15 años);24,4%;55.083;25,8%;3.728;28,5%;356;25,5%;610;26,9%;590;25,9%;982;24,5%;298;17,4%;109;26,2%;783
1.5.2. Escolarización de alumnos por tipo de centro (año escolar 2016/17);100%;510.340;100%;35.015;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;43,3%;220.761;50,2%;17.585;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;17,5%;89.197;11,0%;3.857;;;;;;;;;;;;;;
En centros PÚBLICOS;39,3%;200.382;38,8%;13.573;;;;;;;;;;;;;;
Total alumnos extranjeros;10,3%;52.588;13,7%;4.798;;;;;;;;;;;;;;
