14. MORATALAZ. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;
 ;CIUDAD;;MORATALAZ;;Pavones;;Horcajo;;Marroquina;;Media Legua;;Fontarrón;;Vinateros;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;610,32;;100,97;;74,59;;179,01;;99,9;;96,46;;59,4;
Esperanza de vida al nacer MUJERES (mortalidad del periodo 2009-2012);;85,9;;86,1;;81,9;;84,9;;85,4;;86,8;;85,6;;87,5
Esperanza de vida al nacer HOMBRES (mortalidad del periodo 2009-2012);;79,9;;80,0;;79,7;;79,3;;81,1;;79,7;;77,6;;80,4
Esperanza de vida al nacer MUJERES (2017);;87,1;;87,8;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (2017);;82,0;;82,6;;;;;;;;;;;;
Esperanza de vida > 65 años MUJERES (2017);;24,3;;24,8;;;;;;;;;;;;
Esperanza de vida > 65 años HOMBRES (2017);;20,3;;21,3;;;;;;;;;;;;
1.2.4. Mujeres y hombres;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2017);;0,816;;;;;;;;;;;;;;
Índice de desigualdad de género (2007);;0,738;;;;;;;;;;;;;;
1.3. INDICADORES ECONÓMICOS ;;;;;;;;;;;;;;;;
Renta neta media anual de los hogares (Urban Audit). 2015;;38.534,6 €;90%;34.753,3 €;98%;34.024,5 €;130%;45.040,7 €;116%;40.428,4 €;102%;35.438,9 €;81%;28.013,7 €;84%;29.156,1 €
Renta disponible Bruta Per Cápita 2014(a);;21.145,9 €;;20.429,8 €;;;;;;;;;;;;
Crecimiento/decrecimiento Renta Bruta Per Cápita 2014(a)-2008;-0,2%;-40,4 €;-0,8%;-159,7 €;;;;;;;;;;;;
Pensión media mensual del Distrito HOMBRES (2015);;1.376,2 €;;1.420,1 €;;;;;;;;;;;;
Pensión media mensual del Distrito MUJERES (2015);;858,8 €;;860,5 €;;;;;;;;;;;;
1.4. INDICADORES DE DESEMPLEO;;;;;;;;;;;;;;;;
Tasa de actividad global ciudad de Madrid (EPA. 3º trimestre 2018);61,2%;;;;;;;;;;;;;;;
Hombres ;66,4%;;;;;;;;;;;;;;;
Mujeres;56,8%;;;;;;;;;;;;;;;
Número de parados ciudad de Madrid (EPA. 3º trimestre 2018) (miles);;200,1;;;;;;;;;;;;;;
Hombres (miles);;97,3;;;;;;;;;;;;;;
Mujeres (miles);;102,8;;;;;;;;;;;;;;
