14. MORATALAZ. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;
 ;CIUDAD;;MORATALAZ;;Pavones;;Horcajo;;Marroquina;;Media Legua;;Fontarrón;;Vinateros;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;610,32;;100,97;;74,59;;179,01;;99,9;;96,46;;59,4;
Estado deficiente;4,4%;66.775;0,9%;415;;;;;;;;;;;;
Estado bueno;92,8%;1.420.265;98,5%;43.755;;;;;;;;;;;;
No consta;1,8%;27.770;0,3%;140;;;;;;;;;;;;
Valor catastral medio de los bienes inmuebles: personas físicas (2018);;91.159,1 €;90,5%;82.487,4 €;120%;98.890 €;118%;96.990 €;99%;81.954 €;106%;87.817 €;88%;72.380 €;90%;74.639 €
Valor catastral medio de los bienes inmuebles: personas jurídicas (2018);;370.572,5 €;66,3%;245.742,1 €;181%;445.341 €;41%;101.145 €;100%;244.608 €;107%;262.263 €;110%;269.469 €;141%;347.001 €
Superficie media de la vivienda (m2) en transacción (2017);;84;92,3%;77;99,3%;77;118%;92;111,1%;86;103,8%;80;90,2%;70;94,7%;73
Duración media del crédito (meses) en transacción de vivienda (2017);;296;103,4%;306;97,1%;297;99,0%;303;101,0%;309;101,3%;310;100,0%;306;98,0%;300
1.10.3. Tipología de las viviendas ;;;;;;;;;;;;;;;;
Nº Total de viviendas familiares (Censo Edificios y Viviendas 2001);100,0%;1.378.931;100%;41.819;100%;3.567;100%;2.181;100%;11.952;100%;8.051;100%;7.868;100%;8.200
Principal;78,3%;1.080.306;89,4%;37.382;92,5%;3.299;72,9%;1.591;90,7%;10.838;90,1%;7.250;90,1%;7.093;89,2%;7.311
Secundaria;7,7%;106.192;3,9%;1.631;3,1%;112;7,1%;155;2,9%;349;4,7%;377;3,4%;264;4,6%;374
Desocupada;12,9%;178.377;6,3%;2.614;4,2%;151;19,7%;429;5,7%;683;4,9%;394;6,0%;473;5,9%;484
Otro tipo;1,0%;13.998;0,5%;192;0,1%;5;0,3%;6;0,7%;82;0,4%;30;0,5%;38;0,4%;31
1.10.4. Lanzamientos judiciales (Consejo General del Poder Judicial);;;;;;;;;;;;;;;;
Lanzamientos judiciales practicados (2013);100%;5.020;;;;;;;;;;;;;;
Como consecuencia de ejecuciones hipotecarias;29,9%;1.501;;;;;;;;;;;;;;
Como consecuencia de la Ley de Arrendamientos Urbanos;62,5%;3.137;;;;;;;;;;;;;;
Lanzamientos judiciales practicados (2017);100%;3.416;;;;;;;;;;;;;;
Como consecuencia de ejecuciones hipotecarias;19,1%;654;;;;;;;;;;;;;;
Como consecuencia de la Ley de Arrendamientos Urbanos;79,4%;2.713;;;;;;;;;;;;;;
1.11. MEDIO AMBIENTE Y RESIDUOS;;;;;;;;;;;;;;;;
1.11.1. Contaminantes del aire (2017);;;;;;;;;;;;;;;;
Partículas suspensión PM2.5 (µgr/m3) -Valor límite: 25 µgr/m3-;;10,2;;;;;;;;;;;;;;
Partículas suspensión PM10 (µgr/m3) -Valor límite: 40 µgr/m3-;;20,1;;;;;;;;;;;;;;
Dióxido de azufre - SO2 (µgr/m3) -Valor límite: 125 µgr/m3-;;7,0;;;;;;;;;;;;;;
Monóxido de carbono - CO2 (mg/m3) -Valor límite: 10 µgr/m3-;;0,4;;;;;;;;;;;;;;
Ozono - O3 (µgr/m3) -Valor límite: 120 µgr/m3-;;48,0;;;;;;;;;;;;;;
Dióxido de nitrógeno - NO2 (µgr/m3) -Valor límite: 40 µgr/m3-;;42,0;;;;;;;;;;;;;;
Temperatura media anual (ºC);;16,6º;;;;;;;;;;;;;;
Protocolo de contaminación: nº de episodios (2018);;4;;;;;;;;;;;;;;
"Protocolo de contaminación: nº de días ""Escenario 1"" (2018)";;7;;;;;;;;;;;;;;
1.11.2. Recogida domiciliaria de resíduos sólidos: envases y resto (2017);;;;;;;;;;;;;;;;
kg/habitante/año;;357;;256;;;;;;;;;;;;
kg/habitante/día;;0,978;;0,701;;;;;;;;;;;;
1.12. SEGURIDAD;;;;;;;;;;;;;;;;
Intervenciones de la Policía Municipal en materia de seguridad (2018);;;;;;;;;;;;;;;;
Relacionadas con las personas;;5.402;0,8%;41;;;;;;;;;;;;
Relacionadas con la tenencia de armas;;805;1,6%;13;;;;;;;;;;;;
Relacionadas con el patrimonio;;6.525;0,6%;37;;;;;;;;;;;;
Relacionadas con la tenencia y consumo de drogas;;8.750;2,0%;172;;;;;;;;;;;;
Expedientes instruidos por Agentes Tutores;;635;2,5%;16;;;;;;;;;;;;
Atestados/partes de accidentes de tráfico confeccionados;;16.229;2,4%;390;;;;;;;;;;;;
Detenidos e investigados de la Policía Municipal en materia de seguridad (2018);;;;;;;;;;;;;;;;
Total detenidos e investigados;100%;9.010;1,7%;149;;;;;;;;;;;;
Lesiones;4,4%;396;;;;;;;;;;;;;;
Violencia doméstica y de género;8,8%;790;;;;;;;;;;;;;;
Malos tratos a menores;0,9%;80;;;;;;;;;;;;;;
Abusos y agresiones sexuales;0,9%;81;;;;;;;;;;;;;;
Hurtos;10,5%;945;;;;;;;;;;;;;;
Robo con violencia e intimidación en personas;1,6%;144;;;;;;;;;;;;;;
Contra la salud pública;2,9%;257;;;;;;;;;;;;;;
Contra la seguridad vial;41,7%;3.758;;;;;;;;;;;;;;
1.13. RESULTADOS ELECCIONES LOCALES (2015);;;;;;;;;;;;;;;;
Censo electoral;100,0%;2.388.047;100%;76.553;100%;7.176;100%;4.652;100%;22.939;100%;14.802;100%;13.301;100,0%;13.683
Abstención;31,2%;743.954;28,7%;21.979;29,3%;2.101;25,9%;1.204;24,5%;5.627;30,2%;4.471;34,6%;4.602;29,0%;3.974
Votos blancos;0,7%;15.825;0,7%;523;0,7%;51;0,9%;40;0,7%;172;0,5%;80;0,5%;61;0,9%;119
Votos a candidaturas;67,7%;1.616.217;70,1%;53.661;69,5%;4.988;72,8%;3.387;74,2%;17.015;68,7%;10.173;64,4%;8.572;69,6%;9.526
PP;23,6%;564.154;22,4%;17.180;17,0%;1.223;18,9%;877;26,1%;5.990;24,0%;3.546;18,6%;2.472;22,5%;3.072
PSOE;10,4%;249.286;12,1%;9.227;12,5%;898;9,5%;441;10,9%;2.509;11,6%;1.710;13,5%;1.795;13,7%;1.874
Ahora Madrid;21,8%;519.721;24,3%;18.593;27,4%;1.968;29,0%;1.348;24,9%;5.715;22,2%;3.282;23,1%;3.071;23,5%;3.209
Ciudadanos;7,8%;186.487;7,2%;5.510;7,8%;561;10,6%;493;8,2%;1.876;7,0%;1.043;5,3%;699;6,1%;838
1.14. SERVICIOS Y EQUIPAMIENTOS MUNICIPALES;;;;;;;;;;;;;;;;
1.14.1. Servicios Sociales Municipales (2019);;;;;;;;;;;;;;;;
Centros de Servicios Sociales;;39;2,6%;1;;1;;0;;0;;0;;0;;0
Centros Municipales de Mayores ;;90;3,3%;3;;0;;0;;0;;1;;1;;1
Centros de Día de Alzheimer y Físicos;;89;5,6%;5;;2;;0;;0;;1;;1;;1
Apartamentos Municipales para Mayores;;2;0,0%;0;;0;;0;;0;;0;;0;;0
Residencias para personas Mayores ;;3;0,0%;0;;0;;0;;0;;0;;0;;0
Centros de Apoyo a las Familias (CAF);;7;14,3%;1;;1;;0;;0;;0;;0;;0
Centros de Atención a la Infancia (CAI);;13;0,0%;0;;0;;0;;0;;0;;0;;0
Centro de Día de Atención a Niños y Niñas (de 3 a 12 años);;28;7,1%;2;;1;;0;;1;;0;;0;;0
Espacios de Ocio para Adolescentes (El Enredadero);;5;20,0%;1;;0;;0;;0;;1;;0;;0
Centros de Adolescentes y Jóvenes (ASPA) ;;9;0,0%;0;;0;;0;;0;;0;;0;;0
Centros para personas sin hogar;;12;0,0%;0;;0;;0;;0;;0;;0;;0
1.14.2. Género (2019);;;;;;;;;;;;;;;;
Espacios de Igualdad;;13;7,7%;1;;0;;0;;0;;1;;0;;0
1.14.3. Salud (2019);;;;;;;;;;;;;;;;
Centros Municipales de Salud Comunitaria (CMSC);;16;0,0%;0;;0;;0;;0;;0;;0;;0
Centros de Atención a las Adicciones (CAD y CCAD);;10;0,0%;0;;0;;0;;0;;0;;0;;0
1.14.4. Cultura (2019);;;;;;;;;;;;;;;;
Nº de Bibliotecas Municipales;;34;2,9%;1;;0;;0;;0;;1;;0;;0
Nº de Bibliotecas Comunidad Madrid;;16;6,3%;1;;0;;0;;0;;0;;1;;0
Nº de Centros Culturales;;108;2,8%;3;;1;;0;;0;;1;;0;;1
1.14.5. Deportes (2019);;;;;;;;;;;;;;;;
Centros deportivos Municipales;;72;2,8%;2;50,0%;1;0,0%;0;0,0%;0;50,0%;1;0,0%;0;0,0%;0
Superficie deportiva m2 (2017);;2.074.404;13,6%;283.000;;;;;;;;;;;;
Instalaciones deportivas básicas;;477;5,7%;27;14,8%;4;7,4%;2;37,0%;10;22,2%;6;7,4%;2;11,1%;3
Acceso controlado (2017);;97;2,1%;2;;;;;;;;;;;;
Campos de fútbol 11;;21;9,5%;2;;1;;0;;0;;1;;0;;0
Pista de atletismo ;;7;14,3%;1;;1;;0;;0;;0;;0;;0
Piscinas cubiertas;;49;2,0%;1;;1;;0;;0;;0;;0;;0
Piscinas de verano;;23;8,7%;2;;1;;0;;0;;1;;0;;0
1.14.6. Zonas verdes (2016);;;;;;;;;;;;;;;;
Zonas verdes (Ha);;6.219,15;2,9%;179,81;;;;;;;;;;;;
"Relación de zona verde (m2)/habitante (deseables 15m2/hab; mínimo 10m2/hab)";;19,30;;19,08;;;;;;;;;;;;
1.14.7. Educación (Curso académico 2018-2019);;;;;;;;;;;;;;;;
Escuelas Infantiles Municipales (2019);;56;1,8%;1;;0;;0;;0;;0;;1;;0
Escuelas Infantiles Públicas CAM;;150;2,7%;4;;;;;;;;;;;;
Escuelas Infantiles Privadas;;419;2,9%;12;;;;;;;;;;;;
Colegios Públicos Infantil y Primaria (+ 3 centros con Secundaria);;247;4,0%;10;;;;;;;;;;;;
Institutos Públicos de Educación Secundaria;;112;5,4%;6;;;;;;;;;;;;
Colegios Privados Inf. o Pri. o Inf. y Pri.;;88;2,3%;2;;;;;;;;;;;;
Colegios Privados Inf., Pri. y Sec. o Pri. y Sec. ;;274;2,9%;8;;;;;;;;;;;;
1.14.8. Empresa y Comercio (2019);;;;;;;;;;;;;;;;
Mercados Municipales;;45;2,2%;1;;0;;0;;0;;0;;0;;1
1.15. PARTICIPACIÓN CIUDADANA ;;;;;;;;;;;;;;;;
1.15.1. Entidades de participación ciudadana (2019) ;;;;;;;;;;;;;;;;
Asociaciones (Sección 1ª);;2.412;2,8%;68;17,6%;12;1,5%;1;27,9%;19;17,6%;12;23,5%;16;11,8%;8
Nº de asociaciones culturales y casas regionales;;489;3,1%;15;13,3%;2;0,0%;0;20,0%;3;26,7%;4;26,7%;4;13,3%;2
Nº de asociaciones de mujeres;;75;0,0%;0;0,0%;0;0,0%;0;0,0%;0;0,0%;0;0,0%;0;0,0%;0
Nº de asociaciones de vecinos;;221;0,0%;0;0,0%;0;0,0%;0;0,0%;0;0,0%;0;0,0%;0;0,0%;0
Fundaciones (Sección 2ª);;24;4,2%;1;0,0%;0;0,0%;0;0,0%;0;0,0%;0;100,0%;1;0,0%;0
1.15.2 Decide Madrid;;;;;;;;;;;;;;;;
Presupuestos participativos 2018: nº propuestas;;3.323;2,3%;76;;;;;;;;;;;;
Presupuestos participativos 2018: nº participantes;;115.594;2,1%;2408;;;;;;;;;;;;
Votación ciudadana 2017: nº votaciones;;217.323;3,2%;6.871;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1.16. PRESUPUESTO 2019;;;;;;;;;;;;;;;;
PROGRAMA;;CAPÍTULOS;;;;;;;;;;;;;;
;;1;;2;;3;;4;;5;;6;;7;;TOTAL
OTRAS ACTUACIONES EN VÍAS PÚBLICAS;153.22;;;15.000 €;;;;;;;;;;;;15.000 €
FAMILIA E INFANCIA;231.02;;;350.535 €;;;;123.420 €;;;;;;;;473.955 €
PERSONAS MAYORES Y SERVICIOS SOCIALES;231.03;;;5.629.742 €;;;;75.000 €;;;;;;21.000 €;;5.725.742 €
INTEGRACIÓN COMUNITARIA Y EMERGENCIA SOCIAL;231.06;1.336.344 €;;560.612 €;;;;28.000 €;;;;;;8.000 €;;1.932.956 €
SALUBRIDAD PÚBLICA;311.01;445.593 €;;3.300 €;;;;;;;;;;;;448.893 €
CENTROS DOCENTES ENSEÑANZA INFANTIL Y PRIMARIA;323.01;;;2.227.691 €;;;;;;;;58.093 €;;;;2.285.784 €
SERVICIOS COMPLEMENTARIOS EDUCACIÓN;326.01;;;351.188 €;;;;;;;;;;;;351.188 €
ACTIVIDADES CULTURALES;334.01;523.647 €;;996.538 €;;;;6.200 €;;;;;;;;1.526.385 €
ACTUACIONES DEPORTIVAS EN DISTRITOS;341.01;;;51.025 €;;;;;;;;;;;;51.025 €
INSTALACIONES DEPORTIVAS;342.01;6.472.998 €;;832.288 €;;;;;;;;;;;;7.305.286 €
CONSUMO;493.00;78.290 €;;;;;;;;;;;;;;78.290 €
CONCEJALÍA-PRESIDENCIA DEL DISTRITO;912.2;335.785 €;;2.000 €;;;;;;;;;;;;337.785 €
DIREC. Y GESTIÓN ADMTVA. DEL DISTRITO;920.01;2.932.536 €;;259.884 €;;2.000 €;;;;;;;;;;3.194.420 €
PARTICIPACIÓN CIUDADANA Y VOLUNTARIADO;924.01;;;193.249 €;;;;52.000 €;;;;;;8.000 €;;253.249 €
EDIFICIOS;933.02;;;1.021.346 €;;;;;;;;;;;;1.021.346 €
CENTRO 001;;12.125.193 €;;12.494.398 €;;2.000 €;;284.620 €;;0 €;;58.093 €;;37.000 €;;25.001.304 €
SECCIÓN 214;;12.125.193 €;;12.494.398 €;;2.000 €;;284.620 €;;0 €;;58.093 €;;37.000 €;;25.001.304 €
