11. CARABANCHEL. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;CARABANCHEL;;Comillas;;Opañel;;San Isidro;;Vista Alegre;;Puerta Bonita;;Buenavista;;Abrantes;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;1.404,83;;66,61;;110,73;;189,93;;158,92;;160,86;;561,32;;156,46;
Hogares monoparentales: una mujer adulta con uno o más menores;2,1%;27.460;2,3%;2.157;1,9%;180;1,8%;237;2,1%;313;1,8%;306;2,4%;292;3,5%;591;2,2%;238
Hogares monoparentales: un hombre adulto con uno o más menores;0,4%;5.488;0,4%;332;0,3%;31;0,3%;34;0,2%;28;0,3%;43;0,2%;30;0,7%;113;0,5%;53
1.2.3. Dinámica demográfica;;;;;;;;;;;;;;;;;;
Tasa bruta de natalidad 2017 (‰);;9,00;;8,71;;8,16;;9,05;;8,78;;7,72;;8,55;;10,17;;8,05
Tasa de crecimiento demográfico 2017 (‰);;1,24;;1,72;;0,72;;1,46;;1,56;;1,54;;2,82;;2,12;;1,34
Esperanza de vida al nacer MUJERES (mortalidad del periodo 2009-2012);;85,9;;85,5;;85,9;;85,5;;86,0;;85,1;;84,6;;85,2;;85,7
Esperanza de vida al nacer HOMBRES (mortalidad del periodo 2009-2012);;79,9;;79,7;;80,0;;79,3;;78,9;;80,7;;79,1;;80,2;;78,9
Esperanza de vida al nacer MUJERES (2017);;87,1;;87,3;;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (2017);;82,0;;82,1;;;;;;;;;;;;;;
Esperanza de vida > 65 años MUJERES (2017);;24,3;;24,3;;;;;;;;;;;;;;
Esperanza de vida > 65 años HOMBRES (2017);;20,3;;20,0;;;;;;;;;;;;;;
1.2.4. Mujeres y hombres;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2017);;0,816;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2007);;0,738;;;;;;;;;;;;;;;;
1.3. INDICADORES ECONÓMICOS ;;;;;;;;;;;;;;;;;;
Renta neta media anual de los hogares (Urban Audit). 2015;;38.534,6 €;72%;27.935,7 €;99%;27.579,2 €;100%;28.031,5 €;94%;26.282,7 €;99%;27.788,2 €;92%;25.725,2 €;112%;31.280,6 €;100%;27.997,6 €
Renta disponible Bruta Per Cápita 2014(a);;21.145,9 €;;17.096,9 €;;;;;;;;;;;;;;
Crecimiento/decrecimiento Renta Bruta Per Cápita 2014(a)-2008;-0,2%;-40,4 €;-4,3%;-762,3 €;;;;;;;;;;;;;;
Pensión media mensual del Distrito HOMBRES (2015);;1.376,2 €;;1.229,7 €;;;;;;;;;;;;;;
Pensión media mensual del Distrito MUJERES (2015);;858,8 €;;737,0 €;;;;;;;;;;;;;;
1.4. INDICADORES DE DESEMPLEO;;;;;;;;;;;;;;;;;;
Tasa de actividad global ciudad de Madrid (EPA. 3º trimestre 2018);61,2%;;;;;;;;;;;;;;;;;
Hombres ;66,4%;;;;;;;;;;;;;;;;;
Mujeres;56,8%;;;;;;;;;;;;;;;;;
Número de parados ciudad de Madrid (EPA. 3º trimestre 2018) (miles);;200,1;;;;;;;;;;;;;;;;
Hombres (miles);;97,3;;;;;;;;;;;;;;;;
Mujeres (miles);;102,8;;;;;;;;;;;;;;;;
Paro registrado (nº de personas registradas en SEPE en agosto 2018);;167.871;9,4%;15.851;8,4%;1.331;11,7%;1.849;18,6%;2.943;16,8%;2.662;14,9%;2.369;15,6%;2.470;11,9%;1.889
Tasa absoluta de paro registrado (agosto 2018);7,9%;;9,6%;;9,4%;;8,6%;;11,6%;;9,3%;;10,6%;;8,3%;;9,7%;
Tasa absoluta de paro registrado MUJERES;8,6%;;10,5%;;10,1%;;9,3%;;12,2%;;10,0%;;11,3%;;9,6%;;11,0%;
De 16 a 24 años;4,6%;;6,5%;;5,2%;;5,6%;;8,4%;;5,7%;;8,0%;;5,9%;;6,2%;
De 25 a 44 años;8,3%;;10,4%;;8,9%;;8,7%;;11,7%;;10,3%;;11,6%;;9,9%;;11,5%;
De 45 a 64 años;10,1%;;11,7%;;12,5%;;10,8%;;13,9%;;11,0%;;12,1%;;10,5%;;11,9%;
Tasa absoluta de paro registrado HOMBRES ;7,1%;;8,7%;;8,6%;;7,9%;;10,8%;;8,5%;;9,8%;;6,8%;;8,4%;
De 16 a 24 años;4,5%;;5,5%;;5,3%;;3,9%;;7,1%;;4,6%;;6,0%;;5,2%;;6,3%;
De 25 a 44 años;6,1%;;7,7%;;7,6%;;7,3%;;9,4%;;7,4%;;9,0%;;6,2%;;7,1%;
De 45 a 64 años;9,1%;;10,7%;;10,6%;;9,9%;;13,7%;;11,1%;;12,1%;;7,9%;;10,3%;
Parados de larga duración (agosto 2018);41,0%;68.898;40,2%;6.376;;;;;;;;;;;;;;
Hombres;40,4%;27.816;39,9%;2.546;;;;;;;;;;;;;;
Mujeres ;59,6%;41.082;60,1%;3.830;;;;;;;;;;;;;;
Parados que SÍ perciben prestaciones (agosto 2018);37,3%;62.541;35,0%;5.541;;;;;;;;;;;;;;
Hombres;47,0%;29.412;48,0%;2.660;;;;;;;;;;;;;;
Mujeres ;53,0%;33.129;52,0%;2.881;;;;;;;;;;;;;;
Parados que NO perciben prestaciones (agosto 2018);62,7%;105.330;65,0%;10.310;;;;;;;;;;;;;;
Hombres;40,7%;42.906;40,5%;4.178;;;;;;;;;;;;;;
Mujeres ;59,3%;62.424;59,5%;6.132;;;;;;;;;;;;;;
1.5. EDUCACIÓN;;;;;;;;;;;;;;;;;;
1.5.1. Población en etapas educativas (01/01/2018);100,0%;463.011;100,0%;37.251;100,0%;2.509;100,0%;4.012;100,0%;5.239;100,0%;5.689;100,0%;5.116;100,0%;9.723;100,0%;4.963
0 a 2 años;18,8%;87.088;17,4%;6.465;20,4%;511;19,0%;762;18,3%;959;18,5%;1.052;17,6%;899;15,3%;1.491;15,9%;791
Infantil (3 a 5 años);18,7%;86.699;18,5%;6.881;19,3%;484;18,9%;759;19,4%;1.018;18,2%;1.038;17,7%;904;18,7%;1.820;17,3%;858
Primaria (6 a 11 años);38,2%;176.730;40,0%;14.894;37,1%;931;37,4%;1.502;38,0%;1.989;37,9%;2.155;39,1%;1.998;43,4%;4.224;42,2%;2.095
Secundaria (12 a 15 años);24,3%;112.494;24,2%;9.011;23,2%;583;24,7%;989;24,3%;1.273;25,4%;1.444;25,7%;1.315;22,5%;2.188;24,6%;1.219
Etapas educativas. Total niños;51,2%;237.098;51,1%;19.049;51,5%;1.292;50,2%;2.015;51,5%;2.700;52,1%;2.962;51,4%;2.630;51,0%;4.961;50,2%;2.489
0 a 2 años;18,8%;44.551;17,4%;3.319;19,6%;253;19,6%;395;18,4%;496;18,8%;557;17,2%;452;15,9%;788;15,2%;378
Infantil (3 a 5 años);18,8%;44.489;18,6%;3.534;20,4%;263;20,0%;402;19,8%;534;18,2%;538;16,8%;441;18,5%;918;17,6%;438
Primaria (6 a 11 años);38,2%;90.647;40,0%;7.628;37,7%;487;38,1%;767;37,0%;998;38,1%;1.129;39,8%;1.047;42,8%;2.122;43,3%;1.078
Secundaria (12 a 15 años);24,2%;57.411;24,0%;4.568;22,4%;289;22,4%;451;24,9%;672;24,9%;738;26,2%;690;22,8%;1133;23,9%;595
Etapas educativas. Total niñas;48,8%;225.913;48,9%;18.202;48,5%;1.217;49,8%;1.997;48,5%;2.539;47,9%;2.727;48,6%;2.486;49,0%;4.762;49,8%;2.474
0 a 2 años;18,8%;42.537;17,3%;3.146;21,2%;258;18,4%;367;18,2%;463;18,2%;495;18,0%;447;14,8%;703;16,7%;413
Infantil (3 a 5 años);18,7%;42.210;18,4%;3.347;18,2%;221;17,9%;357;19,1%;484;18,3%;500;18,6%;463;18,9%;902;17,0%;420
Primaria (6 a 11 años);38,1%;86.083;39,9%;7.266;36,5%;444;36,8%;735;39,0%;991;37,6%;1.026;38,3%;951;44,1%;2.102;41,1%;1.017
Secundaria (12 a 15 años);24,4%;55.083;24,4%;4.443;24,2%;294;26,9%;538;23,7%;601;25,9%;706;25,1%;625;22,2%;1055;25,2%;624
1.5.2. Escolarización de alumnos por tipo de centro (año escolar 2016/17);100%;510.340;100%;34.905;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;43,3%;220.761;50,7%;17.696;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;17,5%;89.197;5,5%;1.903;;;;;;;;;;;;;;
En centros PÚBLICOS;39,3%;200.382;43,9%;15.306;;;;;;;;;;;;;;
Total alumnos extranjeros;10,3%;52.588;15,2%;5.299;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;34,7%;18.249;36,0%;1.910;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;8,6%;4.514;1,9%;101;;;;;;;;;;;;;;
En centros PÚBLICOS;56,7%;29.825;62,0%;3.288;;;;;;;;;;;;;;
Total alumnos con necesidades de apoyo educativo;3,9%;19.911;4,2%;1.476;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;50,1%;9.977;38,3%;565;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;3,8%;764;0,5%;8;;;;;;;;;;;;;;
En centros PÚBLICOS;46,1%;9.170;61,2%;903;;;;;;;;;;;;;;
1.5.3. Nivel de estudios de la población ≥ 25 años (01/01/2018);;;;;;;;;;;;;;;;;;
No sabe leer ni escribir o sin estudios;5,2%;129.614;6,7%;12.759;5,4%;981;5,7%;1.450;8,2%;2.444;6,5%;2.299;9,0%;2.312;5,4%;1.762;6,8%;1.511
Primaria incompleta;12,1%;301.397;16,7%;31.629;15,7%;2.838;16,1%;4.131;18,1%;5.386;18,1%;6.408;18,4%;4.698;13,0%;4.254;17,7%;3.914
Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado;26,5%;659.083;35,6%;67.407;32,7%;5.899;35,6%;9.112;35,3%;10.514;36,9%;13.085;37,9%;9.678;33,3%;10.893;37,1%;8.226
Formación profesional 2º grado, Bachiller Superior o BUP;19,1%;475.507;19,4%;36.748;20,7%;3.737;19,5%;5.006;17,6%;5.227;19,2%;6.817;17,9%;4.580;22,1%;7.221;18,8%;4.160
Titulados medios, diplomados, arquitecto o ingeniero técnico;9,7%;240.663;7,9%;15.026;8,5%;1.528;8,2%;2.096;7,2%;2.137;7,4%;2.611;6,2%;1.584;10,4%;3.417;7,5%;1.653
Estudios superiores, licenciado, arquitecto o ingeniero superior, estudios superiores no universitarios, doctorado, estudios postgraduados;27,3%;681.198;13,4%;25.430;16,8%;3.034;14,8%;3.804;13,4%;3.989;11,7%;4.140;10,5%;2.689;15,7%;5.152;11,8%;2.622
Nivel de estudios desconocido y no consta;0,1%;3.467;0,2%;324;0,1%;26;0,1%;25;0,2%;68;0,2%;78;0,1%;24;0,1%;25;0,4%;78
1.5.4. Programa de prevención y control del absentismo escolar;;;;;;;;;;;;;;;;;;
Casos trabajados por el programa de absentismo municipal (curso escolar 2017-2018);100,0%;3.901;15,1%;590;;;;;;;;;;;;;;
Casos trabajados HOMBRES;50,1%;1.955;49,3%;291;;;;;;;;;;;;;;
Casos trabajados MUJERES;49,9%;1.946;50,7%;299;;;;;;;;;;;;;;
1.6. SALUD;;;;;;;;;;;;;;;;;;
1.6.1. Hábitos y estilos de vida (2017. Estudio Madrid Salud);;;;;;;;;;;;;;;;;;
Sedentarismo;30,0%;;31,8%;;;;;;;;;;;;;;;
Sedentarismo HOMBRES ;25,2%;;;;;;;;;;;;;;;;;
Sedentarismo MUJERES ;34,0%;;;;;;;;;;;;;;;;;
Consumo de tabaco diario;18,9%;;16,8%;;;;;;;;;;;;;;;
Consumo de tabaco diario HOMBRES;20,2%;;;;;;;;;;;;;;;;;
Consumo de tabaco diario MUJERES ;17,9%;;;;;;;;;;;;;;;;;
Consumo de medicamentos ;66,3%;;63,1%;;;;;;;;;;;;;;;
Consumo de medicamentos HOMBRES  ;62,4%;;;;;;;;;;;;;;;;;
Consumo de medicamentos MUJERES ;69,7%;;;;;;;;;;;;;;;;;
1.6.2. Indicadores de nivel de salud (2017. Estudio Madrid Salud);;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud  (% respuesta muy buena + buena);72,3%;;68,9%;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud HOMBRES ;77,4%;;;;;;;;;;;;;;;;;
