13. PUENTE DE VALLECAS. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;PUENTE DE VALLECAS;;Entrevías;;San Diego;;Palomeras Bajas;;Palomeras Sureste;;Portazgo;;Numancia;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;1.496,86;;597,19;;106,99;;172,39;;310,86;;124,53;;184,91;;;;;;;;;
Hogares monoparentales: una mujer adulta con uno o más menores;21,1%;27.460;2,2%;1.985;2,0%;259;2,5%;403;2,1%;318;2,4%;378;2,1%;228;2,2%;399;;;;;;;;
Hogares monoparentales: un hombre adulto con uno o más menores;0,4%;5.491;0,3%;235;0,3%;32;0,3%;45;0,2%;36;0,4%;57;0,3%;27;0,2%;38;;;;;;;;
1.2.3. Dinámica demográfica;;;;;;;;;;;;;;;;;;;;;;;;
Tasa bruta de natalidad 2018 (‰);;8,57;;8,8;;8,4;;10,7;;7,1;;8,3;;9,0;;9,1;;;;;;;;
Tasa de crecimiento demográfico 2018 (%);;1,37;;1,8;;2,1;;3,4;;1,3;;1,1;;1,6;;1,6;;;;;;;;
Esperanza de vida al nacer MUJERES *(mortalidad del periodo 2013-2016);;87,5;;86,8;;87,4;;86,4;;87,0;;86,0;;87,5;;86,9;;;;;;;;
Esperanza de vida al nacer HOMBRES *(mortalidad del periodo 2013-2016);;81,9;;79,9;;78,6;;80,2;;81,2;;79,9;;79,0;;80,2;;;;;;;;
Esperanza de vida al nacer MUJERES (2018);;87,6;;86,8;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (2018);;82,2;;80,4;;;;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años MUJERES (2018);;24,6;;24,3;;;;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años HOMBRES (2018);;20,6;;19,6;;;;;;;;;;;;;;;;;;;;
1.2.4. Mujeres y hombres;;;;;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género IDG (2018);;0,8308;;;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género IDG (2008);;0,7462;;;;;;;;;;;;;;;;;;;;;;
1.3. INDICADORES ECONÓMICOS ;;;;;;;;;;;;;;;;;;;;;;;;
Renta neta media anual de los hogares (Urban Audit). 2016;;39.613,0 €;63%;25.029 €;;21.623 €;;21.338 €;;29.095 €;;27.257 €;;24.110 €;;25.086 €;;;;;;;;
Renta disponible Bruta Per Cápita 2016(a);;21.755;;16.042,4 €;;;;;;;;;;;;;;;;;;;;
Crecimiento/decrecimiento Renta Bruta Per Cápita 2016(a)-2008;3,1%;658;-1,7%;-273,9 €;;;;;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito HOMBRES (2018);; 1.456,2 € ;; 1.196,9 € ;;;;;;;;;;;;;;;;;;;;
