07. CHAMBERÍ. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;CHAMBERÍ;;Gaztambide;;Arapiles;;Trafalgar;;Almagro;;Ríos Rosas;;Vallehermoso;;;;;;;;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2ª nacionalidad extranjera en el Distrito: VENEZUELA (% respecto total de población extranjera del distrito);8,0%;41.761;6,7%;1.166;6,7%;202;6,9%;214;8,2%;299;4,8%;137;7,2%;237;4,9%;77;;;;;;;;;;;;;;;;;;;;;
1.2.2. Estructura de los hogares (01-01-2021);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nº total de hogares;100%;1.306.612;4,7%;61.936;17,0%;10.528;18,1%;11.203;18,9%;11.704;12,9%;8.011;19,5%;12.082;13,6%;8.408;;;;;;;;;;;;;;;;;;;;;
Tamaño medio del hogar;;2,54  ;;2,24;;2,18;;2,17;;2,10;;2,44;;2,25;;2,39;;;;;;;;;;;;;;;;;;;;;
Hogares con una mujer sola >65 años;9,9%;129.292;12,0%;7.440;12,6%;1.329;12,9%;1.440;10,7%;1.254;10,6%;853;11,8%;1.429;13,5%;1.135;;;;;;;;;;;;;;;;;;;;;
Hogares con un hombre solo >65 años;2,9%;38.397;3,5%;2.162;3,8%;402;3,4%;380;3,4%;402;3,8%;308;3,2%;389;3,3%;281;;;;;;;;;;;;;;;;;;;;;
Hogares monoparentales: una mujer adulta con uno o más menores;2,0%;26.000;1,4%;856;1,1%;118;1,4%;152;1,4%;169;1,7%;138;1,5%;181;1,2%;98;;;;;;;;;;;;;;;;;;;;;
Hogares monoparentales: un hombre adulto con uno o más menores;0,4%;5.236;0,3%;211;0,2%;18;0,3%;35;0,4%;41;0,5%;39;0,4%;48;0,4%;30;;;;;;;;;;;;;;;;;;;;;
1.2.3. Dinámica demográfica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa bruta de natalidad 2020 (‰);;7,8;;7,7;;6,4;;7,4;;7,9;;8,6;;8,3;;7,6;;;;;;;;;;;;;;;;;;;;;
Tasa de crecimiento demográfico 2020 (%);;-0,7;;-1,6;;-1,7;;-1,8;;-1,6;;-1,5;;-1,3;;-1,7;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer MUJERES (mortalidad del periodo 2013-2016);;87,5;;87,5;;88,8;;88,1;;86,9;;86,0;;87,4;;87,4;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (mortalidad del periodo 2013-2016);;81,9;;81,8;;83,4;;81,5;;81,3;;80,9;;81,2;;82,6;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer MUJERES (2020);;85,2;;86,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (2020);;79,3;;80,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años MUJERES (2020);;22,4;;23,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años HOMBRES (2020);;17,7;;18,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.4. Mujeres y hombres;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2019);;0,842;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2009);;0,795;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.3. INDICADORES ECONÓMICOS ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Renta neta media anual de los hogares (Urban Audit). 2018;;42.283,0 €;128%;54.327,0 €;86%;46.630,3 €;86%;46.882,4 €;85%;46.189,8 €;127%;68.836,6 €;99%;53.843,8 €;113%;61.470,1 €;;;;;;;;;;;;;;;;;;;;;
Renta disponible Bruta Per Cápita 2019 ;;21.638,0 €;;33.259,0 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito HOMBRES (2020);;1.521,8 €;114%;1.736,7 €;98%;1.705,9 €;98%;1.706,4 €;95%;1.646,9 €;99%;1.723,3 €;101%;1.752,5 €;110%;1.904,0 €;;;;;;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito MUJERES (2020);;1.146,5 €;120%;1.376,1 €;101%;1.393,9 €;98%;1.353,2 €;99%;1.364,5 €;97%;1.329,6 €;99%;1.361,7 €;105%;1.451,3 €;;;;;;;;;;;;;;;;;;;;;
1.4. INDICADORES DE DESEMPLEO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa de actividad global ciudad de Madrid (EPA. 4º trimestre 2021);62,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres ;67,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres;58,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Número de personas paradas en la ciudad de Madrid (EPA. 4º trimestre 2021) (miles);;175,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres (miles);;79,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres (miles);;95,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paro registrado (nº de personas registradas en SEPE en febrero 2022);;160.316;2,7%;4.318;17,2%;744;18,3%;790;18,7%;808;11,1%;480;17,2%;743;11,6%;503;;;;;;;;;;;;;;;;;;;;;
Tasa absoluta de paro registrado (febrero 2022);7,33;;4,82;;5,37;;5,30;;5,09;;4,08;;4,48;;4,38;;;;;;;;;;;;;;;;;;;;;;
Tasa absoluta de paro registrado HOMBRES ;6,52;;4,37;;4,76;;5,00;;4,51;;3,94;;4,04;;3,75;;;;;;;;;;;;;;;;;;;;;;
De 16 a 24 años;3,33;;1,57;;1,49;;2,58;;1,40;;1,11;;1,50;;1,14;;;;;;;;;;;;;;;;;;;;;;
De 25 a 44 años;5,45;;3,53;;3,91;;4,42;;3,42;;3,46;;2,91;;2,95;;;;;;;;;;;;;;;;;;;;;;
De 45 a 64 años;8,63;;6,31;;6,86;;6,69;;6,95;;5,34;;6,24;;5,54;;;;;;;;;;;;;;;;;;;;;;
Tasa absoluta de paro registrado MUJERES ;8,08;;5,20;;5,89;;5,56;;5,60;;4,21;;4,85;;4,92;;;;;;;;;;;;;;;;;;;;;;
De 16 a 24 años;3,34;;1,12;;1,39;;1,79;;1,49;;0,58;;0,72;;0,69;;;;;;;;;;;;;;;;;;;;;;
De 25 a 44 años;7,30;;4,06;;4,15;;4,26;;4,40;;3,79;;3,76;;3,89;;;;;;;;;;;;;;;;;;;;;;
De 45 a 64 años;10,17;;7,67;;9,28;;8,34;;8,20;;5,70;;7,21;;7,11;;;;;;;;;;;;;;;;;;;;;;
Personas paradas de larga duración (febrero 2022);51,9%;83.245;50,3%;2.170;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;38,9%;32.359;38,1%;827;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;61,1%;50.886;61,9%;1.343;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas paradas que SI perciben prestaciones (febrero 2022);42,4%;68.028;46,4%;2.005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;47,3%;32.178;44,2%;887;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;52,7%;35.850;55,8%;1.118;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas paradas que NO perciben prestaciones (febrero 2022);57,6%;92.288;53,6%;2.313;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;39,5%;36.473;40,4%;935;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
