04. SALAMANCA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;SALAMANCA;;Recoletos;;Goya;;Fuente del Berro;;Guindalera;;Lista;;Castellana;;;;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CENTROS DOCENTES ENSEÑANZA INFANTIL Y PRIMARIA;323.01;;;966.754 €;;;;;;;;245.000 €;;;;1.211.754 €;;;;;;;;;;;;;;;;;
SERVICIOS COMPLEMENTARIOS EDUCACIÓN;326.01;;;459.213 €;;;;;;;;;;;;459.213 €;;;;;;;;;;;;;;;;;
ACTIVIDADES CULTURALES;334.01;317.948 €;;1.067.310 €;;;;3.500 €;;;;187.000 €;;;;1.575.758 €;;;;;;;;;;;;;;;;;
INSTALACIONES DEPORTIVAS;342.01;2.837.868 €;;1.326.090 €;;;;;;;;96.149 €;;;;4.260.107 €;;;;;;;;;;;;;;;;;
CONSUMO;493.00;281.840 €;;200 €;;;;;;;;;;;;282.040 €;;;;;;;;;;;;;;;;;
CONCEJALÍA-PRESIDENCIA DEL DISTRITO;912.20;248.306 €;;;;;;;;;;;;;;248.306 €;;;;;;;;;;;;;;;;;
DIREC. Y GESTIÓN ADMTVA. DEL DISTRITO;920.01;6.137.755 €;;351.965 €;;;;;;;;;;;;6.489.720 €;;;;;;;;;;;;;;;;;
PARTICIPACIÓN CIUDADANA ;924.01;;;;;;;78.000 €;;;;;;4.000 €;;82.000 €;;;;;;;;;;;;;;;;;
EDIFICIOS;933.02;;;991.033 €;;;;;;;;380.000 €;;;;1.371.033 €;;;;;;;;;;;;;;;;;
CENTRO 001;;12.041.378 €;;11.085.999 €;;0 €;;493.476 €;;0 €;;1.695.101 €;;15.000 €;;25.330.954;;;;;;;;;;;;;;;;;
SECCIÓN 204;;12.041.378 €;;11.085.999 €;;0 €;;493.476 €;;0 €;;1.695.101 €;;15.000 €;;25.330.954;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
