04. SALAMANCA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;SALAMANCA;;Recoletos;;Goya;;Fuente del Berro;;Guindalera;;Lista;;Castellana;;;;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.2. Estructura de los hogares (01-01-2021);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nº total de hogares;100%;1.306.612;4,8%;63.001;10,5%;6.619;20,9%;13.145;14,7%;9.266;28,3%;17.813;14,6%;9.211;11,0%;6.947;;;;;;;;;;;;;;;;;
Tamaño medio del hogar;;2,54  ;;2,32;;2,36;;2,24;;2,26;;2,35;;2,27;;2,47;;;;;;;;;;;;;;;;;
Hogares con una mujer sola >65 años;9,9%;129.292;11,4%;7.213;9,1%;605;11,9%;1.558;12,5%;1.159;11,6%;2.064;12,2%;1.121;10,2%;706;;;;;;;;;;;;;;;;;
Hogares con un hombre solo >65 años;2,9%;38.397;3,5%;2.181;4,2%;277;3,6%;479;3,5%;327;3,0%;534;3,4%;311;3,6%;253;;;;;;;;;;;;;;;;;
Hogares monoparentales: una mujer adulta con uno o más menores;2,0%;26.000;1,4%;880;1,3%;88;1,3%;174;1,5%;138;1,5%;259;1,5%;138;1,2%;83;;;;;;;;;;;;;;;;;
Hogares monoparentales: un hombre adulto con uno o más menores;0,4%;5.236;0,3%;190;0,4%;29;0,3%;40;0,2%;21;0,3%;56;0,3%;27;0,2%;17;;;;;;;;;;;;;;;;;
1.2.3. Dinámica demográfica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa bruta de natalidad 2020 (‰);;7,8;;7,8;;9,1;;7,9;;7,0;;7,6;;6,9;;9,2;;;;;;;;;;;;;;;;;
Tasa de crecimiento demográfico 2020 (%);;-0,7;;-1,3;;-1,4;;-1,6;;-1,4;;-0,9;;-1,7;;-0,9;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer MUJERES (mortalidad del periodo 2013-2016);;87,5;;87,7;;87,6;;87,9;;87,7;;87,3;;87,8;;88,5;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (mortalidad del periodo 2013-2016);;81,9;;82,8;;83,5;;82,3;;82,9;;82,0;;83,3;;84,3;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer MUJERES (2020);;85,2;;85,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (2020);;79,3;;81,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años MUJERES (2020);;22,4;;22,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años HOMBRES (2020);;17,7;;18,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.4. Mujeres y hombres;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2019);;0,842;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2009);;0,795;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.3. INDICADORES ECONÓMICOS ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
